'a'nu'bi'si 阿努比斯
'lan'shi'lai'mu 蓝史莱姆
'lang'ren'wu'shi 浪刃武士
'lei'dong'ba'fang 雷动八方
'lei'guan'long 雷冠龙
'lei'jiao'ma 雷角马
'lei'mi'er 雷米儿
'lei'ming'niao 雷冥鸟
'lei'ming'niao 雷鸣鸟
'lei'ming'tong'zi 雷鸣童子
'lei'pang'da 雷胖达
'lei'shu'xing 雷属性
'lei'ting'ju'feng 雷霆飓风
'lei'yin'lu 雷隐鹿
'leng'dong'fen'sui'ji 冷冻粉碎机
'leng'que 冷却
'li'liang'shi'xiang 力量石像
'li'liang'zhi'lian 力量之莲
'lian'li'long 连理龙
'lian'suo'ye'ren 连锁叶刃
'liang'jing'jing 凉晶鲸
'liang'ye'long 梁叶龙
'liao'huo'lu 燎火鹿
'lie'lang 猎狼
'lie'yan'qiu 烈焰球
'lie'zhi'dan'yao 劣质弹药
'lin'dong'zhi'xi 凛冬之息
'ling'yao 灵药
'liu'dan 榴弹
'liu'huo 流火
'liu'leng'jing 六棱晶
'liu'leng'jing'ding 六棱晶锭
'liu'sha'she 流沙蛇
'liu'shui'xian'gong'chang 流水线工厂
'long'dan 龙蛋
'long'hui'xing 龙彗星
'long'ji 龙击
'long'shu'xing 龙属性
'long'xi'pao 龙息炮
'lu'mi'er 鲁米儿
'lu'na'di 露娜蒂
'lu'zi 炉子
'lv'shi'lai'mu 绿史莱姆
'lv'tai'rong'guai 绿苔绒怪
'mao'dan'er 毛掸儿
'mao'fu'guai 猫蝠怪
'mao'lao'die 毛老爹
'mao'pi'kui'jia 毛皮盔甲
'mei'ai'li 魅爱莉
'mei'huo'diao'er 魅惑钓饵
'mei'li'hua'duo 美丽花朵
'mei'li'mu 梅莉姆
'mei'lu'pa 美露帕
'mei'mo 寐魔
'meng'ji'ling'yao 猛击灵药
'meng'ji'mi'yao 猛击秘药
'mi'lu'fei 米露菲
'mi'si'ti'ya 秘斯媞雅
'mi'yao 秘药
'mian'hua'tang 棉花糖
'mian'ju 面惧
'mian'you'you 棉悠悠
'miao'si'te 喵丝特
'ming'deng'yu 冥灯鱼
'ming'kai'xie 冥铠蝎
'ming'mai'ling'yao 命脉灵药
'ming'mai'mi'yao 命脉秘药
'mo'fen'ji 磨粉机
'mo'gu'zhi 蘑菇汁
'mo'mo'ji 墨沫姬
'mo'shi'lu 默世鹿
'mo'wan 墨丸
'mo'yang 殁殃
'mo'yuan'long 魔渊龙
'mu'chang 牧场
'mu'tan 木炭
'nai'han'nei'yi 耐寒内衣
'nai'li'zhi'lian 耐力之莲
'nai're'fang'han'nei'yi 耐热防寒内衣
'nai're'nei'yi 耐热内衣
'nai'zhong'zhi'lian 耐重之莲
'nao'jin 脑筋
'neng'liang'he 能量盒
'neng'liang'xian'dan'qiang 能量霰弹枪
'ni'chou'sha 妮瞅莎
'niao'qiang 鸟枪
'nong'suo'ji 浓缩机
'nv'huang'feng 女皇蜂
'pa'lu'dan 帕鲁蛋
'pa'lu'guang'shu 帕鲁光束
'pa'lu'jiao'nang 帕鲁胶囊
'pa'lu'jin'shu'ding 帕鲁金属锭
'pa'lu'qiu 帕鲁球
'pa'lu'ti'ye 帕鲁体液
'pa'lu'xing'zhuan'yao 帕鲁性转药
'pa'lu'you 帕鲁油
'pa'lu'zhi'hun 帕鲁之魂
'pa'lu'zhong'duan 帕鲁终端
'pa'lu'zhuang'ban'ji 帕鲁装扮机
'pa'lu'zhuang'zhi 帕鲁装置
'pa'lu'zhuang'zhi'zhi'zuo'tai 帕鲁装置制作台
'pa'pa'nian 趴趴鲶
'pai'ke'long 派克龙
'pao'pao'she'ji 泡泡射击
'pei'ke'long 佩克龙
'pei'zhong'mu'chang 配种牧场
'peng'ke'xi 朋克蜥
'pi'li'quan 霹雳犬
'pi'pi'ji 皮皮鸡
'pu'ji'liu 瀑击流
'pu'tong'hua'xiang'san 普通滑翔伞
'pu'tong'si'liao'dai 普通饲料袋
'qi'cheng 骑乘
'qi'guan 器官
'qi'shi'feng 骑士蜂
'qi'shi'lu 启示录
'qi'wan'wan 企丸丸
'qi'wan'wang 企丸王
'qiang'hua'jian'shi 强化箭矢
'qiang'hua'qiang 强化枪
'qiang'li'yu'yong'ci'tie 强力渔用磁铁
'qiao'shou'zhi'lian 巧手之莲
'qie'ge'long'xi 切割龙息
'qin'mian'ling'yao 勤勉灵药
'qin'mian'mi'yao 勤勉秘药
'qing'que 清雀
'qiu'qiu 球犰
'qu'xian'mo'kuai 曲线模块
're'lang'ya 热浪鸭
're'xue'xi 热血蜥
'rong'yan'bao'fa 熔岩爆发
'rong'yan'niang 融焰娘
'rong'yan'shou 熔岩兽
'san'chong'feng'ren 三重风刃
'san'chong'lei'ji 三重雷击
'san'duan'tiao'xue 三段跳靴
'san'xiang'huo'hua 三相火花
'sen'meng'ma 森猛犸
'sha'chen'bao 沙尘暴
'sha'chen'xuan'feng 沙尘旋风
'sha'xiao'zi 鲨小子
'shan'dian'chong'ji 闪电冲击
'shan'dian'fu'te 闪电伏特
'shan'hu'ding 珊瑚锭
'shan'hu'kuang'shi 珊瑚矿石
'shan'wan'wan 闪丸丸
'shan'wan'wang 闪丸王
'shan'yue'she'shou 山岳射手
'shao'yi 烧夷
'she'chu 社畜
'she'hua'diao'er 奢华钓饵
'she'ji'tu 设计图
'shen'she'zuo'lun'shou'qiang 神射左轮手枪
'shen'sheng'ding 神圣锭
'sheng'guang'qi'shi 圣光骑士
'sheng'huo 生火
'sheng'ming'zhi'guo 生命之果
'sheng'ming'zhi'lian 生命之莲
'shi'ban 石板
'shi'hun'shou 噬魂兽
'shi'hun'you 蚀魂鱿
'shi'pin'xiang 饰品箱
'shi'tan 石炭
'shi'zhang'yuan 石掌猿
'shi'zi'feng'ren 十字风刃
'shou'gong'xue 手工学
'shou'gong'zuo'ye 手工作业
'shou'shu'tai 手术台
'shuang'ge'long 霜歌龙
'shuang'guan'xian'dan'qiang 双管霰弹枪
'shuang'lian'mo 霜镰魔
'shuang'ya'wang 霜牙王
'shui'dao'qie'ge 水刀切割
'shui'ling'er 水灵儿
'shui'ling'guo'dong 水灵果冻
'shui'ling'long 水灵龙
'shui'liu 水流
'shui'mu'san 水母伞
'shui'shu'xing 水属性
'si'liao'dai 饲料袋
'su'gang 塑钢
'sui'huo'niao 燧火鸟
'sui'yan'gui 碎岩龟
'suo'ding'lei'she 锁定雷射
'ta'chun'tu 踏春兔
'tai'dao 太刀
'tai'feng 泰锋
'tai'la'leng'jing 泰拉棱镜
'tai'la'ren 泰拉刃
'tai'yang'guang'shu 太阳光束
'tan'xian'wei 碳纤维
'tao'fa'zheng'ming 讨伐证明
'tao'jing'jing 桃晶鲸
'tao'xuan'you 桃旋鼬
'tao'zhu'niang 桃蛛娘
'te'da'si'liao'dai 特大饲料袋
'te'ji'hua'xiang'san 特级滑翔伞
'te'ji'pa'lu'qiu 特级帕鲁球
'te'zhi'hu'dun 特质护盾
'teng'yan'long 腾炎龙
'ti'ka'er 啼卡尔
'tian'jie'fu 天界符
'tian'qin'niao 天擒鸟
'tian'yin'tong'zi 天阴童子
'tian'yu'long 天羽龙
'tie'quan'yuan 铁拳猿
'tong'cang 筒仓
'tong'yao'shi 铜钥匙
'tu'dou'zhong'shu 土豆种薯
'wa'kuang'xue 挖矿学
'wan'ju 挽具
'wang'cai 旺财
'wang'wang'bi 汪汪币
'wang'zong'shi 汪宗师
'wei'lai'ji'shu'shu 未来技术书
'wei'li'ta 薇莉塔
'wu'dao'wa 武道蛙
'wu'shu'xing 无属性
'wu'xian'jing'li 无限精力
'xi'nao'yao 洗脑药
'xiang'cao'bao'bing 香草豹冰
'xiang'quan 项圈
'xiao'chu'ji'yi'yao 消除记忆药
'xiao'si'liao'dai 小饲料袋
'xiao'yan'mao 笑魇猫
'xie'qi'lin 邪麒麟
'xin'lv 新绿
'xin'ye'yuan 新叶猿
'xing'xuan'ji'qiang 星旋机枪
'xiu'li'tai 修理台
'xiu'li'tao'zhuang 修理套装
'xiu'lian'jie'jing 修炼结晶
'xiu'lian'zhi'shu 修炼之书
'xuan'wo'xin'xing 漩涡新星
'xue'meng'ma 雪猛犸
'xue'rong'hu 雪绒狐
'xun'lei'niao 迅雷鸟
'yan'bao 岩爆
'yan'dong'lu 严冬鹿
'yan'huang 焰煌
'yan'mo'yang 炎魔羊
'yan'shi'rui'mao 岩石锐矛
'yan'wu'hu 焰巫狐
'yao'gua'ti'deng 腰挂提灯
'yao'pin 药品
'ye'ming'bian'fu 夜明蝙蝠
'ye'ming'ju 夜冥驹
'ye'ming'shi'lai'mu 夜明史莱姆
'ye'mu'mo'fu 夜幕魔蝠
'ye'ni'ni 叶泥泥
'ye'pang'da 叶胖达
'ye'xing'sha 夜星砂
'yi'gou'ge'li'fen 异构格里芬
'yi'xi'si 伊西斯
'yin'hua'mo'shui 印花墨水
'yin'yao'shi 银钥匙
'ying'yang'ji 营养剂
'you'lian'na 幽恋娜
'you'ran'yong'zi 悠然泳姿
'you'wu'hu 幽巫狐
'you'yan'lang 幽焰狼
'you'zhi'diao'er 优质钓饵
'you'zhi'hu'dun 优质护盾
'you'zhi'hua'xiang'san 优质滑翔伞
'you'zhi'pa'lu'qiu 优质帕鲁球
'yu'jian'she'shou 羽箭射手
'yu'lei'ma 驭雷马
'yu'mu'yang 郁木羊
'yu'yan'wang 狱焰王
'yu'yan'wang 狱阎王
'yu'zao'hu 玉藻狐
'yuan'qi'dan 元气弹
'yuan'shi'de'lu'zi 原始的炉子
'yuan'you 原油
'yuan'you'ti'lian'ji 原油提炼机
'yuan'zheng'suo 远征所
'yue'lian'mo 月镰魔
'yue'liang'ling'zhu 月亮领主
'yun'dong'jian'jiang 运动健将
'yun'hai'lu 云海鹿
'yun'shi'dan 陨石弹
'yun'shi'fa'she'qi 陨石发射器
'yun'shi'sui'pian 陨石碎片
'yun'shu'xue 运输学
'yun'xing 陨星
'zha'dan'niao 炸弹鸟
'zhan'dou'quan 战斗券
'zhan'guan'que 战冠雀
'zhan'lie'long'xi 绽裂龙息
'zhang'yu'zu 章鱼足
'zhao'gou'qiang 爪钩枪
'zhen'kong'ren 真空刃
'zhen'yan 震岩
'zhi'deng'yu 炙灯鱼
'zhi'leng'xue 制冷学
'zhi'yao 制药
'zhi'yao'tai 制药台
'zhi'yao'xue 制药学
'zhi'yue'lu 祗岳鹿
'zhong'duan'kong'zhi'tai 终端控制台
'zhong'liang'mo'kuai 重量模块
'zhu'que 朱雀
'zhu'wei'shao'zi 助威哨子
'zhui'zong'mo'kuai 追踪模块
'zhuo'yue'gong 卓越弓
'zhuo'yue'hu'dun 卓越护盾
'zhuo'yue'jian'shi 卓越箭矢
'zi'dong'zhui'zong'pa'lu'qiu 自动追踪帕鲁球
'zi'shi'lai'mu 紫史莱姆
'zi'xia'lu 紫霞鹿
'zuan'shi'xing'chen 钻石星辰
'zuo'ye'tai 作业台
'zuo'yi 佐伊
