'an'hui'ri'fa'fang'zhi'ji'xie 安徽日发纺织机械
'che'xiao'gong'zhuang 车削工装
'chen'ban 衬板
'chen'tao 衬套
'cheng'cha'guo'du'jie'tou 承插过渡接头
'cheng'liang'guan'luo'wen'si'zhui 成量管螺纹丝锥
'cheng'liang'ji'yong'si'zhui 成量机用丝锥
'cheng'liang'luo'wen'sai'gui 成量螺纹塞规
'cheng'liang'luo'xuan'si'zhui 成量螺旋丝锥
'cheng'liang'si'zhui 成量丝锥
'cheng'liang'yuan'ban'ya 成量圆板牙
'chi'ban 齿板
'chi'lun 齿轮
'chi'lun'you 齿轮油
'chi'lun'zhou 齿轮轴
'chong'qing'da'xue'ji'xie'chuan'dong 重庆大学机械传动
'chong'shui'xiang 冲水箱
'chou'jian'di'ban 抽检底板
'chou'jian'you'gui'dao 抽检右轨道
'chou'jian'zuo'gui'dao 抽检左轨道
'chu'jiao'ji 除胶剂
'chu'kou'lian'jie'guan 出口连接管
'chu'kou'qiang'ti'guan 出口腔体管
'chu'liao'zhu'guan 出料主管
'chu'tou 触头
'chu'you'guan 出油管
'chuan'dong'chi'tiao 传动齿条
'chuan'dong'lian'lun 传动链轮
'chuan'dong'zhi'jia 传动支架
'chuan'dong'zhou 传动轴
'chuan'gan'qi'an'zhuang'ban 传感器安装板
'chuan'gan'qi'an'zhuang'zuo 传感器安装座
'chuan'gan'qi'da'ya'ce'shi'gong'zhuang 传感器打压测试工装
'chuan'gan'qi'di'ban'bu'dai'cao 传感器底板不带槽
'chuan'gan'qi'di'ban'dai'cao 传感器底板带槽
'chuan'gan'qi'di'zuo 传感器底座
'chuan'gan'qi'dian'ban 传感器垫板
'chuan'gan'qi'dian'kuai 传感器垫块
'chuan'gan'qi'fang'zuo 传感器方座
'chuan'gan'qi'gu'ding'zuo 传感器固定座
'chuan'gan'qi'guo'lv'pan 传感器过滤盘
'chuan'gan'qi'hu'tao 传感器护套
'chuan'gan'qi'hu'tao'lv 传感器护套铝
'chuan'gan'qi'ji'zhong'zuo 传感器集中座
'chuan'gan'qi'jian'ce'he 传感器检测盒
'chuan'gan'qi'lv'zhao 传感器铝罩
'chuan'gan'qi'ni'long'hu'zhao 传感器尼龙护罩
'chuan'gan'qi'qi'shi'shang'ke 传感器气室上壳
'chuan'gan'qi'qi'shi'xia'ke 传感器气室下壳
'chuan'gan'qi'shang'gai 传感器上盖
'chuan'gan'qi'xia'ke 传感器下壳
'chuan'gan'qi'yang'jian 传感器样件
'chuan'gan'qi'yuan'zuo 传感器圆座
'chuan'gan'qi'zhi'zuo'jie'he'jian 传感器支座结合件
'chuan'niu'zhu'dong'zuan'gan 传扭主动钻杆
'chuang'ke'tie 创可贴
'chuang'pian'fa'lan 窗片法兰
'chui'qi'lian'jie'kuai 吹气连接块
'chui'qi'zhi'cheng'kuai 吹气支撑块
'chui'zhi'dao'gui 垂直导轨
'chui'zhi'dao'gui'gai'zao 垂直导轨改造
'chui'zhi'dao'gui'jia 垂直导轨架
'chui'zhi'si'gang'luo'mu'lian'jie'zuo 垂直丝杠螺母连接座
'chui'zhi'si'gang'zhou'cheng'shang'gai 垂直丝杠轴承上盖
'ci'tie'gu'ding'ban 磁铁固定板
'ci'tie'xi'kuai 磁铁吸块
'ci'xi'biao'zuo 磁吸表座
'cong'dong'lun 从动轮
'cong'dong'shang'tao'guan 从动上套管
'cong'dong'zhong'jian'tao'guan 从动中间套管
'cong'dong'zhou 从动轴
'cu'bing'ji'yong'si'zhui 粗柄机用丝锥
'cu'tang'dao 粗镗刀
'cun'he'ding'wei'xiao 寸盒定位销
'cun'hun'he'qi'san'tong'jie'he'jian 寸混合器三通结合件
'cun'jiao'lun 寸胶轮
'cun'liao'he'dian'kuai 寸料盒垫块
'cun'liao'he'hou'dang'kuai 寸料盒后挡块
'cun'liao'he'qian'xian'wei'kuai 寸料盒前限位块
'cun'shan'xing'pen'tou'nei'gu'ding'ban 寸扇形喷头内固定板
'cun'shan'xing'pen'tou'wai'gu'ding'ban 寸扇形喷头外固定板
'cun'shan'xing'zhu'pen'tou'tiao'zheng'ban 寸扇形主喷头调整板
'cun'tie'huan'xian'wei'zhou 寸铁环限位轴
'cun'ye'ya'ka'pan'ying'zhao 寸液压卡盘硬爪
'cun'ye'ya'ka'zhao 寸液压卡爪
'cun'zhe'dang'zhao'xi'pan 寸遮挡罩吸盘
'cuo'dao 锉刀
'da'ban 大板
'da'bi'dian'lan'zhi'jia 大臂电缆支架
'da'bi'jiao'guan'zhi'jia 大臂胶管支架
'da'bi'lian'jie'zuo 大臂连接座
'da'bi'zhuan'jie'jian 大臂转接件
'da'bi'zhuan'jie'tong 大臂转接桶
'da'chi'lun'pen'sha 大齿轮喷砂
'da'dao'gang 打刀缸
'da'dao'gang'mi'feng 打刀缸密封
'da'luo'mu 大螺母
'da'sao'ba 大扫把
'da'shui'xi'gun'zhou'cheng'zuo 大水洗辊轴承座
'da'tou'zuan 大头钻
'da'tou'zuan'dao'zuo 大头钻刀座
'da'tou'zuan'tou 大头钻头
'da'xiao'tou 大小头
'da'yin'ji 打印机
'da'yin'ji'pei'jian 打印机配件
'da'yin'ji'xi'gu 打印机硒鼓
'da'yin'zhi 打印纸
'da'zuan'tou 大钻头
'dai'bing'ye'lun 带柄叶轮
'dai'bing'ye'lun 带柄页轮
'dai'fa'lan'jia'chang'guan 带法兰加长管
'dai'han'jie'duan'guan'fa'lan'pan 带焊接短管法兰盘
'dai'jing'dui'han'gang'zhi'guan'fa'lan 带颈对焊钢制管法兰
'dai'jing'ping'han'gang'zhi'guan'fa'lan 带颈平焊钢制管法兰
'dai'liao'pan 待料盘
'dai'lun'zhuan'zhou 带轮转轴
'dai'zi 袋子
'dai'zuan'jia'tou'dao'bing 带钻夹头刀柄
'dan'chuang'shi'you'qi 单窗视油器
'dan'hua'peng'che'dao 氮化硼车刀
'dan'hua'peng'dao'pian 氮化硼刀片
'dan'lun 单轮
'dan'ti'shi 单体式
'dan'xiang'an'zhuang'zuo 单向安装座
'dan'xiang'fa'jie'tou 单向阀接头
'dan'xiang'fa'zhuan'jie'tou 单向阀转接头
'dan'xiang'fa'zu'an'zhuang'zuo 单向阀组安装座
'dan'xiang'tui'jin'ban 单相推进板
'dan'ya'luo'wen'xi'dao 单牙螺纹铣刀
'dan'zhou'qi'gang'gu'ding'zuo 单轴气缸固定座
'dang'guang'luo'mao 挡光螺帽
'dang'pian 挡片
'dang'quan 挡圈
'dao'bing 刀柄
'dao'cao'jiao'du'kuai 导槽角度块
'dao'cao'shang'gai'ya'ke'li'gong'jian 导槽上盖亚克力工件
'dao'dian 刀垫
'dao'fu'zhou'cheng'zuo 道夫轴承座
'dao'gan 刀杆
'dao'gui 导轨
'dao'gui'you 导轨油
'dao'gui'zu'jian 导轨组件
'dao'jia'dian'kuai 刀架垫块
'dao'jia'dian'kuai'you 刀架垫块右
'dao'jia'dian'kuai'zuo 刀架垫块左
'dao'jiao'dao 倒角刀
'dao'jiao'dao'wu'gang 倒角刀钨钢
'dao'ju 刀具
'dao'la'chen'tou'dao 倒拉沉头刀
'dao'liu'zhao'mu'ju 导流罩模具
'dao'pian 刀片
'dao'pian'di'pan'zhuan'yong 刀片底盘专用
'dao'pian'lv'yong 刀片铝用
'dao'pian'zuo 刀片座
'dao're'kuai 导热块
'dao'si'bang'jie'he'jian 导丝棒结合件
'dao'tou 刀头
'dao'xiang'dai 导向带
'dao'xiang'gan 导向杆
'dao'xiang'jian 导向键
'dao'xiang'zhou 导向轴
'dao'xiang'zhou'bu'xiu'gang'hua'kuai 导向轴不锈钢滑块
'dao'xiang'zhou'qian'jin'tao 导向轴嵌紧套
'dao'xiang'zhu'ya'jin'ban 导向柱压紧板
'dao'zheng'jian 导正件
'de'li'da'yin'ji 得力打印机
'deng'guan'gu'ding'kuai 灯管固定块
'deng'jing'jie'gan 等径接杆
'di'ban 底板
'di'ban'zi'bian'zu'jian'tu'hao 底板自编组件图号
'di'bei'huan'guang'jie'tou'lian'jie'kuai 低倍环光接头连接块
'di'bu'dang'ban 底部挡板
'di'bu'dian'kuai 底部垫块
'di'bu'jin'ban 底部筋板
'di'bu'lian'jie'ban 底部连接板
'di'bu'xie'ban 底部斜板
'di'er'dao'si'gun'zhi'zuo 第二导丝棍支座
'di'jiao'di'zuo'jie'he'jian 地脚底座结合件
'di'kuang'you'bian'liang 底框右边梁
'di'kuang'zuo'bian'liang 底框左边梁
'di'lian'jie'ban 底连接板
'di'mai'dian'chi'he 地埋电池盒
'di'mai'feng'gai 地埋封盖
'di'mai'qiao'ti 地埋壳体
'di'mo 底模
'di'san'dao'si'gun'zhi'zuo 第三导丝棍支座
'di'si'dao'si'gun'zhi'zuo 第四导丝棍支座
'di'su'jing'xiang'duan'mian'zhou'cheng 低速径向端面轴承
'di'su'jing'xiang'zhou'cheng 低速径向轴承
'di'ya'deng'pao 低压灯泡
'di'zuo 底座
'di'zuo'dian'lan'gu'ding'ka 底座电缆固定卡
'di'zuo'hua'ban 底座滑板
'di'zuo'huan'chong'kuai 底座缓冲块
'di'zuo'jia'gong'tu 底座加工图
'di'zuo'jiao'guan'gu'ding'ka 底座胶管固定卡
'di'zuo'jie'he'jian 底座结合件
'di'zuo'jie'he'jian'gai'zao 底座结合件改造
'di'zuo'lian'jie'ban 底座连接板
'di'zuo'mao'pi 底座毛坯
'di'zuo'zhu'zao'mao'pi 底座铸造毛坯
'dian'ban 垫板
'dian'ban'tiao'zheng'gong'zhuang'er 垫板调整工装二
'dian'ban'tiao'zheng'gong'zhuang'yi 垫板调整工装一
'dian'ce'ban 电侧板
'dian'chi 电池
'dian'chi'gai 电池盖
'dian'chi'he 电池盒
'dian'ci'fa 电磁阀
'dian'ci'fa'jie'tou'fa'lan 电磁阀接头法兰
'dian'ci'fa'zhi'jia 电磁阀支架
'dian'ci'huan'xiang'fa 电磁换向阀
'dian'dong'zhi'mo'ji 电动直磨机
'dian'du'gong'zhuang'shang'ya'gai 电镀工装上压盖
'dian'du'guang'liang'ji 电镀光亮剂
'dian'du'xin'yuan'liao 电镀锌原料
'dian'huo'hua'yong'xiao'dian'ji 电火花用小电机
'dian'ji 电机
'dian'ji 电极
'dian'ji'an'zhuang'ban 电机安装板
'dian'ji'an'zhuang'pan 电机安装盘
'dian'ji'di'ban 电机底板
'dian'ji'dong'li'xian 电机动力线
'dian'ji'gu'ding'ban 电机固定板
'dian'ji'hua'dong'ban 电机滑动板
'dian'ji'jiao'feng'ke 电机胶封壳
'dian'ji'lian'jie'ban 电机连接板
'dian'ji'lian'zhou'jie 电机联轴节
'dian'ji'zhi'cheng'ban 电机支撑板
'dian'ji'zuo'ban 电机座板
'dian'jiao'bu 电胶布
'dian'jiao'dai 电胶带
'dian'kuai 垫块
'dian'kuai'luo'mu 垫块螺母
'dian'lan 电缆
'dian'lan'xian 电缆线
'dian'lan'ya'jin'luo'mu 电缆压紧螺母
'dian'lu'ban'feng'zhuang'jian'duan'gai 电路板封装件端盖
'dian'lu'ban'feng'zhuang'jian'qiang'ti 电路板封装件腔体
'dian'lu'ban'zuo'xi 电路板座系
'dian'lu'ya'ban'zuo'xi 电路压板座系
'dian'mo'kuai'ce'ban 电模块侧板
'dian'nao 电脑
'dian'nao'pei'jian 电脑配件
'dian'nao'san're'qi 电脑散热器
'dian'pian 垫片
'dian'quan 垫圈
'dian'shan 电扇
'dian'shan'ji'tou 电扇机头
'dian'shi'ya'ban 点式压板
'dian'tao 垫套
'dian'wei'qi'lian'jie'jian 电位器连接件
'dian'xian 电线
'dian'yuan 电源
'dian'yuan'cha'ban 电源插板
'dian'yuan'xian'guan'chang 电源线管长
'dian'yuan'xian'guan'duan 电源线管短
'dian'zhuang'gai 电装盖
'diao'cheng'dian'chi 吊秤电池
'diao'dao'gan 吊刀杆
'diao'er 吊耳
'diao'jiao'dian'ji'an'zhuang'fa'lan 调角电机安装法兰
'diao'jiao'luo'mu 调角螺母
'diao'jiao'suo'jin'tao 调角锁紧套
'diao'jiao'xian'wei 调角限位
'diao'jiao'xuan'niu 调角旋钮
'diao'jiao'zhou'cheng'tong 调角轴承筒
'diao'mo'ji 吊磨机
'diao'shan 吊扇
'diao'sheng 吊绳
'diao'zhuang'ban 吊装板
'diao'zhuang'zhi'jia 吊装支架
'ding'dao 定刀
'ding'dao'jia 定刀架
'ding'dao'jia'qian'nei'lian'jie 定刀架前内连接
'ding'gai 顶盖
'ding'gan 顶杆
'ding'jian 顶尖
'ding'jin'luo'ding 顶紧螺钉
'ding'liang'duan'gai 定量端盖
'ding'sheng 鼎盛
'ding'sheng'ban 顶升板
'ding'sheng'dao'xiang'zhou 顶升导向轴
'ding'shu'zhen 订书针
'ding'si 顶丝
'ding'si'zuo 顶丝座
'ding'wei'ban 定位板
'ding'wei'dao'gui'you 定位导轨右
'ding'wei'dao'gui'you'ding'zhi 定位导轨右定制
'ding'wei'dao'gui'zuo 定位导轨左
'ding'wei'kuai 定位块
'ding'wei'tao 定位套
'ding'wei'xiao 定位销
'ding'wei'zhu'xiao 定位柱销
'ding'wei'zuo 定位座
'ding'xin'zuan 定心钻
'ding'xin'zuan'dao'xiang'zuan 定心钻导向钻
'ding'xin'zuan'han'gu 定心钻含钴
'ding'zhen'zhi'jing 顶针直径
'ding'zhou'hou'zhou'cheng'jian 锭轴后轴承件
'ding'zuo'dao'gan 定做刀杆
'dong'dao 动刀
'dong'dao'ya'dao'ban 动刀压刀板
'dong'huan 动环
'dong'li'tou'hua'zuo'han'jie'ti 动力头滑座焊接体
'dong'li'tou'xiang'gai 动力头箱盖
'dong'xin'mu'lei'yang'ji'zong'xiang'fa'lan 东新木垒样机纵向法兰
'du'bang'bang'tang'xi'dao 度棒棒糖铣刀
'du'he'jin'qiu'tou'xi'dao 度合金球头铣刀
'du'he'jin'yuan'bi'dao 度合金圆鼻刀
'du'ka'qi 读卡器
'du'luo'ying'zhou 镀络硬轴
'du'lv'yong'he'jin'xi'dao 度铝用合金铣刀
'du'mao 堵帽
'du'ren'he'jin'xi'dao 度刃合金铣刀
'du'shu'tou'gu'ding'ban 读数头固定板
'du'shu'tou'tiao'zheng'ban 读数头调整板
'du'tai'bu'xiu'gang'zhi'zuan 镀钛不锈钢直钻
'du'tai'luo'xuan'si'zhui 镀钛螺旋丝锥
'du'tou 堵头
'du'wu'gang'yuan'bi'dao 度钨钢圆鼻刀
'du'xin'wai'liu'jiao 镀锌外六角
'du'xin'ying'zhou 镀锌硬轴
'duan'bi 短臂
'duan'bi'lian'jie'zuo 短臂连接座
'duan'bi'tong'ti 短臂筒体
'duan'bi'zhuan'jie'jian 短臂转接件
'duan'da'jian 锻打件
'duan'gai 端盖
'duan'gai'mao'pi 端盖毛坯
'duan'heng'cheng 短横撑
'duan'jiao'gang 短角钢
'duan'lu'qi 断路器
'duan'mian'cao'dao'gan 端面槽刀杆
'duan'mian'cao'dao'pian 端面槽刀片
'duan'mian'cao'yuan'hu'dao'pian 端面槽圆弧刀片
'duan'mian'ding'si'luo'mu 端面顶丝螺母
'duan'zhou 短轴
'duan'zhou'tao 短轴套
'dui'cha'zhuan'jie'tou 对插转接头
'dui'jie'ji'ban 对接基板
'duo'kong'lian'jie'duan 多孔连接端
'duo'tong'ti 多通体
'er'kuai 耳块
'er'liu'ti'wu'hua'pen'zui 二流体雾化喷嘴
'er'lv'he'jin'zhuang'zhi'di'ban 二铝合金装置底板
'er'zhou'zhou'cheng'gai 二轴轴承盖
'fa'ban 阀板
'fa'gan 阀杆
'fa'jing'dian'chi'he 阀井电池盒
'fa'jing'dian'chi'he'chuan'xian'guan 阀井电池盒穿线管
'fa'jing'feng'gai 阀井封盖
'fa'jing'qiao'ti 阀井壳体
'fa'lan 法兰
'fa'lan'guan 法兰管
'fa'lan'jie'tou 法兰接头
'fa'lan'luo'mu 法兰螺母
'fa'lan'pan 法兰盘
'fa'na'ke'dian'chi 发那科电池
'fa'na'ke'jia'gong'zhong'xin 发那科加工中心
'fa'na'ke'xiao'feng'shan 发那科小风扇
'fa'xin 阀芯
'fa'xin'shang'duan 阀芯上端
'fa'xin'xia'duan 阀芯下端
'fa'zu'an'zhuang'zuo 阀组安装座
'fa'zuo 阀座
'fan'chui'jie'tou 反吹接头
'fan'huo'dao'gan 反锪刀杆
'fan'she'chi 反射池
'fan'she'chi'fa'lan'pan 反射池法兰盘
'fan'she'jing'jia 反射镜架
'fan'she'jing'zhi'cheng'jian 反射镜支撑件
'fan'ying'qi'di'zuo'jie'he'jian 反应器底座结合件
'fan'zhuan'you'gang'zhuan'jie'er'ban 翻转油缸转接耳板
'fan'zhuan'you'gang'zhuan'jie'fa'lan 翻转油缸转接法兰
'fan'zhuan'you'gang'zhuan'jie'jian 翻转油缸转接件
'fang'ban 方板
'fang'bang 方棒
'fang'bao'dian'yuan'he'gai 防爆电源盒盖
'fang'bao'dian'yuan'he'ti 防爆电源盒体
'fang'bian'mian 方便面
'fang'chen'gai 防尘盖
'fang'ci'di'zuo 防磁底座
'fang'ci'zhao 防磁罩
'fang'die'luo'gua'gou'lian'jie'zhu 防跌落挂钩连接柱
'fang'die'qi'gang'zhi'jia'xia'bi 防跌气缸支架下臂
'fang'dong'ding'ban 防冻顶板
'fang'du'mian'zhao 防毒面罩
'fang'gang 方钢
'fang'guan 方管
'fang'guan'zhi'jia 方管支架
'fang'hu'guan 防护管
'fang'hu'jiao'tao 防护胶套
'fang'hu'jing'pian 防护镜片
'fang'hu'men'huan'chong'kuai 防护门缓冲块
'fang'hu'mian'zhao 防护面罩
'fang'hu'tie'zhi 防护贴纸
'fang'hu'yan'jing 防护眼镜
'fang'hu'zhao 防护罩
'fang'hu'zhao'shang'ke 防护罩上壳
'fang'hu'zhao'xia'ke 防护罩下壳
'fang'hu'zhao'ya'huan'fang'bao 防护罩压环防爆
'fang'jian 方键
'fang'juan'di'zuo 放卷底座
'fang'liao 方料
'fang'liao'men'huan'chong'dian 放料门缓冲垫
'fang'liu'mang'ban 放流盲板
'fang'pao'guang'bang 方抛光棒
'fang'shui'cao'hua'dong'ban 防水槽滑动板
'fang'shui'xing'xiang'jiao'quan 防水型橡胶圈
'fang'tou'jin'gang'bi 方头金刚笔
'fang'xing'zhi'cheng'ban 方形支撑板
'fang'xiu'you 防锈油
'fei'biao'xi'dao'pan 非标铣刀盘
'fei'hong're'chu'li 飞虹热处理
'fei'jie'chu'an'zhuang'ban 非接触安装板
'fei'li'te'zhi'neng'zhuang'bei 菲利特智能装备
'fei'liao 废料
'fen'beng'ti 分泵体
'fen'bi 粉笔
'fen'duan'xuan'zhuan'pen'zui 分段旋转喷嘴
'fen'kuai'jie'tou 分快接头
'fen'li'shi'ding'wei'huan 分离式定位环
'fen'liu'qi 分留器
'fen'mo'gang'chan'zuan'dao'pian 粉末钢铲钻刀片
'fen'mo'gang'hong'quan'luo'xuan'si'zhui 粉末钢红圈螺旋丝锥
'fen'mo'gang'luo'jian'si'zhui 粉末钢螺尖丝锥
'fen'pei'fa'di'pan'ban'cheng'pin 分配阀底盘半成品
'fen'pei'fa'di'pan'ban'cheng'pin'ye'jin 分配阀底盘半成品冶金
'fen'qi'kuai 分气块
'fen'shui'kuai 分水块
'fen'shui'qi 分水器
'fen'zhong'bang 分中棒
'feng'ban 封板
'feng'gai 封盖
'feng'ji 风机
'feng'jian'gan 封缄杆
'feng'shan 风扇
'feng'su'mo 封塑膜
'feng'tou 封头
'feng'ye'gai'ban 封液盖板
'fu'dong'jie'tou 浮动接头
'fu'dong'lian'jie'gan 浮动连接杆
'fu'dong'tao 浮动套
'fu'he'you'guan'lian'jie'qi'xie'chu'you 复合油管连接器斜出油
'fu'he'you'guan'lian'jie'qi'xin 复合油管连接器新
'fu'shi'gong'zhuang'ge'huan'jia'hou'xie 腐蚀工装隔环加厚斜
'fu'ya'zhen'kong'fa 负压真空阀
'gai'ban 盖板
'gai'ban'shang 盖板上
'gai'xing'hao'pi'tuo'guan 改型号皮托管
'gan'zao'guan'jie'tou 干燥管接头
'gan'zao'guan'jie'tou'zuo 干燥管接头座
'gang'ban 钢板
'gang'cai 钢材
'gang'gan'bai'fen'biao 杠杆百分表
'gang'gan'biao 杠杆表
'gang'guan 钢管
'gang'si'ka'huang 钢丝卡簧
'gang'si'luo'tao 钢丝螺套
'gang'si'luo'tao'an'zhuang'gong'ju 钢丝螺套安装工具
'gang'si'luo'tao'si'zhui 钢丝螺套丝锥
'gang'si'luo'tao'zuan'tou 钢丝螺套钻头
'gao'du'liang'gui'an'zhuang'kuai 高度量规安装块
