'a'ba 阿八
'a'li'man'sheng'xuan'si'shi 阿里曼圣宣司事
'a'li'man'sheng'zhao'shi'cong 阿里曼圣诏侍从
'a'li'man'shi'cong 阿里曼侍从
'a'li'man'shi'fa'yao'nu 阿里曼侍法妖奴
'a'li'man'shi'tu 阿里曼使徒
'a'li'man'shi'xing'zhe 阿里曼施刑者
'a'li'man'shi'zhe 阿里曼侍者
'a'li'man'shou'wei 阿里曼守卫
'a'li'man'shou'wei'chang 阿里曼守卫长
'a'li'man'si'shi 阿里曼司事
'a'li'man'song'jing'zhe 阿里曼诵经者
'a'li'man'tian'fa'ge'er 阿里曼天罚戈尔
'a'li'man'tian'huo'ji'si 阿里曼天火祭司
'a'li'man'xiao'zhong'zhe 阿里曼效忠者
'a'li'man'xin'shi 阿里曼信使
'a'li'man'xin'tu 阿里曼信徒
'a'li'man'xing'fa'zhe 阿里曼行法者
'a'li'man'xing'shan'zhe 阿里曼行善者
'a'li'man'xuan'hao'zhe 阿里曼宣号者
'a'li'man'xuan'shi 阿里曼宣使
'a'li'man'xuan'shi'si 阿里曼宣事司
'a'li'man'xun'bing 阿里曼巡兵
'a'li'man'xun'cha 阿里曼巡察
'a'li'man'xun'cha 阿里曼巡查
'a'li'man'xun'fa'zhe 阿里曼巡法者
'a'li'man'xun'shou'shi 阿里曼驯兽师
'a'li'man'xun'you 阿里曼巡游
'a'li'man'ya'da 阿里曼亚达
'a'li'man'yao'li'shi 阿里曼药理师
'a'li'man'yu'shou'shi 阿里曼驭兽师
'a'li'man'zhe'si'ha 阿里曼哲思哈
'a'li'man'zhi'fa'zhang'lao 阿里曼执法长老
'a'li'man'zhi'fa'zhe 阿里曼执法者
'a'li'man'zhi'ling'zhe 阿里曼执令者
'a'li'man'zhi'xing'shi 阿里曼执行使
'a'li'man'zhi'xing'zhe 阿里曼执刑者
'a'li'man'zhi'yan 阿里曼之眼
'a'li'man'zhi'zhang'zhe 阿里曼执杖者
'a'li'man'zhong'shi'zhe 阿里曼忠实者
'a'li'man'zhu'huo'zhe 阿里曼逐火者
'a'li'mu 阿力木
'a'li'mu 阿里木
'a'li'po'po 阿狸婆婆
'a'ling 阿凌
'a'ling 阿玲
'a'liu 阿六
'a'long 阿龙
'a'long'bu'cha 阿隆布察
'a'lu 阿鹭
'a'lun 阿伦
'a'lun'wu'er 阿伦晤尔
'a'luo'de 阿洛得
'a'luo'na 阿罗纳
'a'ma'lv 阿麻吕
'a'ma'yi 阿麻伊
'a'man 阿曼
'a'man 阿蛮
'a'man'gu'li 阿曼古丽
'a'man'gu'niang 阿蛮姑娘
'a'mao 阿毛
'a'mao 阿猫
'a'mao'ba'jiang 阿矛巴江
'a'mi'ta 阿密塔
'a'miao 阿喵
'a'miao 阿苗
'a'ming 阿明
'a'ming 阿铭
'a'ming'na 阿明娜
'a'mo 阿貘
'a'mu 阿木
'a'mu 阿目
'a'mu'de 阿穆德
'a'mu'ma 阿目玛
'a'mu'ta'he 阿穆塔贺
'a'mu'tu 阿木图
'a'na'er 阿娜尔
'a'na'juan 阿纳娟
'a'na'xiu 阿纳秀
'a'na'xiu'shi'ti 阿纳秀尸体
'a'na'yi'duo 阿娜依朵
'a'nan 阿喃
'a'nan 阿囡
'a'ni 阿妮
'a'ni 阿尼
'a'ni 阿泥
'a'ni'xin 阿尼信
'a'ning 阿宁
'a'niu 阿牛
'a'nu'ke 阿努克
'a'nu'shen'jia 阿努什加
'a'nuo 阿诺
'a'nuo'yi 阿诺依
'a'peng 阿彭
'a'peng 阿蓬
'a'ping 阿平
'a'po 阿婆
'a'pu 阿葡
'a'qi 阿七
'a'qi 阿琪
'a'qi'huang'ji'xing'tai 阿七黄鸡形态
'a'qia'shen 阿恰什
'a'qiao 阿樵
'a'qing 阿庆
'a'qiu 阿秋
'a'ri'shan 阿日善
'a'ruo 阿弱
'a'ruo'ye 阿若野
'a'sa'en 阿萨恩
'a'sa'fen 阿萨芬
'a'sa'xin 阿萨辛
'a'sa'xin'bao'xiang 阿萨辛宝箱
'a'sa'xin'de'bao'wu 阿萨辛的宝物
'a'sa'xin'tong'jia 阿萨辛铜甲
'a'sa'xin'tong'jia'de'shou'bi 阿萨辛铜甲的手臂
'a'san 阿三
'a'sang 阿桑
'a'shi'li 阿什利
'a'shi'na'cheng'qing 阿史那承庆
'a'shi'na'cong'li 阿史那从礼
'a'shi'na'cong'li'zong'kong 阿史那从礼总控
'a'shi'na'mo'han 阿史那莫汗
'a'shi'na'sha 阿史那沙
'a'shi'na'yun 阿史那云
'a'shi'qing 阿释青
'a'shuan 阿栓
'a'si 阿四
'a'si 阿肆
'a'si'chang'xia 阿斯长夏
'a'si'ma 阿斯玛
'a'song 阿松
'a'sun 阿隼
'a'ta 阿塔
'a'tan 阿叹
'a'tang 阿堂
'a'tao 阿涛
'a'tao 阿萄
'a'te 阿特
'a'teng 阿疼
'a'ti'cha'er 阿提察尔
'a'tian 阿天
'a'ting'zhu 阿庭朱
'a'tu 阿图
'a'tu 阿土
'a'tu'bo 阿土伯
'a'tuan 阿团
'a'tuo'sha 阿托莎
'a'wa'er 阿瓦尔
'a'wan 阿丸
'a'wei 阿唯
'a'wei 阿魏
'a'wei'si'ta 阿维斯塔
'a'wen 阿文
'a'wen 阿稳
'a'wu 啊呜
'a'wu 阿五
'a'wu 阿武
'a'wu'di'mu'er 阿勿嘀木儿
'a'wu'di'mu'sa 阿勿嘀穆萨
'a'wu'di'tu'la 阿勿嘀图拉
'a'wu'di'ying 阿勿嘀荧
'a'xia 阿夏
'a'xiang 阿香
'a'xiao 阿笑
'a'xin 阿信
'a'xin'de'yi'ti 阿馨的遗体
'a'xin'na'ti 阿辛那提
'a'xing 阿星
'a'xiong 阿熊
'a'xiu 阿修
'a'xiu 阿秀
'a'xiu 阿绣
'a'xiu'luo'xiang 阿修罗像
'a'xu 阿绪
'a'xue 阿雪
'a'ya 阿亚
'a'yang 阿阳
'a'yao 阿爻
'a'ye 阿业
'a'ye 阿夜
'a'yi 阿毅
'a'yi'gu'li 阿依古丽
'a'yi'ji'zi 阿依吉兹
'a'yi'ke'zi 阿依克孜
'a'yi'ma'lu 阿依麻虏
'a'yi'mi'na 阿依米娜
'a'yi'mu 阿依慕
'a'yi'mu 阿依木
'a'yi'mu 阿依穆
'a'yi'na 阿依那
'a'yi'na'qing 阿依娜情
'a'yi'na'zhao'bing 阿依那招兵
'a'yi'nu'er 阿依努尔
'a'yi'sha 阿伊莎
'a'yi'sha 阿依莎
'a'yi'tu'lu 阿依吐露
'a'yin 阿茵
'a'ying 阿莹
'a'yong 阿勇
'a'yong 阿永
'a'you'duo 阿幼朵
'a'yu 阿玉
'a'yu 阿羽
'a'yu 阿豫
'a'yu'ya 阿育娅
'a'yuan 阿元
'a'yue 阿月
'a'yue 阿越
'a'yue'chi'bao'bao 阿越吃饱饱
'a'yue'jun 阿越君
'a'yun 阿云
'a'yun 阿芸
'a'yun'po'po 阿云婆婆
'a'zan're 阿咱热
'a'zha'de 阿扎德
'a'zha'ke 阿扎克
'a'zhi 阿芷
'a'zhu 阿朱
'a'zhu 阿诛
'a'zhuo'ma 阿卓玛
'a'zi'lan 阿兹兰
'a'zi'na 阿孜娜
'a'zuo 阿左
'ai'bo'bu'la 艾伯不拉
'ai'chao'feng 爱嘲讽
'ai'chun'qiu 艾春秋
'ai'da'na'er 艾达纳尔
'ai'dan 艾丹
'ai'de 艾德
'ai'de'hua 艾德花
'ai'er'ke 艾尔克
'ai'han'mo 艾翰墨
'ai'he'tan'mu 艾合坦木
'ai'jiao'ma 矮脚马
'ai'jiao'zhu 矮脚猪
'ai'ka'lun 艾卡伦
'ai'ke'ban'er 艾克板尔
'ai'ke'ban'ke 艾克板克
'ai'lao'yong'shi 哀牢勇士
'ai'li 艾力
'ai'li 艾黎
'ai'li'xi'er 艾里西尔
'ai'lu'da 艾鲁达
'ai'ni'dong 艾尼东
'ai'ni'wa'er 艾尼瓦尔
'ai'niu'jin 艾牛金
'ai'qiong'chou 艾邛仇
'ai'sha 艾莎
'ai'shan 艾山
'ai'shen'ma'de'zhao'ya 埃什马的爪牙
'ai'shi 艾氏
'ai'wu'an 艾雾安
'ai'xiao'de'lang'ya'ji'shi 矮小的狼牙技师
'ai'zhen'zhu 艾珍珠
'an'an 安安
'an'ba 安巴
'an'ba'tu 安巴图
'an'bian'de'shi'tou 岸边的石头
'an'bo'dong 暗波动
'an'bu'shang'ren 暗部上忍
'an'bu'xia'ren 暗部下忍
'an'bu'zhong'ren 暗部中忍
'an'cang'sha'ji'wu 暗藏杀机悟
'an'chao'qing 安朝青
'an'da'hui 安达恢
'an'da'tong 安大通
'an'da'xin'yue'hu 谙达心月狐
'an'dao'bian'fu 暗道蝙蝠
'an'du 安度
'an'du'sui'cong 安度随从
'an'fu'men'shou'wei 安福门守卫
'an'ge 暗格
'an'gou'shou 暗勾手
'an'guo'jiu 安国久
'an'hao'er 暗号二
'an'hao'san 暗号三
'an'hao'si 暗号四
'an'hao'yi 暗号一
'an'hui 安蕙
'an'jian'fa'she'kong 暗箭发射孔
'an'jian'ji'guan 暗箭机关
'an'ju'cai 安聚材
'an'jun'mo 安筠墨
'an'ke'da 安克达
'an'lin'ye'lang 桉林野狼
'an'lin'ye'xiong 桉林野熊
'an'long'huo'chong 暗龙火冲
'an'lu'shan 安禄山
'an'lu'shan'chong'zhuang'he'feng'kuang'cai'ta'kong'zhi 安禄山冲撞和疯狂踩踏控制
'an'lu'shan'de'bao'xiang 安禄山的宝箱
'an'lu'shan'de'zhan'che 安禄山的战车
'an'lu'shan'jie'duan'kong'zhi 安禄山阶段控制
'an'lu'shan'pu'tong'cai'ta'kong'zhi 安禄山普通踩踏控制
'an'lu'shan'qin'xin 安禄山亲信
'an'lu'shan'shi'wei 安禄山侍卫
'an'lu'shan'shua'guai'kong'zhi 安禄山刷怪控制
'an'lu'shan'zhan'che 安禄山战车
'an'lu'shan'zong'kong 安禄山总控
'an'meng'xian'ti 暗梦仙体
'an'meng'xian'ti'de'huan'ying 暗梦仙体的幻影
'an'mu'ji'si 暗母祭司
'an'mu'ke 安穆克
'an'nan'gong'zhu 安南公主
'an'ning 安宁
'an'ning'er 安宁儿
'an'ping'cun'min'bing 安平村民兵
'an'ping'cun'xiao'nan'hai 安平村小男孩
'an'qi 安琪
'an'qi 暗器
'an'qi'che 暗器车
'an'qi'dui 暗器堆
'an'qi'xuan 安起轩
'an'qing'en 安庆恩
'an'qing'xi 安庆喜
'an'qing'xu 安庆绪
'an'quan 安权
'an'quan'qu'yu 安全区域
'an'ruo'ruo 安若若
'an'sha'kui'lei 暗杀傀儡
'an'sha'seng 暗杀僧
'an'sha'zhe 暗杀者
'an'shang'men'shou'wei 安上门守卫
'an'shao 安韶
'an'shen'yin'yang'shi 暗神阴阳师
'an'shen'yin'yang'shu 暗神阴阳术
'an'shen'zuo 暗神座
'an'shi 安时
'an'shi'ke 安史可
'an'shi'zhi'luan 安史之乱
'an'shou'zhong 安守忠
'an'shou'zhong'bao'xiang 安守忠宝箱
'an'shu'ye 安舒烨
'an'shu'ye'tiao'wu'biao'xian 安舒烨跳舞表现
'an'si'gui 安思归
'an'tai 案台
'an'tan 暗探
'an'te 安特
'an'te'shou'shang'biao'xian 安特受伤表现
'an'wan'er 安婉儿
'an'wan'yan 安婉言
'an'wu'de 安武德
'an'xi'da'gu 安西达古
'an'xi'zhen 安息珍
'an'xiang 暗香
'an'xiang'da'qi 暗香大旗
'an'xiao 安霄
'an'xiao'feng 安小逢
'an'xiao'feng'bao'xiang 安小逢宝箱
'an'xiao'feng'biao'xian 安小逢表现
'an'xiao'qi 安小琪
'an'xie 暗蝎
'an'xin 安馨
'an'xin'hong 安信鸿
'an'xuan 安璇
'an'ye'lang'shou 暗夜狼狩
'an'yin 黯引
'an'ying 暗影
'an'ying 黯影
'an'ying'ci'ke 暗影刺客
'an'ying'zhi'mei 暗影之魅
'an'yu 安雨
'an'yu'bao'xiang 安雨宝箱
'an'yu'shi'nv 安雨侍女
'an'yue'xue'qiu 暗月血球
'an'yun 安云
'an'yun'yun 安芸芸
'an'zhi'qiang 安志强
'ao'lie 敖烈
'ao'mi'er'da'da 奥米尔达达
'ao'sha 敖刹
'ao'tian'shi'wei 傲天侍卫
'ao'wu 嗷呜
'ao'you 傲油
'ao'you'zong'kong 傲油总控
'ao'zhu 鳌蛛
'ba'ba'luo'zha 巴巴罗札
'ba'bai'nian'huo'xi 八百年火犀
'ba'bao'zhai 八宝斋
'ba'bi'xiu'luo 八臂修罗
'ba'bing 八柄
'ba'bu'er 巴布尔
'ba'bu'qi'jin 八部气劲
'ba'chang'lian'xi 靶场练习
'ba'chong'miao'fa'cun'zheng 八重妙法村正
'ba'chong'ying 八重影
'ba'dao 霸刀
'ba'dao'cheng'nv 霸刀成女
'ba'dao'da'shi'xiong 霸刀大师兄
'ba'dao'di'zi 霸刀弟子
'ba'dao'di'zi'biao'xian 霸刀弟子表现
'ba'dao'di'zi'biao'xian'zuo 霸刀弟子表现坐
'ba'dao'di'zi'de'shi'ti 霸刀弟子的尸体
'ba'dao'di'zi'lao'da 霸刀弟子老大
'ba'dao'duan'zao'shi 霸刀锻造师
'ba'dao'fu'ren 霸刀妇人
'ba'dao'gao'ji 霸刀高级
'ba'dao'jian'gong 霸刀监工
'ba'dao'jing'rui 霸刀精锐
'ba'dao'jing'rui'di'zi 霸刀精锐弟子
'ba'dao'jing'rui'di'zi'biao'xian 霸刀精锐弟子表现
'ba'dao'jing'ying'di'zi 霸刀精英弟子
'ba'dao'jing'ying'shou'wei 霸刀精英守卫
'ba'dao'ju'chang'zong'kong 霸刀剧场总控
'ba'dao'lao'ren 霸刀老人
'ba'dao'nv'di'zi 霸刀女弟子
'ba'dao'shang'yuan 霸刀伤员
'ba'dao'shang'yuan'di'ji'biao'nv 霸刀伤员低级标女
'ba'dao'shang'yuan'zhong'ji'biao'nan 霸刀伤员中级标男
'ba'dao'shao'zhuang'di'zi 霸刀少壮弟子
'ba'dao'shi'zhe 霸刀使者
'ba'dao'shou'wei 霸刀守卫
'ba'dao'shu'ku 霸刀书库
'ba'dao'tan'kuang'shi 霸刀探矿师
'ba'dao'wai'chu'di'zi 霸刀外出弟子
'ba'dao'wai'yuan'guan'shi 霸刀外院管事
'ba'dao'wu'li'di'zi 霸刀无礼弟子
'ba'dao'xia'shi 霸刀侠士
'ba'dao'xiong'tu 霸刀凶徒
'ba'dao'xun'lian'di'zi 霸刀训练弟子
'ba'dao'xun'lian'di'zi'biao'xian 霸刀训练弟子表现
'ba'dao'zhan'dou 霸刀战斗
'ba'dao'zhong'ji 霸刀中级
'ba'dao'zhui'bing 霸刀追兵
'ba'dao'zhui'bing'biao'xian 霸刀追兵表现
'ba'dao'zhui'bing'biao'xian 霸道追兵表现
'ba'de 芭德
'ba'de'bao'xiang 芭德宝箱
'ba'e'tu 巴额图
'ba'er'dong'en 巴尔东恩
'ba'er'han 巴尔汗
'ba'er'si 巴尔思
'ba'fang'lai'cai 八方来财
'ba'ge'quan'pa'xia 巴哥犬趴下
'ba'ge'quan'zuo'xia 巴哥犬坐下
'ba'gua'huan'ying 八卦幻影
'ba'gua'suo'shen'zhen 八卦锁神阵
'ba'gua'xian'ren 八卦仙人
'ba'ha 巴哈
'ba'ha'dan 巴哈丹
'ba'ha'er 巴哈尔
'ba'han'zu'biao'xian 跋汗族表现
'ba'han'zu'gong'jiang 跋汗族工匠
'ba'han'zu'ren 跋汗族人
'ba'han'zu'ren'biao'xian 跋汗族人表现
'ba'han'zu'ren'biao'xian'man'heng 跋汗族人表现蛮横
'ba'han'zu'ren'biao'xian'nv'ren 跋汗族人表现女人
'ba'han'zu'shao'bing 跋汗族哨兵
'ba'han'zu'shao'bing'biao'xian 跋汗族哨兵表现
'ba'han'zu'shou'wei 跋汗族守卫
'ba'han'zu'zhan'shi 跋汗族战士
'ba'han'zu'zhui'ji'zhan'shi 跋汗族追击战士
'ba'he'er'gu'li 巴合尔古丽
'ba'he'la'mu 巴赫拉姆
'ba'he'man'shi'yue 巴赫曼誓约
'ba'hong'chen 霸红尘
'ba'hong'chen'zong'kong 霸红尘总控
'ba'hu'de'ma'zei 跋扈的马贼
'ba'hu'de'ma'zei'biao'xian 跋扈的马贼表现
'ba'hu'de'ma'zei'dui'zhang'biao'xian 跋扈的马贼队长表现
'ba'hu'lu 拔呼逯
'ba'huang'heng'jian'chun'yang'qi'chang 八荒衡鉴纯阳气场
'ba'huang'huan'ying 八荒幻影
'ba'huang'zhen'yan 八荒阵眼
'ba'jiao'zhai'di'zi 八角寨弟子
'ba'jiao'zhai'jing'rui'shan'zei 八角寨精锐山贼
'ba'jiao'zhai'jing'rui'shui'zei 八角寨精锐水贼
'ba'jiao'zhai'shan'zei 八角寨山贼
'ba'jiao'zhai'xian'feng'shan'zei 八角寨先锋山贼
'ba'jiao'zhai'xun'zhai'zei 八角寨巡寨贼
'ba'jiao'zhai'you'ji'shan'zei 八角寨游击山贼
'ba'jiao'zhai'yu'gong'shan'zei 八角寨驭弓山贼
'ba'jin 八斤
'ba'ka 巴卡
'ba'ke 巴克
'ba'ke'tu 巴克图
'ba'la'ti 巴拉提
'ba'lao'jiu 巴老九
'ba'liang 八两
'ba'liang'shi'ti 八两尸体
'ba'mian'shen'gai 八面神丐
'ba'mu'ke 巴木克
'ba'pu 巴普
'ba'qi'da'she 八岐大蛇
'ba'sang 巴桑
'ba'sang'xiao'di 巴桑小弟
'ba'shu'dong 巴蜀东
'ba'tian 霸天
'ba'tiao 八条
'ba'tu 巴图
'ba'tu 霸图
'ba'tu'er 巴吐尔
'ba'tu'er 巴图尔
'ba'tu'er'de'shou'xia 巴吐尔的手下
'ba'tu'er'de'xin'fu'biao'xian 巴吐尔的心腹表现
'ba'tu'ren'qin 巴图仁钦
'ba'tu'ren'qin'bao'xiang 巴图仁钦宝箱
'ba'tuo'ku'ta 巴托库塔
'ba'wang'die 霸王蝶
'ba'wang'she 霸王蛇
'ba'wang'zhu 霸王蛛
'ba'xi'mi 拔悉密
'ba'xi'mi'bu'jie'lue'zhe 拔悉密部劫掠者
'ba'xian'tai'guan'shi 拔仙台管事
'ba'xiang'hui'xuan 八相回旋
'ba'xiang'mao 八相猫
'ba'xiang'qiang'nu 八相强弩
'ba'ya'er 巴雅尔
'ba'ye 拔叶
'ba'ye'gu'han 跋野古寒
'ba'ye'gu'wu'lan 拔野古乌岚
'ba'yi'lao'ye 巴依老爷
'ba'yi'ta 巴依塔
'ba'zhe'ju'xie 霸者巨蟹
'ba'zhen'tu'huo'qiang'zong'kong 八阵图火墙总控
'ba'zhen'tu'zong'kong 八阵图总控
'ba'zhi'na 跋质那
'ba'zhu 霸主
'ba'zi 靶子
'bai'an'lan 白安澜
'bai'ba'chuan 白霸川
'bai'bai 白白
'bai'ban 白板
'bai'bi'hui'xiong 白鼻灰熊
'bai'bin 白宾
'bai'cao'yuan'chan'chu 百草园蟾蜍
'bai'cao'yuan'shi'cong 百草园侍从
'bai'cao'yuan'xin'shi 百草园信使
'bai'cao'yuan'yao'nu 百草园药奴
'bai'cheng 百成
'bai'chun 白淳
'bai'chun'lei'xiao'ju'chang'zong'kong 拜春擂小剧场总控
'bai'chun'yong 白春永
'bai'chun'zhi 白春织
'bai'da'fan 白大反
'bai'di'cheng'chu'wu'xiang 白帝城储物箱
'bai'di'cheng'gong'ao'mi'shi 白帝城宫敖密使
'bai'di'cheng'gong'ao'shou'xia 白帝城宫傲手下
'bai'di'cheng'gong'ao'xin'fu 白帝城宫傲心腹
'bai'di'cheng'jiang'ling'shi'ti 白帝城将领尸体
'bai'di'cheng'shan'zei'shi'ti 白帝城山贼尸体
'bai'di'cheng'shi'ye 白帝城师爷
'bai'di'cheng'shou'cheng'shi'bing 白帝城守城士兵
'bai'di'cheng'shui'zei 白帝城水贼
'bai'di'cheng'zong'guan 白帝城总管
'bai'di'shui'fei 白帝水匪
'bai'diao 白雕
'bai'e 白鳄
'bai'e 白鹅
'bai'e'hu'wang 白额虎王
'bai'e'xie 白额蝎
'bai'fa'chang'fu 白发常服
'bai'fa'lao'xian'sheng 白发老先生
'bai'fa'lao'zhe 白发老者
'bai'fa'sou 白发叟
'bai'fa'yu'yi 白发浴衣
'bai'fei'ren 白非人
'bai'fei'zhu 白肥猪
'bai'feng 白凤
'bai'feng 白风
'bai'feng'yang 白凤阳
'bai'fu 百福
'bai'fu'ting 白傅廷
'bai'ge 白鸽
'bai'guang 白光
'bai'gui 白圭
'bai'gui'nan 白鬼男
'bai'gui'nv 白鬼女
'bai'hao'ran 白浩然
'bai'he 白鹤
'bai'he'cun'cun'min 白河村村民
'bai'hong 白虹
'bai'hou 白猴
'bai'hu 白狐
'bai'hu 白虎
'bai'hu'hu'tan'xing'wei 白虎护坛星卫
'bai'hu'kuang'ti 白虎矿体
'bai'hu'lu 白葫芦
'bai'hu'qi'gong'jian'shou 白虎旗弓箭手
'bai'hu'xing'wei 白虎星卫
'bai'hu'xing'wei'zuo'zi 白虎星卫坐姿
'bai'hu'yu'di'zi 白虎域弟子
'bai'hu'zhen'yan 白虎阵眼
