'an'niu 按钮
'yin'qing 引擎
'yin'shi 隐式
'yin'shi'shi'wu 隐式事务
'yin'yong 引用
'yin'yong'chuan'di 引用传递
'ying'bian'ma'de 硬编码的
'ying'jian 硬件
'ying'pan 硬盘
'ying'yong'bian'cheng'jie'kou 应用编程接口
'ying'yong'cheng'xu'kuang'jia 应用程序框架
'ying'yong'ying'yong'cheng'xu 应用应用程序
'yong'hu'jie'mian 用户界面
'you'biao 游标
'you'xian'xu 优先序
'you'xiang'wai'lian'jie 右向外联接
'you'zhi 右值
'yu'chu'li'qi 预处理器
'yu'fa 语法
'yu'ju 语句
'yu'ju'kuai 语句块
'yu'yi 语义
'yuan'bian'cheng 元编程
'yuan'cheng 远程
'yuan'cheng'qing'qiu 远程请求
'yuan'dai'ma 源代码
'yuan'kuo'hao 圆括号
'yuan'kuo'hu 圆括弧
'yuan'ma 源码
'yuan'sheng'de 原生的
'yuan'shi'lei'xing 原始类型
'yuan'shu'ju 元数据
'yue'shu 约束
'yun'suan'fu 运算符
'yun'xing'qi 运行期
'yun'xing'shi 运行时
'zai'ru 载入
'zao'xing'zhuan'huan 造型转换
'zeng'liang'geng'xin 增量更新
'zhai'yao 摘要
'zhan'wei'fu 占位符
'zhang'hu 账户
'zheng'he 整合
'zheng'ju 证据
'zheng'ze'biao'da'shi 正则表达式
'zhi'chi 支持
'zhi'chuan'di 值传递
'zhi'du 只读
'zhi'jie'ji'lei 直接基类
'zhi'jie'pai'sheng'lei 直接派生类
'zhi'lei'xing 值类型
'zhi'liang 质量
'zhi'shi'fu 指示符
'zhi'xiang'qian'de 只向前的
'zhi'xiang'qian'you'biao 只向前游标
'zhi'xie 只写
'zhi'xing'qi 执行期
'zhi'xing'shi 执行时
'zhi'zhen 指针
'zhong'jian'ceng 中间层
'zhong'jian'jian 中间件
'zhong'jian'yu'yan 中间语言
'zhong'jie 终结
'zhong'jie'qi 终结器
'zhong'jie'yu'yan 中介语言
'zhong'kuo'hao 中括号
'zhu'biao 主表
'zhu'jian 主键
'zhu'jie 注解
'zhu'shi 注释
'zhuan'chu 转储
'zhuan'chu'wen'jian 转储文件
'zhuan'xing 转型
'zhuan'yi'fu 转义符
'zhuan'yi'ma 转义码
'zhuan'yi'zi'fu 转义字符
'zhuang'tai'tiao 状态条
'zhuang'xiang 装箱
'zhuang'xiang'wen'ti 装箱问题
'zhuang'xiang'zhuan'huan 装箱转换
'zhuang'zai 装载
'zhuang'zai'qi 装载器
'zi'cha'xun 子查询
'zi'dian 字典
'zi'ding'yi 自定义
'zi'duan 字段
'zi'duan'chang'du 字段长度
'zi'dui'xiang 子对象
'zi'fu 字符
'zi'fu'chuan 字符串
'zi'fu'ge'shi 字符格式
'zi'fu'ji 字符集
'zi'ju 子句
'zi'lei 子类
'zi'mian'chang'shu 字面常数
'zi'ti 字体
'zi'xing 自省
'zong'xian 总线
'zu'bo'wei'tuo 组播委托
'zu'he 组合
'zu'he'jian 组合键
'zu'he'kuang 组合框
'zu'he'suo'yin 组合索引
'zu'jian 组件
'zu'jian'dui'xiang'mo'xing 组件对象模型
'zu'tai 组态
'zui'di'ceng'de'pai'sheng'lei 最底层的派生类
'zui'zhi'wen'ti 最值问题
'zui'zhong'yong'hu 最终用户
'zuo'xiang'wai'lian'jie 左向外联接
'zuo'yong'yu 作用域
'zuo'zhi 左值
