'ban'lv'dong'wu 伴侣动物
'fa'sheng'ren'chu'gong'huan'chuan'ran'bing'yi'qing'shi 发生人畜共患传染病疫情时
'fang'hu'yong'pin 防护用品
'fang'kong'qu'yu 防控区域
'fang'kong'ren'chu'gong'huan'chuan'ran'bing 防控人畜共患传染病
'fang'yi'bao'xian'zhi'du 防疫保险制度
'fang'yi'tiao'jian'he'ge'zheng 防疫条件合格证
'fang'yi'tiao'jian'shen'cha'zhi'du 防疫条件审查制度
'fang'yi'wu'zi 防疫物资
'fang'zhi'xie'zuo'ji'zhi 防治协作机制
'fei'di'yue'fang 非缔约方
'fei'mian'yi'wu'yi'qu 非免疫无疫区
'fen'qu'fang'kong 分区防控
'fen'shao 焚烧
'feng'suo 封锁
'feng'suo'ling 封锁令
'feng'suo'qu 封锁区
'feng'xian'ping'gu'bao'gao 风险评估报告
'feng'xian'ping'gu'zhi'du 风险评估制度
'fu'he'guo'jia'gui'ding'de'qi'xie 符合国家规定的器械
'fu'wu 服务
'fu'wu'qu'yu 服务区域
'fu'xu'you'dai 抚恤优待
'fu'ze'zhi'ze'fan'wei'nei'de'dong'wu'fang'yi'gong'zuo 负责职责范围内的动物防疫工作
'ge'ji'ren'min'zheng'fu 各级人民政府
'ge'li'chang'suo 隔离场所
'ge'li'guan'cha 隔离观察
'ge'li'zhe 隔离者
'gong'gong'wei'sheng'an'quan 公共卫生安全
'gong'yi'xing'xuan'chuan 公益性宣传
'gong'zuo'bu'zhu 工作补助
'gou'cheng'fan'zui 构成犯罪
'gou'cheng'wei'fan'zhi'an'guan'li'xing'wei 构成违反治安管理行为
'gu'li'cuo'shi 鼓励措施
'guan'fang'shou'yi 官方兽医
'guan'li'zhi'du 管理制度
'guan'shang'dong'wu 观赏动物
'gui'ding 规定
'guo'jia 国家
'guo'jia'biao'zhun 国家标准
'guo'jia'sheng'wu'an'quan'gui'ding 国家生物安全规定
'guo'jing'dong'wu'dong'wu'chan'pin 过境动物动物产品
'guo'wu'yuan'nong'ye'nong'cun'zhu'guan'bu'men 国务院农业农村主管部门
'guo'wu'yuan'nong'ye'nong'cun'zhu'guan'bu'men'gui'ding 国务院农业农村主管部门规定
'hai'guan 海关
'hang'kong'tie'lu'dao'lu'shui'lu'yun'shu'qi'ye 航空铁路道路水路运输企业
'hang'ye'biao'zhun 行业标准
'he'fa'bu'huo 合法捕获
'he'fa'bu'huo'de'ye'sheng'dong'wu 合法捕获的野生动物
'he'zuo 合作
'hua'zhi 化制
'hui'shou 回收
'huo'zhu 货主
'ji'ceng'dong'wu'fang'yi'ti'xi'jian'she 基层动物防疫体系建设
'ji'ceng'qun'zhong'xing'zi'zhi'zu'zhi 基层群众性自治组织
'ji'ceng'ren'yuan 基层人员
'ji'hua'mian'yi 计划免疫
'ji'lu 记录
'ji'mao'shi'chang 集贸市场
'ji'sheng'chong'bing 寄生虫病
'ji'shu'gui'fan 技术规范
'jia'chu'jia'qin 家畜家禽
'jia'gong'dan'wei 加工单位
'jian'ce 检测
'jian'ce'bu'he'ge 检测不合格
'jian'ce'feng'xian'ping'gu 监测风险评估
'jian'ce'jie'guo 检测结果
'jian'cha 检查
'jian'du 监督
'jian'du'guan'li'zhi'ze 监督管理职责
'jian'du'jian'cha 监督检查
'jian'ju 检举
'jian'kang'biao'zhun 健康标准
'jian'kang'zheng'ming 健康证明
'jian'yi 检疫
'jian'yi'biao'zhi 检疫标志
'jian'yi'bu'he'ge 检疫不合格
'jian'yi'cheng'xu 检疫程序
'jian'yi'chu'li'tong'zhi'dan 检疫处理通知单
'jian'yi'fei 检疫费
'jian'yi'fei'yong 检疫费用
'jian'yi'gong'ju 检疫工具
'jian'yi'he'ge 检疫合格
'jian'yi'he'ge'zheng'ming 检疫合格证明
'jian'yi'jie'lun 检疫结论
'jian'yi'shen'bao 检疫申报
'jian'yi'shen'bao'dan 检疫申报单
'jian'yi'shen'bao'zhi'du 检疫申报制度
'jian'yi'shen'pi 检疫审批
'jian'yi'yin'zhang 检疫印章
'jian'yi'zheng'ming 检疫证明
'jian'yi'zheng'ming'jian'yi'biao'zhi 检疫证明检疫标志
'jian'yi'zheng'ming'jian'yi'biao'zhi'xu'qin'biao'zhi 检疫证明检疫标志畜禽标识
'jiao'xue'dan'wei 教学单位
'jie'dao'ban'shi'chu 街道办事处
'jie'shou'bao'gao'de'dan'wei 接受报告的单位
'jin'chu'jing'dong'wu'dong'wu'chan'pin 进出境动物动物产品
'jin'chu'jing'guo'jing'dong'wu'dong'wu'chan'pin 进出境过境动物动物产品
'jin'chu'jing'jian'yi 进出境检疫
'jin'ji'mian'yi'jie'zhong 紧急免疫接种
'jin'xian'yu 仅限于
'jin'xing'chu'li 进行处理
'jin'zhi 禁止
'jin'zhi'jin'jing'de'dong'wu'dong'wu'chan'pin 禁止进境的动物动物产品
'jin'zhi'jing'ying 禁止经营
'jin'zhi'jing'ying'chan'pin'ming'lu 禁止经营产品名录
'jin'zhi'ru'jing'de'dong'wu'dong'wu'chan'pin 禁止入境的动物动物产品
'jin'zhi'xing'gui'ding 禁止性规定
'jing'hua 净化
'jing'hua'bing'zhong 净化病种
'jing'jian'yi'bu'he'ge'de'dong'wu'dong'wu'chan'pin 经检疫不合格的动物动物产品
'jing'wai'de'dong'wu'dong'wu'chan'pin 境外的动物动物产品
'jing'wai'yi'bing'fang'shu'ru'xie'zuo'ji'zhi 境外疫病防输入协作机制
'jing'wai'zu'zhi'ge'ren 境外组织个人
'jing'ye 精液
'jing'ying'chang'suo 经营场所
'jing'ying'dong'wu'dong'wu'chan'pin 经营动物动物产品
'jing'ying'zhe 经营者
'ju'jue'jian'du'jian'cha 拒绝监督检查
'ju'min'wei'yuan'hui 居民委员会
'ju'ti'ban'fa 具体办法
'jun'dui 军队
'ke'yan 科研
'ke'yan'ji'gou 科研机构
'kong'gao 控告
'kong'zhi 控制
'kong'zhi'pu'mie'cuo'shi 控制扑灭措施
'kua'sheng'yin'jin'zhong'yong'ru'yong'dong'wu 跨省引进种用乳用动物
'kua'sheng'zi'zhi'qu'zhi'xia'shi'yun'shu 跨省自治区直辖市运输
'lian'fang'lian'kong'ji'zhi 联防联控机制
'lin'chuang'zhen'duan 临床诊断
'liu'xing'bing'xue'diao'cha 流行病学调查
'lv'xing'dong'wu'fang'yi'zhi'ze 履行动物防疫职责
'lv'xing'guo'ji'yi'wu 履行国际义务
'man'bao'huang'bao'chi'bao'lou'bao'dong'wu'yi'qing 瞒报谎报迟报漏报动物疫情
'man'bao'huang'bao'zu'ai 瞒报谎报阻碍
'mian'yi'jie'zhong 免疫接种
'mian'yi'wu'yi'qu 免疫无疫区
'mian'yi'xiao'guo 免疫效果
'mian'yi'yi'wu 免疫义务
'mian'yi'zheng'ming 免疫证明
'ming'lu 名录
'mo'shou 没收
'pei'chang'ze'ren 赔偿责任
'pei'he'jian'ce 配合监测
'pei'tai 胚胎
'pei'xun'kao'he 培训考核
'pu'dian'cai'liao'sheng'yu'si'liao'he'pai'xie'wu 铺垫材料剩余饲料和排泄物
'pu'sha 扑杀
'pu'sha'xiao'hui'wu'hai'hua'chu'li 扑杀销毁无害化处理
'qi'shi'xing'dai'yu 歧视性待遇
'qi'ta'dan'wei'he'ge'ren 其他单位和个人
'qi'ta'dong'wu 其他动物
'qi'ta'dong'wu'fang'yi'guan'li 其他动物防疫管理
'qiang'zhi'mian'yi 强制免疫
'qiang'zhi'mian'yi'bing'zhong'ming'lu 强制免疫病种名录
'qiang'zhi'mian'yi'ji'hua 强制免疫计划
'qiang'zhi'mian'yi'zhi'du 强制免疫制度
'qing'xi 清洗
'qing'xi'xiao'du 清洗消毒
'qu'yu'hua'guan'li 区域化管理
'ran'yi'dong'wu 染疫动物
'ren'chu'gong'huan'bing'fang'zhi'xie'zuo'ji'zhi 人畜共患病防治协作机制
'ren'chu'gong'huan'chuan'ran'bing 人畜共患传染病
'ren'chu'gong'huan'chuan'ran'bing'ming'lu 人畜共患传染病名录
'ren'ding 认定
'ren'gong'si'yang 人工饲养
'ren'he'dan'wei'he'ge'ren 任何单位和个人
'ren'yuan'can'jia 人员参加
'rong'qi 容器
'san'lei'dong'wu'yi'bing 三类动物疫病
'shang'ji'ren'min'zheng'fu 上级人民政府
'shen'mai 深埋
'sheng'chan'dan'wei 生产单位
'sheng'chan'jing'ying'jia'gong'zhu'cang'yun'shu'dong'wu'chan'pin 生产经营加工贮藏运输动物产品
'sheng'chan'jing'ying'shou'yi'qi'xie 生产经营兽医器械
'sheng'ji'ren'min'zheng'fu 省级人民政府
'sheng'wu'an'quan'fang'hu 生物安全防护
'sheng'wu'an'quan'ge'li'qu 生物安全隔离区
'sheng'zi'zhi'qu'zhi'xia'shi 省自治区直辖市
'shi'shi'jian'yi 实施检疫
'shi'xing'ri'qi 施行日期
'shi'yan'dong'wu 实验动物
'shi'yan'dong'wu'fang'yi 实验动物防疫
'shi'yan'shi'jian'ce 实验室检测
'shi'yan'shi'jian'yi 实验室检疫
'shou'wei'xie'qu 受威胁区
'shou'yi'fu'wu 兽医服务
'shou'yi'hang'ye'xie'hui 兽医行业协会
'shou'yi'qi'xie 兽医器械
'shou'yi'shi'yan'shi 兽医实验室
'shui'sheng'dong'wu 水生动物
'si'yang'chang 饲养场
'si'yang'dong'wu'de'dan'wei'he'ge'ren 饲养动物的单位和个人
'si'yang'quan'zhi'fang'yi'guan'li 饲养犬只防疫管理
'si'yang'zhe 饲养者
'ting'zhi'jing'ying 停止经营
'tong'yi'gong'bu 统一公布
'tu'zai'chu'shou'huo'zhe'yun'shu'dong'wu 屠宰出售或者运输动物
'tu'zai'de'dong'wu 屠宰的动物
'tu'zai'jia'gong'chang'suo 屠宰加工场所
'tu'zai'jian'yi 屠宰检疫
'tu'zai'jing'ying'yun'shu'dong'wu 屠宰经营运输动物
'tu'zai'zhe 屠宰者
'wai'lai'yi'bing 外来疫病
'wei'bei'an 未备案
'wei'fa 违法
'wei'fan'ben'fa'gui'ding 违反本法规定
'wei'ge'li 未隔离
'wei'jian'yi 未检疫
'wei'jing'bei'an 未经备案
'wei'jing'jian'yi 未经检疫
'wei'qu'de'dong'wu'fang'yi'tiao'jian'he'ge'zheng 未取得动物防疫条件合格证
'wei'qu'de'dong'wu'zhen'liao'xu'ke'zheng 未取得动物诊疗许可证
'wei'sheng'jian'kang'zhu'guan'bu'men 卫生健康主管部门
'wei'wu'hai'hua'chu'li 未无害化处理
'wen'ding'dui'wu 稳定队伍
'wo'guo'dong'wu'fang'yi 我国动物防疫
'wu'gui'ding'dong'wu'yi'bing'qu 无规定动物疫病区
'wu'gui'ding'dong'wu'yi'bing'sheng'wu'an'quan'ge'li'qu 无规定动物疫病生物安全隔离区
'wu'hai'hua'chu'li 无害化处理
'wu'hai'hua'chu'li'chang'suo 无害化处理场所
'xia'ji'ren'min'zheng'fu 下级人民政府
'xian'chang'jian'yi 现场检疫
'xian'chang'zhen'duan 现场诊断
'xian'ji'ren'min'zheng'fu 县级人民政府
'xian'ji'yi'shang'di'fang'ren'min'zheng'fu 县级以上地方人民政府
'xian'ji'yi'shang'ren'min'zheng'fu 县级以上人民政府
'xian'zhi'jiao'yi 限制交易
'xian'zhi'jin'chu 限制进出
'xian'zhi'xing'gui'ding 限制性规定
'xian'zhi'yi'dong 限制移动
'xian'zhu'cheng'ji'de'dan'wei'he'ge'ren 显著成绩的单位和个人
'xiang'cun'shou'yi 乡村兽医
'xiang'jie'he 相结合
'xiang'zhen'ren'min'zheng'fu 乡镇人民政府
'xiao'du 消毒
'xiao'du'she'bei 消毒设备
'xiao'mie 消灭
'xiao'mie'bing'zhong 消灭病种
'xiao'mie'dong'wu'yi'bing 消灭动物疫病
'xie'dai'ji'di'dong'wu'dong'wu'chan'pin'jin'jing 携带寄递动物动物产品进境
'xin'fa'bing 新发病
'xin'wen'mei'ti 新闻媒体
'xin'xi'hu'tong 信息互通
'xing'shi'ze'ren 刑事责任
'xing'zheng'chu'fa 行政处罚
'xing'zheng'fa'gui 行政法规
'xing'zheng'qiang'zhi 行政强制
'xu'mu'shou'yi'bu'tie'zhi'du 畜牧兽医补贴制度
'xu'qin'biao'zhi 畜禽标识
'xuan'chuan'jiao'yu 宣传教育
'xun'cha 巡查
'yan'yi'dong'wu 演艺动物
'yang'zhi'xiao'qu 养殖小区
'ye'sheng'dong'wu 野生动物
'yi'chuan'wu'zhi 遗传物质
'yi'dian 疫点
'yi'fa'can'yu 依法参与
'yi'fa'cong'zhong'chu'fa 依法从重处罚
'yi'lei'dong'wu'yi'bing 一类动物疫病
'yi'miao 疫苗
'yi'qing'bao'gao 疫情报告
'yi'qing'bao'gao'zhi'du 疫情报告制度
'yi'qing'jian'ce 疫情监测
'yi'qing'jian'ce'bao'gao 疫情监测报告
'yi'qing'jian'ce'wang'luo 疫情监测网络
'yi'qing'jian'ce'yu'jing'zhi'du 疫情监测预警制度
'yi'qing'ren'ding 疫情认定
'yi'qing'tong'bao 疫情通报
'yi'qing'yu'jing 疫情预警
'yi'qu 疫区
'yi'qu'nei'you'guan'dan'wei'he'ge'ren 疫区内有关单位和个人
'yi'si'ran'yi'dong'wu 疑似染疫动物
'ying'ji'chu'li'gong'zuo'jie'shu'hou 应急处理工作结束后
'ying'ji'chu'zhi'ji'zhi 应急处置机制
'ying'ji'wu'zi 应急物资
'ying'ji'wu'zi'chu'bei 应急物资储备
'you'guan'bu'men 有关部门
'yu'fang 预防
'yu'fang'wei'zhu 预防为主
'yu'fang'yu'kong'zhi 预防与控制
'yuan'jue'ding'ji'guan 原决定机关
'yun'shu 运输
'yun'shu'che'liang 运输车辆
'yun'shu'gong'ju 运输工具
'yun'shu'zhe 运输者
'yun'zai'gong'ju 运载工具
'yun'zai'gong'ju'xiao'du'zheng'ming 运载工具消毒证明
'ze'ling'gai'zheng 责令改正
'ze'ling'ting'ye'zheng'dun 责令停业整顿
'zhen'duan 诊断
'zhen'duan'shi'ji 诊断试剂
'zhen'liao'ji'gou 诊疗机构
'zhen'liao'xu'ke'zheng 诊疗许可证
'zheng'fu'cai'gou 政府采购
'zhi'ding 制定
'zhi'ding'tong'dao'jin'chu 指定通道进出
'zhi'ding'tong'dao'zhi'du 指定通道制度
'zhi'fa'cheng'xu 执法程序
'zhi'fa'zhu'ti 执法主体
'zhi'xing 执行
'zhi'ye'fan'wei 职业范围
'zhi'ye'shou'yi 执业兽医
'zhi'ye'shou'yi'xiang'cun'shou'yi 执业兽医乡村兽医
'zhong'da'dong'wu'yi'qing 重大动物疫情
'zhong'dian'yi'bing 重点疫病
'zhong'yong'ru'yong'dong'wu 种用乳用动物
'zhu'cang'dan'wei 贮藏单位
'zhu'guan 主管
'zhu'guan'ji'guan'bei'an 主管机关备案
'zhuan'rang'wei'zao'bian'zao 转让伪造变造
'zhuang'zai'rong'qi 装载容器
'zi'ge'zheng'shu 资格证书
'zi'yuan'gou'mai 自愿购买
'zu'nao 阻挠
'zu'zhi'li'liang 组织力量
'zun'shou 遵守
'zuo'hao'qiang'zhi'mian'yi 做好强制免疫
