'a'te'la'zhi'chao 阿特拉织巢
'liu'lang'zhe'pi'feng 流浪者披风
'lu'jiao'chong 鹿角虫
'luo'pan 罗盘
'luo'qie'ren 螺切刃
'lv'wang'zi 绿王子
'ma'ke'si 马科斯
'ma'tuo 马托
'man'you'zhe'wen'zhang 漫游者纹章
'mao'li'ke 毛里克
'meng'zhi'ding 梦之钉
'mian'jia'can'pian 面甲残片
'mian'jia'jiang 面甲匠
'mian'ju'zhi'zao'zhe 面具制造者
'mo'dai'cai'jue'zhe 末代裁决者
'mo'gu'xian'sheng 蘑菇先生
'ni'lai'si 尼莱斯
'nian'zhu'chao'sheng'zhe 念珠朝圣者
'nian'zhu'pao 念珠炮
'nian'zhu'xiang'lian 念珠项链
'nu'nu 努努
'nuo'si'ke 诺斯克
'nv'lie'shou 女猎手
'pa'wo 帕沃
'pan'tu'ling'zhu 叛徒领主
'pi'er'bi 皮尔比
'piao'chong'luo'di 瓢虫洛迪
'rong'lu'zhi'nv 熔炉之女
'rong'yan'zhong 熔岩钟
'sa'man'wen'zhang 萨满纹章
'san'chong'biao 三重镖
'san'jian'hun'yuan 散茧魂渊
'san'ye'cao'wu'zhe 三叶草舞者
'sha'ke'la'de'dao'shi 沙克拉的导师
'sha'shi'chong'dao 沙噬虫道
'shan'hu'jian'ta 珊瑚尖塔
'shen'sui'chao'xue 深邃巢穴
'shen'wu 深坞
'shen'yuan 深渊
'sheng'bao 圣堡
'sheng'bao'gong'chang 圣堡工厂
'sheng'ge'meng'di 圣歌盟地
'sheng'suo'shou'wei'zhe'sai'si 圣所守卫者赛斯
'sheng'yong'chui'shou 圣咏槌手
'sheng'yong'dian 圣咏殿
'sheng'yong'yin'tong 圣咏音筒
'sheng'yong'zhi'hui 圣咏指挥
'sheng'yong'zhong'wei 圣咏钟卫
'sheng'zhi'ye'ping 生质液瓶
'shi'ge'da'chu 失格大厨
'shi'jie 蚀阶
'shi'luo'jin'qin 失落近亲
'shi'si'qu 噬丝蛆
'shi'xin'jia'meng'de 失心加蒙德
'shi'xin'lei'si 失心蕾丝
'shi'zhong'zhe 噬钟者
'shi'zi'xiu 十字绣
'shou'cang'jia 收藏家
'shou'ge'zhe'wen'zhang 收割者纹章
'shou'wang'zhe'qi'shi 守望者骑士
'shu'ku'guan'li'yuan'ka'di'ni'wu'si 书库管理员卡迪尼乌斯
'shuang'tai'xian'zhi'mu 双苔藓之母
'shui'jing'shan'feng 水晶山峰
'shui'jing'zhi'xin 水晶之心
'si'hun 丝魂
'si'ka'er'chang'mao'shou 斯卡尔长矛手
'si'ka'er'chi'hou 斯卡尔斥候
'si'ka'er'ge'hou 斯卡尔歌后
'si'ka'er'jin'wei 斯卡尔禁卫
'si'ka'er'zhui'lie'zhe 斯卡尔追猎者
'si'lai 斯莱
'si'ou'shi'nv 丝偶侍女
'si'ren'biao 丝刃镖
'si'ti'jin'lie'shou 斯提金猎手
'song'huo'chong'de'xun'rou 送货虫的熏肉
'song'huo'yuan 送货员
'suan'xian'fei'rui 酸涎飞蚋
'sui'gu'dong'ku 髓骨洞窟
'sui'lie'zhe'xiu'nv 碎裂者修女
'sui'mian'jia 碎面甲
'sui'pian'bao 碎片包
'sui'shi'ban 燧石板
'sui'yan'fei'gong 燧焰飞工
'tai'mei 苔莓
'tai'shi'chao'sheng'zhe 苔蚀朝圣者
'tai'xian'de'lu'yi 苔藓德鲁伊
'tai'xian'zhi'mu 苔藓之母
'tai'xue 苔穴
'tang'lang'cun 螳螂村
'tang'lang'zhao 螳螂爪
'te'luo'bi'ao 特罗比奥
'tiao'zao 跳蚤
'tiao'zao'mi'niang 跳蚤秘酿
'tiao'zao'shou'ling'mu'shen'ka 跳蚤首领穆什卡
'tiao'zao'shua'shua 跳蚤耍耍
'tong'ku'de'te'luo'bi'ao 痛苦的特罗比奥
'tou'zhi'huan 投掷环
'wang'hou'hua'yuan 王后花园
'wei'da'de'ge'luo 伟大的格洛
'wo'ge 沃葛
'wu'shang'fu'guang 无上辐光
'wu'yu'wen'zhang 巫妪纹章
'wu'zhi'xia'gu 雾之峡谷
'xi'ao 席奥
'xi'jiao'jue'di'shou 犀角掘地兽
'xiao'chao'sheng'zhe 小朝圣者
'xiao'qi'shi 小骑士
'xie'er'ma 谢尔玛
'xing'yun'er'lan'bu'er 幸运儿兰布尔
'xiu'li'shi'fu'li'ke 修理师弗利克
'xu'kong'ju'he'ti 虚空聚合体
'xue'jing'ling 雪精灵
'xun'jie'ji'suo 迅捷脊锁
'yao'lan'sheng'suo 摇篮圣所
'ye'shou'wen'zhang 野兽纹章
'yi'jing'ji'nian'he 忆境纪念盒
'yi'lang 忆廊
'yi'wa 伊娃
'yi'wang'shi'zi'lu 遗忘十字路
'yi'zi 椅子
'yong'zhan'hua 永绽花
'you'chong 幼虫
'you'ying 幽影
'yu'fu 渔夫
'yu'hui'zhang'lang 淤秽蟑螂
'yu'mu 育母
'yu'ren'dou'ji'chang 愚人斗技场
'yu'zu'ying 狱卒蝇
'yuan'hou'ju'shou 渊喉巨兽
'yuan'ye 远野
'yuan'zui'zhe 原罪者
'zao'tuo'bang 蚤托邦
'ze'ruo 泽若
'zhan'dou'jie'mei 战斗姐妹
'zhe'ci'sui'pian 蛰刺碎片
'zhen'ji 针姬
'zhen'jiang'pu'lin'ni 针匠普林尼
'zhen'jun'huang'di 真菌荒地
'zhi'hui'jia 指挥家
'zhi'nv'chong 织女虫
'zhi'tu'shi'sha'ke'la 制图师沙克拉
'zhi'zao'jin'shu 制造金属
'zhong'dao'shou 钟道兽
'zhong'jia'zhi'mian'chong 重甲掷面虫
'zhong'ju 钟居
'zhong'tu'jiu'guan 中途酒馆
'zhong'xin'zhen 钟心镇
'zhu'bi'la'na 朱比拉娜
'zhu'chan'shi 助产士
'zhu'pan'shu 蛛攀术
'zui'shi'lao'yu 罪石牢狱
'zui'tu 罪途
'zui'tu'huai'yi'zi 罪途坏椅子
'zuo'te 左特
