'an'ying'ji'ben 暗影疾奔
'quan'neng'long'hun 全能龙魂
'quan'ping'shen'fa 全凭身法
'quan'xin'wei'ni 全心为你
'ren'wu'gang'hua'ni'xin 任务钢化你心
'ren'wu'hai'niu'a'fu'de'yong'shi 任务海牛阿福的勇士
'ren'wu'wo'ge'le'te'de'wu'shi'mao 任务沃格勒特的巫师帽
'ren'xia'sheng'feng 刃下生风
'sha'lu'shi'jian'dao'le 杀戮时间到了
'shan'ba'zhang 扇巴掌
'shan'dian'da'ji 闪电打击
'shan'guang'dan 闪光弹
'shan'mai'long'hun 山脉龙魂
'shan'shan'xian'xian 闪闪现现
'shan'xian'xiang'qian 闪现向前
'shen'she'fa'shi 神射法师
'shen'sheng'gan'yu 神圣干预
'sheng'huo 圣火
'sheng'ji'kuang'wang 升级狂妄
'sheng'ji'mi'kai'er'de'zhu'fu 升级米凯尔的祝福
'sheng'ji'shou'ji'zhe 升级收集者
'sheng'ji'wu'jin'zhi'ren 升级无尽之刃
'sheng'ji'xian'ji 升级献祭
'sheng'ji'xue'qiu 升级雪球
'sheng'ji'yao'guang 升级耀光
'sheng'ji'zhong'ya 升级中娅
'shi'shang'zui'da'xue'qiu 史上最大雪球
'shu'xing'die'shu'xing 属性叠属性
'shu'xing'die'shu'xing'die'shu'xing 属性叠属性叠属性
'shuang'dao'liu 双刀流
'si'wang'zhi'huan 死亡之环
'suo'xiao'she'xian 缩小射线
'tai'feng 台风
'tan'ke'yin'qing 坦克引擎
'tao'pao'ji'hua 逃跑计划
'ti'ta'wu 踢踏舞
'tian'yin'bao 天音爆
'tui'di'li'chang 退敌力场
'wan'yong'miao'zhun'jing 万用瞄准镜
'wang'zhong'wang'xue'zhong'xue 王中王靴中靴
'wei'kuai'bu'po 唯快不破
'wu'fa'jie'xiu 物法皆修
'wu'li'zhuan'mo'fa 物理转魔法
'wu'shi'shi'si'kao 巫师式思考
'wu'xiu'hui'fu 无休回复
'xi'xue'xi'xing 吸血习性
'xiao'chou'xue'yuan 小丑学院
'xiao'mao'mi'zhao'ma'ma 小猫咪找妈妈
'xin'ling'jing'hua 心灵净化
'xing'jie'qu'ti 星界躯体
'xu'huan'wu'qi 虚幻武器
'xuan'zhuan'zhi'sheng 旋转至胜
'xue'qiu'niu'dan'ji 雪球扭蛋机
'xue'shang'jia'shang 血上加伤
'xun'huan'wang'fu 循环往复
'ye'shou 夜狩
'yi'ban'yi'yan 一板一眼
'yi'liu 溢流
'yi'sun 易损
'you'li'ka 尤里卡
'you'shi'you'zhong 有始有终
'you'xin'ji'wu 由心及物
'zhan'zheng'jiao'xiang'yue 战争交响乐
'zhe'mo'zhe 折磨者
'zhi'bian'huang'jin'jie 质变黄金阶
'zhi'bian'hun'dun 质变混沌
'zhi'bian'leng'cai'jie 质变棱彩阶
'zhi'gao'tian'nuo'yan 至高天诺言
'zhong'ji'bu'ke'zu'dang 终极不可阻挡
'zhong'ji'huan'xing 终极唤醒
'zhong'ji'shua'xin 终极刷新
'zhong'liang'ji'da'ji'shou 重量级打击手
'zhu'guang'hu'shou 珠光护手
'zhuan'shu'si'ji 专属司机
'zi'wo'hui'mie 自我毁灭
'zui'e'kuai'gan 罪恶快感
'zui'wan'yong'de'miao'zhun'jing 最万用的瞄准镜
'zui'zhong'xing'tai 最终形态
'zun'wo'wei'wang 尊我为王
'zuo'bi'wo'neng'hui'cheng 作弊我能回城
