'an'ti'shi'xin'xi'sou'suo 按提示信息搜索
'qie'zhi'sai'te'si'shi'ying'qiang 切制赛特斯石英墙
'qie'zhi'sai'te'si'shi'ying'tai'jie 切制赛特斯石英台阶
'qing'chu 清除
'qing'chu'pei'zhi 清除配置
'qing'kong 清空
'qing'se 青色
'qing'shu'ru'bu'da'yu'de'shu'zi 请输入不大于的数字
'qing'shu'ru'bu'xiao'yu'de'shu'zi 请输入不小于的数字
'qing'shu'ru'nei'rong 请输入内容
'qing'shu'ru'shu'zi'huo'xing'ru'de'shu'xue'biao'da'shi 请输入数字或形如的数学表达式
'qu'chu'shi'di'you'xian'ji'she'bei'you'xian 取出时低优先级设备优先
'qu'dong'qi 驱动器
'qu'kuai'jia'zai'xian'shi'mo'shi 区块加载显示模式
'qu'kuai'ri'zhi'yi'da'kai 区块日志已打开
'qu'kuai'ri'zhi'yi'guan'bi 区块日志已关闭
'qu'xiao 取消
'qu'yu 区域
'qu'yu'wen'jian 区域文件
'que'shao'fang'wen'quan'xian 缺少访问权限
'que'shi'de'wu'pin'jiang'bei'hu'lue 缺失的物品将被忽略
'que'shi'shu'liang 缺失数量
'ran'se'qiu 染色球
're'jian 热键
'rong'liang 容量
'sai'te'si'shi'ying'cu 赛特斯石英簇
'sai'te'si'shi'ying'kuai 赛特斯石英块
'sai'te'si'shi'ying'lou'ti 赛特斯石英楼梯
'sai'te'si'shi'ying'qiang 赛特斯石英墙
'sai'te'si'shi'ying'tai'jie 赛特斯石英台阶
'sai'te'si'shi'ying'zhu 赛特斯石英柱
'sai'te'si'shi'ying'zhu'lou'ti 赛特斯石英柱楼梯
'sai'te'si'shi'ying'zhu'qiang 赛特斯石英柱墙
'sai'te'si'shi'ying'zhu'tai'jie 赛特斯石英柱台阶
'sai'te'si'shi'ying'zhuan 赛特斯石英砖
'sai'te'si'shi'ying'zhuan'lou'ti 赛特斯石英砖楼梯
'sai'te'si'shi'ying'zhuan'qiang 赛特斯石英砖墙
'sai'te'si'shi'ying'zhuan'tai'jie 赛特斯石英砖台阶
'shang'ci'yi'wei'wei'zhi 上次移位未知
'shang'yi'ye 上一页
'she'bei'gong'neng'bu'zu 设备供能不足
'she'bei'wei'lian'jie 设备未链接
'she'zhi 设置
'she'zhi'ku'cun'liang 设置库存量
'shen'mi'fang'kuai 神秘方块
'sheng'ji'ka 升级卡
'sheng'ji'ka'cao 升级卡槽
'sheng'xu 升序
'shi'jian 时间
'shi'jie'jiao'hu 世界交互
'shi'ti'he'cheng 实体合成
'shi'ying'bo'li 石英玻璃
'shi'ying'gong'ju 石英工具
'shi'ying'mu'yan'bei'po'huai'shi'hui'shou'sun 石英母岩被破坏时会受损
'shi'ying'qie'ge'dao 石英切割刀
'shi'ying'ya'sheng'zhang'zai'shi'ying'mu'yan'shang 石英芽生长在石英母岩上
'shi'yong 使用
'shi'yong'ren'yi'zhan'shi'de'wu'pin'tiao'xie 使用任一展示的物品调谐
'shi'yong'wu'xian'xin'hao'zeng'fu'qi'zeng'jia'fan'wei 使用无线信号增幅器增加范围
'shi'yong'yi'xia'ren'he'wu'pin'tiao'xie 使用以下任何物品调谐
'shi'yun'fu'mo'you'xiao 时运附魔有效
'shu'biao 鼠标
'shu'chu'zong'xian 输出总线
'shu'liang 数量
'shu'ru'shu'chu'mo'shi 输入输出模式
'shu'ru'shu'chu'zong'xian 输入输出总线
'shu'ru'zong'xian 输入总线
'shuang'xiang 双向
'sou'suo 搜索
'sou'suo'kuang'mo'shi 搜索框模式
'sou'suo'kuang'she'zhi 搜索框设置
'sun'huai'de'sai'te'si'shi'ying'mu'yan 损坏的赛特斯石英母岩
'suo'ding'he'cheng 锁定合成
'suo'xiao 缩小
'suo'xu'neng'yuan 所需能源
'suo'you'zhe 所有者
'te'bie'ming'xie 特别鸣谢
'tian'chong'wu'pin 填充物品
'tiao'shi'fang'kuai'sheng'cheng'qi 调试方块生成器
'tiao'shi'qu'kuai'jia'zai'qi 调试区块加载器
'tiao'shi'wu'pin'sheng'cheng'qi 调试物品生成器
'tiao'shi'xin'xi 调试信息
'tiao'shi'you'ling'wang'luo'jie'dian 调试幽灵网络节点
'tiao'zheng'shu'liang 调整数量
'tong'dao'tiao'xie 通道调谐
'tou'ming'wei'zhuang'ban 透明伪装板
'wai'bu'cun'chu 外部存储
'wan'jia'he'zi'dong'hua'xi'tong'de'qing'qiu'dou'jie'shou 玩家和自动化系统的请求都接受
'wan'quan'zhang'cheng'de'shi'ying'ya'diao'luo'shi'ying'shui'jing 完全长成的石英芽掉落石英水晶
'wang'luo'cun'chu 网络存储
'wang'luo'fan'wei'gong'ge'qu'kuai'zai'ge'wei'du'zhong 网络范围共个区块在个维度中
'wang'luo'gong'cheng'shi 网络工程师
'wang'luo'gong'ju 网络工具
'wang'luo'guan'li'zhe 网络管理者
'wang'luo'jiao'hu'cuo'wu 网络交互错误
'wang'luo'mei'xue 网络美学
'wang'luo'tong'ji'shu'ju 网络统计数据
'wang'luo'xin'xi'pin'dao 网络信息频道
'wang'luo'xue'tu 网络学徒
'wang'luo'zhen'duan 网络诊断
'wang'luo'zhuang'tai 网络状态
'wei'bang'ding 未绑定
'wei'ge'shi'hua 未格式化
'wei'lian'jie 未链接
'wei'zhang'cheng'de'shi'ying'ya'diao'luo'shi'ying'fen'mo 未长成的石英芽掉落石英粉末
'wei'zhao'dao'jian'rong'de'wu'pin 未找到兼容的物品
'wei'zhao'dao'qu'yu 未找到区域
'wei'zhi 未知
'wei'zhi'ke'ji 未知科技
'wei'zhuang'ban 伪装板
'wei'zhuang'ban'he'cheng 伪装板合成
'wu'fa'an'zhuang'geng'duo'ci'zhong'sheng'ji'ka 无法安装更多此种升级卡
'wu'fa'cong'wang'luo'zhong'qu'chu'mou'xie'cai'liao 无法从网络中取出某些材料
'wu'fa'cun'chu'wu'pin 无法存储物品
'wu'fa'shi'bie'gai'he'cheng'biao 无法识别该合成表
'wu'fa'wei'dang'qian'wei'zhi'zhao'dao'dui'ying'de'qu'yu 无法为当前位置找到对应的区域
'wu'fa'zhao'dao'suo'lian'jie'de'wang'luo 无法找到所链接的网络
'wu'fa'zhi'xing'bu'wan'zheng'de'he'cheng'ji'hua 无法执行不完整的合成计划
'wu'fu'chan'wu 无副产物
'wu'hong'shi'xin'hao'shi'ji'huo 无红石信号时激活
'wu'pin 物品
'wu'pin'fan'hui'lan 物品返回栏
'wu'pin'ming'cheng 物品名称
'wu'pin'shu'liang 物品数量
'wu'xia'de'sai'te'si'shi'ying'mu'yan 无瑕的赛特斯石英母岩
'wu'xian'fang'wen'dian 无线访问点
'wu'xian'qian'neng 无限潜能
'wu'xian'zhong'duan 无线终端
'wu'xiao'qi'dian 无效奇点
'wu'xiao'yang'ban 无效样板
'wu'zhi'ju'he'qi 物质聚合器
'wu'zhi'ju'he'qi'shu'chu 物质聚合器输出
'xia'yi'ye 下一页
'xian'cun 现存
'xian'cun'neng'yuan 现存能源
'xian'lan'he'huo'zong'xian 线缆和或总线
'xian'shi 显示
'xian'shi'mo'shi 显示模式
'xian'shi'wu'fa'qu'chu'de'liu'ti 显示无法取出的流体
'xian'shi'wu'fa'qu'chu'de'wu'pin 显示无法取出的物品
'xian'shi'yuan'jian 显示元件
'xian'shi'zhu'shi 显示注释
'xiang'zi 箱子
'xiang'zi'wu'fa'du'qu'cun'chu'yuan'jian 箱子无法读取存储元件
'xiao'lv 效率
'xiao'xing'sai'te'si'shi'ying'ya 小型赛特斯石英芽
'xie'zhen'cang 谐振仓
'xin'yi'dai'he'cheng'ji'shu 新一代合成技术
'xu'hao 序号
'xu'yao'shi'yong'chu'li'yang'ban'bian'ji'mo'shi 需要使用处理样板编辑模式
'xuan'qu 选区
'xuan'ze'qu'chu'yuan'jian'shi'shi'fou'qing'kong'pei'zhi'ge 选择取出元件时是否清空配置格
'xuan'ze'shu'liang 选择数量
'ya'li 压力
'ya'yin'qi 压印器
'yang'ban 样板
'yang'ban'bian'ma 样板编码
'yang'ban'gong'ying'qi 样板供应器
'yang'ban'guan'li'zhong'duan 样板管理终端
'yi'an'zhuang 已安装
'yi'bian'ma 已编码
'yi'cun'chu'liu'ti 已存储流体
'yi'cun'chu'neng'yuan 已存储能源
'yi'cun'chu'wu'pin 已存储物品
'yi'fen'qu 已分区
'yi'he'cheng'ge'yong'shi 已合成个用时
'yi'jia'zai'qu'kuai'shu 已加载区块数
'yi'lian'jie 已链接
'yi'lian'jie'dao 已连接到
'yi'nai'jiu'wei'jie'qu'fen'wu'pin 以耐久为界区分物品
'yi'qi'yong 已弃用
'yi'shi'fou'you'nai'jiu'sun'hao'qu'fen'wu'pin 以是否有耐久损耗区分物品
'yin'cang'zhu'shi 隐藏注释
'ying'yong'neng'yuan 应用能源
'ying'yong'neng'yuan'wei'zhuang'ban 应用能源伪装板
'yong'bu 永不
'yong'chong'neng'qi'chong'neng'shi'ying 用充能器充能石英
'yong'sou'suo'kuang'nei'rong'ti'huan 用搜索框内容替换
'yong'yu'fu'zhi'de'kong'bai'yang'ban'bu'zu'que'shi 用于复制的空白样板不足缺失
'you'hong'shi'xin'hao'shi 有红石信号时
'you'hong'shi'xin'hao'shi'ji'huo 有红石信号时激活
'you'jian'dian'ji 右键点击
'you'xia'de'sai'te'si'shi'ying'mu'yan 有瑕的赛特斯石英母岩
'you'xian'ji 优先级
'yu'hong'shi'mai'chong'shi'ji'huo 遇红石脉冲时激活
'yu'sou'suo'kuang'nei'rong'tong'bu 与搜索框内容同步
'yuan'jian'gong'zuo'tai 元件工作台
'yuan'jian'hu'tong 元件互通
'yun'shi 陨石
'yun'shi'chu'guan 陨石储罐
'yun'shi'kuai 陨石块
'yun'shi'kuai'lou'ti 陨石块楼梯
'yun'shi'kuai'qiang 陨石块墙
'yun'shi'kuai'tai'jie 陨石块台阶
'yun'shi'kuai'xiang'zi 陨石块箱子
'yun'shi'lie'shou 陨石猎手
'yun'shi'lou'ti 陨石楼梯
'yun'shi'qiang 陨石墙
'yun'shi'tai'jie 陨石台阶
'yun'shi'xiang'zi 陨石箱子
'yun'shi'zhuan 陨石砖
'yun'shi'zhuan'kuai 陨石砖块
'yun'shi'zhuan'kuai'lou'ti 陨石砖块楼梯
'yun'shi'zhuan'kuai'qiang 陨石砖块墙
'yun'shi'zhuan'kuai'tai'jie 陨石砖块台阶
'yun'shi'zhuan'lou'ti 陨石砖楼梯
'yun'shi'zhuan'qiang 陨石砖墙
'yun'shi'zhuan'tai'jie 陨石砖台阶
'zai'ci'chu'fang'zhi'yi'ge'fu'lu'yi'ke'si'kuai 在此处放置一个福鲁伊克斯块
'zai'ci'chu'fang'zhi'yi'jian'shi'ying'wu'qi'huo'gong'ju 在此处放置一件石英武器或工具
'zai'ci'chu'lian'jie'wu'xian'zhong'duan 在此处链接无线终端
'zai'jie'kou'shang'fang'zhi'yi'ge'cun'chu'zong'xian 在接口上放置一个存储总线
'zai'mei'ci'da'kai'shi'qing'kong'sou'suo'kuang 在每次打开时清空搜索框
'zai'ru'le'nei'cun'ka'zhong'de'pei'zhi 载入了内存卡中的配置
'zai'shi'jie'zhong'xian'shi'bei'jia'zai'de'qu'kuai 在世界中显示被加载的区块
'zai'yang'ban'guan'li'zhong'duan'yin'cang'huo'xian'shi 在样板管理终端隐藏或显示
'zai'yi'ge'wang'luo'li'shi'yong'ge'pin'dao 在一个网络里使用个频道
'zhao'dao'suo'you'ya'yin'mu'ban 找到所有压印模板
'zhen'dong 震动
'zheng'zai'he'cheng 正在合成
'zheng'zai'ji'suan 正在计算
'zhi'dao'jie'shou'dao'hong'shi'mai'chong 直到接收到红石脉冲
'zhi'dao'zhu'chan'wu'bei'fan'hui 直到主产物被返回
'zhi'ding'zi'dong'he'cheng'de'dao'de'wu'pin 置顶自动合成得到的物品
'zhi'dui'cun'ru'qi'yong'guo'lv 只对存入启用过滤
'zhi'jie'shou'wan'jia'de'qing'qiu 只接受玩家的请求
'zhi'jie'shou'zi'dong'hua'xi'tong'de'qing'qiu 只接受自动化系统的请求
'zhi'ling'jin'neng'zai'chuang'zao'mo'shi'xia'shi'yong 指令仅能在创造模式下使用
'zhi'mi'neng'yuan'yuan'jian 致密能源元件
'zhi'xian'shi'ke'yi'qu'chu'de'liu'ti 只显示可以取出的流体
'zhi'xian'shi'ke'yi'qu'chu'de'wu'pin 只显示可以取出的物品
'zhi'you'kong'cun'chu'yuan'jian'cai'neng'bei'chai'jie 只有空存储元件才能被拆解
'zhi'zuo 制作
'zhi'zuo'fu'lu'yi'ke'si'shui'jing 制作福鲁伊克斯水晶
'zhi'zuo'hao'de'wu'pin'bu'hui'bei'zi'dong'shu'chu 制作好的物品不会被自动输出
'zhi'zuo'yi'ge'bian'xie'yuan'jian 制作一个便携元件
'zhi'zuo'yi'ge'chong'neng'qi 制作一个充能器
'zhi'zuo'yi'ge'cun'chu'yuan'jian 制作一个存储元件
'zhi'zuo'yi'ge'cun'chu'zong'xian 制作一个存储总线
'zhi'zuo'yi'ge'he'cheng'dan'yuan 制作一个合成单元
'zhi'zuo'yi'ge'he'cheng'zhong'duan 制作一个合成终端
'zhi'zuo'yi'ge'jing'ti'cui'sheng'qi 制作一个晶体催生器
'zhi'zuo'yi'ge'kong'zhi'qi 制作一个控制器
'zhi'zuo'yi'ge'liang'zi'lian'jie'cang 制作一个量子链接仓
'zhi'zuo'yi'ge'wang'luo'gong'ju 制作一个网络工具
'zhi'zuo'yi'ge'xian'lan'wei'zhuang'ban 制作一个线缆伪装板
'zhi'zuo'yi'ge'yang'ban'bian'ma'zhong'duan 制作一个样板编码终端
'zhi'zuo'yi'ge'yun'shi'luo'pan 制作一个陨石罗盘
'zhong'duan 终端
'zhong'duan'she'zhi 终端设置
'zhong'jian'dian'ji 中键点击
'zhong'xing'sai'te'si'shi'ying'ya 中型赛特斯石英芽
'zhu'chan'wu 主产物
'zi'dai 自带
'zi'dong'fen'pei 自动分配
'zi'dong'fen'pei'mo'shi 自动分配模式
'zi'dong'he'cheng 自动合成
'zi'dong'he'cheng'wan'bi 自动合成完毕
'zi'dong'hua'fang'wen'mo'shi 自动化访问模式
'zi'dong'shu'chu 自动输出
'zi'jie'yi'shi'yong 字节已使用
'zi'se 紫色
'zong'se 棕色
'zong'shi'ji'huo 总是激活
'zu'dang'mo'shi 阻挡模式
'zu'jian'ming'cheng 组件名称
'zu'jian'ti'shi'xin'xi 组件提示信息
'zu'jian'tu'biao 组件图标
'zui'da'neng'yuan 最大能源
'zui'duo'cun'tong 最多存桶
'zui'jin'yi'ci'yi'wei 最近一次移位
'zuo'jian'dian'ji 左键点击
