'a'bu'sha'yi'te 阿布沙伊特
'gu'si'ta'fu 古斯塔夫
'guang'ying'jian'po 光影剑魄
'guang'you'shi'tu 光佑使徒
'hai'en 海恩
'hai'lun'na 海伦娜
'hong'yue'zhi'wang 红月之王
'hu'mu'ba'ba 蝴姆巴巴
'hu'yu'lv'xiong'di 户愚吕兄弟
'huai'te'qian'qian 怀特茜茜
'hui'an'ni'ming'zhe 辉黯逆命者
'hui'yao'sheng'zhao'shi 辉耀圣召使
'hui'ye 辉夜
'huo'fu'man 霍夫曼
'ji'si 基斯
'ji'zha'luo'fu 基扎洛夫
'jia'you'luo 迦游罗
'jian'bu'wu'yi'lang 剑部武一郎
'jiang'sheng'zhi'guang 降生之光
'jie'ke'chuan'zhang 杰克船长
'jie'li'ao'lu 杰利奥鲁
'jie'lu'gang'di'shi 杰路刚帝士
'jie'si 杰斯
'jie'xi'ka 杰西卡
'juan'dao'e'ren 卷岛颚人
'ka'luo'li'an 卡洛莉安
'kai'er'di'si 凯尔蒂斯
'ke'la'lei'te 克拉蕾特
'ke'li'si 克丽丝
'ke'li'si'di'an'ni 克里斯蒂安妮
'ke'luo'di'ya 科洛蒂娅
'ke'luo'si 科洛丝
'ke'luo'tai'er 克洛泰尔
'ke'zhong'shao'nv 壳中少女
'la'mu'da 拉姆达
'la'na 拉娜
'lai'en'ha'te 莱恩哈特
'lai'sha'lin 莱莎琳
'lan'dai'er 兰黛尔
'lan'di'wu'si 兰迪乌斯
'lan'fang'te 兰芳特
'lan'si 兰斯
'lei'bei'er 蕾贝尔
'lei'di'xi'ya 蕾蒂西亚
'lei'ding 雷丁
'lei'jia'er 蕾伽尔
'lei'na'ta 蕾娜塔
'lei'ya 蕾雅
'lei'yin'fa'lu'si 雷因法鲁斯
'li'ang 利昂
'li'ao'bei'ke 里奥贝克
'li'en 黎恩
'li'fa'ni 莉法妮
'li'jia 黎加
'li'ke'li'si 丽可丽丝
'li'la 莉拉
'li'na 莉娜
'li'qi 里奇
'li'sha 丽莎
'li'si'ta 利斯塔
'li'ya'na 莉亚娜
'li'ya'te 利亚特
'lu'gu'nai'er 卢古耐尔
'lu'ke'lei'di'ya 卢克蕾蒂娅
'lu'ke'man 鲁克曼
'lu'na 露娜
'lu'xi 露西
'lu'yin 路因
'luo'jia 洛加
'luo'lan 罗兰
'luo'sha'li'ya 罗莎莉娅
'luo'si'ta'mu 洛斯塔姆
'luo'wei'nai'er'da'di 洛维奈尔大帝
'luo'ze'xi'er 罗泽希尔
'ma'ka'ai'la 玛卡艾拉
'ma'ku'lei 马库雷
'ma'li'ai'er 玛丽埃尔
'ma'li'an'di'er 玛丽安蒂尔
'ma'li'luo'si 玛莉萝丝
'ma'xiu 马修
'mei'lu'pa'ni 梅露帕妮
'mei'ya 梅雅
'mi'xie'er 米歇尔
'mi'zhi'qi'shi 谜之骑士
'na'mu 娜姆
'na'zi 纳兹
'nai'mi'ya 奈米娅
'ni'si'di'er 妮丝蒂尔
'ning'fu 宁芙
'nuo'ai'mi 诺埃米
'nuo'nuo'lin 诺诺琳
'nv'shen'hua'shen 女神化身
'nv'tian'gou 女天狗
'ou'mi'ga 欧米伽
'pa'en 帕恩
'pa'te'li'xia 帕特里夏
'pa'xi'er 帕希尔
'pi'ye'lu 皮耶鲁
'piao'zhu'dou'ke 漂逐斗客
'pu'fan'you'zhu 浦饭幽助
'pu'lei'qian'ya 普蕾茜娅
'qiong'kang'na 琼康娜
'ren'bu'huo'mei'zi 忍部火美子
'sa'fu'lin 萨芙琳
'sa'ge'ni 萨格尼
'sai'bei'li'ya 塞贝莉雅
'sai'la'fei'na 塞拉菲娜
'sai'lei'na 塞蕾娜
'sai'li'ka 赛利卡
'sai'mu 塞姆
'sang'ge 桑格
'sang'ni'ya 桑妮雅
'sang'yuan'he'zhen 桑原和真
'sha'li'ke 沙里克
'shen'ding'jing 深町晶
'shen'jiang'zhe 神降者
'shen'le 神乐
'shen'qi'jin 神崎堇
'shu'zhi'xian'zhe 树之贤者
'si'ke'te 斯科特
'suo'fei'ya 索菲亚
'suo'ni'ya 索尼娅
'ta'bu'li'si 塔布莉丝
'ta'ta'li'ya 塔塔利亚
'tai'lan'ti'er 泰兰提尔
'ti'ya'na 缇雅娜
'tie'xue'zong'shuai 铁血总帅
'tu'ji'dui'chang 突击队长
'tuo'mi'er'ke 托米尔克
'tuo'wa 托娃
'wei'er'na 维尔纳
'wei'la 威拉
'wei'la'jiu 维拉玖
'wei'li'ya 薇莉娅
'wei'tan 维坦
'wen'sen'te 文森特
'wo'er'na 沃尔纳
'wu'er'gong 乌尔恭
'wu'feng 雾风
'wu'xiang 雾香
'xi'ang 席昂
'xi'bu'li 西布莉
'xi'en 席恩
'xi'er'da 希尔达
'xi'er'na 席尔娜
'xi'ge'ma 西格玛
'xi'lin'ka 希琳卡
'xia'ti'ya 夏提雅
'xiao'dao'ma'ke 小刀马克
'xie'shen'ku'lu'jia 邪神库鲁加
'xing'jue'zhe 醒觉者
'xiu'jie'te 修杰特
'xue'li 雪莉
'xue'lu'fa'ni'er 雪露法妮尔
'ya'de'kai'mo 亚德凯摩
'ya'er'bei'de 雅儿贝德
'ya'er'ti'na 亚尔缇娜
'ya'li'xi'ya 亚莉希雅
'ya'lu'te'miu'la 亚鲁特缪拉
'ya'ni'ai'si 亚妮艾丝
'ya'sha'mei'er 亚莎梅尔
'ya'xiu'la'mu 亚修拉姆
'yan'long'po'mie'zhe 炎龙破灭者
'yi'li'si 伊莉丝
'yi'li'ya 伊莉娅
'yi'lu'xi'ya 伊露希亚
'yi'mei'er'da 伊梅尔达
'yi'pu'xi'long 伊普西龙
'yi'sha'la 伊莎拉
'yi'suo'er'de 伊索尔德
'yin'lang 银狼
'you'li'ya 尤利娅
'you'mi'er 尤弥尔
'you'tong'huan'huo'shi 幽瞳幻惑使
'yu'chai'dang'ma 羽柴当麻
'yue'xiu'ya 约修亚
'yue'zhi'zhi'zheng'guan 月之执政官
'zang'ma 藏马
'ze'rui'da 泽瑞达
'zhan'bu'du 战部渡
'zhen'gong'si'ying 真宮寺樱
'zhen'tian'liao 真田辽
'zhi'cun'xin'ba 志村新八
'zhu'li'an 朱利安
