'a'li'yun'bai'lian'a'li'zhi'neng'ti 阿里云百炼阿里智能体
'teng'xun'yuan'bao'teng'xun 腾讯元宝腾讯
'teng'xun'yuan'qi'teng'xun'zhi'neng'ti 腾讯元器腾讯智能体
'teng'xun'yun'dai'ma'zhu'shou'teng'xun'bian'cheng 腾讯云代码助手腾讯编程
'teng'xun'zhi'ying'teng'xun'shu'zi'ren 腾讯智影腾讯数字人
'tian'gong'zhu'shou'tian'gong 天工助手天工
'tian'pu'le'yin'yue 天谱乐音乐
'tong'yi'fa'rui'a'li'fa'lv 通义法睿阿里法律
'tong'yi'ling'ma'a'li'bian'cheng 通义灵码阿里编程
'tong'yi'qian'wen'a'li 通义千问阿里
'tong'yi'ting'wu'a'li'yu'yin 通义听悟阿里语音
'tong'yi'wan'xiang'a'li'hui'hua 通义万相阿里绘画
'tong'yi'wan'xiang'shi'pin'a'li'shi'pin 通义万相视频阿里视频
'tong'yi'xing'chen'a'li 通义星尘阿里
'tu'si'hui'hua'tu'si'hui'hua 吐司绘画吐司绘画
'wan'xing'ai'hua'wan'xing'hui'hua 万兴爱画万兴绘画
'wan'xing'bo'bao'shu'zi'ren 万兴播爆数字人
'wan'xing'miao'ying'shi'pin'jian'ji 万兴喵影视频剪辑
'wang'yi'fu'xi'zhi'neng'ti'fu'xi'zhi'neng'ti 网易伏羲智能体伏羲智能体
'wang'yi'tian'yin'wang'yi'yin'yue 网易天音网易音乐
'wen'xiao'bai'wen'da 问小白问答
'wen'xin'kuai'ma'bai'du'bian'cheng 文心快码百度编程
'wen'xin'yi'ge'bai'du'hui'hua 文心一格百度绘画
'wen'xin'yi'yan'bai'du 文心一言百度
'wen'xin'zhi'neng'ti'ping'tai'bai'du'zhi'neng'ti 文心智能体平台百度智能体
'wu'jie'hui'hua 无界绘画
'xi'ling'shu'zi'ren'bai'du'shu'zi'ren 曦灵数字人百度数字人
'xi'man'zhi'neng'shu'zi'ren 希曼智能数字人
'xiao'bing'wei'ruan 小冰微软
'xiao'wu'kong'tong'yong 小悟空通用
'xiao'xiao'bai'du 晓晓百度
'xiao'yi'zhi'neng'ti'ping'tai'hua'wei'zhi'neng'ti 小艺智能体平台华为智能体
'xiao'yi'zhu'shou'hua'wei 小艺助手华为
'xun'fei'ting'jian'xun'fei'yu'yin'zhuan'wen'zi 讯飞听见讯飞语音转文字
'xun'fei'xing'huo'xun'fei 讯飞星火讯飞
'xun'fei'xing'huo'zhi'neng'ti'ping'tai'xing'huo'zhi'neng'ti 讯飞星火智能体平台星火智能体
'xun'fei'xu'ni'ren'xun'fei'shu'zi'ren 讯飞虚拟人讯飞数字人
'xun'fei'you'ban'xun'fei'zhi'neng'ti 讯飞友伴讯飞智能体
'xun'fei'yu'ji'xun'fei'bi'ji 讯飞语记讯飞笔记
'xun'fei'zhi'zuo'xun'fei'yu'yin 讯飞智作讯飞语音
'yi'zhen'miao'chuang'shu'zi'ren 一帧秒创数字人
'yin'chong'yin'pin'bian'ji 音虫音频编辑
'yin'feng'yin'yue 音疯音乐
'ying'shi'tong'yong 应事通用
'you'dao'xiao'cai'yang'shu'zi'ren'yu'yin 有道小采样数字人语音
'you'shi'tui'shu'zi'ren 优视推数字人
'you'yan'shu'zi'ren 有言数字人
'yu'ju'tong'yong 语聚通用
'yu'que'yu'que 语雀语雀
'yuan'dian'zhi'ku'fa'lv'sou'suo 元典智库法律搜索
'yue'wen'tong'yong 跃问通用
'zhi'fu'bao'bai'bao'xiang'zhi'fu'bao'zhi'neng'ti 支付宝百宝箱支付宝智能体
'zhi'hu'zhi'da'zhi'hu 知乎直答知乎
'zhi'pu'hui'hua'zhi'pu'hui'hua 智谱绘画智谱绘画
'zhi'pu'qing'yan'zhi'pu'zhi'neng'ti 智谱清言智谱智能体
'zhi'pu'qing'ying'zhi'pu'shi'pin 智谱清影智谱视频
'zhong'guo'lian'tong'yuan'jing'wan'wu'lian'tong'zhi'neng'ti 中国联通元景万悟联通智能体
'zuo'shou'yi'sheng'yi'liao 左手医生医疗
