'ban'nian'huo 办年货
'di'ke'yuan'xiao'jie'li'gua'cai'deng 第课元宵节里挂彩灯
'di'ke'yun'dong'chang'shang 第课运动场上
'di'ke'zhen'ai'guo'bao'gu'dai'de'qing'tong'yi'shu 第课珍爱国宝古代的青铜艺术
'di'ke'zhen'ai'guo'bao'gu'dai'tao'yi'yi'shu 第课珍爱国宝古代陶艺艺术
'di'ke'zhen'ai'guo'bao'qin'shi'huang'ling'bing'ma'yong 第课珍爱国宝秦始皇陵兵马俑
'di'ke'zhi'dai'chuan'bian 第课纸带穿编
'di'ke'zhi'ou'ju'yuan 第课指偶剧院
'di'ke'zhi'pian'cha'jie 第课纸片插接
'di'ke'zhong'guo'hua'yu'you'hua'xin'shang'ping'shu 第课中国画与油画欣赏评述
'di'ke'zhu'ti'yu'bei'jing 第课主体与背景
'di'ke'zou'jin'da'zi'ran 第课走近大自然
'di'ke'zui'shou'zun'jing'de'ren 第课最受尊敬的人
'di'ke'zuo'nian'li 第课做年历
'dong'wu'wang'guo 动物王国
'dong'wu'zhi'wu'xin'shang 动物植物欣赏
'er'nian'ji'shang'ce 二年级上册
'er'nian'ji'xia'ce 二年级下册
'fan'mang'de'jiao'tong 繁忙的交通
'hui'dong'de'xiao'zhi'ren 会动的小纸人
'hui'gun'de'wan'ju 会滚的玩具
'liu'nian'ji'shang'ce 六年级上册
'liu'nian'ji'xia'ce 六年级下册
'mei'li'de'yin'wen 美丽的印纹
'san'nian'ji'shang'ce 三年级上册
'san'nian'ji'xia'ce 三年级下册
'shan'guang'de'yan'hua 闪光的烟花
'shen'qi'de'kou'dai 神奇的口袋
'si'nian'ji'shang'ce 四年级上册
'si'nian'ji'xia'ce 四年级下册
'tong'hua'de'xiao'wu 童话的小屋
'wo'de'xin'peng'you 我的新朋友
'wo'zai'kong'zhong'fei 我在空中飞
'wo'zuo'de'wen'ju 我做的文具
'wu'nian'ji'shang'ce 五年级上册
'wu'nian'ji'xia'ce 五年级下册
'xi'li'de'xiao'yu 淅沥的小雨
'xian'hua'song'lao'shi 鲜花送老师
'yi'nian'ji'shang'ce 一年级上册
'yi'nian'ji'xia'ce 一年级下册
'yu'er'you'xi 鱼儿游戏
'zhi'feng'ling 纸风铃
