'an'quan'cao'zuo 安全操作
'nie'chi'dong'wu 啮齿动物
'nie'chi'lei 啮齿类
'pa'chong'fang'zhi 爬虫防治
'pa'xing'hai'chong 爬行害虫
'qi'xuan'chuan'ying'xiao'chang'yong'ci 七宣传营销常用词
'san'bai'yi 散白蚁
'san'fang'zhi'ji'shu'yu'fang'fa 三防治技术与方法
'sha'chong'pen'wu'qi 杀虫喷雾器
'shang'chao'fang'zhi 商超防治
'shang'men'fu'wu 上门服务
'shang'men'xiao'sha 上门消杀
'sheng'wu'fang'zhi 生物防治
'shi'gong'zi'zhi 施工资质
'shi'pin'an'quan'yao'qiu 食品安全要求
'shi'pin'chang'chong'hai'guan'li 食品厂虫害管理
'shi'zi 虱子
'shou'hou'bao'zhang 售后保障
'shu'hai'fang'zhi 鼠害防治
'shu'lei 鼠类
'shu'shi 书虱
'shui'ru'ji 水乳剂
'si'hai'xiao'sha 四害消杀
'si'yao'ji'yu'qi'xie 四药剂与器械
'tian'niu 天牛
'tiao'zao 跳蚤
'tiao'zao'fang'zhi 跳蚤防治
'wei'jiao'nang'ji 微胶囊剂
'wei'sheng'biao'zhun 卫生标准
'wei'sheng'fei'chong 卫生飞虫
'wei'sheng'hai'chong'fang'zhi 卫生害虫防治
'wei'sheng'sha'chong'ji 卫生杀虫剂
'wei'sheng'xu'ke'zheng 卫生许可证
'wen'ying'fang'zhi 蚊蝇防治
'wen'zi 蚊子
'wu'fu'wu'yu'chang'jing'ci 五服务与场景词
'wu'gong 蜈蚣
'wu'hai'hua'chu'li 无害化处理
'wu'li'fang'zhi 物理防治
'wu'si'jiao'xiao'sha 无死角消杀
'wu'ye'xiao'sha 物业消杀
'xiao'du'mie'jun 消毒灭菌
'xiao'huang'jia'yi 小黄家蚁
'xiao'jia'shu 小家鼠
'xiao'sha'fu'wu 消杀服务
'xiao'sha'zi'zhi 消杀资质
'xue'xiao'bing'mei'fang'zhi 学校病媒防治
'xun'zheng'ji 熏蒸剂
'yan'wu'ji 烟雾机
'yan'wu'xun'zheng 烟雾熏蒸
'yi'ci'chu'li'chang'qi'fang'hu 一次处理长期防护
'yi'hang'ye'da'lei'ci 一行业大类词
'yi'yuan'xiao'sha 医院消杀
'you'hai'sheng'wu'fang'zhi 有害生物防治
'you'hai'sheng'wu'fang'zhi'ji'gou 有害生物防制机构
'you'yan 蚰蜒
'yu'fang'xing'fang'zhi 预防性防治
'yuan'tou'gen'chu 源头根除
'yuan'tou'zhi'li 源头治理
'zhan'shu'ban 粘鼠板
'zhan'zhang'ban 粘蟑板
'zhang'lang 蟑螂
'zhang'lang'fang'zhi 蟑螂防治
'zhi'liu'pen'sa 滞留喷洒
'zhi'liu'pen'sa'ji 滞留喷洒剂
'zhi'zhu 蜘蛛
'zhuan'ye'pei'xun 专业培训
'zhuan'ye'xiao'sha 专业消杀
'zi'sheng'di'zhi'li 孳生地治理
'zong'he'fang'zhi 综合防治
