'a'bao 阿宝
'ben'teng'bu'xiu'pen'pen'chuan 奔腾不休盆盆船
'ben'ti 本体
'ben'xi 奔袭
'ben'xing 奔星
'ben'yue 奔月
'beng'dai 绷带
'beng'de'geng'gao'geng'yuan 蹦的更高更远
'beng'huai 崩坏
'beng'jue 崩决
'beng'lei 崩雷
'beng'lei'dao 崩雷刀
'beng'sha'lie'gu 崩砂裂谷
'beng'xue'chao'hui'xin 崩雪潮会心
'beng'yu 崩御
'beng'yu'fei'yin 迸玉飞银
'bi'an'hua'feng'qing'yu'pen 彼岸花风清玉盆
'bi'an'hua'yu'luo'hua'pen 彼岸花雨洛花盆
'bi'an'hua'yun'li'hua'pen 彼岸花云荔花盆
'bi'an'zhi'wu 彼岸之舞
'bi'bo'jue 碧波诀
'bi'die 碧蝶
'bi'die'xian'ji 碧蝶献祭
'bi'die'yin 碧蝶引
'bi'du'dan 避毒丹
'bi'fo'xi'tian'huo 彼佛西天火
'bi'ge'he'te 彼阁鹤特
'bi'guan'xiu'lian 闭关修炼
'bi'gui 碧归
'bi'hai 碧海
'bi'hai'wu'tong'guo 碧海梧桐果
'bi'he 闭合
'bi'hu 庇护
'bi'hui'ying'chen 璧辉影沉
'bi'lan'qu 碧蓝曲
'bi'lan'qu'qiang'hua 碧蓝曲强化
'bi'lan'you'yan 碧岚幽炎
'bi'lei 壁垒
'bi'lei 避雷
'bi'lei'zhen 避雷针
'bi'li 壁立
'bi'li'qian'ren 壁立千仞
'bi'ling'dan 碧灵丹
'bi'luo 碧落
'bi'luo'shao 碧落烧
'bi'luo'zhan 碧落斩
'bi'mai 闭脉
'bi'niao'xiang'kong 碧鸟翔空
'bi'qi 闭气
'bi'ri 蔽日
'bi'rui'bai'lian 碧蕊白莲
'bi'sai'shi'jian 比赛时间
'bi'shui'jin'zhen 避水金针
'bi'shui'tao'tian 碧水滔天
'bi'shui'you'tian 壁水幽天
'bi'si'jue'xin 必死决心
'bi'tian'chang 碧天长
'bi'wang 碧王
'bi'wei'fan 碧葳凡
'bi'wei'he 碧葳合
'bi'wei'qi 碧葳奇
'bi'wei'xian 碧葳闲
'bi'wei'zhen 碧葳珍
'bi'wu'zhao'qin 比武招亲
'bi'xie 辟邪
'bi'xue 避雪
'bi'xue'hao'xia 碧血豪侠
'bi'xue'yan 碧血宴
'bi'yi 比翼
'bi'you 庇佑
'bi'zhang 蔽瘴
'bian'che'de'nu'huo 边澈的怒火
'bian'chi 鞭笞
'bian'da'le 变大了
'bian'fu'gong 蝙蝠功
'bian'gua 变卦
'bian'liang 变量
'bian'que'tui'shou 扁鹊推手
'bian'shen 变身
'bian'shen'a'li'man'xuan'shi 变身阿里曼宣使
'bian'shen'ba'dao'di'zi 变身霸刀弟子
'bian'shen'da'xue'qiu 变身大雪球
'bian'shen'e'ren'gu'shou'wei 变身恶人谷守卫
'bian'shen'hei'yi'ren 变身黑衣人
'bian'shen'jiang'shi 变身僵尸
'bian'shen'kun'lun'nu 变身昆仑奴
'bian'shen'shi'shen 变身式神
'bian'shen'tian'xuan'tan'jing'rui'hu'wei 变身天璇坛精锐护卫
'bian'shen'tian'yi'jiao'she'wei 变身天一教蛇卫
'bian'shen'yin'yuan'wu'wei 变身隐元武卫
'bian'shen'zhen'tian'jia'shi 变身震天甲士
'bian'ti'lin'shang 遍体鳞伤
'bian'tian'shen'ji 变天神机
'bian'xing 变形
'bian'yi'de'qi'xi 变异的气息
'bian'zhu 变猪
'bian'zhuang 变装
'bian'zhuang'liang'hao'huo'ji 变装粮号伙计
'bian'zhuang'yin'ni 变装隐匿
'biao'feng'hu'ti 飙风护体
'biao'hang'qian'li 镖行千里
'biao'hu 标鹄
'biao'ji 标记
'biao'ji'cheng 标记橙
'biao'ji'zi 标记紫
'biao'li'liu'zhuan 表里流转
'biao'ma 彪马
'biao'qing 表情
'biao'qing'dong'zuo'fan'xing'ying'xue 表情动作繁星映雪
'biao'shi 标示
'biao'shi'jiang'li 镖师奖励
'biao'shi'ming'guang 镖师明光
'biao'xian'kong'zhi 表现控制
'biao'xian'xuan'fu 表现悬浮
'biao'xian'yong 表现用
'biao'yan 表演
'biao'yi'jie'jie 飚逸结界
'biao'zhi 标识
'bie'da'wo'dou'niu 别打我斗牛
'bie'da'wo'ji'xie'lao'shu 别打我机械老鼠
'bie'da'wo'lang 别打我狼
'bie'da'wo'lao'hu 别打我老虎
'bie'da'wo'qi'e 别打我企鹅
'bie'da'wo'yang 别打我羊
'bie'he 别鹤
'bin'chu 摈除
'bin'si'zhi'xi 濒死窒息
'bin'si'zhong'shang 濒死重伤
'bing'chuan'jian'po 冰川剑魄
'bing'chui'hu'dun 柄锤护盾
'bing'chui'jia'hu 柄锤加护
'bing'ci 冰刺
'bing'ci'zhi'shang 冰刺之伤
'bing'di'duo'zhu'han 并蒂夺株寒
'bing'di'duo'zhu'wen 并蒂夺株温
'bing'dong 冰冻
'bing'dong'san'chi 冰冻三尺
'bing'dong'xiao'guo'ce'shi 冰冻效果测试
'bing'du 病毒
'bing'du'wu'gong 丙毒蜈蚣
'bing'du'zhi'zhu 丙毒蜘蛛
'bing'dun 冰盾
'bing'feng 冰封
'bing'feng'san'chi 冰封三尺
'bing'ge 兵戈
'bing'guan 冰棺
'bing'gui'shen'su 兵贵神速
'bing'gui'shen'su'qiang'xian'ru'ju 兵贵神速抢先入局
'bing'han 冰寒
'bing'han'ci'gu 冰寒刺骨
'bing'han'fu'zu 冰寒缚足
'bing'hu'yan'shuang'yue 冰壶咽霜月
'bing'hu'yan'tang'man 冰壶咽棠满
'bing'huan'wu'fa'yi'dong 冰环无法移动
'bing'huo'dan 冰火蛋
'bing'huo'zhen'qi'bing 冰火真气冰
'bing'huo'zhen'qi'huo 冰火真气火
'bing'ji 柄击
'bing'jia 兵家
'bing'jian'fu'kong 冰剑浮空
'bing'jian'zuo'zhan 并肩作战
'bing'jie 冰结
'bing'jin'po'mo 冰劲破魔
'bing'jing 冰晶
'bing'ku 病苦
'bing'ku'leng'que 冰窟冷却
'bing'lan'hua'ke'de'zhu'fu 冰蓝花客的祝福
'bing'leng 冰冷
'bing'leng'jin'shu 冰冷金属
'bing'ning 冰凝
'bing'po 冰魄
'bing'po'han'long 冰魄寒龙
'bing'po'han'qi 冰魄寒气
'bing'po'ning'xin 冰魄凝心
'bing'po'xiang'fen 冰魄香分
'bing'po'xiang'suo 冰魄香锁
'bing'po'zhen 冰魄针
'bing'po'zhen'shu'fu 冰魄针束缚
'bing'quan'wan'jian'su 兵犬丸减速
'bing'quan'wan'xie'xing 兵犬丸携行
'bing'ren'sun'hao 兵刃损耗
'bing'ren'sun'hao'guo 兵刃损耗果
'bing'sai'chuan'dong'ning 冰塞川冻凝
'bing'sai'chuan'huan 冰塞川缓
'bing'shi 兵势
'bing'shuang 冰霜
'bing'shuang'chong'ji 冰霜冲击
'bing'shuang'jian'qi 冰霜剑气
'bing'shuang'jie'jie 冰霜结界
'bing'shuang'qi'jin 冰霜气劲
'bing'shuang'yi'zhi 冰霜一指
'bing'si 冰丝
'bing'sui'du 冰髓毒
'bing'sui'du'fa 冰髓毒发
'bing'sui'du'ping'chong'neng 冰髓毒瓶充能
'bing'sui'gu'du 冰髓骨毒
'bing'sui'jian'du 冰髓剑毒
'bing'tang'hong'zao'geng 冰糖红枣羹
'bing'ti'zhou 冰体咒
'bing'tian 冰天
'bing'tian'xue'di 冰天雪地
'bing'xi'ning'shen 屏息凝神
'bing'xiang 饼香
'bing'xin'jue'xing'xiu'deng'ji 冰心诀星宿等级
'bing'xin'jue'xing'xiu'zhi'li 冰心诀星宿之力
'bing'xue'shuang'huang 冰雪霜皇
'bing'xue'zhu'meng 冰雪逐梦
'bing'ya'yuan'wu 冰牙圆舞
'bing'yi 病疫
'bing'yong'ke'xing 兵俑克星
'bing'yu 冰域
'bing'yu'wu 冰雨舞
'bing'yu'xie'wang'hu 冰域邪王虎
'bing'zang 冰葬
'bing'zi'jiao'lin'long'xing'hu'bian 丙子椒林龙行虎变
'bo'deng 拨镫
'bo'fa 薄伐
'bo'he'zheng'pai'gu 薄荷蒸排骨
'bo'hen'fan'ying 波痕泛影
'bo'luan'shui'guang 波乱水光
'bo'ming'yi'ji 搏命一击
'bo're 般若
'bo're'jue 般若决
'bo're'jue 般若诀
'bo're'jue'gong 般若诀攻
'bo're'ren'nian 般若忍念
'bo're'shui 般若水
'bo'tao'hao'dang 波涛浩荡
'bo'wen'xu'li 波纹蓄力
'bo'wen'zhen'dang 波纹震荡
'bo'xian 拨弦
'bo'xun'zhi'du 波旬之毒
'bo'yi 博弈
'bo'yi'xie'jia 剥衣卸甲
'bo'zang 薄葬
'bu'bu'deng'yun 步步登云
'bu'bu'jin'bi 步步紧逼
'bu'bu'jing'xin 步步惊心
'bu'bu'wei'ying 步步为营
'bu'can 步残
'bu'chi 步迟
'bu'chong'neng'liang 补充能量
'bu'chong'shui'fen 补充水分
'bu'chou 不愁
'bu'dai 不殆
'bu'de'chu 不得出
'bu'dong 不动
'bu'dong'jin'gang 不动金刚
'bu'dong'jin'gang'zhou 不动金刚咒
'bu'dong'lian'hua'zhen 不动莲华阵
'bu'dong'lian'hua'zhen'di'er'chong 不动莲华阵第二重
'bu'dong'lian'hua'zhen'di'san'chong 不动莲华阵第三重
'bu'dong'lian'hua'zhen'di'si'zhong 不动莲华阵第四重
'bu'dong'lian'hua'zhen'di'yi'zhong 不动莲华阵第一重
'bu'dong'ming'wang 不动明王
'bu'dong'ru'shan 不动如山
'bu'fa'shou'zu 步伐受阻
'bu'fa'zhi'tu 不法之徒
'bu'feng'shi 捕风式
'bu'fu'gu 不复鼓
