'a'bo'li'chuan'gan'xin'pian 阿伯莉传感芯片
'da'wan'jin'cao'liang'cha 大碗锦草凉茶
'dai'jian'cang'shi 待建舱室
'dan'shou'jian 单手剑
'dang'an'ku 档案库
'dao'di 倒地
'dao'dian 导电
'dao'neng'xiao'xiang'shi 导能肖像石
'dao'wang'shi 悼亡诗
'di'jiang'hao 帝江号
'di'qu'jian'she 地区建设
'di'qu'jian'she'xi'tong 地区建设系统
'di'ren'xu'li'yu'da'duan 敌人蓄力与打断
'di'rong'gu'di'dian'chi 低容谷地电池
'di'rong'wu'ling'dian'chi 低容武陵电池
'di'tu 地图
'dian'ci 电磁
'dian'ci'bao'fa 电磁爆发
'dian'ci'fu'zhuo 电磁附着
'dian'ci'shang'hai 电磁伤害
'dian'fan 典范
'dian'jian 点剑
'dian'jian'huo'shi 点剑火石
'dian'jian'zhan'shu'shou'jia 点剑战术手甲
'dian'jian'zhan'shu'shou'tao 点剑战术手套
'dian'jian'zhong'zhuang'jia 点剑重装甲
'dian'li'gong'ying 电力供应
'dian'li'zhuang'bei 电力装备
'dian'qu'kuang'ji 电驱矿机
'dian'yong'ta 电涌塔
'diao'yun'zhuang'zhi'zhong'duan 吊运装置终端
'ding'ci'tian'shi 钉刺天使
'dong'huo'yong 动火用
'dong'huo'yong'ce'wen'jing 动火用测温镜
'dong'huo'yong'chu'neng'xia 动火用储能匣
'dong'huo'yong'dian'li'xia 动火用电力匣
'dong'huo'yong'shou'jia 动火用手甲
'dong'huo'yong'wai'gu'ge 动火用外骨骼
'dong'jie 冻结
'dong'tai'qin'shi 动态侵蚀
'du'zhao 毒沼
'dun'rou'hui'yi 炖肉会议
'duo'chi'ye 多齿叶
'duo'chi'ye'gen'jing 多齿叶根茎
'er'xing'dian'qu'kuang'ji 二型电驱矿机
'fan'huan'ji'li 返还技力
'fan'shou'ji 贩售机
'fan'ying'chi 反应池
'fang'hun'hui'qiao'hua 仿荤烩荞花
'fang'sheng'ci'tian'shi 仿生刺天使
'fang'yu'ji'guang 防御激光
'fen'liu'qi 分流器
'fen'sui'ji 粉碎机
'fen'wu'yuan'shi'chong 焚雾源石虫
'feng'zhuang'ji 封装机
'fu'ji'she'shou 伏击射手
'fu'jia'shou 斧甲兽
'fu'kan'mo'shi 俯瞰模式
'fu'shi 腐蚀
'fu'shu'ping 附术瓶
'fu'shu'tie'ping 附术铁瓶
'fu'yao 扶摇
'fu'zhu 辅助
'gan'shi 柑实
'gan'shi'chong'ji 柑实冲剂
'gan'shi'fen'mo 柑实粉末
'gan'shi'guan'tou 柑实罐头
'gan'shi'tian'kuai 柑实田块
'gan'shi'zhong'zi 柑实种子
'gan'ying'kai'guan 感应开关
'gan'yuan'jin'zhu 干员进驻
'gan'yuan'li'wu 干员礼物
'gan'yuan'lian'luo'tai 干员联络台
'gan'yuan'qian'neng 干员潜能
'gan'yuan'sheng'ji 干员升级
'gan'yuan'xin'lai'du 干员信赖度
'gang'jiao'tian'shi 刚角天使
'gang'kuai 钢块
'gang'tie'yu'yin 钢铁余音
'gang'yang'pin'si 钢样品四
'gang'zhi'ling'jian 钢制零件
'gang'zhi'ping 钢质瓶
'gao'bao'liu'dan'ta 高爆榴弹塔
'gao'ji'hang'tian'jian'cai 高级航天建材
'gao'ji'ren'zhi'zai'ti 高级认知载体
'gao'ji'zuo'zhan'ji'lu 高级作战纪录
'gao'jing'fen'mo 高晶粉末
'gao'jing'ling'jian 高晶零件
'gao'jing'xian'wei 高晶纤维
'gao'jing'zhi'ping 高晶质瓶
'gao'jing'zhuang'bei'yuan'jian 高晶装备原件
'gao'neng'yi'xiang'shi 高能异香石
'gao'rong'gu'di'dian'chi 高容谷地电池
'gao'ya'zu'lan'wang 高压阻拦网
'gong'dian'zhong'duan 供电终端
'gong'dian'zhuang 供电桩
'gong'dian'zhuang'shu'dian 供电桩输电
'gong'neng'dao'ju 功能道具
'gong'neng'she'bei 功能设备
'gong'xiang'she'bei 共享设备
'gong'ye'bao'zha'wu 工业爆炸物
'gong'ye'chan'wu 工业产物
'gong'ye'fa'zhan'gui'hua 工业发展规划
'gong'ye'ling'dian'yi 工业零点一
'gong'ye'mo'shi 工业模式
'gu'di'dian'chi 谷地电池
'gu'di'diao'du'quan 谷地调度券
'gu'di'ke'xie'quan 谷地刻写券
'gu'di'xian'bing 谷地馅饼
'gu'qu 古渠
'gu'zhang'ji'qi'ren 故障机器人
'guan'dao'fen'liu'qi 管道分流器
'guan'dao'hui'liu'qi 管道汇流器
'guan'dao'qiao 管道桥
'guan'dao'zhun'ru'kou 管道准入口
'guan'li'yuan 管理员
'guan'zhuang'ji 灌装机
'guang'rong'zhi'lu 光荣之路
'gui'zhong'pin'ku 贵重品库
'guo're'zheng'qi 过热蒸汽
'han'leng 寒冷
'han'leng'bao'fa 寒冷爆发
'han'leng'fu'zhuo 寒冷附着
'han'leng'shang'hai 寒冷伤害
'hao'you 好友
'he'cheng'zhi'zao 合成制造
'he'la'fen'ge 赫拉芬格
'hong'yuan 宏愿
'hong'zhu'zhuang'jun 红柱状菌
'hong'zhu'zhuang'jun'kuai 红柱状菌块
'hu'dun 护盾
'hu'guang 弧光
'hu'xiao'shou'wei 呼啸守卫
'hua'suo'jia 滑索架
'huan'jing'jian'ce 环境监测
'huan'su 缓速
'hui'ke'shi 会客室
'hui'liu'qi 汇流器
'hui'lu'mai 灰芦麦
'hui'lu'mai'tian'kuai 灰芦麦田块
'hui'lu'mai'zhong'zi 灰芦麦种子
'hui'yi'dong'de'he'ye 会移动的荷叶
'huo'dong'qiao'ban 活动翘板
'huo'wu'yuan'shi'chong 火雾源石虫
'ji'cheng'hua'he'jin'ban 集成化合金板
'ji'cheng'hua'qing'jia 集成化轻甲
'ji'cheng'hua'qing'jia'pian 集成化轻甲片
'ji'cheng'hua'shou'jia 集成化手甲
'ji'cheng'hua'tao'ci'ban 集成化陶瓷板
'ji'cheng'hua'zhan'shu'shou'tao 集成化战术手套
'ji'cheng'hua'zhong'jia 集成化重甲
'ji'cheng'hua'zhong'jia'pian 集成化重甲片
'ji'cheng'qing'xing 集成轻型
'ji'cheng'zhong'xing 集成重型
'ji'chu'gong'ji 基础攻击
'ji'chu'gong'ye'dian'shu 基础工业点数
'ji'chu'hang'tian'jian'cai 基础航天建材
'ji'chu'sheng'chan 基础生产
'ji'chu'tuo'zhan'he'xin 基础拓展核心
'ji'da'zhuang'zhi 击打装置
'ji'fei 击飞
'ji'li 技力
'ji'mi'ni 吉米尼
'ji'shi'wei'xiu 及时维修
'ji'shui'qi 给水器
'ji'zhi 基质
'ji'zhi'shi'ke 基质蚀刻
'jian'cheng'zhi'zao'zhe 坚城制造者
'jian'feng 尖峰
'jian'ren'de'shui 坚韧的水
'jian'yi'hu'fu 简易护服
'jian'yi'hu'jia 简易护甲
'jian'yi'hu'shou 简易护手
'jian'yi'shou'jia 简易手甲
'jian'yi'zhen'tong'yao'gao 简易镇痛药膏
'jian'yi'zhi'zuo'xi'tong 简易制作系统
'jian'ying'yi'xiang'shi 坚硬异香石
'jian'zhi'shou'ce 简制手册
'jiao'xue'ji'lu 教学记录
'jie'er'pei'ta 洁尔佩塔
'jie'lue'zhe 劫掠者
'jin'cao 锦草
'jin'cao'fen'mo 锦草粉末
'jin'cao'liang'cha 锦草凉茶
'jin'cao'rong'ye 锦草溶液
'jin'cao'ruan'yin 锦草软饮
'jin'cao'tian'kuai 锦草田块
'jin'cao'zhong'zi 锦草种子
'jin'shi'dao 金石稻
'jin'shi'dao'tian'kuai 金石稻田块
'jin'shi'dao'zhong'zi 金石稻种子
'jin'su'chao'fan 锦素炒饭
'jin'wei 近卫
'jin'wu'da'nu 浸雾大弩
'jing'ci'ya'zhen 荆刺芽针
'jing'ci'ya'zhen'fen'mo 荆刺芽针粉末
'jing'hua 净化
'jing'hua'duo'chi'ye 晶化多齿叶
'jing'hua'duo'chi'ye'gen'jing 晶化多齿叶根茎
'jing'lian'lu 精炼炉
'jing'rui'fu'ji'she'shou 精锐伏击射手
'jing'rui'jie'lue'zhe 精锐劫掠者
'jing'rui'si'lie'ya'shou 精锐撕裂牙兽
'jing'rui'xing'xing'ren 精锐行刑人
'jing'shi'tou'ying 警示投影
'jing'ti'wai'ke 晶体外壳
'jing'ti'wai'ke'fen'mo 晶体外壳粉末
'jing'xuan'gan'shi'chong'ji 精选柑实冲剂
'jing'xuan'gan'shi'guan'tou 精选柑实罐头
'jing'xuan'qiao'fu'ding'ji 精选荞复锭剂
'jing'xuan'qiao'yu'jiao'nang 精选荞愈胶囊
'jing'yong 警用
'jing'yong'bi'huan 警用臂环
'jing'yong'ci'ren 警用刺刃
'jing'yong'gong'ju'zu 警用工具组
'jing'yong'hu'jia 警用护甲
'jing'yong'miao'ju 警用瞄具
'jing'yong'shou'huan 警用手环
'jing'yong'shou'tao 警用手套
'jing'yong'zhao'yi 警用罩衣
'jing'zhi'he'xin 静滞核心
'jing'zhui'tian'shi 晶锥天使
'jiu'shi'chuan'song'dai 旧式传送带
'jiu'shui'ji 酒水机
'ju'dian'guan'li 据点管理
'ju'wei'he'ye 桔萎荷叶
'jun'wei 骏卫
'ka'qi'er 卡契尔
'kai'gong'ri'rou'tang 开工日肉汤
'ke'bao'po'wu 可爆破物
'ke'shi'yong'chao'diao 可食用巢雕
'ke'shu'ping 刻术瓶
'ke'shu'tie'ping 刻术铁瓶
'ke'yong'dao'ju 可用道具
'kong'liu'jie'dian 控流节点
'ku'se'mai'fen 苦涩麦粉
'ku'ye'jiao 苦叶椒
'ku'ye'jiao'tian'kuai 苦叶椒田块
'ku'ye'jiao'zhong'zi 苦叶椒种子
'kuai'zi'lin'jian'jing'ge 快子遴捡晶格
'kuang'chang'chuan'dong'lun 矿场传动轮
'kuang'chang'fang'hu'fu 矿场防护服
'kuang'chang'hu'jia 矿场护甲
'kuang'chang'hu'shou 矿场护手
'kuang'chang'hu'wan 矿场护腕
'kuang'chang'lian'luo'yi 矿场联络仪
'kuang'chang'lv'chen'yi 矿场滤尘衣
'kuang'chang'qing'jia 矿场轻甲
'kuang'chang'shou'jia 矿场手甲
'kuang'chang'shou'tao 矿场手套
'kuang'chang'ya'suo'he 矿场压缩核
'kuang'chang'zeng'ya'lun 矿场增压轮
'kuang'shi 矿石
'kuo'rong'yan'suan'xin'pian 扩容演算芯片
'kuo'zhang'guan'li'xi'tong 扩张管理系统
'kuo'zhuang'chong'xie'ta 扩装铳械塔
'la'chao'rou'ding 辣炒肉丁
'lai'wan'ting 莱万汀
'lan'tie'fen'mo 蓝铁粉末
'lan'tie'kuai 蓝铁块
'lan'tie'kuang 蓝铁矿
'lan'tie'ping 蓝铁瓶
'lan'tie'zhuang'bei'yuan'jian 蓝铁装备原件
'lan'tu 蓝图
'lang'chao 浪潮
'lang'chao'hai'shi 浪潮海石
'lang'wei 狼卫
'leng'jing'tian'shi 棱镜天使
'leng'que'zhi 冷却脂
'li'feng 黎风
'li'xing'gao'bie 理性告别
'li'zhi 理智
'lian'ji 连击
'lian'xie'ji 连携技
'liao'shi 燎石
'lie'di'zhe 裂地者
'ling'hang'zhe 领航者
'ling'huo'fu'jia'shou 零火斧甲兽
'liu'dan'ta 榴弹塔
'liu'yan'xin'biao 留言信标
'long'pao'pao'shu'cai'dong 龙泡泡蔬菜冻
'luo'chao'qing'jia 落潮轻甲
'luo'dan 罗丹
'mai'chong'shi 脉冲式
'mai'chong'shi'gan'rao'fu 脉冲式干扰服
'mai'chong'shi'jiao'zhun'qi 脉冲式校准器
'mai'chong'shi'shou'tao 脉冲式手套
'mao'dian'yu'yuan'shi'shu'zhi 锚点与源石树枝
'meng'ji 猛击
'mi'fang'xing'shen'cha 秘方醒神茶
'mi'shi'huang'ye 迷失荒野
'mi'zhi 醚质
'mi'zhi'jing'ti 密制晶体
'mi'zhi'xiang'ji 醚质相机
'ming'ri'fang'zhou 明日方舟
'ming'ri'fang'zhou'zhong'mo'di 明日方舟终末地
'mo'liu'cai 莫留财
'mo'nai'he 莫奈何
'mo'ni'kong'jian 模拟空间
'neng'liang'yu'ji'dian 能量淤积点
'nian'gu 碾骨
'nian'gu'fu'ji'she'shou 碾骨伏击射手
'nian'gu'jie'lue'zhe 碾骨劫掠者
'nian'gu'mian'ju 碾骨面具
'nian'gu'pi'jin 碾骨披巾
'nian'gu'po'cheng'zhe 碾骨破城者
'nian'gu'qing'dao'fu 碾骨清道夫
'nian'gu'she'shou 碾骨射手
'nian'gu'shen'tou'zhe 碾骨渗透者
'nian'gu'shi'zu 碾骨氏族
'nian'gu'si'lie'ya'shou 碾骨撕裂牙兽
'nian'gu'xian'feng 碾骨先锋
'nian'gu'xiao'diao'xiang 碾骨小雕像
'nian'gu'xing'xing'ren 碾骨行刑人
'nian'gu'yan'shu'shi 碾骨焰术士
'nian'gu'zhong'hu'jia 碾骨重护甲
'nu'mu'biao'shou 怒目彪兽
'pai'shui'zha 排水闸
'pei'fang'gu'ding 配方固定
'pei'jian'ji 配件机
'pei'ke 佩科
'pei'li'ka 佩丽卡
'pei'yang'cang 培养仓
'pei'yang'su'cai 培养素材
'pen'jiu 喷酒
'peng'rong'jin'cao 蓬茸锦草
'peng'rong'jin'cao'fen'mo 蓬茸锦草粉末
'ping'heng'zong'kong'kai'guan 平衡总控开关
'po'cheng'zhe'quan'jia 破城者拳甲
'po'fang 破防
'po'sui'jun'wang 破碎君王
'pu'tong'gong'ji 普通攻击
'qi'bu'jing'cheng 跂步晶城
'qi'shi'jing'shen 骑士精神
'qian'di'qiu'shou 潜地虬兽
'qian'he'zheng'yi 嵌合正义
'qian'yan'liao'wang 前沿瞭望
'qiang'gu'mu'ju 强固模具
'qiao'hua 荞花
'qiao'hua'fen'mo 荞花粉末
'qiao'hua'tian'kuai 荞花田块
'qiao'hua'zhong'zi 荞花种子
'qiao'yu'jiao'nang 荞愈胶囊
'qiao'yu'yao'fen 荞愈药粉
'qin'shi'zu'ai 侵蚀阻碍
'qing'an'shi 轻黯石
'qing'an'shi'zi'cu 轻黯石子簇
'qing'chao'yu 轻超域
'qing'chao'yu'fen'xi'huan 轻超域分析环
'qing'chao'yu'hu'ban 轻超域护板
'qing'chao'yu'hu'shou 轻超域护手
'qing'chao'yu'wen'ding'pan 轻超域稳定盘
'qing'dao'fu 清道夫
'qing'dun'xi'rang'qiu 清炖息壤球
'qing'hong'zhu'zhuang'jun 轻红柱状菌
'qing'hong'zhu'zhuang'jun'kuai 轻红柱状菌块
'qing'mang 轻芒
'qing'shui 清水
'qiu'ci'shou 球刺兽
'qiu'ci'shou'de'gan'zang 球刺兽的肝脏
'qiu'li 秋栗
'qiu'shou'de'xu 虬兽的须
'qu'yu'fang'hu 区域防护
'quan'mian'ce'shi 全面测试
'quan'xian'deng'jie 权限等阶
'quan'xiang'sheng'bo'ta 全向声波塔
'quan'zi'dong'hai'xin'xing 全自动骇新星
'ran'shao 燃烧
're'neng'chi 热能池
're'rong'qie'ge'qi 热熔切割器
'ren'wu 任务
'ren'zhi'zai'ti 认知载体
'rong'ye 溶液
'rong'zhu'huo'yan 熔铸火焰
'ruan'gu'bing'gan 软骨饼干
'ruan'gu'sui'xie 软骨碎屑
'sai'meng'ke'pi'jin 塞梦珂披巾
'sai'shen'ka'feng'rou'pai 塞什卡风肉排
'sai'xi 赛希
'san'wei'yi'ti 三位一体
'san'xiang'na'mi'pian 三相纳米片
'sao'miao 扫描
'sao'miao'xun'wu 扫描寻物
'sha'ye 砂叶
'sha'ye'fen'mo 砂叶粉末
'sha'ye'tian'kuai 砂叶田块
'sha'ye'zhong'zi 砂叶种子
'shan'bi 闪避
'shang'hai'lei'xing 伤害类型
'shang'hai'shou'dao'jian'mian 伤害受到减免
'shao'jie'ta 哨戒塔
'she'bei'jia'gong 设备加工
'she'bei'pei'fang 设备配方
'she'bei'tu'jian 设备图鉴
'she'bei'zhi'zao 设备制造
'she'shou 射手
'she'xian'ta 射线塔
'shen'mi'qi'pao'yin'liao 神秘气泡饮料
'shen'tou'zhe 渗透者
'sheng'suo 绳索
'sheng'wu'fu'zhu 生物辅助
'sheng'wu'fu'zhu'bi'jia 生物辅助臂甲
'sheng'wu'fu'zhu'hu'ban 生物辅助护板
'sheng'wu'fu'zhu'hu'dun'zhen 生物辅助护盾针
'sheng'wu'fu'zhu'jie'bo'qi 生物辅助接驳器
'sheng'wu'fu'zhu'shou'jia 生物辅助手甲
'sheng'wu'fu'zhu'xiong'jia 生物辅助胸甲
'sheng'wu'fu'zhu'zhong'jia 生物辅助重甲
'sheng'zhuang 盛装
'shi'dian'fang'hu 蚀电防护
'shi'dian'fang'hu'ban'shou 蚀电防护扳手
'shi'dian'fang'hu'bei'xin 蚀电防护背心
'shi'dian'fang'hu'dian'chi 蚀电防护电池
'shi'dian'fang'hu'shou'tao 蚀电防护手套
'shi'dian'ping'bi 蚀电屏蔽
'shi'dian'ping'bi'ban'shou 蚀电屏蔽扳手
'shi'dian'ping'bi'bei'xin 蚀电屏蔽背心
'shi'dian'ping'bi'dian'chi 蚀电屏蔽电池
'shi'dian'ping'bi'shou'tao 蚀电屏蔽手套
'shi'er'jian 十二间
'shi'heng'jie'dian 失衡节点
'shi'heng'zhi 失衡值
'shi'ming'bi'da 使命必达
'shi'shu'dan'yuan 施术单元
'shi'xiang 蚀象
'shou'chong 手铳
'shou'gong'guai'wei'suan'tang 手工怪味酸糖
'shou'ji'zhuang'zhi 受击装置
'shou'na'mo'shi 收纳模式
'shou'rou 兽肉
'shou'shi'yu'hua'ye 受蚀玉化叶
'shou'si'chong'rou 手撕虫肉
'shu'nan'shi'bie'pai 纾难识别牌
'shu'nan'yin'zhang 纾难印章
'shu'niu'qu'ying'ji'can 枢纽区应急餐
'shu'shi 术士
'shu'shi 术识
'shu'zhi'yuan'shi'chong 树枝源石虫
'shuang'shou'jian 双手剑
'shui'beng 水泵
'shui'che'yu'shui'qu 水车与水渠
'shui'deng'chong 水灯虫
'shui'wei'kong'zhi'fa 水位控制阀
'si'hao'gu'di 四号谷地
'si'lie'ya'shou 撕裂牙兽
'su'shi'gu'tang 速食骨汤
'su'xing'ji 塑形机
'suan'ye'yuan'shi'chong 酸液源石虫
'sui'jia 碎甲
'sui'lin 遂鳞
'suo'ding 锁定
'ta'diao 塔吊
'ta'er 塔尔
'tan'fen'mo 碳粉末
'tan'kuai 炭块
'tan'li 探骊
'tan'she'zhuang'zhi 弹射装置
'tan'suo'deng'ji 探索等级
'tan'xing'xu'qiu'wu'zi 弹性需求物资
'tian'fu'zhen'lie 天赋阵列
'tian'ran'jing'cheng'ding 天然晶城锭
'tian'ran'qi'pao'shui 天然气泡水
'tian'shi 天使
'tian'shi'sha'shou 天使杀手
'tian'shi'zhuang 天师桩
'tian'you'hong'lu 天有烘炉
'tian'zai'fang'hu 天灾防护
'tian'zai'fang'hu'jing'xin 天灾防护净芯
'tian'zai'fang'hu'lv'xin 天灾防护滤芯
'tian'zai'fang'hu'shou'tao 天灾防护手套
'tian'zai'fang'hu'zhong'jia 天灾防护重甲
'tie'ye'zhuan'lun 铁叶转轮
'tie'zhi'ling'jian 铁质零件
'tong'hua'guan'mu 酮化灌木
'tong'hua'guan'mu'fen'mo 酮化灌木粉末
'tong'hua'guan'mu'tian'kuai 酮化灌木田块
'tong'hua'shu'zhong 酮化树种
'tong'lei'xiang'shi 同类相食
'tong'xing'zheng 通行证
'tu'ji 突击
'tuo'huang 拓荒
'tuo'huang'hu'jia 拓荒护甲
'tuo'huang'nai'shi'shou'tao 拓荒耐蚀手套
'tuo'huang'tong'xin'qi 拓荒通信器
'tuo'huang'zeng'liang'gong'yang'shuan 拓荒增量供氧栓
'wei'xie'tu'jian 威胁图鉴
'wen'ding'tan'kuai 稳定炭块
'wen'luan'zhi 紊乱值
'wo'liu'tuan 涡流团
'wu'huo'ya'shou 雾火牙兽
'wu'huo'zhao'ya 雾火爪牙
'wu'huo'zhi'hua 雾火之花
'wu'li 物理
'wu'li'shang'hai 物理伤害
'wu'li'yi'chang 物理异常
'wu'ling 武陵
'wu'ling'chao'fan 武陵炒饭
'wu'ling'dian'chi 武陵电池
'wu'ling'diao'du'quan 武陵调度券
'wu'ling'dong'tai'qin'shi 武陵动态侵蚀
'wu'ling'gong'ye'dian'shu 武陵工业点数
'wu'ling'gong'ye'ji'hua 武陵工业计划
'wu'ling'ke'xie'quan 武陵刻写券
'wu'ling'luan'chao 武陵乱炒
'wu'ling'shi 武陵石
'wu'liu'qiao 物流桥
'wu'liu'she'bei 物流设备
'wu'pin'tu'jian 物品图鉴
'wu'pin'zhun'ru'kou 物品准入口
'wu'qi 武器
'wu'qi'jian'cha'dan'yuan 武器检查单元
'wu'qi'jian'cha'tao'zu 武器检查套组
'wu'qi'tu'jian 武器图鉴
'wu'zi'diao'du 物资调度
'wu'zi'xiang 物资箱
'xi'mo'gan'shi'fen'mo 细磨柑实粉末
'xi'mo'qiao'hua'fen'mo 细磨荞花粉末
'xi'rang 息壤
'xi'rang'gong'dian'zhuang 息壤供电桩
'xi'rang'kong'liu'jie'dian 息壤控流节点
'xi'rang'qiao 息壤桥
'xi'rang'zhong'ji'qi 息壤中继器
'xi'rang'zhuang'bei'yuan'jian 息壤装备原件
'xi'ri'jing'pin 昔日精品
'xian'feng 先锋
'xian'he'sheng'ming 显赫声明
'xiang'xian'ni'he'ye 象限拟合液
'xiang'xin'zhi'yin 向心之引
'xiao'dui'zuo'zhan 小队作战
'xiao'mi'chong'bu'ding 小蜜虫布丁
'xiao'ping'gan'shi'chong'ji 小瓶柑实冲剂
'xiao'ping'qiao'fu'ding'ji 小瓶荞复锭剂
'xiao'tang'hua 小糖画
'xiao'xiang'tian'shi 肖像天使
'xiao'yong 骁勇
'xie'yi'cai'lu'zhuang 协议采录桩
'xie'yi'chu'cun'xiang 协议储存箱
'xie'yi'chuan'song'dian 协议传送点
'xie'yi'he'xin 协议核心
'xie'yi'hua'wu'qi'yuan'xing 协议化武器原型
'xie'yi'kong'jian 协议空间
'xie'yi'leng'zhu 协议棱柱
'xie'yi'leng'zhu'zu 协议棱柱组
'xie'yi'rong'liang'xian'zhi 协议容量限制
'xie'yi'tong'bu'qi 协议同步器
'xie'yi'yuan'pan 协议圆盘
'xie'yi'yuan'pan'zu 协议圆盘组
'xie'zi 楔子
'xin'sun 新笋
'xin'yong'huo'qu 信用获取
'xing'dong'shou'ce 行动手册
'xing'dong'zi'li 行动资历
'xing'men'jun 星门菌
'xing'men'suo 星门锁
'xing'rong'guo'dong 星融果冻
'xing'xing'ren 行刑人
'xu'shui'fang'kuai 需水方块
'xuan'fu'xiang'zi 悬浮箱子
'xuan'he'gong'yang'shuan 悬河供氧栓
'xue'jun 血菌
'xun'fang 寻访
'xun'ji 迅极
'xun'lu'zhe'dao'biao 寻路者道标
'xun'xing'xin'shi 巡行信使
'xun'xing'xin'shi'jia'ke 巡行信使夹克
'xun'xing'xin'shi'shou'dian 巡行信使手电
'xun'xing'xin'shi'shou'tao 巡行信使手套
'xun'xing'xin'shi'tuo'luo 巡行信使陀螺
'ya'ge'bu'de'yi'chan 雅各布的遗产
'ya'li'ban 压力板
'ya'shou 牙兽
'ya'zhen 芽针
'ya'zhen'fen'mo 芽针粉末
'ya'zhen'pen'ji 芽针喷剂
'ya'zhen'rong'ye 芽针溶液
'ya'zhen'tian'kuai 芽针田块
'ya'zhen'zhen'ji 芽针针剂
'ya'zhen'zhong'zi 芽针种子
'yan'mo'ji 研磨机
