'an'juan'zhuang'tai 案卷状态
'dai'kuan'li'lv'zhi'xing'biao'zhun 贷款利率执行标准
'dai'kuan'qi'xian 贷款期限
'dai'kuan'shen'pi 贷款审批
'dai'kuan'shen'pi'lei'xing 贷款审批类型
'dai'kuan'shen'qing 贷款申请
'dai'kuan'shen'qing'cai'liao 贷款申请材料
'dai'kuan'shen'qing'shen'pi'zhuang'tai 贷款申请审批状态
'dai'kuan'ye'wu 贷款业务
'dai'kuan'ye'wu'ming'xi'lei'xing 贷款业务明细类型
'dai'kuan'yong'tu 贷款用途
'dai'kuan'zhi'xing'li'lv 贷款执行利率
'dai'kuan'zhuang'tai 贷款状态
'dai'yu'ping'deng 待遇平等
'dan'bao 担保
'dan'bao'fang'lei'xing 担保方类型
'dan'bao'lei'xing 担保类型
'dan'wei 单位
'dan'wei'bai'ming'dan'fen'lei 单位白名单分类
'dan'wei'huan'jiao'fu'jiao'lei'xing 单位缓缴复缴类型
'dan'wei'hui'jiao 单位汇缴
'dan'wei'jiao'cun'bu'fen 单位缴存部分
'dan'wei'jing'ban'ren 单位经办人
'dan'wei'jing'ban'ren'lei'xing 单位经办人类型
'dan'wei'jing'ji'lei'xing 单位经济类型
'dan'wei'kai'hu 单位开户
'dan'wei'lei'xing 单位类型
'dan'wei'li'shu'guan'xi 单位隶属关系
'dan'wei'suo'shu'hang'ye 单位所属行业
'dan'wei'xiao'hu'yuan'yin 单位销户原因
'dan'wei'xing'zhi 单位性质
'dan'wei'zhang'hu 单位账户
'dan'wei'zhang'hu'zhuang'tai 单位账户状态
'dan'wei'zheng'ming 单位证明
'dan'wei'zhu'ti'ze'ren 单位主体责任
'dang'an'jian'ding'zhuang'tai 档案鉴定状态
'dang'an'men'lei 档案门类
'dang'an'zheng'li'fang'shi 档案整理方式
'deng'e'ben'jin 等额本金
'deng'e'ben'xi 等额本息
'deng'lu'fang'shi 登录方式
'di'fang'xing'gui'ding 地方性规定
'di'san'fang'dan'wei'lei'xing 第三方单位类型
'di'san'fang'fu'wu 第三方服务
'di'ya 抵押
'di'ya'fang'shi 抵押方式
'di'ya'lei'xing 抵押类型
'di'ya'wu 抵押物
'di'ya'wu'lei'xing 抵押物类型
'dian'zi'hua'xi'tong 电子化系统
'dian'zi'ying'xiang'ye'wu'zhu'ti 电子影像业务主题
'dong'jie'fang'shi 冻结方式
'dong'jie'lei'xing 冻结类型
'dong'jie'zhuang'tai 冻结状态
'dong'tai'ping'heng 动态平衡
'dong'tai'tiao'zheng 动态调整
'duan'jiao'chu'li 断缴处理
'duan'xin'yan'zheng 短信验证
'dui'zhang 对账
'duo'bu'men'lian'dong 多部门联动
'duo'hai'zheng'ce 多孩政策
'duo'jiao'tui'kuan'fang'shi 多缴退款方式
'duo'jiao'tui'kuan'lei'xing 多缴退款类型
'fa'ding'quan'li 法定权利
'fa'ding'yi'wu 法定义务
'fa'lv'jiu'ji 法律救济
'fa'lv'ze'ren 法律责任
'fa'xi 罚息
'fa'zhi'hua'jian'guan 法治化监管
'fa'zhi'hua'jian'she 法制化建设
'fa'zhi'si'wei 法治思维
'fan'huan'xing 返还性
'fan'jian 翻建
'fan'jian'pi'zhun'wen'jian 翻建批准文件
'fang'chan'zheng 房产证
'fang'kuan'pi'ci'shen'pi'zhuang'tai 放款批次审批状态
'fang'wu'chao'xiang 房屋朝向
'fang'wu'jie'gou'lei'xing 房屋结构类型
'fang'wu'lei'xing 房屋类型
'fang'wu'lou'ceng 房屋楼层
'fang'wu'suo'shu'qu'xian 房屋所属区县
'fang'wu'suo'shu'qu'yu 房屋所属区域
'fang'wu'suo'shu'xian'qu 房屋所属县区
'fang'wu'xing'zhi 房屋性质
'fang'wu'yong'tu 房屋用途
'fang'wu'zheng'shu'lei'xing 房屋证书类型
'fang'zu 房租
'fei'cai'zheng'bo'kuan'dan'wei 非财政拨款单位
'fei'yong'bian'ma 费用编码
'fen'lei'deng'ji 分类等级
'fen'tan'fang'shi 分摊方式
'feng'cun 封存
'feng'xian'kong'zhi 风险控制
'feng'xian'yu'jing 风险预警
'feng'xian'zhun'bei'jin 风险准备金
'fu'li'xing 福利性
'fu'mu 父母
'fu'wu'bian'li'hua 服务便利化
'fu'wu'biao'zhun 服务标准
'fu'wu'cheng'nuo 服务承诺
'fu'wu'chuang'xin 服务创新
'fu'wu'da'ting 服务大厅
'fu'wu'fan'wei 服务范围
'fu'wu'fu'gai'lv 服务覆盖率
'fu'wu'gui'fan 服务规范
'fu'wu'jun'deng'hua 服务均等化
'fu'wu'ke'ji'xing 服务可及性
'fu'wu'lei'xing 服务类型
'fu'wu'ping'jia 服务评价
'fu'wu'qu'dao 服务渠道
'fu'wu'qu'dao'lei'xing 服务渠道类型
'fu'wu'shi'xiang 服务事项
'fu'wu'shi'xiang'fen'lei 服务事项分类
'fu'wu'shi'xiang'ye'wu'fen'lei 服务事项业务分类
'fu'wu'xia'chen 服务下沉
'fu'wu'xiang'ying'du 服务响应度
'fu'zhu'he'suan'lei'bie 辅助核算类别
'gai'ge'jie'shou'du 改革接受度
'gai'ge'tan'suo 改革探索
'gai'ge'wen'ding'xing 改革稳定性
'gang'wei'chuang'kou 岗位窗口
'gang'wei'fen'li 岗位分离
'gao'ceng'ci'ren'cai'lei'bie 高层次人才类别
'gao'xiao'hua'zhi'xing 高效化执行
'ge'dai'di'ya'wu'lei'xing 个贷抵押物类型
'ge'dai'lv 个贷率
'ge'ren'ban'li 个人办理
'ge'ren'bu'fen'ti'qu 个人部分提取
'ge'ren'bu'fen'zhi'qu 个人部分支取
'ge'ren'bu'jiao 个人补缴
'ge'ren'feng'cun'yuan'yin 个人封存原因
'ge'ren'jiao'cun'bu'fen 个人缴存部分
'ge'ren'kai'hu 个人开户
'ge'ren'shen'fen 个人身份
'ge'ren'ti'qu 个人提取
'ge'ren'ti'qu'fang'shi 个人提取方式
'ge'ren'ti'qu'yuan'yin 个人提取原因
'ge'ren'xiao'hu'ti'qu 个人销户提取
'ge'ren'xiao'hu'zhi'qu 个人销户支取
'ge'ren'zhang'hu 个人账户
'ge'ren'zhang'hu'zhuang'tai 个人账户状态
'ge'ren'zheng'jian'lei'xing 个人证件类型
'ge'ren'zhu'fang'dai'kuan 个人住房贷款
'ge'ren'zhuan'yi 个人转移
'ge'ti'gong'shang'hu 个体工商户
'gong'cheng'yu'suan 工程预算
'gong'dan'fen'lei 工单分类
'gong'dan'lai'yuan 工单来源
'gong'dan'zhuang'tai 工单状态
'gong'gong'fu'wu 公共服务
'gong'gong'li'yi 公共利益
'gong'ji'jin 公积金
'gong'ji'jin'zhang'hu'lei'xing 公积金账户类型
'gong'ji'jin'zhuan'chu'zhuang'tai 公积金转出状态
'gong'ji'jin'zhuan'ru'zhuang'tai 公积金转入状态
'gong'ji'jin'zi'jin'zhuang'tai 公积金资金状态
'gong'nuan'lei'xing 供暖类型
'gong'ping'ke'ji 公平可及
'gong'shi'mu'ban'gu'hua'biao'ji 公示模板固化标记
'gong'shi'mu'ban'lei'xing 公示模板类型
'gong'shi'mu'ban'ye'wu'lei'xing 公示模板业务类型
'gong'tong'fu'yu 共同富裕
'gong'tong'jie'kuan'ren 共同借款人
'gong'you'chan'quan'fang 共有产权房
'gong'you'chan'quan'zhu'fang'dai'kuan 共有产权住房贷款
'gong'you'fang'shi 共有方式
'gong'zhong'jian'du 公众监督
'gong'zhong'xin'xin 公众信心
'gong'zi 工资
'gong'zi'ji'shu 工资基数
'gong'zi'ji'shu'tiao'zheng 工资基数调整
'gong'zi'tiao'zheng 工资调整
'gong'zuo'zheng'ming 工作证明
'gou'fang 购房
'gou'fang'he'tong 购房合同
'gou'fang'lei'xing 购房类型
'gou'mai'qu'dao 购买渠道
'guan'biao'deng'ji 贯标等级
'guan'li'ban'fa 管理办法
'guan'li'deng'ji 管理等级
'guan'li'fei'yong 管理费用
'guan'li'tiao'li 管理条例
'guan'li'tou'ming'du 管理透明度
'guan'li'wei'yuan'hui 管理委员会
'guan'li'zhong'xin 管理中心
'guan'wei'hui 管委会
'gui'dang'lei'xing 归档类型
'gui'ding'bi'li 规定比例
'gui'fan'hua'guan'li 规范化管理
'gui'ji 归集
'gui'ji'he'ti'qu'ye'wu'lei'xing 归集和提取业务类型
'gui'tai'huan'kuan'huan'kuan'lei'xing 柜台还款还款类型
'gui'tai'huan'kuan'jie'suan'lei'xing 柜台还款结算类型
'gui'tai'huan'kuan'ye'wu'lei'xing 柜台还款业务类型
'gui'ze'jue'ce'ye'wu'fen'lei 规则决策业务分类
'gui'ze'jue'ce'ye'wu'huan'jie 规则决策业务环节
'gui'ze'jue'ce'ye'wu'shi'xiang 规则决策业务事项
'guo'du'qi'an'pai 过渡期安排
'guo'ji 国籍
'guo'min'jing'ji'hang'ye 国民经济行业
'guo'zhai'zhong'lei 国债种类
'hai'xi 还息
'hang'ye'cha'yi 行业差异
'he'suan'ban'fa 核算办法
'he'suan'dan'wei'lei'xing 核算单位类型
'he'tong'lei'xing 合同类型
'he'zuo'dan'wei'lei'xing 合作单位类型
'he'zuo'ji'gou 合作机构
'hei'ming'dan'zhi'du 黑名单制度
'hong'guan'jing'ji'tiao'kong 宏观经济调控
'hu'ji'zheng'ming 户籍证明
'hu'zhu'xing 互助性
'huan'ben 还本
'huan'jiao 缓交
'huan'jiao 缓缴
'huan'jiao'yuan'yin 缓缴原因
'huan'kuan'fang'shi 还款方式
'huan'kuan'liu'shui 还款流水
'huan'kuan'ri'mo'shi 还款日模式
'huan'kuan'shu'ju'shen'pi'zhuang'tai 还款数据审批状态
'huan'kuan'shun'xu 还款顺序
'huan'kuan'zi'jin'lai'yuan 还款资金来源
'hui'jiao 汇缴
'hui'jiao'nian'yue'tiao'zheng'yuan'yin 汇缴年月调整原因
'hun'yin'zhuang'kuang 婚姻状况
'hun'yin'zhuang'kuang'zheng'ming 婚姻状况证明
'huo'dong'zhuang'tai 活动状态
'ji'ben'gong'zi 基本工资
'ji'ceng'wang'dian 基层网点
'ji'cheng 继承
'ji'chu'xing'zhi'du 基础性制度
'ji'gou 机构
'ji'gou'lei'xing 机构类型
'ji'gou'xing'zhi 机构性质
'ji'hui'jun'deng 机会均等
'ji'jian'gong'zi 计件工资
'ji'shu 积数
'ji'shu'fu'neng 技术赋能
'ji'shu'tiao'zheng 基数调整
'ji'ti'xie'shang 集体协商
'ji'xi 记息
'ji'yue'hua'fa'zhan 集约化发展
'ji'zhang'zhuang'tai 记账状态
'ji'zhong'feng'cun'hu 集中封存户
'ji'zhun'li'lv 基准利率
'jia'ban'gong'zi 加班工资
'jia'mi'fang'shi 加密方式
'jia'ting'cheng'yuan 家庭成员
'jia'ting'gong'zi'shou'ru 家庭工资收入
'jia'ting'guan'xi 家庭关系
'jian'du'quan 监督权
'jian'du'wen'ze 监督问责
'jian'fang 建房
'jian'fang'pi'zhun'wen'jian 建房批准文件
'jian'gu'gong'ping 兼顾公平
'jian'guan 监管
'jian'guan'fu'wu 监管服务
'jian'guan'xie'tong'xing 监管协同性
'jian'guan'you'xiao'xing 监管有效性
'jian'she'xiang'mu'fen'lei'ji'bie 建设项目分类级别
'jian'she'xiang'mu'lei'xing 建设项目类型
'jian'zao 建造
'jian'zhu 建筑
'jiang'di'jiao'cun'bi'li 降低缴存比例
'jiang'jin 奖金
'jiao'cun 缴存
'jiao'cun'bi'li 缴存比例
'jiao'cun'bi'li'shang'xia'xian 缴存比例上下限
'jiao'cun'bi'li'tiao'zheng'yuan'yin 缴存比例调整原因
'jiao'cun'biao'zhun'lei'xing 交存标准类型
'jiao'cun'bu'tie'lei'xing 缴存补贴类型
'jiao'cun'cha'yi 缴存差异
'jiao'cun'dan'wei'xiao'hu'yuan'yin 缴存单位销户原因
'jiao'cun'ji'shu 缴存基数
'jiao'cun'ji'shu'tiao'zheng'yuan'yin 缴存基数调整原因
'jiao'cun'pin'lv 缴存频率
'jiao'cun'zi'jue'xing 缴存自觉性
'jiao'fei'gong'zi 缴费工资
'jiao'fei'ji'shu 缴费基数
'jiao'fei'lei'xing 缴费类型
'jiao'kuan'fang'shi 缴款方式
'jiao'kuan'lei'xing 交款类型
'jiao'qian 交钱
'jiao'yi'fa'song'fang'shi 交易发送方式
'jiao'yi'fang'xiang 交易方向
'jiao'yi'lei'xing 交易类型
'jiao'yi'pi'liang'biao'ji 交易批量标记
'jiao'yi'zhang'hu'lei'xing 交易账户类型
'jie'dong'lei'xing 解冻类型
'jie'kou'duan'yan'kong'zhi'fang'shi 接口断言控制方式
'jie'kou'gui'fan 接口规范
'jie'kou'gui'ze'lei'xing 接口规则类型
'jie'kou'guo'lv'qi'kong'zhi'fang'shi 接口过滤器控制方式
'jie'kou'quan'xian'ren'zheng 接口权限认证
'jie'kuan'ren 借款人
'jie'kuan'ren'jie'chu'yuan'yin 借款人解除原因
'jie'kuan'ren'zhuang'tai 借款人状态
'jie'kuan'shen'qing'ren 借款申请人
'jie'ru'dan'wei 接入单位
'jie'ru'dan'wei'duan'yan'kong'zhi'fang'shi 接入单位断言控制方式
'jie'ru'dan'wei'gui'ze'lei'xing 接入单位规则类型
'jie'suan'fang'shi 结算方式
'jie'suan'jiao'yi'zi'jin'ye'wu'lei'xing 结算交易资金业务类型
'jie'suan'lei'xing 结算类型
'jie'suan'mo'shi 结算模式
'jie'suan'qu'dao 结算渠道
'jie'suan'shou'fu'kuan'lei'xing 结算收付款类型
'jie'suan'zhang'hu'lei'xing 结算账户类型
'jie'suan'zhuang'tai 结算状态
'jie'suan'zi'jin'lei'xing 结算资金类型
'jie'xi'pin'lv 结息频率
'jie'xi'ri 结息日
'jin'ji'cheng'du 紧急程度
'jin'ling'neng'hao'jian'zhu'deng'ji 近零能耗建筑等级
'jin'rong'feng'xian'fang'fan 金融风险防范
'jin'rong'ye'wu 金融业务
'jin'tie 津贴
'jing'ban'ren'jue'se'lei'xing 经办人角色类型
'jing'du'mo'shi 精度模式
'jing'ji'lei'xing 经济类型
'jiu'ye'ren'yuan'hu'ji'suo'zai'qu'yu 就业人员户籍所在区域
'jiu'ye'zhuang'kuang 就业状况
'ju'zhu'zhuang'kuang 居住状况
'jue'ce 决策
'jue'ce'ji'gou 决策机构
'kai'guan'zhuang'tai 开关状态
'kai'hu 开户
'ke'chi'xu'fa'zhan 可持续发展
'ke'chi'xu'guan'li 可持续管理
'ke'chi'xu'jiao'cun 可持续缴存
'ke'mu'shu'xing 科目属性
'ke'mu'yu'e'fang'xiang 科目余额方向
'ke'xue'jue'ce 科学决策
'ku'fang'lei'xing 库房类型
'kua'qu'yu'xie'zuo 跨区域协作
'kua'sheng'tong'ban 跨省通办
'kuai'ji 会计
'kuai'ji'he'suan 会计核算
'kuai'ji'he'suan'ban'fa 会计核算办法
'kuai'ji'ke'mu 会计科目
'lan'mu'lei'xing 栏目类型
'li'lv 利率
'li'lv'fu'dong 利率浮动
'li'lv'lei'xing 利率类型
'li'shi'yi'liu'wen'ti 历史遗留问题
'li'xi'jie'suan 利息结算
'li'xiang'zhuang'tai 立项状态
'li'yi'xie'tiao 利益协调
'li'zhi 离职
'lian'ming'ka 联名卡
'lian'wang'he'cha 联网核查
'lian'xi'fang'shi 联系方式
'lian'xi'han'zhuang'tai 联系函状态
'lian'xu'jiao'cun 连续缴存
'ling'huo'ji'zhi 灵活机制
'ling'huo'jiu'ye'jiao'cun'bu'tie'fang'shi 灵活就业缴存补贴方式
'ling'huo'jiu'ye'jiao'cun'pin'lv 灵活就业缴存频率
'ling'huo'jiu'ye'ren'yuan 灵活就业人员
'ling'huo'jiu'ye'ren'yuan'zhi'ye'lei'xing 灵活就业人员职业类型
'liu'cheng'biao'zhun'hua 流程标准化
'liu'cheng'zai'zao 流程再造
'lou'zhuang 楼幢
'lu'ru'xin'xi'lei'xing 录入信息类型
'lv'se'jian'zhu'deng'ji 绿色建筑等级
'lv'zhi'jin'ze 履职尽责
'man'yi'du'diao'cha 满意度调查
'mao'dun'hua'jie 矛盾化解
'mi'yue'geng'xin'lei'xing 密钥更新类型
'min'ban'fei'qi'ye'dan'wei 民办非企业单位
'min'sheng'bao'zhang 民生保障
'min'zhu'guan'li 民主管理
'ming'xi 明细
'nei'bu'jian'du 内部监督
'nei'bu'shen'ji 内部审计
'nian'du'bao'gao 年度报告
'nian'du'jian'cha 年度检查
'nian'du'tiao'zheng 年度调整
'nuo'yong'zi'jin 挪用资金
'pei'ou 配偶
'pei'xun'jiao'yu 培训教育
'pian'ti'pian'dai 骗提骗贷
'ping'gu'jia'zhi 评估价值
'ping'zheng'chong'zheng'biao'zhi 凭证冲正标识
'ping'zheng'ji'zhang'lei'xing 凭证记账类型
'ping'zheng'ji'zhang'lei'xing'fen'lei 凭证记账类型分类
'ping'zheng'lei'bie 凭证类别
'ping'zheng'mu'ban'qu'zhi'fang'shi 凭证模板取值方式
'pu'hui'gong'xiang 普惠共享
'qi'feng 启封
'qi'shu 期数
'qi'ta'cheng'zhen'qi'ye 其他城镇企业
'qi'ta'jie'kuan'ren 其他借款人
'qi'yong'ting'yong 启用停用
'qi'yue'jing'shen 契约精神
'qiang'zhi'chu'xu 强制储蓄
'qiang'zhi'jiao'cun 强制缴存
'qing'ce 清册
'qing'ce'he'ding'fen'pei'biao'ji 清册核定分配标记
'qu'dao'bian'ma 渠道编码
'qu'dao'lei'xing 渠道类型
'qu'dao'zhuang'tai 渠道状态
'qu'yu'cha'yi 区域差异
'quan'chang'jing'ying'yong 全场景应用
'quan'cheng'ben'he'suan 全成本核算
'quan'fang'wei'xie'tong 全方位协同
'quan'feng'xian'fang'kong 全风险防控
'quan'fu'gai'jian'du 全覆盖监督
'quan'fu'wu'gao'xiao 全服务高效
'quan'guan'li'gui'fan 全管理规范
'quan'guo'cheng'ke'su 全过程可溯
'quan'guo'cheng'liu'hen 全过程留痕
'quan'guo'zhu'fang'gong'ji'jin'xiao'cheng'xu 全国住房公积金小程序
'quan'hang'ye'fu'gai 全行业覆盖
'quan'huan'jie'ke'kong 全环节可控
'quan'ji'zhi'lian'dong 全机制联动
'quan'ji'zhi'you'xiao 全机制有效
'quan'jie'dian'ke'cha 全节点可查
'quan'kou'jing'tong'ji 全口径统计
'quan'li'bao'zhang 权利保障
'quan'li'jun'deng 权利均等
'quan'li'lei'xing 权利类型
'quan'li'ren'lei'xing 权利人类型
'quan'lian'tiao'guan'li 全链条管理
'quan'lian'tiao'zhui'su 全链条追溯
'quan'ling'yu'gai'ge 全领域改革
'quan'liu'cheng'jian'guan 全流程监管
'quan'liu'cheng'tou'ming 全流程透明
'quan'liu'cheng'wang'ban 全流程网办
'quan'mu'biao'da'cheng 全目标达成
'quan'ping'tai'ji'cheng 全平台集成
'quan'qu'dao'fu'wu 全渠道服务
'quan'she'hui'can'yu 全社会参与
'quan'sheng'ming'zhou'qi'guan'li 全生命周期管理
'quan'shu'ju'ke'xin 全数据可信
'quan'shu'ju'lian'dong 全数据联动
'quan'xi'tong'an'quan 全系统安全
'quan'xi'tong'ke'guan 全系统可管
'quan'xi'tong'xie'tong 全系统协同
'quan'xi'tong'you'hua 全系统优化
'quan'xian'guan'li 权限管理
'quan'xin'xi'gong'xiang 全信息共享
'quan'yao'su'kong'zhi 全要素控制
'quan'yao'su'xie'tong 全要素协同
'quan'ye'wu'guan'tong 全业务贯通
'quan'ye'wu'he'gui 全业务合规
'quan'yun'xing'wen'ding 全运行稳定
'quan'ze'ren'bi'huan 全责任闭环
'quan'ze'ren'luo'shi 全责任落实
'quan'zheng'ce'luo'di 全政策落地
'quan'zhi'du'zhi'xing 全制度执行
'quan'zhou'qi'fu'wu 全周期服务
'quan'zhou'qi'jian'guan 全周期监管
'quan'zhu'ti'can'yu 全主体参与
'quan'zi'yuan'tong'chou 全资源统筹
'ren'lian'shi'bie 人脸识别
'ren'min'yin'hang 人民银行
'ren'min'zheng'fu 人民政府
'ren'yuan'gui'shu 人员归属
'ren'yuan'jiao'cun'lei'xing 人员缴存类型
'ren'yuan'zhuang'tai 人员状态
'ren'zheng'fang'shi 认证方式
'ren'zheng'lei'xing 认证类型
'ri'zhi'ji'lu 日志记录
'ru'zhang'zhuang'tai 入账状态
'shang'chuan'zi'liao 上传资料
'shang'xian 上限
'she'bei'gong'neng 设备功能
'she'bei'lei'xing 设备类型
'she'hui'cheng'ben 社会成本
'she'hui'he'xie 社会和谐
'she'hui'ren'tong 社会认同
'she'hui'tuan'ti 社会团体
'she'hui'ze'ren 社会责任
'she'hui'zhi'li 社会治理
'shen'fen'yan'zheng 身份验证
'shen'fen'zheng'ming 身份证明
'shen'he'shi'xian 审核时限
'shen'ji'ji'guan 审计机关
'shen'ji'lei'xing 审计类型
'shen'pi 审批
'shen'pi'jie'guo 审批结果
'shen'pi'liu'cheng 审批流程
'shen'pi'zhuang'tai 审批状态
'sheng'huo'kun'nan 生活困难
'sheng'ji'guan'li'ban'fa 省级管理办法
'shi'fou 是否
'shi'fou'shi'yong'yong 是否使用用
'shi'fou'yun'xu 是否允许
'shi'fou'zhuang'tai 是否状态
'shi'gong'dan'wei'xuan'ze'fang'shi 施工单位选择方式
'shi'jiao 实缴
'shi'ren'min'zheng'fu 市人民政府
'shi'shi'xi'ze 实施细则
'shi'ti'zheng'yi 实体正义
'shi'ying'xing'guan'li 适应性管理
'shi'ying'xing'tiao'zheng 适应性调整
'shi'yong'bian'jie'du 使用便捷度
'shi'yong'cha'yi 使用差异
'shi'yong'he'li'xing 使用合理性
'shi'yong'zhuang'tai 使用状态
'shi'zheng'fu 市政府
'shi'zhi'shen'cha 实质审查
'shou'kuan'fang 收款方
'shou'quan'lei'xing 授权类型
'shou'quan'shu 授权书
'shou'ru'cha'yi 收入差异
'shou'ru'zheng'ming 收入证明
'shou'tao'li'lv'zhi'xing'lei'xing 首套利率执行类型
'shou'tuo'yin'hang 受托银行
'shou'wen'fu'ze 首问负责
'shou'yi'zeng 受遗赠
'shu'ju'can'shu'lei'xing 数据参数类型
'shu'ju'ji'zhong 数据集中
'shu'ju'jia'mi 数据加密
'shu'ju'ku'lei'xing 数据库类型
'shu'ju'qu'dong 数据驱动
'shu'ju'zhun'que'xing 数据准确性
'shu'ru'shu'chu'lei'xing 输入输出类型
'shu'zi'hua'zhuan'xing 数字化转型
'shui'fei'ji'suan'fang'shi 税费计算方式
'shui'fei'lei'bie 税费类别
'shui'fei'ye'wu'zi'lei'bie 税费业务子类别
'shui'qian'kou'chu 税前扣除
'si'wang 死亡
'song'da'hui'zheng 送达回证
'suo'shu'qu'yu'lei'xing 所属区域类型
'suo'shu'shang'xia'wen 所属上下文
'suo'you'zhi'cha'yi 所有制差异
'suo'zai'qu'xian 所在区县
'te'shu'qing'kuang'xia'zhi'fu'de'gong'zi 特殊情况下支付的工资
'ti'gao'jiao'cun'bi'li 提高缴存比例
'ti'qu 提取
'ti'qu'shen'qing 提取申请
