'a'shui'zhen'wo'gu'tou'mian 阿谁枕我骨头眠
'cong'jin'ji'du'huang'hun'yue 从今几度黄昏月
'cong'tou'shou'shi'jiu'xu'mi 从头收拾旧须弥
'cui'bai'cang'song'gong'jiu'shen 翠柏苍松供酒神
'cui'se'xin'ci'bao'jin'fu 翠色新瓷包锦袱
'da'di'cang'tian'yuan'ni'lv 大地苍天原逆旅
'dai'de'hua'lai'you'zang'hua 带得花来又葬花
'dan'jian'ming'zhu'chu'tu'lai 但见明珠出土来
'dang'nian'ceng'ban'mei'ren'lai 当年曾伴美人来
'dao'bu'zai'si'bu'zai'bi 道不在斯不在彼
'dao'shi'ming'guan'shui'jie'wen 道失冥关谁借问
'dao'tou'hai'shi'yi'dui'ni 到头还是一堆泥
'de'jian'tian'xin'wei'ke'zhi 得见天心未可知
'deng'ying'jiu'zhong'you'zhao'wo 灯影酒中犹照我
'di'shou'yan'huan'ying'zi'xiu 低首烟寰应自羞
'di'tou'wen'di'di'wu'wen 低头问地地无闻
'di'yu'tian'tang'shuo'wei'zhen 地狱天堂说未真
'di'yu'tian'tang'yan'wei'yi 地狱天堂言未已
'dong'feng'chui'xing'meng'zhong'ren 东风吹醒梦中人
'dou'zai'hong'meng'zhi'shang'shu 都在鸿蒙纸上书
'du'de'hong'chen'yi'ke'gui 度得红尘一客归
'du'dui'shan'chuan'gao'zhuo'ba 独对山川高酌罢
'du'kang'jiang'zi'jiu'tian'yao 杜康降自九天遥
'du'li'tian'ting'bai'gui'huang 独立天庭百鬼惶
'du'zuo'chen'ai'su'ku'zhong 独坐尘埃诉苦衷
'duan'fou'chang'ping'bi'shang'luo 短缶长瓶壁上罗
'duo'shao'jiang'xin'cheng'yi'qi 多少匠心成一器
'duo'shao'ying'xiong'lai'fu'qu 多少英雄来复去
'duo'shao'zhi'hen'zi'fen'xiang 多少脂痕渍粉香
'fan'ke'shan'tou'fan'ke'sheng 饭颗山头饭颗生
'fang'yin'lv'bian'qing'jiang'wai 芳茵绿遍清江外
'fei'dao'tian'ya'he'chu'qu 飞到天涯何处去
'feng'shu'sheng'ya'ye'ye'piao 枫树生涯叶叶飘
'feng'yun'yi'yi'an'pai'hao 风云一一安排好
'fu'gui'dang'nian'xiang'shi'chong 富贵当年想石崇
'fu'ping'ji'dian'sui'bo'qu 浮萍几点随波去
'gan'qing'di'shi'ku'ying'xiong 干卿底事哭英雄
'ge'men'ke'she'yu'yi'xi 隔门客舍语依稀
'gou'chu'zuo'ri'yu'ming'chao 勾除昨日与明朝
'gu'fu'gao'ren'xi'jie'meng 辜负高人细解蒙
'gu'ping'nie'wu'bei'qiong'long 古瓶臲卼背穹隆
'gu'shen'piao'miao'zhang'shen'chui 谷神缥缈帐深垂
'gu'sheng'shan'wai'ren'long'long 鼓声山外任隆隆
'gu'ye'you'sheng'chun'cao'lv 古野犹生春草绿
'guo'jin'qi'liang'jiu'yue'tian 过尽凄凉九月天
'hai'tao'bei'yong'shen'lan'se 海涛悲涌深蓝色
'hao'chen'chen'feng'zui'gan'lu 好趁晨风醉甘露
'hao'dang'tian'men'shun'xi'kai 浩荡天门瞬息开
'he'kuang'ta'nian'mu'li'ren 何况他年墓里人
'he'ru'du'dao'nan'shan'shang 何如独到南山上
'he'ru'shi'hu'lan'ling'jiu 何如十斛兰陵酒
'he'shan'qian'gu'zang'yi'shang 河山千古葬遗觞
'he'wu'neng'ru'jiu'yi'dou 何物能如酒一斗
'heng'heng'xian'zhe'ji'duo'ren 恒恒贤哲几多人
'hong'dao'su'dan'ta'shang'yun 红到苏丹塔上云
'hong'hua'di'shi'hong'ru'ci 红花底事红如此
'hong'ni'jiu'jue'zai'chun'bian 红泥酒爵在唇边
'hong'xiang'qian'yuan'wan'pu'lai 红向千园万圃来
'hong'xing'lv'cui'cai'zi'duo 红猩绿翠采姿多
'hu'huan'yu'long'ru'shui'shen 忽幻鱼龙入水深
'hu'wen'bang'he'yi'sheng'lai 忽闻棒喝一声来
'hu'zong'jin'bian'ying'xiong'mu 虎踪今遍英雄墓
'hu'zun'wu'yu'jing'chen'ai 壶尊无语静尘埃
'hua'biao'dan'chi'yi'li'kong 华表丹墀一例空
'hua'yan'pu'bu'yong'ben'teng 华严瀑布永奔腾
'huan'chu'ren'jian'ai'yu'zeng 幻出人间爱与憎
'huan'de'qian'qiu'zui'dao'chang 换得千秋醉道场
'huang'liang'tai'xie'zou'she'chong 荒凉台榭走蛇虫
'huang'mu'wu'yan'chui'zui'yan 黄目无言垂醉眼
'hun'e'sheng'lai'fei'zi'zai 浑噩生来非自宰
'hun'po'gui'lai'wei'yi'yu 魂魄归来唯一语
'hun'po'you'you'gui'bi'luo 魂魄悠悠归碧落
'hun'yuan'tian'gai'bi'shen'chen 浑圆天盖碧深沉
'huo'jie'chou'xin'wei'di'yu 火借愁心为地狱
'ji'bei'yin'ba'hun'xiao'jin 几杯饮罢魂销尽
'ji'jin'fu'yang'you'mi'wang 即今俯仰犹迷惘
'ji'mo'diao'ling'yi'duan'hu 寂寞凋零一断壶
'ji'mo'xing'ren'zhi'zi'zhi 寂寞行人只自知
'ji'nian'wei'ci'pi'nang'fu 几年为此皮囊缚
'ji'yu'xing'ren'mo'sun'shang 寄语行人莫损伤
'jian'shuo'ren'jian'chun'you'dao 见说人间春又到
'jian'shuo'tian'gong'neng'zao'hua 见说天公能造化
'jie'lai'nian'ming'chang'bei'jiu 借来年命偿杯酒
'jie'wen'ta'nian'ling'shang'ke 借问他年陵上客
'jie'wen'yi'xin'he'suo'hao 借问一心何所好
'jie'xiang'qiong'si'zong'shi'kong 竭想穷思总是空
'jin'han'bu'xue'xue'tao'chan 金函不学学逃禅
'jin'ri'you'qian'xu'mai'zui 今日有钱须买醉
'jin'yi'hua'gai'jin'tong'tu 锦衣华盖尽同途
'jin'zhao'wo'ji'ming'chao'wo 今朝我即明朝我
'jiu'guo'shu'xun'ying'dao'wo 酒过数巡应到我
'jiu'han'ba'jian'duan'qin'tai 酒酣拔剑断琴台
'jiu'jiang'ren'jian'gan'shang'cang 酒降人间感上苍
'jiu'jiu'lian'sheng'mei'gui'jiu 酒酒连声玫瑰酒
'jiu'jue'duo'qing'di'yu'wo 酒爵多情低语我
'jiu'ke'you'zhi'xi'jiu'hu 酒客犹知惜酒壶
'jiu'kong'chen'yu'ji'tian'tang 酒空尘欲即天堂
'jiu'quan'sui'yue'juan'juan'jin 酒泉岁月涓涓尽
'jiu'ri'hu'shan'tong'zui'ke 旧日湖山同醉客
'jiu'tong'jiu'tong'quan'ke'lai 酒僮酒僮劝客来
'jiu'wu'fu'ming'you'ai'jiu 酒误浮名犹爱酒
'ju'shou'kou'tian'tian'bu'yu 举首叩天天不语
'kan'nong'yi'jie'rou'si'lei 看侬一解柔丝蕾
'ke'lian'xue'luo'ping'sha'li 可怜雪落平沙里
'ke'you'qing'quan'wei'ke'lai 可有清泉慰客来
'ken'dao'qiu'zhen'zhong'bu'huo 垦道求真终不获
'keng'ran'yi'zi'cheng'he'jie 铿然一子成何劫
'kong'chui'can'e'shang'chi'mu 空垂残萼伤迟暮
'lai'shi'xing'yun'qu'shi'feng 来是行云去是风
'lao'jun'diao'zhuo'yao'wen'rou 劳君雕琢要温柔
'lao'jun'qing'jiu'xi'ping'zong 劳君倾酒洗萍踪
'lei'sa'yun'shan'zuo'bian'xiang 泪洒云山作汴湘
'li'li'cao'xia'zhi'shui'zai 离离草下知谁在
'lian'hua'deng'xia'lian'hua'qi 莲花灯下莲花起
'liao'luo'qiong'lu'ye'huo'zhong 寥落穹庐野火中
'liao'wu'gui'ke'shuo'qu'qi 了无归客说岖崎
'lin'feng'xi'xi'lei'yu'shang 临风细细酹余觞
'ling'long'miao'kou'jin'an'zai 玲珑妙口今安在
'liu'dao'he'fang'shui'bu'zhi 流到何方水不知
'liu'jin'ren'jian'lei'ji'qian 流尽人间泪几千
'liu'li'bing'zhao'zhuan'ling'long 琉璃冰罩转玲珑
'luan'peng'hao'zi'wei'wu'kai 乱蓬好自为吾开
'luo'luo'xin'huai'jiu'bu'kai 落落心怀久不开
'lv'jiu'zhu'chun'kong'guo'yan 绿酒朱唇空过眼
'ma'sa'diao'zhuo'shou'long'zhong 摩挲雕琢手龙钟
'mai'lai'bu'guo'ji'wen'qian 卖来不过几文钱
'mai'qu'fu'ming'mai'zui'ge 卖去浮名买醉歌
'man'bei'chun'jiu'yang'jiao'hong 满杯春酒漾娇红
'man'man'bie'lu'shen'ru'xu 漫漫别路深如许
'man'ping'hei'bai'zi'li'li 满枰黑白子离离
'man'shuo'tao'ren'yu'tao'qi 漫说陶人与陶器
'mang'mang'da'mo'he'liao'zai 茫茫大漠何寥哉
'mang'mang'han'hai'ji'tian'tang 茫茫瀚海即天堂
'mang'mang'tian'di'you'yan'tai 茫茫天地有筵台
'mei'gui'zhou'zao'xiang'wo'kai 玫瑰周遭向我开
'men'shi'huang'tang'shuo'gui'hu 扪虱荒唐说鬼狐
'men'wai'ji'ren'ji'jie'ge 门外羁人击节歌
'meng'you'zuo'ye'dao'tian'chi 梦游昨夜到天池
'mi'luo'jiang'shui'shang'xin'bi 汨罗江水伤心碧
'ming'chao'he'chu'hua'chen'ai 明朝何处化尘埃
'ming'chao'shen'shi'fu'yan'yun 明朝身世付烟云
'ming'meng'chi'dao'jie'yun'gao 溟蒙驰道接云高
'ming'ming'you'shou'xie'tian'shu 冥冥有手写天书
'ming'ri'su'dan'you'xi'zuo 明日苏丹又西作
'ming'yue'duo'qing'ban'ke'shen 明月多情伴客身
'mo'shi'shou'shen'qian'shu'bai 摩世手伸千树白
'mo'wen'ming'chao'shi'miao'ran 莫问明朝事渺然
'mo'wen'yuan'xiang'duo'shao'lu 莫问远乡多少路
'mo'xiang'cang'tian'qiu'jie'tuo 莫向苍天求解脱
'mu'cao'qing'qing'han'hai'ya 牧草青青瀚海涯
'mu'li'gu'ren'hun'bu'yu 墓里古人浑不语
'nan'shan'cai'tu'ye'wei'ou 南山采土冶为瓯
'ni'hu'kai'kou'chang'shan'ge 泥壶开口唱山歌
'ni'weng'qiu'ke'dui'xiao'ran 泥瓮秋客对萧然
'nian'nian'chou'dai'jiu'jia'hu 年年愁待酒家胡
'nian'nian'zheng'xiang'shui'bian'kai 年年争向水边开
'nie'cheng'gu'rou'zi'ni'tu 捏成骨肉自泥涂
'pan'jiang'piao'miao'san'sheng'zhai 拚将缥缈三生债
'pao'dao'wu'qing'huo'yan'bian 抛到无情火焰边
'pao'mo'cha'na'ju'huan'mie 泡沫刹那俱幻灭
'peng'men'zuo'ye'you'ren'qiao 蓬门昨夜有人敲
'pi'nang'jia'zhang'zhu'su'dan 皮囊甲帐驻苏丹
'ping'jun'can'jin'ren'tian'li 凭君参尽人天理
'ping'sha'wan'li'bu'ming'tuo 平沙万里踄明驼
'ping'shang'qian'qiu'jie'zheng'nong 枰上千秋劫正浓
'ping'sheng'hui'hen'wo'he'ceng 平生悔恨我何曾
'ping'wu'xie'shou'kan'huang'sha 平芜携手看黄沙
'pu'tao'mei'jiu'zi'jin'zhong 葡萄美酒紫金钟
'qi'chong'tian'que'fu'yun'lai 七重天阙拂云来
'qi'he'shen'you'a'mu'tai 骑鹤神游阿母台
'qi'liang'bai'gu'wu'ren'wen 凄凉白骨无人问
'qi'ping'yi'zhuo'shi'pu'tao 启瓶一酌是葡萄
'qian'chen'hou'shi'ren'cuo'tuo 前尘后事任蹉跎
'qian'kun'liao'luo'yi'qiong'lu 乾坤寥落一穹庐
'qian'qiu'lou'yi'lang'yi'cai 千秋蝼蚁浪疑猜
'qian'shan'qi'lu'he'ren'pi 千山歧路何人辟
'qian'shen'hou'shi'ying'meng'long 前身后世影朦胧
'qiao'lou'shan'he'da'jiang'gong 巧镂山河大匠功
'qie'jiang'tao'zui'huan'hua'nian 且将陶醉换华年
'qin'xin'san'die'shi'nian'gong 琴心三叠十年功
'qing'jun'wei'wo'qin'zhen'jiu 请君为我勤斟酒
'qing'wei'a'nong'ge'han'hai 卿为阿侬歌瀚海
'rao'liang'yin'jue'ge'ren'miao 绕梁音绝歌人渺
'ren'jian'gan'lu'wo'tou'chang 人间甘露我偷尝
'ren'jiao'zhi'hui'cheng'li'fu 忍教智慧成离妇
'ren'lai'ren'qu'qian'qiu'shi 人来人去千秋事
'ren'lai'ren'qu'yue'wu'wen 人来人去月无闻
'ren'yi'diao'ling'jiu'yi'xi 人易凋零酒易晞
'ri'ye'xun'huan'qi'tai'chu 日夜循环起太初
'ri'yi'ying'ze'lu'yi'xi 日易盈昃露易晞
'ru'he'yuan'ye'ping'tian'jie 如何缘业凭天结
'ru'zhe'deng'tan'mo'zhe'tao 儒者登坛墨者逃
'ruo'cao'jiao'rou'ren'yu'cai 弱草娇柔人欲采
'ruo'fei'tian'zhi'fen'ming'zai 若非天旨分明在
'san'chi'ni'zhong'bu'fu'wen 三尺泥中不复闻
'san'sheng'que'wen'ta'sheng'guo 三生却问他生过
'san'sheng'shi'ye'jin'meng'long 三生事业尽朦胧
'san'sheng'yin'guo'jin'huang'tang 三生因果尽荒唐
'shang'di'chuan'fu'zao'gan'jiu 上帝传符造甘酒
'shao'hua'yi'dan'sui'hua'zang 韶华一旦随花葬
'shao'nian'zhi'zhu'hao'tan'xuan 少年执麈好谈玄
'shen'ming'ma'shang'shen'tian'shou 神明马上伸天手
'shen'ming'tan'shang'jian'he'ceng 神明坛上见何曾
'shen'shan'yi'shu'zhong'sheng'chu 神山一树众生出
'shen'shen'ku'shui'dao'qiong'tu 身渗苦水到穷途
'sheng'ben'wu'yin'si'yi'kong 生本无因死亦空
'sheng'lai'tian'di'you'he'zhi 生来天地又何之
'sheng'ya'bu'wei'zhong'zhen'zhuo 生涯不为重斟酌
'sheng'ya'mo'yu'jin'zun'lan 生涯莫于金尊懒
'shi'fei'yuan'zai'you'wu'zhong 是非原在有无中
'shi'jie'cha'na'qian'wan'xiang 世界刹那千万相
'shi'jie'ru'tu'ru'yan'lai 世界如荼入眼来
'shi'jie'wei'chen'yi'zui'zhong 世界微尘一醉中
'shi'kan'ci'ri'hu'chun'shang 试看此日壶唇上
'shi'kong'qiu'shuang'ling'cao'mang 时恐秋霜零草莽
'shou'zuo'ni'hu'wei'a'shui 手做泥壶为阿谁
'shu'wei'tao'qi'shu'tao'ren 孰为陶器孰陶人
'shu'yu'ci'shi'yi'bei'jiu 输与此时一杯酒
'shui'ba'tian'xin'shi'wo'cao 谁把天心示我曹
'shui'gan'huang'huang'fan'jie'tiao 谁敢皇皇犯戒条
'shui'jiao'wei'shan'yu'wei'xie 谁教为善与为邪
'shui'xie'wei'ya'pao'mo'qing 水泻危崖泡沫轻
'shui'yan'xing'song'shuo'tai'xuan 睡眼惺忪说太玄
'shuo'fa'ni'weng'mao'an'ran 说法泥瓮貌岸然
'si'hua'han'hui'dai'jiu'xiang 死化寒灰带酒香
'si'ming'gao'chi'hei'jiu'bei 司命高持黑酒杯
'si'ming'tian'shu'jie'bu'kai 司命天书揭不开
'si'qu'shui'lian'jin'yu'chen 死去谁怜金玉榇
'su'dan'jun'ma'fei'sha'mo 苏丹骏马飞沙漠
'sui'shou'nie'cheng'sui'shou'sui 随手捏成随手碎
'sui'yue'wu'qing'yi'zhuo'bian 岁月无情已着鞭
'ta'nian'you'zi'lai'ping'diao 他年游子来凭吊
'tai'ji'zhuang'yan'men'chu'li 太极庄严门矗立
'tan'xiao'xuan'he'shui'xie'yin 谈笑悬河水泻银
'tian'chui'ri'yue'ji'wu'yan 天垂日月寂无言
'tian'ci'ren'jian'zi'zai'shen 天赐人间自在身
'tian'dao'hui'hui'bu'ke'tan 天道恢恢不可探
'tian'gong'qu'tu'diao'cheng'wo 天公取土雕成我
'tian'hua'lao'ren'ni'yu'shui 天化劳人泥与水
'tian'ma'chang'si'zhen'lie'mao 天马长嘶振鬣毛
'tian'shang'he'shi'jin'jiu'shang 天上何时禁酒觞
'tian'shu'xi'xi'xie'cong'tou 天书细细写从头
'tong'que'tai'hua'ji'mo'hong 铜雀台花寂寞红
'tong'yin'bu'wen'kuang'ke'wen 痛饮不闻狂客问
'tou'de'ren'jian'jin'suo'yue 偷得人间金锁钥
'tu'yu'jiu'jiu'shuo'bu'xiu 土语啾啾说不休
'wa'zun'bi'shang'man'sheng'hu 瓦尊壁上曼声呼
'wan'wan'hu'zui'si'e'mei 弯弯壶嘴似蛾眉
'wang'mu'xian'tong'kui'lv'lao 王母仙童馈绿醪
'wei'chen'shen'shi'hua'wei'chen 微尘身世化微尘
'wei'chen'yuan'zi'hua'wei'chen 微尘原自化微尘
'wei'ji'fen'cun'zi'neng'can 微机分寸自能参
'wei'qing'zhen'jiu'xi'chen'yuan 为卿斟酒洗尘缘
'wei'wen'yu'suo'chu'kai'ri 微闻玉锁初开日
'wei'xiang'cang'tian'jie'yi'wen 未向苍天借一文
'wei'you'cang'cang'miao'shou'zhi 惟有苍苍妙手知
'wei'you'ye'hua'hong'si'xi 唯有野花红似昔
'wen'dao'tian'ren'yuan'he'yi 闻道天人原合一
'wen'dao'xin'hong'you'tu'pa 闻道新红又吐葩
'wo'bian'ming'chao'gui'qu'ye 我便明朝归去也
'wo'jian'di'yu'yu'tian'tang 我兼地狱与天堂
'wo'shi'xian'tao'shu'shang'chong 我是仙桃树上虫
'wo'yi'dang'nian'chen'shang'ke 我亦当年尘上客
'wu'duan'shui'ren'sui'wu'gu 无端谁忍碎无辜
'wu'fu'jing'wen'li'guang'gong 无复惊闻李广弓
'wu'jiu'wu'ge'wu'meng'xiang 无酒无歌无梦想
'wu'qing'tian'di'zi'mian'mian 无情天地自绵绵
'wu'ti 无题
'xi'he'jun'ma'zong'ru'huo 羲和骏马鬃如火
'xi'huang'ta'shang'shi'wu'jia 羲皇榻上是吾家
'xi'yi'miao'dao'wei'neng'tong 希夷妙道未能通
'xiang'shi'chang'hong'xue'li'kai 想是苌弘血里开
'xiang'shi'jiang'ren'nian'yi'lao 想是匠人年已老
'xiang'sui'zuo'ri'qi'qian'nian 相随昨日七千年
'xiao'hu'yan'se'huo'shao'yun 小壶颜色火烧云
'xiao'xiao'feng'xin'xiao'xiao'yu 潇潇风信潇潇雨
'xie'hu'lang'ji'shan'lin'shang 携壶浪迹山林上
'xie'sheng'xi'sui'wen'chuang'wai 鞋声细碎闻窗外
'xin'qu'pu'tao'gong'zhu'lai 新娶葡萄公主来
'xin'ran'jin'yin'mo'pai'huai 欣然尽饮莫徘徊
'xin'zhong'huan'mie'you'ming'deng 心中幻灭有明灯
'xin'zhong'kuai'lei'sui'zun'qian 心中块垒碎尊前
'xing'hai'fang'lang'shi'yuan'zhen 形骸放浪是元真
'xing'ren'yuan'dao'qi'liang'shen 行人远道凄凉甚
'xing'xing'you'xian'meng'li'ren 醒醒游仙梦里人
'xun'de'gan'quan'qie'fang'ge 寻得甘泉且放歌
'yan'kan'qian'kun'yi'ju'qi 眼看乾坤一局棋
'yan'ran'qian'xiao'geng'di'huai 嫣然浅笑更低徊
'yang'hua'xie'hou'piao'xiang'xu 杨花榭后飘香絮
'yao'ding'dan'lu'xiao'ge'hong 药鼎丹炉笑葛洪
'yao'wen'ming'ming'zao'hua'lai 要问冥冥造化来
'yao'zhi'ji'di'xin'xiang'jiu 遥知几滴馨香酒
'ye'su'qi'tu'yi'shan'chun 耶稣气吐一山春
'yi'bei'xi'jin'jiu'hui'chang 一杯洗尽九回肠
'yi'bei'zhuo'jiu'wu'yu'hen 一杯浊酒无余恨
'yi'dan'hun'gui'wan'shi'kong 一旦魂归万事空
'yi'dan'shu'shi'yi'hu'jiang 一箪疏食一壶浆
'yi'di'luo'ying'chou'yu'yu 一地落英愁欲语
'yi'dian'tian'yuan'shang'you'she 伊甸天园尚有蛇
'yi'juan'shi'shu'shu'xia'liang 一卷诗书树下凉
'yi'lan'fang'hua'jin'shi'hui 伊览芳华尽势灰
'yi'mo'chao'tun'ran'si'duo 一抹朝暾染四埵
'yi'ru'zhong'wei'ke'miao'ran 一入重帏客渺然
'yi'shen'yuan'guo'pu'tao'ye 遗身愿裹葡萄叶
'yi'sheng'yi'si'xun'chang'shi 一生一死寻常事
'yi'shi'fu'hua'zong'luo'kong 一世浮华总落空
'yi'shi'piao'ling'jiu'ke'lai 疑是飘零酒客来
'yi'xie'hua'hun'zai'bu'xiang 一谢花魂再不香
'yi'yi'sheng'ya'jiu'li'guo 一一生涯酒里过
'yi'zhao'chan'tui'yu'qu'qiao 一朝蝉蜕余躯壳
'yi'zhi'kong'kong'fu'jiu'bei 一只空空覆酒杯
'yin'an'jin'luo'qi'ru'hong 银鞍金络气如虹
'you'de'fen'qian'zui'yi'chang 犹得坟前醉一场
'you'fang'cun'jia'tao'jiang'qu 又访村家陶匠去
'you'lai'zhen'wei'shuang'hao'mao 由来真伪爽毫毛
'you'shi'ye'hu'xin'wei'wu 犹是野狐心未悟
'you'you'ti'juan'ge'diao'gao 犹有啼鹃格调高
'yu'huang'xian'ji'tou'guan'jin 玉皇仙籍偷观尽
'yu'jiang'shuang'jia'ran'ying'tao 欲将双颊染樱桃
'yu'jie'shen'ming'jian'yi'zhi 欲借神明剑一枝
'yu'jin'hua'ban'chao'tian'wu 郁金花瓣朝天舞
'yu'li'tian'heng'lue'zheng'tiao 玉历天衡略整调
'yu'wen'qian'yuan'yu'hou'yuan 欲问前缘与后缘
'yu'xun'shen'hou'lu'mang'mang 欲寻身后路茫茫
'yuan'jian'xian'ren'qi'yu'lou 愿见仙人启玉楼
'yuan'xiang'yao'zhi'shi'wang'he 远乡遥指是亡何
'yuan'zhen'gu'gu'zai'xi'yi 元真故故在希夷
'yue'ming'hai'shang'hua'xian'qin 月明海上化仙禽
'yue'yun'xing'yi'gu'zhi'jin 月运星移古至今
'yue'zhao'qian'jia'hu'ban'kai 月照千家户半开
'yun'shan'cang'hai'he'nian'jin 云山沧海何年尽
'yun'shan'ji'du'cheng'cang'hai 云山几度成沧海
'zang'zai'ming'hua'nu'fang'zhong 葬在名花怒放中
'zao'hua'hong'chen'you'xi'lai 造化红尘游戏来
'zhai'qu'pu'tao'ji'jiu'shen 摘取葡萄祭酒神
'zhai'qu'xing'chen'xiang'wo'pao 摘取星辰向我抛
'zhan'sui'san'qian'chou'shi'jie 斩碎三千愁世界
'zhe'ren'yi'zhen'man'you'xian 哲人敧枕漫游仙
'zhen'wei'you'lai'shuang'yi'si 真伪由来爽一丝
'zheng'you'ren'jian'she'guo'yin 争又人间设果因
'zhi'jin'liao'luo'yi'wu'duo 只今寥落已无多
'zhi'ren'ni'ma'ying'chong'chong 纸人泥马影憧憧
'zhi'shang'lin'li'zong'zui'bi 纸上淋漓纵醉笔
'zhong'kui'shou'bing'xuan'feng'jian 钟馗手秉旋风剑
'zhong'you'guang'ming'deng'yi'zhan 中有光明灯一盏
'zhuan'huan'teng'na'you'wei'le 转换腾那犹未了
'zhuan'lian'mai'jiu'cun'qian'sou 转怜卖酒村前叟
'zhuan'shen'ta'shang'you'gao'mian 转身榻上又高眠
'zhuo'lao'yi'wai'wu'zhen'li 浊醪以外无真理
'zi'gui'ti'jin'yi'chun'xin 子规啼尽一春心
'zi'qian'li'hun'dao'da'huang 自遣离魂到大荒
'zong'heng'ri'ye'wei'qi'ju 纵横日夜为棋局
'zou'zi'diao'long'yan'zi'tian 邹子雕龙衍子天
'zui'li'mo'hu'shuo'bu'qing 醉里模糊说不清
'zui'mian'ling'shang'cao'qian'qian 醉眠陵上草芊芊
'zui'mian'nei'fu'bao'zang'zhong 醉眠内府宝藏中
'zui'pao'yi'dai'cheng'he'han 醉抛衣带成河汉
'zui'weng'qu'hou'yu'he'wu 醉翁去后余何物
'zui'xiang'bing'hu'wen'duan'chang 醉向冰壶问短长
'zui'yan'zhi'yi'kan'bai'ri 醉眼只宜看白日
'zun'qian'mo'zuo'ao'nao'sheng 尊前莫作懊憹声
'zuo'ri'shen'you'ci'ri'shen 昨日身犹此日身
'zuo'xiao'mei'gui'luo'shui'jia 昨宵玫瑰落谁家
'zuo'zhong'wu'wo'mo'pai'huai 座中无我莫徘徊
