'a'bu'suo'lun'zhi'chao 阿布索伦织巢
'sha'ke'la 沙克拉
'sha'shi'chong 沙噬虫
'sha'shi'chong'dao 沙噬虫道
'shan'hu'hai 珊瑚海
'shan'hu'jian'ta 珊瑚尖塔
'shen'sui'wan'ge 深邃挽歌
'shen'wu 深坞
'shen'yuan 深渊
'sheng'bao 圣堡
'sheng'bao'gong'chang 圣堡工厂
'sheng'bao'wen'quan 圣堡温泉
'sheng'bao'zhong'dao 圣堡钟道
'sheng'ge'meng'di 圣歌盟地
'sheng'ge'yin'tong 圣歌音筒
'sheng'mai'shu'guan 圣脉枢管
'sheng'mu'luan 圣母卵
'sheng'yan'shi 生衍石
'sheng'yong'dian 圣咏殿
'sheng'yong'yin'tong 圣咏音筒
'sheng'zhi'ye'jian 生质液茧
'sheng'zhi'ye'ping 生质液瓶
'sheng'zhi'ye'xian 生质液腺
'shi'ge'da'chu'lu'ge'li 失格大厨卢戈利
'shi'jie 蚀阶
'shi'luo'cui'ting 失落翠庭
'shi'si'qu 噬丝蛆
'shou'jia'sui'pian 兽甲碎片
'shou'wang'zhe'yi'hen 守望者忆痕
'shou'xu'fei'xian'ren 手续费仙人
'shou'ying 兽蝇
'shuang'sheng'zhi'xin 双生之心
'si'dan 丝弹
'si'jin'ke'si 斯金克斯
'si'ka'er'ge'hou'ka'mei'li'ta 斯卡尔歌后卡梅丽塔
'si'ka'er'jin'wei'long'ya'ge 斯卡尔禁卫龙牙哥
'si'lie'zhe'xiu'nv 撕裂者修女
'si'ren'wen'quan 私人温泉
'si'ti'jin 斯提金
'si'ti'ke'si 斯提克斯
'si'zhi'mao 丝之矛
'si'zhou 丝咒
'song'huo'yuan 送货员
'su'la 苏拉
'su'she'suo 速射索
'sui'gu'dong'ku 髓骨洞窟
'sui'jing 燧晶
'sui'lie'zhe'zhang'zi 碎裂者长姊
'sui'pian'bao 碎片包
'sui'shi'ban 燧石板
'tai'qi'xiang 苔栖乡
'tai'xian'de'lu'yi 苔藓德鲁伊
'tai'xian'dong'xue 苔藓洞穴
'tian'cai'shou'fa 天才手法
'tiao'zao'jie 跳蚤节
'tiao'zao'lv'tuan 跳蚤旅团
'tiao'zao'mi'niang 跳蚤蜜酿
'tou'zhi'huan'zhan'huan 投掷环战环
'tui'bai'jiao'tang 颓败教堂
'wang'chong'nang 亡虫囊
'wei'da'de'ge'luo 伟大的格洛
'wei'xiu'shi'fu'li'ke 维修室弗利克
'wo'ge 沃葛
'wo'niu'sa'man 蜗牛萨满
'wu'ming'zhen 无名镇
'wu'nv 巫女
'wu'yu'wen'zhang 巫妪纹章
'wu'zhi'ku 物质库
'xian'zu'ji'yi 先祖技艺
'xiao'tou 小偷
'xiao'tou'shang'ren 小偷商人
'xie'er'ma 谢尔玛
'xin'de'li'er'zhi'chao 辛德里尔织巢
'xu'li'zhan 蓄力斩
'xu'mian'jiu'shi'zhu 虚面救世主
'xue'ling'shan 雪灵山
'xue'ling'zhi'zhu 雪灵之主
'xun'bao'zhe'shi'huang'qi 寻宝者拾荒奇
'xun'chong'qi'shi 寻虫启示
'ya'chong 鸦虫
'ya'chong'hu 鸦虫湖
'ya'chong'jiao'fu 鸦虫教父
'ya'chong'pei'shen'yuan 鸦虫陪审员
'ya'chong'shen'pan'ting 鸦虫审判庭
'ya'chong'zhao'huan'ling 鸦虫召唤令
'ya'chong'zhong'chao 鸦虫钟巢
'ya'na'bi 雅纳碧
'yan'yu'hui'qu 腌淤秽蛆
'yao'lan'sheng'suo 摇篮圣所
'yao'shi'yi 遥视仪
'yi'duan'zhi'yao 异端之钥
'yi'hen 忆痕
'yi'jing'ji'nian'he 忆境纪念盒
'yi'lang 忆廊
'yi'sheng 医生
'yi'shi 医师
'yi'sui'qiang'bi 易碎墙壁
'yin'guang'ling'dang 银光铃铛
'yin'mi'lie'shou 隐秘猎手
'ying'guo'ke 硬果壳
'ying'xiong'yi'hen 英雄忆痕
'you'ma 尤玛
'you'ma'ma 尤玛玛
'you'shou 幼兽
'you'ying 幽影
'yu'fu'li'de 渔夫里德
'yu'hui'qu 淤秽蛆
'yu'mu 育母
'yu'mu'you'chong 育母幼虫
'yu'mu'zhi'yan 育母之眼
'yu'zu'ying'long'zi'ge 狱卒蝇笼子哥
'yuan'chu'zui'zhe 原初罪者
'yuan'ye 远野
'yuan'zui'zhe 原罪者
'zai'xun'shang'gu 再寻商贾
'zan'ge'zhu'shou 赞戈助手
'zao'tuo'bang 蚤托邦
'zha'zha 扎扎
'zhao'qu 沼蛆
'zhen'hui 针徽
'zhen'ji 针姬
'zhen'jiang'pu'lin'ni 针匠普林尼
'zhi'guang'yi 织光仪
'zhi'hui'jia 指挥家
'zhi'ji 织姬
'zhi'nv'chong 织女虫
'zhi'zao'jin'shu 制造金属
'zhi'zhe'diao'xiang 织者雕像
'zhi'zhen 直针
'zhong'dao'shou 钟道兽
'zhong'dian 钟殿
'zhong'jie'zhan 终界站
'zhong'ju'yao'shi 钟居钥匙
'zhong'tu'jiu'guan 中途酒馆
'zhong'xin'zhen 钟心镇
'zhong'zhi'yin'zhe 钟之隐者
'zhu'bi'la'na 朱比拉娜
'zhu'pan'shu 蛛攀术
'zi'dong'ji 自动机
'zui'shi'lao'yu 罪石牢狱
'zui'tu 罪途
