'an'hao 案号
'bu'yu'zhi'chi 不予支持
'bu'zheng 补正
'cai'wu'zong'jian 财务总监
'can'yu'fen'pei 参与分配
'can'zhao 参照
'cang'ni 藏匿
'cao'zong'zheng'quan'shi'chang 操纵证券市场
'ce'fan 侧翻
'cha'feng 查封
'cha'kong'xi'tong 查控系统
'cha'xun'ji'lu 查询记录
'chan'pin'ze'ren 产品责任
'chan'za 掺杂
'chao'su'xing'shi 超速行驶
'chao'yuan 超员
'chao'yue'zhi'quan 超越职权
'chao'zai 超载
'che'jia'hao 车架号
'che'liang'nian'jian 车辆年检
'che'liang'shi'bie'dai'hao 车辆识别代号
'che'xiao 撤销
'cheng'dan 承担
'cheng'fa'xing'pei'chang 惩罚性赔偿
'cheng'nuo'bao'ben'fu'xi 承诺保本付息
'cheng'nuo'shu 承诺书
'chi'dao 迟到
'chi'ming'shang'biao 驰名商标
'chu'na 出纳
'chuang'hong'deng 闯红灯
'chuang'kou'chang'du 创口长度
'chuang'zao'xing 创造性
'chun'du'han'liang 纯度含量
'ci'shang 刺伤
'ci'tui 辞退
'ci'yao'ze'ren 次要责任
'cuan'gai 篡改
'cuan'gai'shu'ju 篡改数据
'cun'wei'hui 村委会
'cun'zai'guan'lian 存在关联
'da'bian'che 搭便车
'da'bian'qi 答辩期
'da'bu'fen'hu'li'yi'lai 大部分护理依赖
'da'ka'ji'lu 打卡记录
'da'yin'ri'qi 打印日期
'dai'kuan'zha'pian 贷款诈骗
'dai'li'fu'wu'qi 代理服务器
'dai'li'shen'pan'yuan 代理审判员
'dai'shou'kao 戴手铐
'dai'tong'zhi'jin 代通知金
'dan'ren'guo'jia'ji'guan'zhi'wu 担任国家机关职务
'dan'ren'guo'you'gong'si'qi'ye'ling'dao'zhi'wu 担任国有公司企业领导职务
'dang'ting'hui'guo 当庭悔过
'dao'ta 倒塌
'deng'tong'yuan'ze 等同原则
'di'er 第二
'di'kang'shang 抵抗伤
'di'kou'shui'kuan 抵扣税款
'di'san 第三
'di'xia'qian'zhuang 地下钱庄
'di'xiao 抵销
'di'yi 第一
'di'zhi 地址
'dian'xin'wang'luo'zha'pian 电信网络诈骗
'dian'zi'qian'bao 电子钱包
'dian'zi'shu'ju'qu'zheng 电子数据取证
'diao'xiao'xu'ke'zheng 吊销许可证
'diao'yu'wang'zhan 钓鱼网站
'diu'bao 丢包
'dong'jie 冻结
'dong'tai'kou'ling 动态口令
'du'chuang'xing 独创性
'du'jia 毒驾
'du'pin'zai'fan 毒品再犯
'du'wu'fen'xi 毒物分析
'du'zhan'xu'ke 独占许可
'du'zi 毒资
'du'zi'liu'zhuan 毒资流转
'dui'fang'wu 堆放物
'dui'fu'kun'nan 兑付困难
'dui'gong'zhang'hu 对公账户
'dui'qiao 对敲
'dun'qi'shang 钝器伤
'e'jing 扼颈
'e'shi'li 恶势力
'e'yi'tou'zhi 恶意透支
'er'ci'shi'gu 二次事故
'er'wei'ma 二维码
'fa'ding'jie'jia'ri'jia'ban 法定节假日加班
'fa'ding'pei'chang 法定赔偿
'fa'dong'ji'hao 发动机号
'fa'guan'zhu'li 法官助理
'fa'huan'bei'hai'ren 发还被害人
'fa'jin 罚金
'fa'kuan 罚款
'fa'lv'tiao'wen 法律条文
'fa'lv'ze'ren 法律责任
'fa'ming'zhuan'li 发明专利
'fa'xing'quan 发行权
'fan'huan 返还
'fan'mai 贩卖
'fan'xiang'hun'xiao 反向混淆
'fan'yi'ren'yuan 翻译人员
'fan'zui'qing'jie 犯罪情节
'fang'chan'fen'e 房产份额
'fang'chan'zheng 房产证
'fang'hai'gong'wu 妨害公务
'fang'hai'min'shi'su'song 妨害民事诉讼
'fang'hai'xing'shi'su'song 妨害刑事诉讼
'fang'hai'zuo'zheng 妨害作证
'fang'wei'shang 防卫伤
'fei'cuo'shang 肺挫伤
'fei'fa'chi'you'du'pin 非法持有毒品
'fei'fa'qin'ru 非法侵入
'fei'fa'xi'shou'gong'zhong'cun'kuan 非法吸收公众存款
'fei'fa'zhai'wu 非法债务
'fei'ji'dong'che 非机动车
'fei'zhong'ju'cai'jue 非终局裁决
'fen'sui'xing'gu'zhe 粉碎性骨折
'feng'cun 封存
'feng'hao 封号
'feng'he'zhen'shu 缝合针数
'feng'pi 封皮
'feng'zhuang 封装
'fou'ren'qin'zi'guan'xi 否认亲子关系
'fu'bai 腐败
'fu'dai'min'shi'su'song 附带民事诉讼
'fu'dan 负担
'fu'jian 复检
'fu'jian'er 附件二
'fu'jian'yi 附件一
'fu'juan 副卷
'fu'mu'chu'zi 父母出资
'fu'shen'wei'yuan'hui 复审委员会
'fu'tu 附图
'fu'wu'lei'bie 服务类别
'fu'wu'qi 服务器
'fu'wu'qi 服务期
'fu'yang'fei'biao'zhun 抚养费标准
'fu'yang'quan 抚养权
'fu'zhi'quan 复制权
'gai'bian'quan 改编权
'gai'zhang 盖章
'gan'po'lie 肝破裂
'gao'e'hui'bao 高额回报
'gao'kong'pao'wu 高空抛物
'gao'su'gong'lu 高速公路
'ge'li'hu'lan 隔离护栏
'ge'ren'xin'xi'bao'hu 个人信息保护
'ge'ren'zhang'hu 个人账户
'gen'gu'gu'zhe 跟骨骨折
'gen'ju 根据
'gong'neng'sang'shi 功能丧失
'gong'shang'bao'xian 工伤保险
'gong'shang'ren'ding 工伤认定
'gong'zuo'dan'wei 工作单位
'gu'ding'qi'xian 固定期限
'gu'gu'jing'gu'zhe 股骨颈骨折
'gu'mo'chuan'kong 鼓膜穿孔
'gu'pen'gu'zhe 骨盆骨折
'gu'piao'zhang'hu 股票账户
'gu'quan'fen'ge 股权分割
'gu'quan'jia'zhi 股权价值
'gu'quan'zhong'chou 股权众筹
'gu'yuan 雇员
'gua'ceng 剐蹭
'guan'lian'zhang'hu 关联账户
'guan'tong'shang 贯通伤
'guang'pan 光盘
'gui'dang'ri'qi 归档日期
'gui'yi'fang'suo'you 归一方所有
'guo'jia'pei'chang 国家赔偿
'han'shu'jia 寒暑假
'hao'chu'fei 好处费
'he'fa'xing'shen'cha 合法性审查
'he'li'xing'shen'cha 合理性审查
'he'tong'shu 合同书
'he'tong'zha'pian 合同诈骗
'hei'ming'dan 黑名单
'hei'she'hui'xing'zhi'zu'zhi 黑社会性质组织
'hong'nao'chong'ji'fa'ting 哄闹冲击法庭
'hu'fu 互负
'hu'li'qi 护理期
'hu'li'yi'lai'cheng'du 护理依赖程度
'hua'shang 划伤
'hua'shu'ben 话术本
'hua'wu'yuan 话务员
'huai'yun 怀孕
'huan'hui 换汇
'huan'xing'kao'yan'qi 缓刑考验期
'hui'bian'quan 汇编权
'hui'fu'shen'li 恢复审理
'hui'fu'shu'ju 恢复数据
'hui'fu'zhi'xing 恢复执行
'hui'kou 回扣
'hui'liu 回流
'hui'zui'biao'xian 悔罪表现
'hun'he'guo'cuo 混合过错
'hun'hou'gong'tong'cai'chan 婚后共同财产
'hun'qian'ge'ren'cai'chan 婚前个人财产
'hun'xiao'wu'ren 混淆误认
'hun'yin'zi'zhu'quan 婚姻自主权
'ji'dong'che 机动车
'ji'dong'che'xing'shi'zheng 机动车行驶证
'ji'fu 给付
'ji'jin'zhang'hu 基金账户
'ji'lu'zai'juan 记录在卷
'ji'shi 即使
'ji'shi'ye 即使也
'ji'shu'te'zheng 技术特征
'ji'xiao'gong'zi 绩效工资
'ji'xie'xing'zhi'xi 机械性窒息
'ji'ya'yi'ri'zhe'di'xing'qi'yi'ri 羁押一日折抵刑期一日
'ji'you 既又
'ji'zi'zha'pian 集资诈骗
'jia'ban'fei 加班费
'jia'ming 加名
'jia'shi 假释
'jia'shi'zheng 驾驶证
'jian'ding'ren'chu'ting 鉴定人出庭
'jian'hu'quan 监护权
'jian'kang'quan 健康权
'jian'ming 减名
'jian'pan'shou 键盘手
'jian'xing 减刑
'jian'yan'he'ge'biao'zhi 检验合格标志
'jian'yi 建议
'jian'yu 鉴于
'jian'zheng'ren 见证人
'jian'zhi 兼职
'jian'zhu'wu'tuo'luo 建筑物脱落
'jiang'jin 奖金
'jiang'shi 讲师
'jiao'fu 交付
'jiao'liao 脚镣
'jiao'tong'biao'zhi 交通标志
'jiao'tong'shi'gu'ze'ren'ren'ding'shu 交通事故责任认定书
'jiao'tong'xin'hao'deng 交通信号灯
'jiao'tong'zhao'shi'zui 交通肇事罪
'jiao'yi'di'dian 交易地点
'jiao'yu'fei 教育费
'jie'an'tong'zhi'shu 结案通知书
'jie'chu'dian 接触点
'jie'chu'jia'xiang'si 接触加相似
'jie'chu'jie'ju 解除戒具
'jie'chu'shou'yang 解除收养
'jie'du'suo 戒毒所
'jie'feng 解封
'jie'he 结合
'jie'hun'zheng 结婚证
'jie'jia'ri 节假日
'jie'jing 结晶
'jie'kuan'dan 借款单
'jie'she'zi'you 结社自由
'jie'song'di'dian 接送地点
'jin'guan 尽管
'jin'ji'jiu'zhi'quan 紧急救治权
'jin'si'shang'biao 近似商标
'jin'tie 津贴
'jin'xiang'shui 进项税
'jin'zhu 金主
'jing'fei'gu'gu'zhe 胫腓骨骨折
'jing'ji'bu'chang'jin 经济补偿金
'jing'jia 竞价
'jing'shen'sun'hai'fu'wei'jin 精神损害抚慰金
'jing'xie 警械
'jing'ye'xian'zhi 竞业限制
'jing'zhong 净重
'jing'zhui'gu'zhe 颈椎骨折
'ju'ben 剧本
'ju'bu'zhi'fu'lao'dong'bao'chou 拒不支付劳动报酬
'ju'bu'zhi'xing'pan'jue'cai'ding 拒不执行判决裁定
'ju'jian'fei 居间费
'ju'jie 具结
'ju'jie'hui'guo 具结悔过
'ju'jue'qian'zi 拒绝签字
'ju'liu 拘留
'ju'ren'guan 巨人观
'ju'shou 拒收
'ju'wei'hui 居委会
'ju'you'gao'du'gai'ran'xing 具有高度盖然性
'ju'zheng'qi 举证期
'ju'zhuang'shang'su 具状上诉
'juan'zong 卷宗
'jue'yu'shou'shu 绝育手术
'jun'ying 均应
'kai'chu 开除
'kai'fang'xing'lu'nao'sun'shang 开放性颅脑损伤
'kan'shang 砍伤
'kan'yan'jian'cha'bi'lu 勘验检查笔录
'kang'bian 抗辩
'kao'lv'dao 考虑到
'kao'qin'ji'lu 考勤记录
'ke'shu 克数
'ke'yi 可以
'kong'zhi'qing'xu 控制情绪
'kou'ya 扣押
'kou'ya'qing'dan 扣押清单
'kuai'di'dan'hao 快递单号
'kuai'di'you'ji 快递邮寄
'kuai'ji 会计
'kuang'gong 旷工
'lan'yong'zhi'quan 滥用职权
'lao'dong'guan'xi 劳动关系
'lao'dong'neng'li'jian'ding 劳动能力鉴定
'lao'dong'zhong'cai 劳动仲裁
'lao'shu'cang 老鼠仓
'lao'wu'guan'xi 劳务关系
'lao'wu'pai'qian 劳务派遣
'le'jing 勒颈
'lei'fan 累犯
'lei'gu'gu'zhe 肋骨骨折
'leng'qian'bao 冷钱包
'li'an'zhen'cha 立案侦查
'li'cai'chan'pin 理财产品
'li'hun'zheng 离婚证
'li'yi'shu'song 利益输送
'li'zhi'zheng'ming 离职证明
'lian'dai 连带
'liang'jie'shu 谅解书
'liao'tian'ji'lu 聊天记录
'liu'zhi 留置
'lou'shui 漏税
'lu'di'gu'zhe 颅底骨折
'lu'gu'gu'zhe 颅骨骨折
'lu'kou 路口
'lu'nao'sun'shang 颅脑损伤
'lu'yong'tiao'jian 录用条件
'lun'hou'cha'feng 轮候查封
'lun'liu'fu'yang 轮流抚养
'luo'liao'qiao'zha 裸聊敲诈
'lv'hua'dai 绿化带
'lv'xing 履行
'mai'lei 埋雷
'mang'guan'shang 盲管伤
'mao'chong'gong'jian'fa 冒充公检法
'mao'chong'ke'fu 冒充客服
'mao'fa'jian'ce 毛发检测
'mao'ming'ding'ti 冒名顶替
'mei'ti'ji'zhe 媒体记者
'mi'yue 密钥
'min'chu 民初
'min'zhong 民终
'ming'cheng'quan 名称权
'ming'que'biao'shi 明确表示
'ming'yu'quan 名誉权
'mo'shou 没收
'mo'shou'ge'ren'quan'bu'cai'chan 没收个人全部财产
'mo'shou'wei'fa'suo'de 没收违法所得
'mu'ju 模具
'mu'lu 目录
'mu'ma'bing'du 木马病毒
'na'shui'shen'bao 纳税申报
'na'yin 捺印
'nan'yi'cai'xin 难以采信
'nao'cuo'lie'shang 脑挫裂伤
'nao'shan 脑疝
'nao'zhen'dang 脑震荡
'nei'mu'jiao'yi 内幕交易
'neng'gou 能够
'ni'de'zhang'hu'she'xian'xi'qian 你的账户涉嫌洗钱
'ni'shui 溺水
'ni'xiang'xing'shi 逆向行驶
'nian'xiu'jia 年休假
'nian'ya 碾压
'niao'jian'cheng'yang'xing 尿检呈阳性
'nue'dai 虐待
'nuo'yong'zi'jin 挪用资金
'ou'da 殴打
'pai'chu'qin'zi'guan'xi 排除亲子关系
'pai'mai 拍卖
'pai'ta'xu'ke 排他许可
'pan'jue'sheng'xiao'zheng'ming 判决生效证明
'pan'jue'shu'hao 判决书号
'pan'ling 判令
'pang'shi'pian'ju 庞氏骗局
'pang'ting'ren'yuan 旁听人员
'pao'fen'ping'tai 跑分平台
'pao'lu 跑路
'pei'chang 赔偿
'pei'chang'jin 赔偿金
'pei'chang'jue'ding'shu 赔偿决定书
'pei'chang'qing'qiu'ren 赔偿请求人
'pei'chang'wei'yuan'hui 赔偿委员会
'pei'chang'xie'yi 赔偿协议
'pei'chang'yi'wu'ji'guan 赔偿义务机关
'pei'li'dao'qian 赔礼道歉
'peng'zhuang'dian 碰撞点
'pi'lao'jia'shi 疲劳驾驶
'pi'po'lie 脾破裂
'pi'xia'chu'xie 皮下出血
'pian'qu'chu'kou'tui'shui 骗取出口退税
'pian'qu'dai'kuan 骗取贷款
'ping'gu'bao'gao 评估报告
'ping'mu'gong'xiang 屏幕共享
'ping'shi'jia'ban 平时加班
'ping'zheng 凭证
'po'huai'ji'suan'ji'xin'xi'xi'tong 破坏计算机信息系统
'pu'tong'fa'piao 普通发票
'pu'tong'xu'ke 普通许可
'qi'che'tao'yi 弃车逃逸
'qi'feng'zhang 骑缝章
'qi'ye'ming'cheng 企业名称
'qi'ye'nian'jin 企业年金
'qian'jiao 欠缴
'qian'ming 签名
'qian'shou 签收
'qian'tiao 欠条
'qiang'xing'dai'chu'fa'ting 强行带出法庭
'qiang'zhi'ge'li'jie'du 强制隔离戒毒
'qiang'zhi'zhi'xing'shen'qing 强制执行申请
'qin'fan'ren'shen'zi'you 侵犯人身自由
'qin'quan'sun'hai'pei'chang 侵权损害赔偿
'qin'zi'guan'xi 亲子关系
'qin'zi'jian'ding 亲子鉴定
'qin'zi'que'ren 亲子确认
'qing'xu'ji'dong 情绪激动
'qing'zuo'xia 请坐下
'qu'kuai'lian 区块链
'qu'yang 取样
'quan'bu'fu'gai'yuan'ze 全部覆盖原则
'quan'bu'ze'ren 全部责任
'quan'li'yao'qiu'shu 权利要求书
'quan'ti'qi'li 全体起立
'quan'tui 劝退
'que'fa'shi'shi'he'fa'lv'yi'ju 缺乏事实和法律依据
'que'qin 缺勤
'que'ren 确认
'que'ren'wu'wu 确认无误
'que'xi'shen'pan 缺席审判
'que'xian'chan'pin 缺陷产品
'ren'min'bi 人民币
'ren'min'pei'shen'yuan 人民陪审员
'ren'ti'cang'du 人体藏毒
'ren'xing'heng'dao 人行横道
'ren'zhi'gong'neng'zhang'ai 认知功能障碍
'rong'liu'ta'ren'xi'du 容留他人吸毒
'rong'mao'hui'sun 容貌毁损
'rong'yu'quan 荣誉权
'ru'xia 如下
'ruan'zu'zhi'cuo'shang 软组织挫伤
'rui'qi'shang 锐器伤
'san'luo'wu 散落物
'san'qi'jian'ding 三期鉴定
'sha'che'hen'ji 刹车痕迹
'sha'zhu'pan 杀猪盘
'shang'biao'zhu'ce'zheng 商标注册证
'shang'can'deng'ji 伤残等级
'shang'can'deng'ji'ping'ding 伤残等级评定
'shang'hao 商号
'shang'jia 上家
'shang'pin'lei'bie 商品类别
'shang'su'qi 上诉期
'shang'ye'hui'lu 商业贿赂
'shang'you'fan'zui 上游犯罪
'she'bao 社保
'she'hui'wei'hai'xing 社会危害性
'she'ji'kong'jian 设计空间
'she'qu'jiao'zheng 社区矫正
'she'qu'jie'du 社区戒毒
'shen'cuo'shang 肾挫伤
'shen'fen'zheng 身份证
'shen'li'qi'xian 审理期限
'shen'pan'yuan 审判员
'shen'pan'zhang 审判长
'shen'qing'xiu'ting 申请休庭
'shen'ti'bu'shi 身体不适
'shen'ti'quan 身体权
'sheng'chan'zhe 生产者
'sheng'huo'bu'neng'zi'li 生活不能自理
'sheng'ming'quan 生命权
'sheng'yu'bao'xian 生育保险
'shi'ban 尸斑
'shi'ji'he 试剂盒
'shi'ji'kong'zhi'ren 实际控制人
'shi'jian 尸检
'shi'jiang 尸僵
'shi'shen'jing'sun'shang 视神经损伤
'shi'shi'bu'qing 事实不清
'shi'shi'lao'dong'guan'xi 事实劳动关系
'shi'ti'jian'yan 尸体检验
'shi'ti'jie'pou 尸体解剖
'shi'wei 视为
'shi'wei'che'su 视为撤诉
'shi'wen 尸温
'shi'xi 试吸
'shi'xin'bei'zhi'xing'ren 失信被执行人
'shi'xin'jue'ding'shu 失信决定书
'shi'ye'bao'xian 失业保险
'shi'yong'fa'lv'cuo'wu 适用法律错误
'shi'yong'qi 试用期
'shi'yong'xin'xing 实用新型
'shi'yong'xing 实用性
'shi'zhi'xing'xiang'si 实质性相似
'shou'feng'fa'yuan 首封法院
'shou'ju 收据
'shou'quan'wei'tuo'shu 授权委托书
'shou'yang'guan'xi 收养关系
'shu'ji'yuan 书记员
'shu'ji'yuan'xuan'du 书记员宣读
'shu'mian'lao'dong'he'tong 书面劳动合同
'shu'ming'quan 署名权
'shua'dan 刷单
'shuang'bei'gong'zi 双倍工资
'shui'lv 税率
'shuo'ming'li'you 说明理由
'shuo'ming'shu 说明书
'si'cheng 司惩
'si'fa'jian'ding'yi'jian'shu 司法鉴定意见书
'si'fa'jian'yi'shu 司法建议书
'si'fa'jiu'zhu 司法救助
'si'fa'ju'liu 司法拘留
'si'fa'pei'chang 司法赔偿
'si'mu'ji'jin 私募基金
'si'yang'dong'wu'sun'hai 饲养动物损害
'song'da'hui'zheng 送达回证
'sui'ran'dan'shi 虽然但是
'tai'da'bi 泰达币
'tan'wang'fang'shi 探望方式
'tan'wang'shi'jian 探望时间
'teng'tui 腾退
'ti'cheng 提成
'ti'gong'lao'wu'zhe'shou'hai 提供劳务者受害
'ti'lian 提炼
'ti'ya'kan'guan 提押看管
'tiao'xiu 调休
'ting'cong'zhi'hui 听从指挥
'ting'gong'liu'xin'qi 停工留薪期
'ting'li'xia'jiang 听力下降
'ting'zheng'cheng'xu 听证程序
'tong'bao 通报
'tong'deng'ze'ren 同等责任
'tong'yi'she'hui'xin'yong'dai'ma 统一社会信用代码
'tong'zhi'shan'chu 通知删除
'tou'shui 偷税
'tou'zi'li'cai 投资理财
'tou'zi'li'cai'zha'pian 投资理财诈骗
'tu'di'zheng 土地证
'tuan'huo'jia'gou 团伙架构
'tuo'ku 拖库
'tuo'yin 拖印
'wa'kuang 挖矿
'wai'guan'she'ji 外观设计
'wai'shang'xing'dian'xian 外伤性癫痫
'wan'quan'hu'li'yi'lai 完全护理依赖
'wan'yuan 万元
'wang'dai 网贷
'wei'dian 位点
'wei'fa'shi'yong'wu'qi 违法使用武器
'wei'fan'fa'ding'cheng'xu 违反法定程序
'wei'jing'xu'ke 未经许可
'wei'xian'jia'shi'zui 危险驾驶罪
'wei'xie'si'fa'gong'zuo'ren'yuan 威胁司法工作人员
'wei'xiu'nian'xiu'jia'gong'zi 未休年休假工资
'wei'yi'zhu'fang 唯一住房
'wei'yue'ding 未约定
'wei'yue'jin 违约金
'wei'zao 伪造
'wei'zheng 伪证
'wo'cang 窝藏
'wo'dian 窝点
'wu'fa'sheng'yu 无法生育
'wu'gong'qi 误工期
'wu'gu'ding'qi'xian 无固定期限
'wu'jian'sun'hai 物件损害
'wu'li'di'zhi 物理地址
'wu'lun 无论
'wu'ru'fei'bang 侮辱诽谤
'wu'ze'ren 无责任
'wu'zhi'sun'shi 物质损失
'xi'jing 袭警
'xi'ku 洗库
'xi'qian 洗钱
'xi'shou'zi'jin 吸收资金
'xia'jia 下家
'xian'jin'jia'zhi 现金价值
'xian'shu'bu'dang 显属不当
'xian'xia'men'dian 线下门店
'xian'xing'gu'zhe 线性骨折
'xian'yong'quan 先用权
'xian'you'ji'shu 现有技术
'xian'zhi'gao'xiao'fei 限制高消费
'xian'zhi'xiao'fei'ling 限制消费令
'xiang'hu'yin'zheng 相互印证
'xiao'hui'qin'quan'chan'pin 销毁侵权产品
'xiao'shou'zhe 销售者
'xiao'xiang'quan 肖像权
'xiao'xiang'shui 销项税
'xie'lou'nei'mu'xin'xi 泄露内幕信息
'xie'yi'shu 协议书
'xie'zhu'zhi'xing 协助执行
'xin'xi'wang'luo'chuan'bo'quan 信息网络传播权
'xin'ying'xing 新颖性
'xin'yong'ka'zha'pian 信用卡诈骗
'xing'cheng'suo'lian 形成锁链
'xing'chu 刑初
'xing'ming'quan 姓名权
'xing'qi'ji'suan 刑期计算
'xing'ren 行人
'xing'shi'fang'xiang 行驶方向
'xing'shi'fu'dai'min'shi'pan'jue'shu 刑事附带民事判决书
'xing'shi'pei'chang 刑事赔偿
'xing'shi'zheng 行驶证
'xing'zheng'chu 行政初
'xing'zheng'ju'liu 行政拘留
'xing'zheng'pei'chang 行政赔偿
'xing'zheng'zhong 行政终
'xing'zhong 刑终
'xiong'zhui 胸椎
'xiu'gai'quan 修改权
'xu'gou'zhai'wu 虚构债务
'xu'jia'chen'shu 虚假陈述
'xu'jia'dai'kuan 虚假贷款
'xu'jia'lian'jie 虚假链接
'xu'jia'mao'yi 虚假贸易
'xu'kai 虚开
'xu'ke'fei'bei'shu 许可费倍数
'xu'ni'huo'bi 虚拟货币
'xu'ni'zhuan'yong'wang'luo 虚拟专用网络
'xu'yao'xiu'xi 需要休息
'xuan'chuan'dan 宣传单
'xuan'gao 宣告
'xuan'gao'wu'xiao 宣告无效
'xuan'ju'quan 选举权
'xue'qi'xiong 血气胸
'xue'ye'jiu'jing'han'liang 血液酒精含量
'xun'jie 训诫
'ya'chi'tuo'luo 牙齿脱落
'yan'huo 验货
'yan'jin 严禁
'yan'lun'zi'you 言论自由
'yan'mo 研磨
'yan'qi'shen'li 延期审理
'yan'shi'yin'man 掩饰隐瞒
'yan'shi'yin'man'fan'zui'suo'de 掩饰隐瞒犯罪所得
'yan'shi'yin'man'fan'zui'suo'de'zui 掩饰隐瞒犯罪所得罪
'yan'zheng'ma 验证码
'yan'zhong'ji'bing 严重疾病
'yan'zhong'shi'zhi 严重失职
'yan'zhong'wei'fan'gui'zhang'zhi'du 严重违反规章制度
'yang'lao'bao'xian 养老保险
'yang'xing 阳性
'yao'zhui'ya'suo'xing'gu'zhe 腰椎压缩性骨折
'ye'ma 页码
'yi'ci'xing'gong'shang'yi'liao'bu'zhu'jin 一次性工伤医疗补助金
'yi'ci'xing'shang'can'bu'zhu'jin 一次性伤残补助金
'yi'ci'xing'shang'can'jiu'ye'bu'zhu'jin 一次性伤残就业补助金
'yi'ju 依据
'yi'liao'bao'xian 医疗保险
'yi'liao'fei 医疗费
'yi'liao'guo'cuo 医疗过错
'yi'liao'shi'gu'ji'shu'jian'ding 医疗事故技术鉴定
'yi'liao'sun'hai 医疗损害
'yi'song 移送
'yi'tai'fang 以太坊
'yi'wan'cheng'yi'ding'gong'zuo'ren'wu'wei'qi'xian 以完成一定工作任务为期限
'yi'wu'di'zhai 以物抵债
'yi'xue'hui 医学会
'yi'yang'hua'tan'zhong'du 一氧化碳中毒
'yi'ying 亦应
'yi'yuan 亿元
'yin'hang'liu'shui 银行流水
'yin'jiu'hou'jia'shi 饮酒后驾驶
'yin'jiu'jia'shi 饮酒驾驶
'yin'si'quan 隐私权
'yin'xing 阴性
'ying'dang 应当
'ying'ji'che'dao 应急车道
'ying'mo'wai'xue'zhong 硬膜外血肿
'ying'mo'xia'xue'zhong 硬膜下血肿
'ying'si'wu'bi 营私舞弊
'ying'yang'qi 营养期
'ying'ye'zhi'zhao 营业执照
'yong'yu'gong'tong'sheng'huo 用于共同生活
'you'ji'ping'zheng 邮寄凭证
'you'pan 优盘
'you'xing'shi'wei'zi'you 游行示威自由
'yu'ming 域名
'yuan'cheng'kong'zhi 远程控制
'yue'ding'bu'ming 约定不明
'yue'kan'bi'lu 阅看笔录
'yun'shu 运输
'yun'shu'du'pin 运输毒品
'za'dao 匝道
'zan'kou 暂扣
'zan'yu'jian'wai'zhi'xing 暂予监外执行
'zao'tui 早退
'ze'ling'ting'chan'ting'ye 责令停产停业
'ze'ling'tui'chu'fa'ting 责令退出法庭
'ze'ling'tui'pei 责令退赔
'ze'ren'hua'fen 责任划分
'ze'ren'ren'ding'shu 责任认定书
'ze'xiao'fei 择校费
'zeng'yu'he'tong 赠与合同
'zeng'zhi'bu'fen 增值部分
'zeng'zhi'shui'zhuan'yong'fa'piao 增值税专用发票
'zhai'quan'ping'zheng 债权凭证
'zhai'quan'zhai'wu 债权债务
'zhang'ce 账册
'zhao'ren'ding'bao 找人顶包
'zhao'shi'tao'yi 肇事逃逸
'zhe'li'de 这里的
'zhen'liao'huo'dong 诊疗活动
'zheng'ju'bu'zu 证据不足
'zheng'ju'bu'zu'yi'zheng'ming 证据不足以证明
'zheng'ju'dai 证据袋
'zheng'juan 正卷
'zheng'ren'chu'ting 证人出庭
'zhi'chi'qin'zi'guan'xi 支持亲子关系
'zhi'er 之二
'zhi'fu 支付
'zhi'fu'jie'suan 支付结算
'zhi'qing'tong'yi'quan 知情同意权
'zhi'ru'hou'tai 植入后台
'zhi'shi'chan'quan'shou'yi 知识产权收益
'zhi'ti'que'shi 肢体缺失
