'a'bei'ke'long'bi 阿贝克隆比
'fa'ge 法戈
'fan'ji 反击
'fei'ji 斐济
'fei'long 飞龙
'fei'ni'ke'si 菲尼克斯
'fei'te'lie'da'di 腓特烈大帝
'fei'te'lie'ka'er 腓特烈卡尔
'fei'ying 飞鹰
'fei'yu 鲱鱼
'fei'yun 飞云
'feng'xiang 凤翔
'feng'yun 风云
'fu'bo 伏波
'fu'chou 复仇
'fu'er'ban 福尔班
'fu'er'jia 伏尔加
'fu'lai'che 弗莱彻
'fu'lan'de'er 弗兰德尔
'fu'lan'ke'lin 富兰克林
'fu'li'ci'lu'mei 弗里茨鲁梅
'fu'luo'xi'luo'fu 伏罗希洛夫
'fu'sang 扶桑
'fu'shun 抚顺
'fu'te 富特
'fu'xu 福煦
'gan'gu'te 甘古特
'gang'yi'sha'wa'hao 冈依沙瓦号
'gao'xiong 高雄
'ge'cheng 葛城
'ge'la'si'ge 格拉斯哥
'ge'li'de'li 格里德利
'ge'li'qi'ya 戈里齐亚
'ge'lun'bi'ya 哥伦比亚
'ge'lun'wei'er 格伦维尔
'ge'luo'si'te 格罗斯特
'ge'nai'sen'nao 格奈森瑙
'gu'bi'xue'fu 古比雪夫
'gu'feng 谷风
'gu'ying 古鹰
'guan'dao 关岛
'guang'hui 光辉
'guang'rong 光荣
'gui'nu 鬼怒
'guo'gan 果敢
'ha'er'bin 哈尔滨
'ha'er'fu'de 哈尔福德
'ha'er'xi'bao'wei'er 哈尔西鲍威尔
'ha'man 哈曼
'hai'feng 海风
'hai'lun'na 海伦娜
'hai'qi 海圻
'hai'rong 海容
'hai'tian 海天
'hai'tun'hao 海豚号
'hai'wang'xing 海王星
'hai'yin'li'xi'qin'wang 海因里希亲王
'he'min 赫敏
'he'mu'hao 和睦号
'hei'an'jie 黑暗界
'hei'chao 黑潮
'hei'tai'zi 黑太子
'hei'ze'wu'de 黑泽伍德
'hong'liang 洪亮
'hu'ben 虎贲
'hu'de 胡德
'hu'feng 胡蜂
'hu'ti 狐提
'hua'jia 华甲
'hua'jian 花剑
'hua'sheng'dun 华盛顿
'hua'yue 花月
'huan'chang 寰昌
'huan'xiang'hao 幻想号
'huang'chao 荒潮
'huang'jia'cai'fu'hao 皇家财富号
'huang'jia'fang'zhou 皇家方舟
'huang'jia'xiang'shu 皇家橡树
'huang'jia'zhan'mu'si'hao 皇家詹姆斯号
'hui'sheng 回声
'hui'xing 彗星
'huo'bi 霍比
'huo'li 火力
'huo'nu'lu'lu 火奴鲁鲁
'huo'qiang'shou 火枪手
'ji'an 济安
'ji'feng 矶风
'ji'fu 基辅
'ji'luo'fu 基洛夫
'ji'qi 棘鳍
'ji'shang 吉尚
'ji'yi 纪伊
'jia'fu'er'bo'jue 加富尔伯爵
'jia'gu 加古
'jia'he 加贺
'jia'la'di'ya 加拉蒂亚
'jia'li'fu'ni'ya 加利福尼亚
'jia'li'mao'xian'hao 加里冒险号
'jia'si'ke'nie 加斯科涅
'jia'wei'si 贾维斯
'jian'wu 建武
'jian'ye 樫野
'jiang'feng 江风
'jiao'su'ai'ka'er'du'qi 焦苏埃卡尔杜齐
'jie'jin'si 杰金斯
'jin'bo'li 金伯利
'jin'gang 金刚
'jin'jiang 近江
'jin'lu'hao 金鹿号
'jin'qu 进取
'jin'shi 金狮
'jing'ji'shen 竞技神
'jiu'jin'shan 旧金山
'jiu'xiong 酒匂
'juan'bo 卷波
'jue'jiang 倔强
'jun'he 骏河
'jun'zhu 君主
'ka'er'si'lu'e 卡尔斯鲁厄
'ka'lang'shi'ta'de 喀琅施塔得
'ka'lv'bu'di'si 卡律布狄斯
'ka'sa'bu'lan'ka 卡萨布兰卡
'ka'shan 喀山
'ka'xin 卡辛
'kai'er'sheng 凯尔圣
'kai'xuan 凯旋
'kan'sa'si 堪萨斯
'kang'ke'de 康克德
'ke'bu 可怖
'ke'er'ke 科尔克
'ke'lai'meng'suo 克莱蒙梭
'ke'lei'wen 克雷文
'ke'li'ao'pei'te'la 克利奥佩特拉
'ke'li'fu'lan 克利夫兰
'ke'long'ke'lao'di'ya 科隆克劳迪亚
'ke'luo'la'duo 科罗拉多
'ke'ni'si'bao 柯尼斯堡
'ke'wei 可畏
'ken'te 肯特
'kong'bu 恐怖
'ku'er'si'ke 库尔斯克
'ku'la'suo 库拉索
'ku'po 库珀
'kun'xi 昆西
'la'de'fu'te 拉德福特
'la'fei 拉菲
'la'fei'er 拉斐尔
'la'jia'li'suo'ni'ai 拉加利索尼埃
'lai'ang'na'duo'da'fen'qi 莱昂纳多达芬奇
'lai'bi'xi 莱比锡
'lai'mu'hao 莱姆号
'lan'li 兰利
'lan'sai'yu 蓝鳃鱼
'le'ma'er 勒马尔
'lei'gen'si'bao 雷根斯堡
'lei'ming 雷鸣
'li'an'de 利安得
'li'ang 里昂
'li'nuo 里诺
'li'sai'liu 黎塞留
'li'shi'man 里士满
'li'tuo'li'ao 利托里奥
'li'wu'pu 利物浦
'liang'bo 凉波
'liang'yue 凉月
'lie'ke'xing'dun 列克星敦
'lie'ren 猎人
'ling'bo 绫波
'ling'gu 铃谷
'ling'lai 绫濑
'ling'min 灵敏
'long'feng 龙凤
'long'qi'bing 龙骑兵
'long'wu 龙武
'long'xiang 龙骧
'lu'ao 陆奥
'lu'mang 鲁莽
'lu'pu'lei'xi'te'qin'wang 鲁普雷希特亲王
'lu'yi'jiu'shi 路易九世
'lu'yi'si'wei'er 路易斯维尔
'lun'dun 伦敦
'luo'de'ni 罗德尼
'luo'en 罗恩
'luo'li 罗利
'luo'ma 罗马
'lv'zuo'fu 吕佐夫
'ma'bu'er'hei'de 马布尔黑德
'ma'ge'de'bao 马格德堡
'ma'ke'bo'luo 马可波罗
'ma'la'ni 马拉尼
'ma'li'lan 马里兰
'ma'li'xi'lai'si'te'hao 玛丽西莱斯特号
'ma'sa'zhu'sai 马萨诸塞
'ma'sai'na 马塞纳
'ma'sai'qu 马赛曲
'ma'ye'bu'lei'ze 马耶布雷泽
'mai'kao'er 麦考尔
'man'chao 满潮
'man'che'si'te 曼彻斯特
'mao'xian'hao 冒险号
'mao'yue 卯月
'mei'ke'lun'bao 梅克伦堡
'mei'yin'ci 美因茨
'meng'bi'li'ai 蒙彼利埃
'meng'fei'si 孟菲斯
'mi'le 米勒
'miao'feng 妙风
'miao'gao 妙高
'ming'ni'a'bo'li'si 明尼阿波利斯
'ming'qu 名取
'ming'shi 明石
'ming'si'ke 明斯克
'ming'yun'nv'shen 命运女神
'mo'er'man'si'ke 摩尔曼斯克
'mo'jia'duo'er 莫加多尔
'mo'li 莫里
'mo'li'sen'sai'pu'la'si 莫里森赛普拉斯
'mo'ye 摩耶
'mu'yue 睦月
'na'bu'le'si 那不勒斯
'na'er'xun 纳尔逊
'na'ke 那珂
'na'xi'mo'fu'hai'jun'shang'jiang 纳希莫夫海军上将
'na'zhi 那智
'nan'an'pu'dun 南安普顿
'nan'da'ke'ta 南达科他
'nei'hua'da 内华达
'neng'dai 能代
'ni'gu'la'si 尼古拉斯
'ni'ke'luo'suo'da'lei'ke 尼科洛索达雷科
'niao'hai 鸟海
'ning'hai 宁海
'niu'ka'si'er 纽卡斯尔
'niu'lun'bao 纽伦堡
'nu'bi'ya'ren 努比亚人
'nuo'fu'ke 诺福克
'nv'jiang 女将
'nv'zao'shen 女灶神
'ou'gen'qin'wang 欧根亲王
'ou'ruo'la 欧若拉
'pang'pei'ma'ge'nuo 庞培马格诺
'pei'nei'luo'po 佩内洛珀
'peng'sa'ke'la 彭萨科拉
'pi'zi'bao 匹兹堡
'ping'hai 平海
'pu'bo 浦波
'pu'ci'mao'si'mao'xian'hao 朴茨茅斯冒险号
'pu'feng 浦风
'pu'li'mao'si 普利茅斯
'pu'lin'si'dun 普林斯顿
'qi'bo'lin'bo'jue 齐柏林伯爵
'qi'er'sha'zhi 奇尔沙治
'qi'feng 旗风
'qi'ka'luo'fu 契卡洛夫
'qi'sheng 七省
'qi'ye 企业
'qia'ba'ye'fu 恰巴耶夫
'qian'dai'tian 千代田
'qian'jian 浅间
'qian'sui 千岁
'qian'wei 前卫
'qin'chao 亲潮
'qing'bo 清波
'qing'ye 青叶
'qiu'bi'te 丘比特
'que'jie 确捷
'rang'ba'er 让巴尔
're'xin 热心
'ri'xiang 日向
'ru'yue 如月
'rui'feng 瑞凤
'rui'he 瑞鹤
'ruo'ye 若叶
'ruo'yue 若月
'sa'fu'ke 萨福克
'sa'la'tuo'jia 萨拉托加
'sa'qie'er 撒切尔
'sai'de'li'ci 塞德利茨
'sai'wa'si'tuo'bo'er 塞瓦斯托波尔
'san'li 三笠
'san'ri'yue 三日月
'san'wei 三隈
'sha'en'huo'si'te 沙恩霍斯特
'shan'cheng 山城
'shan'feng 山风
'she'shui'yu 射水鱼
'shen'feng 神风
'shen'luo'pu'jun 什罗普郡
'shen'su 神速
'shen'tong 神通
'shen'xue 深雪
'sheng'di'ya'ge 圣地亚哥
'sheng'ha'xin'tuo 圣哈辛托
'sheng'hu'an 圣胡安
'sheng'li 胜利
'sheng'lu'yi'si 圣路易斯
'sheng'ma'ding'hao 圣马丁号
'sheng'nv'zhen'de 圣女贞德
'sheng'ta'fei 圣塔菲
'sheng'wang 声望
'shi'di'fen'bo'te 史蒂芬波特
'shi'yu 时雨
'shui'wu'lai 水无濑
'shui'wu'yue 水无月
'shui'xing'ji'nian 水星纪念
'si'ku'la 斯库拉
'si'mo'li 斯莫利
'si'pei'bo'jue'hai'jun'shang'jiang 斯佩伯爵海军上将
'si'peng'si 斯彭斯
'si'tan'li 斯坦利
'si'te'la'si'bao 斯特拉斯堡
'si'wan'shi 四万十
'si'zhan'nv'shen 司战女神
'song'diao 松鲷
'song'feng 松风
'su'sai'ke'si 苏塞克斯
'su'wei'ai'bei'la'luo'si 苏维埃贝拉罗斯
'su'wei'ai'luo'xi'ya 苏维埃罗西亚
'su'wei'ai'tong'meng 苏维埃同盟
'sun'ying 隼鹰
'ta'er'tu 塔尔图
'ta'lin 塔林
'ta'shi'gan 塔什干
'tai'yuan 太原
'tang'si 唐斯
'te'la'fa'er'jia 特拉法尔加
'te'li'ni'da 特立尼达
'te'lun'tuo 特伦托
'tei'xiu'si 忒修斯
'ti'er'bi'ci 提尔比茨
'ti'kang'de'luo'jia 提康德罗加
'tian'cheng 天城
'tian'hou 天后
'tian'lang'xing 天狼星
'tian'na'xi 田纳西
'tian'ying 天鹰
'tiao'yu 鲦鱼
'tu'ji'zhe 突击者
'tu'lin'gen 图林根
'tu'zuo 土佐
'tuo'li'chai'li 托里拆利
'wei'da'hao 维达号
'wei'er'shi'qin'wang 威尔士亲王
'wei'qi'ta 威奇塔
'wei'tuo'li'ao'ku'ni'bei'er'di 维托里奥库尼贝尔蒂
'wei'tuo'li'ao'wei'nei'tuo 维托里奥维内托
'wei'xi 威悉
'wei'yan 威严
'wei'zhang 尾张
'wen'qin'zuo'jiao'bei'di 文琴佐焦贝蒂
'wen'sen'si 文森斯
'wen'yue 文月
'wo'ke'lan 沃克兰
'wu'dao 雾岛
'wu'di 无敌
'wu'er'li'xi'feng'hu'teng 乌尔里希冯胡滕
'wu'qi 吾妻
'wu'shi'ling 五十铃
'wu'wei 无畏
'wu'zang 武藏
'xi'bei'feng 西北风
'xi'fu'ji'ni'ya 西弗吉尼亚
'xi'li 夕立
'xi'mu 夕暮
'xi'mu'si 西姆斯
'xi'nan'feng 西南风
'xi'pei'er'hai'jun'shang'jiang 希佩尔海军上将
'xi'xue'gui 吸血鬼
'xi'ya'tu 西雅图
'xi'zhang 夕张
'xia'fei 霞飞
'xiang'bin 香槟
'xiang'feng 祥凤
'xiang'ge'li'la 香格里拉
'xiang'he 翔鹤
'xiao'lie'tu'quan 小猎兔犬
'xiao'tian'e 小天鹅
'xiao'yue 宵月
'xie'fei'er'de 谢菲尔德
'xin'ao'er'liang 新奥尔良
'xin'nong 信浓
'xin'yue 新月
'xin'ze'xi 新泽西
'xing'deng'bao 兴登堡
'xing'zuo 星座
'xiong'meng 凶猛
'xiong'ye 熊野
'xiu'si'dun 休斯敦
'xu'fu'lun 絮弗伦
'xu'ku'fu 絮库夫
'xue'feng 雪风
'ya'de 亚德
'ya'er'wei'te 亚尔薇特
'ya'li'sang'na 亚利桑那
'ya'mai'jia 牙买加
'ya'nu'si 雅努斯
'ya'te'lan'da 亚特兰大
'yan'hu'cheng 盐湖城
'yan'zhan 厌战
'yang'yan'qiu 阳炎萩
'ye'fen 野分
'yi'bei 易北
'yi'chui 伊吹
'yi'ka'luo'si 伊卡洛斯
'yi'li 衣笠
'yi'li'sha'bai'nv'wang 伊丽莎白女王
'yi'shi 伊势
'yi'xian 逸仙
'yin'di'an'na 印第安纳
'yin'di'an'na'bo'li'si 印第安纳波利斯
'ying'ge'la'han 英格拉罕
'ying'huo'chong 萤火虫
'ying'rui 应瑞
'ying'wang'qiao'zhi'wu'shi 英王乔治五世
'ying'wu'luo 鹦鹉螺
'ying'xian'zuo 英仙座
'ying'xiong 英雄
'ying'yong 英勇
'yong'gan 勇敢
'yong'qi 勇气
'you'liang 由良
'you'ming 有明
'yu'hei 羽黑
'yuan'chou 怨仇
'yue'ke 约克
'yue'ke'cheng 约克城
'yue'ke'gong'jue 约克公爵
'yun'xian 云仙
'ze'xi 泽西
'zha'la 扎拉
'zhao'he 肇和
'zhen'hai 镇海
'zhen'ming 榛名
'zhen'zhu'hao 珍珠号
'zhi'jia'ge 芝加哥
'zhong'jian 重剑
'zhu'li'ao'kai'sa 朱利奥凯撒
'zhu'mo 筑摩
'zhu'nuo 朱诺
'zhu'sai'pei'jia'li'bo'di 朱塞佩加里波第
'zhui'feng 追风
'zhui'gan'zhe 追赶者
'zu'bing 足柄
'zui'shang 最上
'zuo'zhi'ya 佐治亚
