'an'quan 安全
'nian'fen'jiu 年份酒
'nian'qing'shi'chang 年轻市场
'ning'xin'ju'li 凝心聚力
'nong'xiang'jiu 浓香酒
'nong'xiang'xing 浓香型
'nuo'gao'liang 糯高粱
'nuo'mi 糯米
'pao'jiao'xun'huan 跑窖循环
'pao'jiu 跑酒
'pen'xiang 喷香
'pin'pai 品牌
'pin'pai'jia'zhi 品牌价值
'pin'pai'xing'xiang 品牌形象
'pin'pai'xuan'chuan 品牌宣传
'pin'xiang 品相
'pin'zhi'ti'sheng 品质提升
'ping'chen 瓶陈
'qing'liang'tou'ming 清亮透明
'qing'xiang'xing 清香型
'qing'zheng'qing'cha 清蒸清茬
'qu'dao 渠道
'qu'dao'jian'she 渠道建设
'qu'dao'you'hua 渠道优化
'qu'xiang 曲香
'quan'heng'chang 全恒昌
'quan'mian'cong'yan'zhi'dang 全面从严治党
'quan'qiu'bu'ju 全球布局
'ren'cai'pei'yang 人才培养
'ren'wu 任务
'ren'zheng'ti'xi 认证体系
'rong'yu'jiang'xiang 荣誉奖项
'shan'xi'fen'jiu 山西汾酒
'she'de'jiu'ye 舍得酒业
'she'hui'ze'ren 社会责任
'sheng'chan 生产
'sheng'chan'guan'li 生产管理
'sheng'chan'ji'shu 生产技术
'sheng'tai 生态
'sheng'tai'niang'zao 生态酿造
'sheng'xiao'jiu 生肖酒
'shi'chang 市场
'shi'chang'fen'e 市场份额
'shi'chang'hua'yun'ying 市场化运营
'shi'chang'jing'zheng 市场竞争
'shi'chang'kai'tuo 市场开拓
'shi'chang'ying'xiao 市场营销
'shi'jiao 石窖
'shi'jie'yi'liu 世界一流
'shi'li'jiu'cheng 十里酒城
'shi'ming'ren'wu 使命任务
'shi'wu'wu'gui'hua 十五五规划
'shou'zheng'chuang'xin 守正创新
'shu'zi'hua 数字化
'shu'zi'hua'zhuan'xing 数字化转型
'shuang'jing 爽净
'shui'jing'fang 水井坊
'shui'shou'gong'xian 税收贡献
'shun'xin'nong'ye 顺鑫农业
'sui'sha 碎沙
'tao'tan 陶坛
'te'xiang'xing 特香型
'ti'sheng 提升
'ti'sheng'zhi'liang 提升质量
'ti'xi 体系
'ti'zhi'gai'ge 体制改革
'ti'zhi'zeng'xiao 提质增效
'tian'xi'fu 天锡福
'tian'you'de'jiu 天佑德酒
'tie'pai'jiu 贴牌酒
'ting'yue'lou 听月楼
'tong'chou'tui'jin 统筹推进
'tou'jiu 头酒
'tuan'dui 团队
'tuan'dui'jian'she 团队建设
'tuan'dui'xie'zuo 团队协作
'wei'huang'tou'ming 微黄透明
'wei'jiu 尾酒
'wei'lai'zhan'wang 未来展望
'wen'chuang'chan'pin 文创产品
'wen'hua 文化
'wen'hua'jian'she 文化建设
'wen'hua'zhu'hun 文化铸魂
'wen'ti 问题
'wen'ti'dao'xiang 问题导向
'wen'zhong'qiu'jin 稳中求进
'wu'liang'ye 五粮液
'xi'tong'zhi'li 系统治理
'xiang'mu 项目
'xiang'mu'jian'she 项目建设
'xiao'fei'qu'shi 消费趋势
'xiao'fei'zhe 消费者
'xiao'fei'zhe'pei'yu 消费者培育
'xiao'lv'ti'sheng 效率提升
'xiao'lv'you'hua 效率优化
'xiao'mai 小麦
'xiao'qu 小曲
'xiao'shou 销售
'xiao'shou'mu'biao 销售目标
'xiao'yi 效益
'xiao'yi'ti'sheng 效益提升
'xie'tiao 协调
'xie'tong'fa'li 协同发力
'xin'gong'yi'bai'jiu 新工艺白酒
'xin'shi'dai 新时代
'xin'zheng'cheng 新征程
'xu'zao'fa'jiao 续糟发酵
'ya'li'ce'shi 压力测试
'yang'he'gu'fen 洋河股份
'yi'li'te 伊力特
'yi'xiang 溢香
'ying'jia'gong'jiu 迎驾贡酒
'ying'tong'huo 硬通货
'yu'mi 玉米
'yuan'chun'dong'xiao 元春动销
'yuan'jiu 原酒
'yuan'liang 原粮
'zai'chuang'jia'ji 再创佳绩
'zao'xiang 糟香
'ze'ren'dan'dang 责任担当
'zeng'guo 甑锅
'zhan'lue 战略
'zhan'lue'gui'hua 战略规划
'zhan'lue'he'zuo 战略合作
'zhang'wan'he 张万和
'zhen'zhua'shi'gan 真抓实干
'zheng'ce 政策
'zheng'ce'zhi'chi 政策支持
'zheng'zhi'zhan'wei 政治站位
'zhi'du'bao'zhang 制度保障
'zhi'liang 质量
'zhi'liang'guan'kong 质量管控
'zhi'ma'xiang'xing 芝麻香型
'zhi'neng'hua'sheng'ji 智能化升级
'zhi'qu 制曲
'zhong'dian'tu'po 重点突破
'zhong'duan 中端
'zhong'duan'jiu 中段酒
'zhong'san'he 钟三和
'zhong'wen'da'qu 中温大曲
'zhu'ti'jiu 主体酒
'zhuan'mai'dian 专卖店
'zhuan'xing 转型
'zhuan'xing'fa'zhan 转型发展
'zi'jin'guan'li 资金管理
'zi'yuan 资源
'zi'yuan'zheng'he 资源整合
'zuo'feng'jian'she 作风建设
