'a'da'mu'si 阿达姆斯
'ku'er'jia 库尔嘉
'ku'lu'zi 库鲁兹
'ku'ye'lie'bu'xi 库耶列布希
'kuang'luan'zhi'yu 狂乱之阈
'kuang'nu 狂怒
'la'bi'lin'te 拉比林特
'la'fei'er 拉斐尔
'la'fei'er'tuan 拉斐尔团
'la'ge'er'fu 拉格尔夫
'la'gui'er 拉贵尔
'la'gui'er'tuan 拉贵尔团
'la'lun'wai'zheng'dui 拉伦外征队
'la'pu'la'si 拉普拉斯
'la'si'ge'rui'si 拉丝格瑞丝
'lan'dun'ju'chong 兰顿巨虫
'lan'yue'bian'zhen 蓝月变阵
'lao'lun'ti'ya'gong'ye'gong'si 劳伦缇雅工业公司
'lei'mi'er 雷米尔
'lei'mi'er'tuan 雷米尔团
'lei'shen'zhi'chui 雷神之锤
'lei'si'ta'li'qi 雷斯塔里奇
'lei'ting 雷霆
'lei'wa'ting 雷瓦汀
'li'di'er 里迪尔
'li'fei'ya'shan 莉菲亚山
'li'li 莉莉
'li'li'chong'zhuang'zhan'qi 莉莉重装战骑
'li'li're'dian 莉莉热点
'li'li'zhai 莉莉宅
'li'sa'nu'tu'er 力萨努图尔
'lian'cang'fu'li'ying'zhi'du'nv'zi'gao'deng'xue'xiao 镰仓府立樱之杜女子高等学校
'lian'suo'huan'shan 连锁幻闪
'lian'xie'bi'sha'ji 连携必杀技
'lian'xu'qiang'hua'fu'zhu 连续强化辅助
'lian'xue'hua'xing 炼血化形
'lie'qu'zhe 裂躯者
'lie'quan'zuo 猎犬座
'lin'nen'la'ta'dian'zi'gong'si 林嫩拉塔电子公司
'ling'shi'jia'xing'qi 零式甲型器
'ling'shi'yu'gai 零式御盖
'liu'dou 柳都
'liu'dou'nv'zi'xue'guan 柳都女子学馆
'liu'xing'jian'shu 流星剑术
'long'qi'bing'zhi'ren 龙骑兵之刃
'lu'de'nv 露德女
'lu'de'wei'ke'nv'zi'xue'yuan 露德薇珂女子学院
'lu'de'wei'ke'xue'sheng'hui'jun'tuan 露德薇珂学生会军团
'lu'duo'wei'ke'shi'yan'shi 鲁多维科实验室
'lu'sha'ka 露莎卡
'lu'ting'sheng'tu 鹿厅圣徒
'lu'ye'yuan 鹿野苑
'lu'ye'yuan'gao'deng'nv'zi'xue'yuan 鹿野苑高等女子学园
'lun'ge'mi'ni'ya'de 伦戈米尼亚德
'lun'xian'zhi'ding'qu'yu 沦陷指定区域
'luo'en'ge'lin 罗恩格林
'luo'sen'hai'mu 萝森海姆
'luo'si'wei'se 萝丝薇瑟
'ma'er'mi'ya'di'zi 玛尔米亚迪兹
'ma'er'tai 马尔泰
'ma'ka'bu'yin 玛卡布因
'ma'zu'sheng'zha 妈祖圣札
'mei'er'si'tuo'mu 梅尔斯托姆
'mei'jin'ji'ao'de 梅金吉奥德
'mei'li'gan'zhao 魅力感召
'mei'shan'gao'deng'gong'ke'nv'zi'xue'xiao 眉山高等工科女子学校
'meng'de'la'gong 蒙德拉贡
'meng'jiang 猛酱
'mi'jia'le 米迦勒
'mi'jia'le'tuan 米迦勒团
'mi'meng 米蒙
'mi'nuo'tao'zhi'zhan 米诺陶之战
'miao'er'ni'er 妙尔尼尔
'miu'ge'lei'si 缪格雷斯
'mo'dan'she'shou 魔弹射手
'mo'er'du'er 莫尔杜尔
'mo'fa'qiu 魔法球
'mo'fang'jun 魔防军
'mo'fang'jun'xue'yuan 魔防军学院
'mo'hua'ge'ming 魔化革命
'mo'nv'zhi'ye 魔女之夜
'mo'nv'zhi'ye'zhan'shu 魔女之夜战术
'mo'qiu'li 墨丘利
'mo'qiu'li'chu'zhong'bu'yu'bei'dui'dai'biao 墨丘利初中部预备队代表
'mo'yan 魔眼
'mo'zhuang'shu 魔装束
'mu'zhang'ke'xue'ji'shu'nv'zi'gao'deng'xue'xiao 幕张科学技术女子高等学校
'mu'zhang'shou'fu'zhan 幕张收复战
'na'ge'lin 拿格林
'na'he'da'chuan'nv'zi'xue'yuan 那贺大串女子学园
'na'xu'nv'zi'gao'deng'xue'xiao 那须女子高等学校
'nai'lin 奈林
'nan'ji'zhan'yi 南极战役
'ni'zong 匿踪
'nie'rui'yi'de'si'zhi'hui 涅瑞伊得斯之辉
'nuo'lun 诺伦
'nuo'si'fei'la'tu 诺斯费拉图
'nuo'tong 诺统
'nv'wu'shen'zhan'qun 女武神战裙
'nv'wu'tuan 女巫团
'nv'wu'tuan'yuan 女巫团员
'ou'xiang'li'li 偶像莉莉
'pao'ting'ji 炮艇机
'pian'shen'ming'feng'shen'shu'shi 片神名封神术式
'ping'ji 评级
'pu'lei'xiu'si 普雷修斯
'qi'ge'de'li'fa 齐格德莉法
'qi'ge'lu'na 齐格鲁娜
'qi'yue 契约
'qian'li'yan 千里眼
'qiang'du 强度
'qiang'hua'ji'neng 强化技能
'qiang'hua'kuang'luan 强化狂乱
'qiang'hua'li'li 强化莉莉
'qiang'wei'zhi'ren 蔷薇之刃
'qin'si'dui 秦祀队
'qing'cheng'bai'he'yi'er'ma'ben'xiao'fang'wei'zhan 清澄白河伊尔玛本校防卫战
'qu'xian'qiu 曲线球
'qu'yu'fang'yu 区域防御
'qu'zhu'zhi'zhang 驱逐之杖
'ri'chu'ding'can'ju 日出町惨剧
'rui'ji'lei'fu 瑞吉蕾芙
'san'gong'zhu 三公主
'san'zhi 三职
'sang'ge'li'de 桑格里德
'sao'su'jian 骚速剑
'sha'li'ye 沙利叶
'sha'li'ye'tuan 沙利叶团
'sha'lu'er'zhang 沙鲁尔杖
'shan'dian'chuan'qiu 闪电传球
'shang'shen'zhang 商神杖
'she'zhi'cu'zheng 蛇之麁正
'shen'du'jian 神度剑
'shen'jian 神剑
'shen'sheng'zhu'zai 神圣主宰
'shen'su 神宿
'shen'su'chao'xian 神宿超限
'shen'ting'nv'xiao 神庭女校
'shen'ting'nv'zi'yi'shu'gao'xiao 神庭女子艺术高校
'shen'ting'xue'sheng'hui'fang'wei'dui 神庭学生会防卫队
'shen'wei'huang'yu 神威荒域
'shen'xin'ji'ying'zhi'miao 身心即应之妙
'sheng'bai'bai'he'xun'zhang 圣白百合勋章
'sheng'dian'jun 圣殿军
'sheng'mo'qiu'li 圣墨丘利
'sheng'mo'qiu'li'guo'ji'xue'xiao 圣墨丘利国际学校
'sheng'qiao 圣桥
'sheng'qiao'da'xue'fu'shu 圣桥大学附属
'sheng'qiao'da'xue'fu'shu'nv'xiao 圣桥大学附属女校
'sheng'qiao'da'xue'fu'shu'nv'zi'gao'deng'xue'xiao 圣桥大学附属女子高等学校
'sheng'shan 圣山
'sheng'tu 圣徒
'sheng'yan 圣眼
'sheng'yu'zhuan'huan 圣域转换
'sheng'yu'zhuan'huan'xian'xiang 圣域转换现象
'sheng'yue 圣约
'shi'jie'li'li'tu'jian 世界莉莉图鉴
'shi'jie'shu'gong'si 世界树公司
'shi'jiu'zhi'zhao 狮鹫之爪
'shi'li'xiao'cang'yi'ke'nv'zi'gao'deng'xue'xiao 市立小仓医科女子高等学校
'shi'ren'yao'dao 食人妖刀
'shi'wa'ci'ge'rui'er 施瓦茨格瑞尔
'shi'wei'te'lai'de 史维特莱德
'shi'yan'shi 实验室
'shi'you 室友
'shi'zhu'sha'long 石竹沙龙
'shi'zi'wang 狮子王
'shou'fu'zhan 收复战
'shou'hu'tian'shi 守护天使
'shou'hu'tian'shi'qi'yue 守护天使契约
'shou'hu'tian'shi'shi'yan 守护天使誓言
'shou'hu'tian'shi'zhi'du 守护天使制度
'shou'xi'jun'tuan 首席军团
'shou'xing'xing 兽性型
'shou'you 手游
'shuang'ji'neng'zhe 双技能者
'shuang'ju'ren'jian 霜巨人剑
'shui'xi'hui 水夕会
'si'bu'li'te 斯卜立特
'si'feng'ha'wei 斯冯哈维
'si'ke'fu'nu'en 斯科弗弩恩
'si'li'lu'de'wei'ke'nv'zi'xue'yuan 私立露德薇珂女子学院
'si'ling'ta 司令塔
'si'qu 死区
'si'wang'shi'jie 死亡视界
'si'wei'li'er 斯维里尔
'su'ga'le 苏噶勒
'suo'di'shu 缩地术
'suo'er'ji'na'ke 索尔吉娜克
'suo'lie'mu'hai'mu 索列姆海姆
'ta'er'ta'luo 塔尔塔罗
'ta'la'li'ya 塔拉利亚
'ta'si'la'mu 塔斯拉姆
'tai'bei'feng'shen'gong'si 台北封神公司
'tai'ke'li'li 泰克利利
'tai'yang'quan 太阳圈
'tan'ce'qi 探测器
'te'li'ge'la'fu 特里格拉夫
'te'luo'yang 特罗扬
'te'ming'you'ji'dui 特命游击队
'te'shu'dan 特殊弹
'te'yi'dian'li'li 特异点莉莉
'teng'nai'shi'tang 藤乃食堂
'ti'er'feng 提尔锋
'ti'er'feng'gai 提尔锋改
'ti'er'feng'yuan'xing 提尔锋原型
'ti'ze'na 提泽纳
'tian'jin'zhong'gong 天津重工
'tian'shen 天神
'tian'yu'yu'zhan 天羽羽斩
'tian'zhi'cheng'mu 天之秤目
'tie'qi'jun 铁骑军
'tie'zhi'she 铁之蛇
'tong'zi'qie'an'gang 童子切安纲
'tu'zhu 土著
'wa'er 瓦尔
'wai'zheng 外征
'wai'zheng'jun'tuan 外征军团
'wei'de'fu'ni'er 维德弗尼尔
'wen'jian'pai 稳健派
'wen'si'te'li'lie 文斯特莉烈
'wo'er'wa'xue'meng 渥尔娃血盟
'wo'fu'bu'lei'jian 沃夫布雷剑
'wu'er'kan'nu'si'gong'ye'gong'si 武尔坎努斯工业公司
'wu'feng'zhan'shu 无锋战术
'wu'gong'wa'sa'la 乌贡瓦萨拉
'wu'lie'er 乌列尔
'wu'lie'er'tuan 乌列尔团
'wu'na 乌娜
'wu'pu'sa'la 乌普萨拉
'wu'shi'lian'he 五世联合
'xi'ai'lu'lin'te 希艾露林特
'xi'ai'lu'lin'te'nv'zi'xue'yuan 希艾露林特女子学园
'xi'ai'lu'lin'te'shi'yan'shi 希艾露林特实验室
'xi'lu'de 希露德
'xi'ming'lai'wa 希明莱瓦
'xi'tong 系统
'xi'xue'gui 吸血鬼
'xi'you'ji'neng 稀有技能
'xia'lan'cha 夏兰查
'xia'pu'fang'wei'zhan 霞浦防卫战
'xia'yi'nie'si 夏伊涅斯
'xian'quan'yuan 仙泉园
'xian'xing'liang'chan'xing 先行量产型
'xian'xue'su'sheng 鲜血苏生
'xiang'mo'nv'zi 相模女子
'xiang'mo'nv'zi'gao'deng'xue'guan 相模女子高等学馆
'xiang'wei'chao'yan 相位超验
'xiao'chu'shu'shi 消除术式
'xie'qie 斜切
'xie'yan 邪眼
'xin'su'qu'yu'fang'yu'beng'kui'shi'jian 新宿区域防御崩溃事件
'xin'xi'shou'fu'zhan 新潟收复战
'xin'yan 心眼
'xing'bing'zhuang 型兵装
'xing'jun'yi 行军蚁
'xing'ling'shou'hu 星灵守护
'xiu'luo'chang'qiang 修罗长枪
'xu'ni'jing'he 虚拟晶核
'xue'hua'tuan 雪花团
'xue'sheng'hui'fang'wei'dui 学生会防卫队
'xue'sheng'hui'te'xuan'dui 学生会特选队
'xue'shi 血誓
'xue'shi'zhi'yi 血誓之仪
'xun'de 寻的
'ya'en'ge'li'pei'er 雅恩格利佩尔
'ya'er'fu'hai'mu 亚尔夫海姆
'ya'te'lan'di'si'shi'zi 亚特兰蒂斯十字
'ya'te'mei'er 亚特梅尔
'ya'zhi'jie'mei 牙之姐妹
'yi'bi'lu'ai 伊比鲁艾
'yi'er'ma 伊尔玛
'yi'er'ma'ben'xiao'fang'wei'zhan 伊尔玛本校防卫战
'yi'er'ma'nv'xiao 伊尔玛女校
'yi'er'ma'nv'zi'mei'shu'gao'xiao 伊尔玛女子美术高校
'yi'er'ma'si'tian'wang 伊尔玛四天王
'yi'er'ming'li'li'an'shi'yan'shi 伊尔明莉莉安实验室
'yi'er'ming'su'er 伊尔明苏尔
'yi'er'ming'xia'yi'nie'si 伊尔明夏伊涅斯
'yi'jie'mei'qi'yue 义姐妹契约
'yi'jie'mei'zhi'du 义姐妹制度
'yi'jie'zhi'men 异界之门
'yi'ke'si'tan'ju'yan 伊克斯坦巨岩
'yi'liu'dui 一柳队
'yi'neng 异能
'yi'neng'chi'you'zhe 异能持有者
'yi'pan'dui 壹盘队
'yi'pian'bei 一片贝
'yi'tai'fen'ti 以太分体
'yin'bo 音波
'yin'hu'jian 银槲剑
'yin'shen'shu 隐身术
'ying'ling'zhan'shi 英灵战士
'ying'yan'shu 鹰眼术
'ying'zhi'du 樱之杜
'ying'zhi'du'nv'xiao 樱之杜女校
'ying'zhi'du'nv'zi'gao'deng'xue'xiao 樱之杜女子高等学校
'yong'wu 勇武
'yong'zhe'ting 勇者庭
'yu'bei'dui 预备队
'yu'huan'shu'ting 宇环树庭
'yu'tai'chang'guang'bi'xi'tong'fang'wei'dui 御台场光壁系统防卫队
'yu'tai'chang'nv'zi'xue'xiao 御台场女子学校
'yu'tai'chang'ying'ji'zhan 御台场迎击战
'yu'wei'hai'ma'guai 鱼尾海马怪
'yu'yi'cao'nv'zi'xue'guan 羽衣草女子学馆
'yu'yi'nv'zi'xue'yuan'gao'deng'xue'xiao 羽衣女子学园高等学校
'yu'zao'nv'zi'gao'deng'xue'xiao 玉造女子高等学校
'yuan'chu'kai'pi 原初开辟
'yuan'chuan 圆传
'yuan'huan'yu'shou 圆环御手
'yuan'xing'ji 原型机
'yue'ding'ling'yu 约定领域
'yue'du'ji'yan 月读技研
'yue'mi'kuang'zhe 月迷狂者
'yun'kong'zhi'xi'tong 云控制系统
'zhan'che'ge'feng 战车葛冯
'zhan'dou 战斗
'zhan'ji 战技
'zhan'jia 战甲
'zhan'qi 战骑
'zhi'du 制度
'zhi'hui'hao'ling 指挥号令
'zhi'nuo'bei'lun 芝诺悖论
'zhi'shi 之世
'zhi'wei 职位
'zhi'zao'shang 制造商
'zhi'zhi'zhong'jie 直至终结
'zhong'guo'di'qu'shou'fu'zhan 中国地区收复战
'zhong'li'wei'zi 重力微子
'zhong'mo'de'hua'er 终末的花儿
'zhong'qun'gu'ding 种群固定
'zhong'wen 中文
'zhong'zhi'tai'dao 终之太刀
'zhuan'yong'ji 专用机
'zhuang'bei 装备
'zhuang'jia'qi'bing'zhan'shu 装甲骑兵战术
'zi'you'ren 自由人
'zu'zhi 组织
