'a'bao'chi'si'qian'ba'guo'nan'bao 啊保持四千八过南报
'bao'chi'jiu'bai'guo'si'dong'si'bao'jiu'san'liu 保持九百过四洞四报九三六
'bao'chi'jiu'bai'si'dong'si'bao'bo'hai'guai'liu'ba'yao 保持九百四洞四报渤海拐六八幺
'biao'zhun'qi'ya 标准气压
'bo'hai'guai'liu'ba'yao 渤海拐六八幺
'bo'hai'guai'liu'ba'yao'dong'liang'hao'mang'jiang 渤海拐六八幺洞两号盲降
'bo'hai'guai'liu'ba'yao'gao'du'you'mei'you'wen'ti 渤海拐六八幺高度有没有问题
'bo'hai'guai'liu'ba'yao'yi'hui'jian 渤海拐六八幺一会见
'bo'hai'guai'liu'ba'yao'zheng'shi'wei'zhi 渤海拐六八幺证实位置
'bo'hai'liu'wu'liang'liang 渤海六五两两
'cha'yi'xia'wu'xian'dian 查一下无线电
'chang'de'ni'hao 常德你好
'chang'de'ni'hao'hua'xia'si'ba'jiu'yao 常德你好华夏四八九幺
'chang'de'ni'hao'si'chuan'liu'jiu'san'liu 常德你好四川六九三六
'chang'de'ta'tai'bo'hai 常德塔台渤海
'chang'sha'xiu'zheng'zhuan 长沙修正转
'cheng'xu'zhuan'wan 程序转弯
'cheng'xu'zhuan'wan'bao 程序转弯报
'chu'guo'ding'hao 出过定好
'chun'qiu'ba 春秋八
'dai'fei 带飞
'dan'fei 单飞
'dao'liu'bai'wu'jian'li'dong'liang'hao'mang'jiang'bao 到六百五建立洞两号盲降报
'de'a'shi'fen'zhong'jiu'si'wu'liu 的啊十分钟九四五六
'de'si'wu'liu'zheng'shi'yi'xia'ge'bi'yi'biao'fan'chang 的四五六证实一下隔壁仪表返场
'di'mian'feng 地面风
'dong'fang'liu'jiu'san'liu 东方六九三六
'dong'liang'gao'du'da'yi'zhuan'wan 洞两高度大一转弯
'dong'liang'hao'de'mang'jiang'liu'jiu'san'liu 洞两号的盲降六九三六
'dong'liang'hao'hang'dao'le'san'liu'jiu'si'liu 洞两号航道了三六九四六
'duan'pao'dao'qi'fei 短跑道起飞
'dui'de'a'yi'hui'jian'bo'hai'guai'liu'ba'yao 对的啊一会见渤海拐六八幺
'ei'hao'de 诶好的
'fang'xing'xu'ke 放行许可
'fen'li'de 分离地
'fu'song'zheng'que 复诵正确
'fu'song'zheng'que'zhun'bei'hao'bao 复诵正确准备好报
'gai'wei'wei'lan'liang'wu'dong'yao'wei'lan'liang'wu'dong'yao 改为蔚蓝两五洞幺蔚蓝两五洞幺
'gao'du 高度
'gao'du'liang'si'xiu'zheng'hai'ya'yi'qian'liu'jiu'san'liu 高度两四修正海压一千六九三六
'gao'du'tong'guo'biao'zhun'qi'ya'liang'qian'qi'bai'mi 高度通过标准气压两千七百米
'geng'zheng 更正
'gong'zuo'shi'fen'zhong'jiu'si'wu 工作十分钟九四五
'gua'hao'tuo'che'bao 挂好拖车报
'guai'hai'li'yi'zhuan'wan'jiu'si'wu'liang 拐海里一转弯九四五两
'guai'hao'wei 拐号位
'guai'liu'ba'yao'zhe'ge'shi'jian'ding'le'shi'ba 拐六八幺这个时间定了是吧
'hai'li 海里
'hai'li'bao'jiu'si'wu'liu 海里报九四五六
'hai'li'si'dong'liu'zhi'qian'bi'xu'xia'dao 海里四洞六之前必须下到
'hai'ya'yi'qian'jiu'si'wu'liu 海压一千九四五六
'hang'lu 航路
'hang'lu'tian'qi'ma'hai'shi 航路天气吗还是
'hang'xiang 航向
'hao'de 好的
'hao'le 好了
'hao'lei 好嘞
'hao'lei'liang'hao'dao'wei'le 好嘞两号到位了
'hao'lei'xia'gao'du'jiu'bai'guo'si'dong'liu 好嘞下高度九百过四洞六
'hu'hao'gai'wei'wei'lan'liang'wu'dong'yao 呼号改为蔚蓝两五洞幺
'hua'chu 滑出
'hua'xia 华夏
'hua'xia'si'ba'jiu'yao 华夏四八九幺
'hua'xia'si'ba'jiu'yao'chang'de'ta'tai'qing'jiang 华夏四八九幺常德塔台请讲
'hua'xia'si'ba'jiu'yao'mang'jiang'le 华夏四八九幺盲降了
'hua'xia'si'ba'jiu'yao'mei'you'xian'zhi'hao'lei'xie'xie 华夏四八九幺没有限制好嘞谢谢
'hua'xia'si'ba'jiu'yao'shao'deng 华夏四八九幺稍等
'hua'xia'si'ba'jiu'yao'si'dong'si 华夏四八九幺四洞四
'hua'xia'si'ba'jiu'yao'xia 华夏四八九幺下
'hua'xia'si'ba'jiu'yao'zheng'shi'gao'du 华夏四八九幺证实高度
'hua'xia'si'ba'jiu'yi'hui'jian 华夏四八九一会见
'hua'xia'si'jiu'dong'ba 华夏四九洞八
'hua'xia'si'liang'dong'ba'jian'cha'hao'dong'liang'hao'pao'dao 华夏四两洞八检查好洞两号跑道
'hua'xia'si'liang'dong'ba'shang'dao'biao'zhun'qi'ya'si'liang 华夏四两洞八上到标准气压四两
'hua'xia'si'liang'dong'ba'shen'qing'hua'chu 华夏四两洞八申请滑出
'hua'xia'si'liang'dong'ba'ting'chang'sha'zhi'hui'zai'jian'le 华夏四两洞八听长沙指挥再见了
'hua'xia'si'liang'dong'ba'zheng'shi'gao'du 华夏四两洞八证实高度
'hua'xia'si'liang'dong'ba'zhun'bei'hao'le 华夏四两洞八准备好了
'hui'jian'hua'xia'si'liang'dong'ba 回见华夏四两洞八
'ji'xian'bu'neng'zai'di'le 基线不能再低了
'ji'zhang'xun'lian 机长训练
'jian'cha'su'du 检查速度
'jian'hu 建弧
'jian'li'hang'dao 建立航道
'jie'huo'hang'dao 截获航道
'jin'chang 进场
'jin'kong'yu 进空域
'jin'pao'dao 进跑道
'jin'pao'dao'dong'liang'jiu'si'wu'liu 进跑道洞两九四五六
'jin'pao'dao'dong'liang'wei'lan'liang'wu'dong'yao 进跑道洞两蔚蓝两五洞幺
'jin'pao'dao'yi'hou'zai'shen'qing 进跑道以后再申请
'jiu'bai'xian'zai'xian'xia'liang'guai'bo'hai'guai'liu'ba'yao 九百现在先下两拐渤海拐六八幺
'jiu'san 九三
'jiu'si 九四
'jiu'si'liang'shen'qing'yi'ge'duan'pao'dao'qi'fei 九四两申请一个短跑道起飞
'jiu'si'wu 九四五
'jiu'si'wu'liang 九四五两
'jiu'si'wu'liang'dian'wu'hai'li'shen'qing'yi'zhuan'wan 九四五两点五海里申请一转弯
'jiu'si'wu'liang'gao'du'da'yi'zhuan'wan 九四五两高度大一转弯
'jiu'si'wu'liang'gao'du'da'yi'zhuan'wan'ke'yi 九四五两高度大一转弯可以
'jiu'si'wu'liang'gen'zhe 九四五两跟着
'jiu'si'wu'liang'guai'hai'li'cheng'xu'zhuan'wan 九四五两拐海里程序转弯
'jiu'si'wu'liang'jie'di 九四五两接地
'jiu'si'wu'liang'jin'pao'dao'dong'liang 九四五两进跑道洞两
'jiu'si'wu'liang'ke'yi 九四五两可以
'jiu'si'wu'liang'ke'yi'jin'pao'dao'dong'liang 九四五两可以进跑道洞两
'jiu'si'wu'liang'ke'yi'qi'fei 九四五两可以起飞
'jiu'si'wu'liang'qi'luo'dai'fei'shen'qing'kai'che 九四五两起落带飞申请开车
'jiu'si'wu'liang'qi'luo'dai'fei'shen'qing'kai'che 九四五两起落待飞申请开车
'jiu'si'wu'liang'san'zhuan'wan'dian'qing'qiu'luo'di'lian'xu 九四五两三转弯点请求落地连续
'jiu'si'wu'liang'san'zhuan'wan'dian'shen'qing'zhuo'lu 九四五两三转弯点申请着陆
'jiu'si'wu'liang'san'zhuan'wan'dian'shen'qing'zhuo'lu'lian'xu 九四五两三转弯点申请着陆连续
'jiu'si'wu'liang'shen'qing'ce'hua'zhuo'lu'lian'xu 九四五两申请侧滑着陆连续
'jiu'si'wu'liang'shen'qing'qi'fei 九四五两申请起飞
'jiu'si'wu'liang'ta'tai 九四五两塔台
'jiu'si'wu'liang'wu'bian'liu'dian'jiu'hai'li 九四五两五边六点九海里
'jiu'si'wu'liang'yi'dian'guai'hai'li'yi'zhuan'wan 九四五两一点拐海里一转弯
'jiu'si'wu'liang'yi'zhuan'wan'zhi'fei'san'zhuan'wan'dian 九四五两一转弯直飞三转弯点
'jiu'si'wu'liang'zhe'ge'luo'di'hua'hui'le 九四五两这个落地滑回了
'jiu'si'wu'liang'zheng'chang'yi'zhuan'wan 九四五两正常一转弯
'jiu'si'wu'liang'zheng'chang'yi'zhuan'wan'ke'yi 九四五两正常一转弯可以
'jiu'si'wu'liang'zheng'shi'shi'dan'fei'ba'a'dui'san'fen 九四五两证实是单飞吧啊对三分
'jiu'si'wu'liang'zhun'bei'hao'le'qing'qiu'hua'chu 九四五两准备好了请求滑出
'jiu'si'wu'liang'zhun'bei'hao'le'shen'qing'hua'chu 九四五两准备好了申请滑出
'jiu'si'wu'liu 九四五六
'jiu'si'wu'liu'gao'du'jiu'bai'jian'hu 九四五六高度九百建弧
'jiu'si'wu'liu'gao'du'liu'bai'jin'liang'hao'kong'yu 九四五六高度六百进两号空域
'jiu'si'wu'liu'jin'pao'dao'dong'liang 九四五六进跑道洞两
'jiu'si'wu'liu'ke'yi'dai'hui'qu'liang'hao'kong'yu 九四五六可以待会去两号空域
'jiu'si'wu'liu'ke'yi'kai'che 九四五六可以开车
'jiu'si'wu'liu'kong'yu'ji'zhang'xun'lian'qing'qiu'kai'che 九四五六空域机长训练请求开车
'jiu'si'wu'liu'luo'di'hua'hui 九四五六落地滑回
'jiu'si'wu'liu'shang'gao'du'yao'liang'dao'yao'ba'gong'zuo 九四五六上高度幺两到幺八工作
'jiu'si'wu'liu'shen'qing'gen'jiu'si'wu'liang 九四五六申请跟九四五两
'jiu'si'wu'liu'si'zhuan'wan'dian 九四五六四转弯点
'jiu'si'wu'liu'si'zhuan'wan'dian'bao 九四五六四转弯点报
'jiu'si'wu'liu'wu'bian'ju'li 九四五六五边距离
'jiu'si'wu'liu'wu'hai'li'bao 九四五六五海里报
'jiu'si'wu'liu'xia 九四五六下
'jiu'si'wu'liu'xia'liu'bai'bao'chi 九四五六下六百保持
'jiu'si'wu'liu'yi'bian'pa'sheng'ting'zhi'hui 九四五六一边爬升听指挥
'jiu'si'wu'liu'zheng'shi'gao'du 九四五六证实高度
'jiu'si'wu'wu 九四五五
'jiu'si'wu'wu'san'si'jiang'qing'qiu'kai'che 九四五五三四江请求开车
'jiu'si'wu'yao'hai'gong'zuo'duo'jiu 九四五幺还工作多久
'jiu'yao 九幺
'ju'li 距离
'ke'yi 可以
'ke'yi'jin'pao'dao'dong'liang'jiu'si'wu'liang 可以进跑道洞两九四五两
'ke'yi'kai'che 可以开车
'ke'yi'kai'che'jiu'si'wu'liu 可以开车九四五六
'ke'yi'kai'che'jiu'si'wu'wu 可以开车九四五五
'ke'yi'kai'che'yi'qian'hua'xia'si'liang'dong'ba 可以开车一千华夏四两洞八
'ke'yi'luo'di 可以落地
'ke'yi'qi'fei 可以起飞
'ke'yi'qi'fei'jiu'si'wu'liang 可以起飞九四五两
'ke'yi'qi'fei'wei'lan'liang'wu'dong'yao 可以起飞蔚蓝两五洞幺
'ke'yi'san'zhuan'wan'dian'jiu'si'wu'liang 可以三转弯点九四五两
'kong'yu 空域
'kong'yu'gong'zuo 空域工作
'le'hua'xia'si'ba'jiu'yao 了华夏四八九幺
'li'chang 离场
'lian'xi'chang'sha 联系长沙
'lian'xi'xian'chang 联系现场
'lian'xu'jiu'si'wu'liang'wai'zhi'bao 连续九四五两外指报
'lian'xu'qi'luo 连续起落
'liang'dian'jiu'hai'li 两点九海里
'liang'fen 两分
'liang'hai'li'bao 两海里报
'liang'hai'li'cheng'xu'zhuan'wan'bao'jiu'si'wu'liang 两海里程序转弯报九四五两
'liang'hao'sheng'yin'hao'de 两号声音好的
'liang'jiu'si 两九四
'liang'san'zhuan'wan'jiu'san'liang 两三转弯九三两
'lin'li 临醴
'liu'bai'jiu'bai'zhong'xin'dian'yi'xi'jiu 六百九百中心点以西九
'liu'hao'wei'liu'jiu'san'liu 六号位六九三六
'luo'di'hua'hui 落地滑回
'luo'di'hua'hui'jiu'si'wu'liu 落地滑回九四五六
'luo'di'lian'xu 落地连续
'ma'fan'gei'ge'jin'chang 麻烦给个进场
'mang'jiang 盲降
'mei'wen'ti 没问题
'mei'you'tuo'li 没有脱离
'mei'you'xian'zhi 没有限制
'nan'fang'wu'yao'guai'jiu 南方五幺拐九
'ni'hao'liang'hao'che'le'a 你好两号车了啊
'pao'dao 跑道
'pao'dao'dong'liang'ke'yi'luo'di 跑道洞两可以落地
'pao'dao'dong'liang'ke'yi'luo'di'hua'xia'si'ba'jiu'yao 跑道洞两可以落地华夏四八九幺
'pao'dao'wai'deng'dai 跑道外等待
'ping'hua'dao 平滑道
'qi'fei 起飞
'qi'luo'dai'fei 起落待飞
'qi'shi'hao 起始好
'ran'hou'zai'na'li'bao 然后在哪里报
'san'zhuan'wan 三转弯
'shang'biao'zhun'qi'ya'si'liang'hua'xia'si'liang'dong'ba 上标准气压四两华夏四两洞八
'shao'deng 稍等
'shao'deng'hua'xia'si'liang'dong'ba 稍等华夏四两洞八
'shao'shao'yi'dian'yao 稍稍一点幺
'shen'qing'hua'chu 申请滑出
'shen'qing'qi'fei 申请起飞
'shen'qing'zhuo'lu 申请着陆
'shou'dao 收到
'shou'dao'jiu'si'wu'liang 收到九四五两
'si'chuan'liu'jiu'san'liu 四川六九三六
'si'chuan'liu'jiu'san'liu'guai'hao'wei'zhun'bei'hao 四川六九三六拐号位准备好
'si'chuan'liu'jiu'san'liu'ke'yi'an'ji'hua'hang'lu 四川六九三六可以按计划航路
'si'chuan'liu'san'liu'guo'wai'zhi'bao 四川六三六过外指报
'si'dong'liu'le'san'liu'jiu'san'liu 四洞六了三六九三六
'si'dong'si'si'liu'jiu'san'liu 四洞四四六九三六
'si'liang'dong'ba'shao'deng 四两洞八稍等
'si'san'liu'jiu'san'liu'gua'hao'tuo'che'bao 四三六九三六挂好拖车报
'si'wu'jiu'si'wu'liu'liu'bai'gao'du 四五九四五六六百高度
'si'wu'liu 四五六
'si'wu'liu'wu'hai'li 四五六五海里
'si'zhuan'wan 四转弯
'si'zhuan'wan'dian'bao 四转弯点报
'si'zhuan'wan'dian'bao'jiu'si'wu'liu 四转弯点报九四五六
'ta'dai 他待
'ta'tai 塔台
'ta'tai'bo'hai 塔台渤海
'ta'tai'bo'hai'guai'liu'ba'yao'wu'hao'wei'jian'zhi'hui 塔台渤海拐六八幺五号位见指挥
'ta'tai'gua'hao'tuo'che'bao'jiu'san'liu 塔台挂好拖车报九三六
'ta'tai'qing'jiang 塔台请讲
'tian'qi 天气
'ting'ni'zhi'hui 听你指挥
'tong'bo 通播
'tui'chu 退出
'tui'chu'kai'che 推出开车
'tui'chu'kong'yu 退出空域
'tuo'che 拖车
'tuo'li 脱离
'tuo'li'bao 脱离报
'tuo'li'bao'bo'hai'guai'liu'ba'yao 脱离报渤海拐六八幺
'tuo'li'bao'hua'xia'si'ba'jiu'yao 脱离报华夏四八九幺
'tuo'li'jiu'si'wu'liang 脱离九四五两
'tuo'li'le'si'chuan'liu'jiu'san'liu 脱离了四川六九三六
'wai'zhi 外指
'wai'zhi'bao 外指报
'wai'zhi'bao'jiu'si'wu'liang 外指报九四五两
'wai'zhi'bao'san'liu'si'san'liang 外指报三六四三两
'wai'zhi'le'si'yao'liu'jiu'san'liu 外指了四幺六九三六
'wei'lan 蔚蓝
'wei'lan'liang'wu'dong 蔚蓝两五洞
'wei'lan'liang'wu'dong'yao 蔚蓝两五洞幺
'wei'lan'liang'wu'dong'yao'da'su'du 蔚蓝两五洞幺大速度
'wei'lan'liang'wu'dong'yao'gao'du'yao'liang'guo'tao'yuan 蔚蓝两五洞幺高度幺两过桃源
'wei'lan'liang'wu'dong'yao'jin'pao'dao'dong'liang 蔚蓝两五洞幺进跑道洞两
'wei'lan'liang'wu'dong'yao'lian'xi'zhi'jiang'zai'jian 蔚蓝两五洞幺联系芷江再见
'wei'lan'liang'wu'dong'yao'yi'bian'pa'sheng'ting'zhi'hui 蔚蓝两五洞幺一边爬升听指挥
'wei'lan'liang'wu'dong'yao'zhun'bei'hao'le'qing'qiu'hua'chu 蔚蓝两五洞幺准备好了请求滑出
'wei'lan'liang'wu'yao'ke'yi'qi'fei 蔚蓝两五幺可以起飞
'wo'ke'yi'fei'wu'gong'lv'jiu'si'wu'liang 我可以飞无功率九四五两
'wu'bian 五边
'wu'bian'bao 五边报
'wu'bian'bao'jiu'si'wu'liang 五边报九四五两
'wu'bian'jie'huo'hang'dao'bao 五边截获航道报
'wu'bian'lian'xu'qi'luo'ba'hua'hui 五边连续起落吧滑回
'wu'gong'lv'fei'xing 无功率飞行
'wu'jie'di 五接地
'wu'liang'qi'luo 五两起落
'wu'liang'zhun'bei'hao'le'qing'qiu'hua 五两准备好了请求滑
'xia'gao'du'jiu'bai'jin'si'hao'kong'yu 下高度九百进四号空域
'xia'jiu'bai'si'dong'si'bao'hua'xia'si'ba'jiu'yao 下九百四洞四报华夏四八九幺
'xia'liu'bai'bao'chi'jiu'si'wu 下六百保持九四五
'xia'liu'bai'wu 下六百五
'xiu'zheng'hai'ya 修正海压
'xiu'zheng'hai'ya'liang'guai 修正海压两拐
'xun'lian 训练
'yao'liang'dong'liang'jiu'si'wu'liang 幺两洞两九四五两
'yao'liang'hao'jin'wei'le'hua'xia'si'ba'jiu'yao 幺两号进位了华夏四八九幺
'yao'liang'san'jiu'lian'xi'hao'bao'hua'xia'si'liang'dong'ba 幺两三九联系好报华夏四两洞八
'yao'liang'yao'ba'gong'zuo'jiu'si'wu 幺两幺八工作九四五
'yao'me'shou'yi'dian 要么收一点
'yao'yao'liang'liang'san 幺幺两两三
'yi'dian'guai'hai'li'zen'me'mei'zhuan'wan 一点拐海里怎么没转弯
'yi'hao'liang'hao 一号两号
'yi'hui'jian 一会见
'yi'xia'shi'an'yao'qiu'zheng'li'hou'de'ci'tiao 以下是按要求整理后的词条
'yi'zhuan'wan 一转弯
'ying'da'ji 应答机
'ying'da'ji'shi'si'wu'guai'si'si 应答机是四五拐四四
'ying'da'ji'yao'liang'dong'wu'shi'yong'dong'liang'hao'pao'dao 应答机幺两洞五使用洞两号跑道
'you'kong'a 有空啊
'zai'jian 再见
'zai'jian'cha'su'du 再检查速度
'zao'shang'hao'bo'hai'guai'liu'ba'yao 早上好渤海拐六八幺
'zheng'shi'gao'du 证实高度
'zheng'shi'wei'zhi 证实位置
'zhi'fei 直飞
'zhong'wen'bu'fen 中文部分
'zhuan'chang 转场
'zhuan'wan'bao'jiu'si 转弯报九四
'zhun'bei'hao'bao 准备好报
'zhun'bei'hao'jiao 准备好叫
'zhuo'lu 着陆
'zuo'zhuan'fei'qing'qiu 左转飞请求
