'an'quan'sheng'chan 安全生产
'tou'biao'zhong'biao 投标中标
'tou'zi'fang'pai 投资方派
'tou'zi'feng'xian 投资风险
'tou'zi'gong'qi 投资工期
'tou'zi'guan'xi 投资关系
'tou'zi'xiang'mu 投资项目
'tou'zi'yong'kuan 投资用款
'tou'zi'yue'shu 投资约束
'wai'guo'zheng'fu 外国政府
'wan'cheng'gong'cheng 完成工程
'wei'tuo'shou'quan 委托授权
'wei'tuo'zhi'ze 委托职责
'wen'jian'ming'que 文件明确
'wu'shi'yi'shang 五十以上
'xiang'guan'zhi'du 相关制度
'xiang'hu'guan'lian 相互关联
'xiang'hu'zhi'chi 相互支持
'xiang'mu'dong'shi'hui 项目董事会
'xiang'mu'fa'ren 项目法人
'xiang'mu'fa'ren'ze'ren'zhi 项目法人责任制
'xiang'mu'zi'ben'jin 项目资本金
'xiang'mu'zong'jing'li 项目总经理
'xie'tiao'guan'xi 协调关系
'xie'yi'an'pai 协议安排
'xin'she'li'zi 新设立子
'xin'xi'guan'li 信息管理
'xin'xi'tong'ji 信息统计
'xing'wei'zhu'ti 行为主体
'xing'zhi'neng'li 性质能力
'yi'tiao'long'guan'li 一条龙管理
'you'xian'ze'ren 有限责任
'you'xiao'kong'zhi 有效控制
'yu'suan'zi'jin 预算资金
'yu'yan'shou'ni'ding 预验收拟订
'yuan'shen'pi'dan'wei 原审批单位
'yuan'you'qi'ye 原有企业
'zao'jia'kong'zhi 造价控制
'zhan'tou'zi'e 占投资额
'zhao'biao'fang'an 招标方案
'zhao'biao'tou'biao 招标投标
'zhao'biao'tou'biao'zhi 招标投标制
'zheng'fu'tou'zi 政府投资
'zhi'liang'jing'nei'jin'xing 质量境内进行
'zhi'liang'kong'zhi 质量控制
'zhi'liang'pi'zhun 质量批准
'zhi'yi'bi'xu 之一必须
'zhong'da'jin'ji 重大紧急
'zhong'da'wen'ti 重大问题
'zhong'guo'te'se 中国特色
'zhong'yao'she'bei 重要设备
'zhu'fang'pu'tong 住房普通
'zhuan'rang'chu'zi 转让出资
'zhuan'xiang'kao'he 专项考核
'zhuan'ye'hua'fu'wu 专业化服务
'zhuan'ye'hua'ji'gou 专业化机构
'zi'ben'jin'dao'wei 资本金到位
'zi'ben'jin'zhi'du 资本金制度
'zi'chan'ping'gu 资产评估
'zi'jin'tou'zi 资金投资
'zi'jin'tou'zi'zhe 资金投资者
'zi'jin'xiang'mu 资金项目
'zi'liao'ti'qing 资料提请
'zong'e'bai'fen'zhi 总额百分之
'zong'e'cheng'shi 总额城市
'zong'jing'li'ti'ming 总经理提名
'zong'tu'bu'zhi 总图布置
'zu'jian'fang'an 组建方案
'zu'zhi'bian'zhi 组织编制
'zu'zhi'hou'ping'jia 组织后评价
'zuo'jia'gao'gu 作价高估
