'a'ka 阿卡
'chao'shi'kong'ren'zhe'zhao'huan'qi 超时空忍者召唤器
'chen'feng'jin'wei'fa'shi'zhi'zhang 尘封近卫法师之杖
'chong'feng'qiang'er'dai 冲锋枪二代
'chong'feng'qiang'san'dai 冲锋枪三代
'chong'feng'qiang'si'dai 冲锋枪四代
'chong'feng'qiang'yi'dai 冲锋枪一代
'chong'mai'quan 冲脉拳
'chong'sheng'shi'zi'zhang 重生十字章
'chong'zhu'de'sheng'jian 重铸的圣剑
'chuan'cheng'zu'hui 传承族徽
'chuan'qi'de'dao'dun 传奇的刀盾
'chuan'qi'han'qiang 传奇焊枪
'chuan'qi'xue'tu'fa'zhang 传奇学徒法杖
'chuan'zhang 船长
'chuang'zi'nu 床子弩
'chui'tou'sha 锤头鲨
'chui'zi 锤子
'ci'ci'ci'ci'shi'dai'chong'feng'qiang 次次次次时代冲锋枪
'ci'ci'ci'shi'dai'chong'feng'qiang 次次次时代冲锋枪
'ci'ci'shi'dai'chong'feng'qiang 次次时代冲锋枪
'ci'jian 刺剑
'ci'ke 刺客
'ci'qiang 刺枪
'ci'shi'dai'chong'feng'qiang 次时代冲锋枪
'ci'yuan'zhi'wo 次元之握
'cuan'tian'hou 窜天猴
'da'bian'huo'ren 大变活人
'da'bo'luo 大菠萝
'da'cong 大葱
'da'dao 大刀
'da'qi'shi'de'jian 大骑士的剑
'da'rong'liang'nian'ye'qiang 大容量粘液枪
'da'wu'shi'de'jiu'fa'zhang 大巫师的旧法杖
'da'wu'shi'zhi'zhang 大巫师之杖
'da'xue'hu 大雪狐
'da'yuan'chang'gong 大猿长弓
'dan'gong 弹弓
'dao'dan'fa'she'qi 导弹发射器
'dao'dun 刀盾
'dao'jian 道剑
'dao'shi 道士
'dao'yu 刀鱼
'dao'yu'huo'chong 刀与火铳
'de'lu'yi 德鲁伊
'deng'li'zi'zhi'ying 等离子之鹰
'deng'shan'zhang 登山杖
'di'di'xing'dong 地底行动
'di'tang'dao 地堂刀
'di'xia'shui 地下水
'dian'ci'chang'zhuang'zhi 电磁场装置
'dian'ci'gui'dao'pao 电磁轨道炮
'dian'ci'ju'ji'qiang 电磁狙击枪
'dian'ci'mai'chong 电磁脉冲
'dian'hu'shou'li'jian 电弧手里剑
'dian'neng'guo'zai 电能过载
'dian'zuan 电钻
'die'wu'po'suo 蝶舞婆娑
'ding'hai'shen'zhen 定海神针
'dou'qi'quan 斗气拳
'dou'zhen'qiang'shu 斗阵枪术
'dou'zhuan'xing'yi 斗转星移
'du'fei'biao 毒飞镖
'du'qi'ji'qiang 毒气机枪
'du'qi'zha'dan 毒气炸弹
'duan'jie'san'dan'qiang 短截散弹枪
'dun'pai 盾牌
'duo'dan'tou'dao'dan 多弹头导弹
'e'meng'yin'ji 噩梦印记
'e'mo'shu'shi 恶魔术士
'er'wu'zai'zhi'chui 二五仔之锤
'fa'dian 法典
'fa'jing'zhi'zhang 法晶之杖
'fa'lao'zhi'ren 法老之刃
'fa'li'jie'jing 法力结晶
'fa'she'qi 发射器
'fa'shi 法师
'fa'zhang 法杖
'fa'zhang'wu'qi 法杖武器
'fan'gun 翻滚
'fang'tian'hua'ji 方天画戟
'fei'dian 飞电
'fei'liao 肥料
'fei'xiong'jun'ji'guang'pao 飞熊军激光炮
'fen'lie'zhe 分裂者
'fen'shen'shu 分身术
'fen'zi'yi'wen'zi 分子一文字
'feng'bao'zhan'fu 风暴战斧
'feng'ling'zhan'chui 封灵战锤
'feng'mo'shou'li'jian 风魔手里剑
'feng'yan 风眼
'feng'zhi'gong 风之弓
'feng'zhi'shou'li'jian 风之手里剑
'fu'gu'qi'qiang 复古骑枪
'fu'he'gong 复合弓
'fu'su'da'shu 复苏大书
'fu'xi'dun 伏羲盾
'fu'you'pao 浮游炮
'fu'zi 斧子
'ga'beng'cui'de'gu'tou 嘎嘣脆的骨头
'ga'li'bang 咖喱棒
'gai'liang'chong'feng'qiang 改良冲锋枪
'gan'cao'cha 干草叉
'gao'ji'yu'gan 高级鱼竿
'gao'jie'qu'zhu'fa'zhang 高阶驱逐法杖
'gao'neng'dian'qiu 高能电球
'gao'neng'zuan'tou 高能钻头
'ge'bu'lin'chang'qiang 哥布林长枪
'gong'cheng'nu 攻城弩
'gong'cheng'pao'tai 工程炮台
'gong'cheng'shi 工程师
'gong'wu'qi 弓武器
'gong'zhen'yue'zhang 共振乐章
'gou'suo'qiang 勾索枪
'gu'dai'yuan'su'shi 古代元素使
'gu'jiu'de'jin'wei'da'jian 古旧的近卫大剑
'gu'lao'de'gong 古老的弓
'gua'gua'le 刮刮乐
'guai'xie'ju'ao 怪蟹巨螯
'guang'jian 光剑
'guang'zhi'shu 光之书
'guang'zhi'zhang 光之杖
'guo'wang'de'xin'qiang 国王的新枪
'hai'dao'wan'dao 海盗弯刀
'hai'dao'wang'jian'pao 海盗王舰炮
'han'bing'chuan'ci 寒冰穿刺
'han'guang'yue'hua'jian 寒光月华剑
'han'ya 寒鸦
'hao'hua'yu'gan 豪华鱼竿
'hei'an'can'ying 黑暗残影
'hei'an'da'qi'shi'de'jian 黑暗大骑士的剑
'hei'an'liao'li 黑暗料理
'hei'an'ling'zhu 黑暗领主
'hei'dong'dao'dan 黑洞导弹
'hei'ke'le'ke'he'chong'feng'qiang 黑克勒科赫冲锋枪
'hong'huang'lan'chong'feng'qiang 红黄蓝冲锋枪
'hong'jin'gong'ming 虹烬共鸣
'hong'long'ji'qiang 红龙机枪
'hong'se'xiang'wei'she 红色响尾蛇
'hong'zha'ji 轰炸机
'hua'shen 化身
'hua'yan'qiao'yu 花言巧语
'huan'mu'xi'fa 幻幕戏法
'huan'ying'fa'zhang 幻影法杖
'huan'ying'mo'ren 幻影魔刃
'huan'ying'zhi'ren 幻影之刃
'huang'jia'qi'shi'duan'jian 皇家骑士短剑
'huang'jin'a'ka 黄金阿卡
'huang'jin'fa'zhang 黄金法杖
'huang'jin'jing'zhi'fa'zhang 黄金精致法杖
'huang'jin'ju'ji'bu'qiang 黄金狙击步枪
'huang'jin'ju'ji'qiang'zhuan'ye'ban 黄金狙击枪专业版
'huang'jin'jun'bu'qiang 黄巾军步枪
'huang'jin'sha'mo'zhi'ying 黄金沙漠之鹰
'huang'jin'zuo'lun 黄金左轮
'hui'fu'fa'zhen 恢复法阵
'hui'hu 灰狐
'hui'xiang'hu'po 回响琥珀
'hui'xuan'biao 回旋镖
'hun'dun'da'ji 混沌打击
'hun'ren 魂刃
'huo'jian'li'hua 火箭礼花
'huo'jian'pao 火箭炮
'huo'jian'pao'yi'dai 火箭炮一代
'huo'jian'qiang 火尖枪
'huo'jian'tong 火箭筒
'huo'jian'wu'qi 火箭武器
'huo'li'quan'kai 火力全开
'huo'long'bu'qiang 火龙步枪
'huo'yan'gong 火焰弓
'huo'yan'ji'qiang 火焰机枪
'huo'yan'jian 火焰剑
'huo'yan'ju'feng 火焰飓风
'huo'yan'zhan'fu 火焰战斧
'huo'yan'zhi'ying 火焰之鹰
'huo'zhi'zhang 火之杖
'ji'dian'shuang'xing 极电双星
'ji'e'su 饥饿素
'ji'feng'jian'ren 疾风剑刃
'ji'guang 极光
'ji'guang'qiang 激光枪
'ji'guang'wu'qi 激光武器
'ji'guang'yu 激光鱼
'ji'guang'yu'you'zai 激光鱼幼崽
'ji'jia'wu'zhuang 机甲武装
'ji'lie 激裂
'ji'qi'ren 机器人
'ji'qiang 机枪
'ji'xie'ji 机械姬
'jia'fa 假发
'jia'te'lin 加特林
'jian'pan'xia 键盘侠
'jian'xi'yong'bing'xian'dan'qiang 见习佣兵霰弹枪
'jian'yu 剑鱼
'jian'yu 箭雨
'jian'zhang'xun'zhang 舰长勋章
'jian'zong 剑宗
'jiang'lin 降临
'jie'yin'da'shu 接引大书
'jin'gang'zhuo 金刚琢
'jin'gu'bang 金箍棒
'jin'ji 进击
'jin'ji'de'hao'jiao 进击的号角
'jin'jiao'jian 金蛟剪
'jin'wei'da'jian 近卫大剑
'jin'wei'fa'shi'zhi'zhang 近卫法师之杖
'jin'wei'zhan'gong 近卫战弓
'jin'xie'zhan'chui 金蟹战锤
'jin'zhan'wu'qi 近战武器
'jing'guan 警官
'jing'he'zhi'gong 晶核之弓
'jing'lei 惊雷
'jing'ling 精灵
'jing'ling'zhi'lei 精灵之泪
'jing'mi'gou'suo'qiang 精密勾索枪
'jing'xie'tai'dao 晶蟹钛刀
'jing'zhi'fa'zhang 精致法杖
'jing'zhun'ji'guan'qiang 精准机关枪
'ju'bao 聚爆
'ju'bao'ji'bing 聚爆极冰
'ju'du'teng'wan 剧毒藤蔓
'ju'du'zhi'wang'zhe 剧毒织网者
'ju'du'zhi'ying 剧毒之鹰
'ju'feng'quan'tao 飓风拳套
'ju'fu 巨斧
'ju'gong 巨弓
'ju'he'zhan 居合斩
'ju'ji'bu'qiang 狙击步枪
'ju'ji'qiang'wu'qi 狙击枪武器
'ju'ju'xue'hu 巨巨雪狐
'ju'xing'feng'ye 巨型枫叶
'ju'xue'hu 巨雪狐
'jue'se 角色
'jue'xin'meng'chong 决心猛冲
'jun'zhi'gong 珺之弓
'ka'dun'ji'guang'qiang 卡顿激光枪
'kai'cai'zhe 开采者
'kan'dao 砍刀
'kao'cong 烤葱
'kao'ji'guang'yu 烤激光鱼
'kao'luo'bo 烤萝卜
'kao'rou 烤肉
'kao'shang'fang'bao'jian 烤尚方宝剑
'kao'yu 烤鱼
'ke'wu'ji'guang'qiang 可恶激光枪
'kong'zhong'zhi'yuan 空中支援
'kuang'bao 狂暴
'kuang'che'su'di 矿车速递
'kuang'gong 矿工
'kuang'hua 狂化
'kuang'zhan'shi 狂战士
'kui'she 蝰蛇
'kun'xian'sheng 捆仙绳
'kuo'san'gui'dao'pao 扩散轨道炮
'la'ba 喇叭
'lan'huo'jia'te'lin 蓝火加特林
'lan'qiu 篮球
'lang'chao'fa'zhang 浪潮法杖
'lang'ren 狼人
'lang'ya'bang 狼牙棒
'lao'jiu'de'huo'jian'tong 老旧的火箭筒
'lao'jiu'de'ju'ji'qiang 老旧的狙击枪
'lao'jiu'de'ka'bin'qiang 老旧的卡宾枪
'lao'tie'de'chui'zi 老铁的锤子
'lei'bao'zhan'chui 雷暴战锤
'lei'dian'da'jian 雷电大剑
'lei'dian'zhan'chui 雷电战锤
'lei'jian 雷剑
'lei'she'fu'you'pao 镭射浮游炮
'li'mi'zhi'chi 厘米直尺
'li'zi'gui'dao'pao 离子轨道炮
'li'zi'gui'dao'pao'di'er'dai 离子轨道炮第二代
'li'zi'ji'fa'qiang 离子激发枪
'li'zi'ji'guang'qiang 离子激光枪
'li'zi'ju'bian'qiang 离子聚变枪
'li'zi'xian'quan'pao 离子线圈炮
'li'zi'zhi'ying 粒子之鹰
'lian'jin'shu'shi 炼金术士
'lian'she'ju'ji'qiang 连射狙击枪
'lian'she'xian'dan'qiang 连射霰弹枪
'lian'xie'zhi'huan 联携指环
'lian'xu'gui'dao'pao 连续轨道炮
'liang'zi'shou'li'jian 量子手里剑
'lie'ren 猎人
'ling'zhu 领主
'liu'dan'ji'qiang 榴弹机枪
'liu'dan'shou'qiang 榴弹手枪
'liu'mai'shen'jian 六脉神剑
'liu'xing 流星
'liu'ye'dao 柳叶刀
'liu'yun'fei'jian 流云飞剑
'long'qiang 龙枪
'long'qiang'sheng'lin 龙枪圣临
'luo'bo 萝卜
'luo'xuan'chong'feng'qiang 螺旋冲锋枪
'lv'se'de'pen 绿色的盆
'lv'se'xiang'wei'she 绿色响尾蛇
'mai'chong 脉冲
'man'you'zuo'lun 漫游左轮
'mao'zi'xi'fa 帽子戏法
'mei'du'sha'zhi'tong 美杜莎之瞳
'mei'gui'jin 玫瑰金
'mei'guo'ka'bin'qiang 美国卡宾枪
'mei'ying 魅影
'meng'hu'quan 猛虎拳
'meng'huan 梦幻
'mi'chang'dao 米长刀
'mi'ji'huo'jian'fa'she'qi 密集火箭发射器
'mi'ni'qi'shi'shou'ban 迷你骑士手办
'mi'ni'wu'zi 迷你乌兹
'mi'zhi'yin'ji 蜜汁饮剂
'miao'miao'qiang 妙妙枪
'ming'wang'chang'ren 冥王长刃
'ming'yun'zhi'lun 命运之轮
'mo'dao 陌刀
'mo'dao'shi'zhi'zhang 魔导师之杖
'mo'fa'gong 魔法弓
'mo'fa'shou'tao 魔法手套
'mo'hun 魔魂
'mo'tuo'luo'fu'ji'wei'jiu 莫托洛夫鸡尾酒
'mu'chui 木锤
'mu'gun 木棍
'mu'shi 牧师
'mu'zhi'shi'zi'jia 木制十字架
'nao'du'zi'de'cai'hong'ma 闹肚子的彩虹马
'neng'liang'beng'yong 能量迸涌
'neng'liang'hu'dun 能量护盾
'ning'shen 宁神
'nu'wu'qi 弩武器
'nv'huang'zhi'chu 女皇之触
'nv'huang'zhi'fu 女皇之抚
'nv'shen'xi'zhang 女神锡杖
'pao'pao'qiang 泡泡枪
'pen'qi'he'tun 喷气河豚
'pi'tao'wang'zi 皮套王子
'ping'di'guo 平底锅
'po'jiu'de'shou'qiang 破旧的手枪
'po'sui'de'jian'bing 破碎的剑柄
'po'sui'de'jian'ren 破碎的剑刃
'pu'ke'pai 扑克牌
'pu'la'sa'mo'ni'ke 普拉萨莫尼克
'pu'tong'yu'gan 普通鱼竿
'qi'bao'ku'wu 起爆苦无
'qi'dao 祈祷
'qi'shi 骑士
'qi'shi'chang'qiang 骑士长枪
'qi'shi'zhi'quan 骑士之拳
'qi'zong 气宗
'qian'ben 千本
'qian'ben'ying 千本嘤
'qian'kun'da'nuo'yi 乾坤大挪移
'qian'kun'gong 乾坤弓
'qian'nian'sun 千年笋
'qian'qian'shi'dai'chong'feng'qiang 欠欠时代冲锋枪
'qian'shi'dai'chong'feng'qiang 欠时代冲锋枪
'qian'shu 千束
'qiang'gong 强弓
'qiang'hua'tu'ji'bu'qiang 强化突击步枪
'qiang'hua'xian'dan'qiang 强化霰弹枪
'qiang'ke 枪客
'qiang'li'fen'lie'zhe 强力分裂者
'qiang'shen'jiang'lin 枪神降临
'qiang'shou 枪手
'qing'feng'jian 清风剑
'qing'gang'guang'jian 青釭光剑
'qu'zhu'fa'zhang 驱逐法杖
'quan'hui'fu'yao'shui 全恢复药水
'quan'li'gong'ji 全力攻击
'quan'neng'fa'qiu'qi 全能发球器
'quan'tao 拳套
'qun'xing'zhi'gong 群星之弓
'ren'min'chong'feng'qiang 人民冲锋枪
'rong'he'zhi'gong 熔核之弓
'rong'lu 熔炉
'ru'lai'shen'zhang 如来神掌
'sa'bi'qiang 撒币枪
'sai'zi 塞子
'san'cha'ji 三叉戟
'san'da 散打
'san'jian'liang'ren'dao 三尖两刃刀
'san'mei'zhen'huo 三昧真火
'san'she'ji'guang'qiang 散射激光枪
'sao'zhou 扫帚
'sen'xian 森弦
'sha'chong 沙虫
'sha'chong'lai'xi 沙虫来袭
'sha'luo'man'she 沙罗曼蛇
'sha'mo'zhi'ying 沙漠之鹰
'sha'zhu'dao 杀猪刀
'shan'dian'fa'zhang 闪电法杖
'shan'dian'wu'lian'bian 闪电五连鞭
'shang'fang'bao'jian 尚方宝剑
'shang'jin'biao'ji 赏金标记
'shao'nian'yong'zhe'mo'zhang 少年勇者魔杖
'shao'nv'de'wu'zi'chong'feng'qiang 少女的乌兹冲锋枪
'shen'hua 神化
'shen'hua'wu'qi 神话武器
'shen'ji'zhi'jian 神祭之剑
'shen'mi'shang'fan'zhi'qiang 神秘商贩之枪
'shen'niu'chui 神牛槌
'shen'pan'zhe 审判者
'shen'sheng'lian'jia 神圣连枷
'shen'shui'ji'guang'yu 深水激光鱼
'sheng'dan'li'wu 圣诞礼物
'sheng'na'tan'ce'qi 声呐探测器
'sheng'qi'shi 圣骑士
'sheng'suo'qiang 绳索枪
'shi'chui 石锤
'shi'kong'jian'shou'li'jian 时空间手里剑
'shi'lai'mu'wang 史莱姆王
'shi'ren'hua 食人花
'shi'xue'zhan'ji 嗜血斩击
'shou'gong'yu'gan 手工鱼竿
'shou'hu'jing'ling 守护精灵
'shou'li'jian 手里剑
'shou'lie'ling'yu 狩猎领域
'shou'ling'ren'duan'fu 守灵人短斧
'shou'liu'dan 手榴弹
'shou'qiang 手枪
'shou'qiang'wu'qi 手枪武器
'shou'wei'zhe 守卫者
'shou'wei'zhe'gui'dao'pao 守卫者轨道炮
'shuang'guan'bu'qiang 双管步枪
'shuang'guan'shou'qiang 双管手枪
'shuang'jie'gun 双节棍
'shuang'jin'lang'xi 霜烬狼袭
'shuang'ren'jian 双刃剑
'shuang'ren'zhan'fu 双刃战斧
'shui'hu 水壶
'shui'jing'gong 水晶弓
'shui'jing'wang'xie 水晶王蟹
'shun'bu'jian'jue 瞬步剑诀
'si'ba'da'fei'ti 斯巴达飞踢
'si'ling'fa'shi 死灵法师
'si'ling'fa'zhang 死灵法杖
'si'shen'zhi'xi 死神之息
'si'wang'bi'ji 死亡笔记
'si'wang'zhi'lun 死亡之轮
'si'xing'lei'she 死星镭射
'su'liao'nian'ye'qiang 塑料粘液枪
'su'qing'zhe 肃清者
'su'yan'xiang'ji 素颜相机
'sui'bing'zhe 碎冰者
'tai'qiu'gan 台球杆
'tai'yi'fu'chen 太乙拂尘
'tan'she'chong'feng'qiang 弹射冲锋枪
'tan'she'gui'dao'pao 弹射轨道炮
'tan'she'ju'ji'qiang 弹射狙击枪
'tang'hu'lu 糖葫芦
'te'bie'zhi'yuan'hu'jiao'qi 特别支援呼叫器
'te'zhong'qi'shi'bu'dui 特种骑士部队
'te'zhong'zuo'zhan'pei'he 特种作战配合
'te'zhong'zuo'zhan'wu'qi 特种作战武器
'teng'wan 藤蔓
'tian'di'tong'yi'quan 天地通意拳
'tian'mi'mi'nai'cha 甜蜜蜜奶茶
'tian'tang'zhi'quan 天堂之拳
'tiao'yue 跳跃
'tie'gao 铁镐
'tong'ku'mian'ju 痛苦面具
'tou'fu 投斧
'tou'tao'ying'xiong'ji'qiang 头套英雄机枪
'tou'zhi'wu'qi 投掷武器
'tu'biao'zhi'bi 图标之笔
'tu'hao'jin 土豪金
'tu'ji'bu'qiang 突击步枪
'tu'ji'huo'jian 突击火箭
'tu'long'bao'dao 屠龙宝刀
'tun'shi 吞噬
'wa'ke'en'chong'feng'qiang 瓦克恩冲锋枪
'wai'xing'zhi'ying 外星之鹰
'wan'jian'gui'zong 万剑归宗
'wang'ling'fu'sheng 亡灵复生
'wang'qiu'pai 网球拍
'wang'yin'shao'nian 网瘾少年
'wang'yin'shao'nv 网瘾少女
'wei'du'yue'qian 维度跃迁
'wei'du'zhi'yin'shou'ce 维度指引手册
'wei'feng'jian 微风剑
'wei'wan'cheng'de'sha'yu'huo'pao 未完成的鲨鱼火炮
'wei'xing'fu'you'pao 卫星浮游炮
'wen'yi'zhi'zhang 瘟疫之杖
'wu'dou'jia 武斗家
'wu'jin'hui'fu'yao'shui 无尽恢复药水
'wu'jin'neng'liang'yao'shui 无尽能量药水
'wu'jin'sheng'ming'yao'shui 无尽生命药水
'wu'li'xue'sheng'jian 物理学圣剑
'wu'ren'ji'ji'qun 无人机集群
'wu'se'bi 五色笔
'wu'shi'fa'zhang 巫师法杖
'wu'zei 乌贼
'wu'zi'qi'pan 五子棋盘
'wu'zi'qiang 乌兹枪
'xi'bao 细胞
'xi'bao'ning'ye 细胞凝液
'xi'fa'shi 戏法师
'xi'wang 希望
'xi'xue'gui 吸血鬼
'xi'ying'jian'wu 戏影剑舞
'xian'dan'nu 霰弹弩
'xian'dan'qiang 霰弹枪
'xian'dan'qiang'er'dai 霰弹枪二代
'xian'dan'qiang'san'dai 霰弹枪三代
'xian'dan'qiang'wu'qi 霰弹枪武器
'xian'dan'qiang'yi'dai 霰弹枪一代
'xian'jing'da'shi 陷阱大师
'xian'qu'zhe 先驱者
'xian'quan'pao 线圈炮
'xian'xue'jiu'bei 鲜血酒杯
'xian'zhen'qiang'jue 陷阵枪诀
'xian'zhen'ying'dong'neng'qiang 陷阵营动能枪
'xiang'jiao 香蕉
'xiang'zi 箱子
'xiao'ming'xiao'hong 小明小红
'xiao'mu'tong 小木筒
'xiao'shou'zhe 枭首者
'xie'li 协力
'xie'neng'pi'feng'sui'xie 邪能披风碎屑
'xin'nian'li'wu 新年礼物
'xing'yun'chong 星云铳
'xing'yun'zhang 星陨杖
'xiu'luo 修罗
'xiu'mian'de'du'pao'pao'beng 休眠的毒泡泡泵
'xu'kong'jian 虚空剑
'xuan'feng'tui 旋风腿
'xuan'ming 玄冥
'xuan'tie'zhong'jian 玄铁重剑
'xue'hu 雪狐
'xue'ni'fei'dao 削你飞刀
'xue'ren 血刃
'xue'ren'zhi'ying 雪人之鹰
'yan'jiang'ji'qiang 岩浆机枪
'yan'yue'qing'long 偃月青龙
'yan'zu'da'ge'da 岩祖大哥大
'yang'jian'hu 养剑葫
'yang'jiao'shou 羊叫兽
'yao'kong'zha'dan 遥控炸弹
'yao'wan 药丸
'yi'ji'huo'yan'fa'zhang 遗迹火焰法杖
'yi'jie'xuan'wo 异界旋涡
'yi'quan 一拳
'yi'tian'jian 倚天剑
'yin'he'xian'dan'qiang 银河霰弹枪
'yin'lv'jie'pai 音律节拍
'yin'you'shi'ren 吟游诗人
'ying'dun 影遁
'ying'hua'xian'dan'qiang 樱花霰弹枪
'ying'hun 英魂
'ying'ji'pao'tai 迎击炮台
'ying'xiong'bian'shen'qi 英雄变身器
'ying'xiong'bian'shen'wu'pin 英雄变身物品
'ying'xiong'gong 英雄弓
'ying'xiong'jue'se 英雄角色
'ying'xiong'wang'jian 英雄王剑
'ying'ying'ying 嘤嘤鹰
'you'ji'hou'lang 有机后浪
'you'xia 游侠
'yu'jian'shu 御剑术
'yu'jing'ping 玉净瓶
'yu'mao'nu 羽毛弩
'yu'mao'qiu'pai 羽毛球拍
'yu'san 雨伞
'yuan'dun 圆盾
'yuan'neng'zhi'xiang 元能之相
'yuan'qi'dan'fa'she'qi 元气弹发射器
'yuan'su'qin'he 元素亲和
'yuan'su'shi'shuang'dao 元素石双刀
'yuan'su'yao'ji 元素药剂
'yuan'sui'ya 元碎牙
'yuan'xing'gui'dao'qiang 原型轨道枪
'yue'guang'qiu 月光球
'yue'qian'zhe 跃迁者
'yue'ying'zhi'xi 月影之息
'yun'xing'pao 陨星炮
'za'xiang'wu'qi 杂项武器
'zai'huo'zhi'shi 灾祸之石
'zang'zang'de'tiao'se'pan 脏脏的调色盘
'zao'dong'de'shu'gan 躁动的树干
'zha'tong'pai'dui 炸桶派对
'zha'yao'bao 炸药包
'zhan'fu 战斧
'zhan'shou'zhe 斩首者
'zhan'shu'jing'ying'ban 战术精英版
'zhan'xin'chu'chang 崭新出厂
'zhan'xin'de'shou'qiang 崭新的手枪
'zhan'xing'fa'zhang 占星法杖
'zhan'xing'mo'zhang 占星魔杖
'zhan'xing'shi 占星师
'zhan'yi'feng'bao 战意风暴
'zhao'huan'ju'xiong 召唤巨熊
'zhi'wang'zhe 织网者
'zhi'zun'quan'zhang 至尊权杖
'zhong'cai'zhe 仲裁者
'zhong'jie'ji 终结技
'zhong'quan'chu'ji 重拳出击
'zhong'xing'lie'fu 重型猎斧
'zhong'zi'qiang 种子枪
'zhou'fa'qi'shi 咒法骑士
'zhou'shu'zhi'zhang 咒术之杖
'zhou'si'zhi'mao 宙斯之矛
'zhou'yu'liu'xing 骤雨流星
'zhu'ge'lian'nu 诸葛连弩
'zhu'zi 竹子
'zhua'zi 爪子
'zhuan'qiang 转枪
'zhuan'zhu'she'ji 专注射击
'zhuo're'zhao'ren 灼热爪刃
'zi'jue'shi 紫爵士
'zi'ran'fa'zhang 自然法杖
'zong'ye'qiang 粽叶枪
'zou'yin'mai'ke'feng 走音麦克风
'zu'qiu 足球
'zu'zhou'sheng'bei 诅咒圣杯
'zui'e'ke'xing 罪恶克星
'zui'pao 嘴炮
'zuo'lun'shou'qiang 左轮手枪
'zuo'wen'zhi'tiao 作文纸条
