'an'ji'jia'suan'zhi 氨基甲酸酯
'fu'bi'xian'cao'an 氟吡酰草胺
'fu'bing'mi'cao'zhi 氟丙咪草酯
'fu'cao'huang 呋草黄
'fu'cao'min 氟草敏
'fu'cao'tong 呋草酮
'fu'chu'cao'mi 氟除草醚
'fu'ding'cao'tong 氟啶草酮
'fu'ding'xian'cao'an 氟丁酰草胺
'fu'ge'cao'tong 氟咯草酮
'fu'huang'an'cao'mi 氟磺胺草醚
'fu'huang'xian'cao'an 氟磺酰草胺
'fu'mi'liu'cao'zhi 氟嘧硫草酯
'fu'sai'cao'an 氟噻草胺
'fu'xi'cao'zhi 氟烯草酯
'gan'an'suan 甘氨酸
'gao'xiao'mai'cao'fu 高效麦草伏
'geng'xian'cao'an 庚酰草胺
'gu'an'xian'an'he'cheng'mei'yi'zhi'ji 谷氨酰胺合成酶抑制剂
'guang'xi'tong'dian'zi'zhuan'yi'yi'zhi'ji 光系统电子转移抑制剂
'he'cao'dan 禾草丹
'he'cao'di 禾草敌
'he'cao'wei 禾草畏
'he'cheng'mei'yi'zhi'ji 合成酶抑制剂
'he'cheng'yi'zhi'ji 合成抑制剂
'huan'cao'di 环草敌
'huan'geng'cao'mi 环庚草醚
'huan'huang'tong 环磺酮
'huan'wu'e'cao'tong 环戊噁草酮
'huan'yang'yi'wan'lei 环氧乙烷类
'huang'ben'fu'cao'tong 磺苯氟草酮
'huang'cao'ling 磺草灵
'huang'cao'tong 磺草酮
'jia'cao'an 甲草胺
'jia'huang'cao'an 甲磺草胺
'jia'ji'sha'cao'long 甲基杀草隆
'jia'ji'shen'suan'na 甲基砷酸钠
'jia'liu'zuo'cao'lin 甲硫唑草啉
'jia'suo'chu'cao'mi 甲羧除草醚
'jia'yang'chu'cao'mi 甲氧除草醚
'jia'yang'sai'cao'an 甲氧噻草胺
'jie'ou'lian'ji 解偶联剂
'jing'lei 睛类
'jing'lei 腈类
'ke'cao'di 克草敌
'liu'dai'an'ji'jia'suan'zhi'lei 硫代氨基甲酸酯类
'lv'ben'an'ling 氯苯胺灵
'lv'dai'suo'suan'lei 氯代羧酸类
'lv'liu'xian'cao'an 氯硫酰草胺
'lv'que'ling 氯炔灵
'lv'yi'xian'an'lei 氯乙酰胺类
'mao'cao'ku 茅草枯
'mie'cao'di 灭草敌
'mie'cao'huan 灭草环
'mie'cao'ling 灭草灵
'mie'zao'kun 灭藻醌
'mu'cao'an 牧草胺
'nai'bing'an 萘丙胺
'nai'cao'an 萘草胺
'pai'cao'dan 哌草丹
'pai'cao'lin 哌草磷
'ping'cao'dan 坪草丹
'qi'ta 其他
'qin'cao'suan'jia'zhi 嗪草酸甲酯
'ren'suan 壬酸
'ru'fu'he'cao'ling 乳氟禾草灵
'san'fu'cao'qin 三氟草嗪
'san'fu'jia'ji'huang'xian'an 三氟甲基磺酰胺
'san'fu'suo'cao'mi 三氟羧草醚
'san'fu'xiao'cao'mi 三氟硝草醚
'san'lv'yi'suan 三氯乙酸
'san'qin'fu'cao'an 三嗪氟草胺
'san'tong'lei 三酮类
'san'zuo 三唑
'san'zuo'jia'xian'an 三唑甲酰胺
'sha'bai'lin 莎稗磷
'sha'cao'long 杀草隆
'sha'cao'qiang 杀草强
'sha'mu'lin 杀木膦
'sheng'zhang'su'yun'shu'yi'zhi'ji 生长素运输抑制剂
'shuang'ben'xian'cao'an 双苯酰草胺
'shuang'bing'an'xian'lin 双丙氨酰膦
'shuang'huan'huang'cao'tong 双环磺草酮
'shuang'xian'cao'an 双酰草胺
'shuang'zuo'cao'jing 双唑草腈
'si'lv'bing'suan 四氯丙酸
'si'zuo'xian'cao'an 四唑酰草胺
'te'le'fen 特乐酚
'wan'ji'san'qin'lei 烷基三嗪类
'wei'zhi 未知
'wu'xiao'fen 戊硝酚
'xi'cao'an 烯草胺
'xian'wei'su'he'cheng'yi'zhi'ji 纤维素合成抑制剂
'xiao'huang'cao'tong 硝磺草酮
'xiu'ben'jing 溴苯腈
'xiu'ding'xian'cao'an 溴丁酰草胺
'xiu'fen'wo 溴酚肟
'yan'mai'ling 燕麦灵
'ye'yan'ku 野燕枯
'ye'yan'wei 野燕畏
'yi'bing'cao'an 异丙草胺
'yi'bing'jia'cao'an 异丙甲草胺
'yi'cao'an 乙草胺
'yi'ding'cao'an 异丁草胺
'yi'e'cao'song 异噁草松
'yi'e'xian'cao'an 异噁酰草胺
'yi'e'zuo'cao'tong 异噁唑草酮
'yi'e'zuo'lin 异噁唑啉
'yi'e'zuo'lin'tong 异恶唑啉酮
'yi'suan'fu'cao'mi 乙酸氟草醚
'yi'xian'an'lei 乙酰胺类
'yi'xian'jia'cao'an 乙酰甲草胺
'yi'yang'ben'cao'an 乙氧苯草胺
'yi'yang'fu'cao'huang 乙氧呋草黄
'yi'yang'fu'cao'mi 乙氧氟草醚
'yi'zhi'ba'qing'fan'qie'hong'su'tuo'qing'mei 抑制八氢番茄红素脱氢酶
'yi'zhi'ji 抑制剂
'yi'zhi'ji'yi'e'zuo'lei 抑制剂异噁唑类
'yi'zhi'niao'hei'suan'qie'ni'zhi'zhuan'yi'mei 抑制尿黑酸茄尼酯转移酶
'yi'zhi'si'an'suan'su'an'suan'dan'bai'lin'suan'mei 抑制丝氨酸苏氨酸蛋白磷酸酶
'yi'zhi'wei'guan'zu'zhi 抑制微管组织
'yi'zhi'zhi'fang'suan'liu'zhi'mei 抑制脂肪酸硫酯酶
'yin'cao'di 茵草敌
'yin'cao'tong 茚草酮
'yin'duo'suan 茵多酸
'yin'duo'tong'cao'zhi 吲哚酮草酯
'yin'qin'fu'cao'an 茚嗪氟草胺
'zhong'cao'dan 仲草丹
'zuo'cao'an 唑草胺
'zuo'cao'tong 唑草酮
'zuo'ding'cao'tong 唑啶草酮
'zuo'ji'jia'xian'an 唑基甲酰胺
