'an'fei'ji 安飞机
'guai'dao 怪盗
'guai'shou 怪兽
'guan'ce 观测
'guan'dao 管道
'guan'dao'gong 管道工
'guan'mu 灌木
'guan'xing 观星
'guan'zhu'yang'qi 灌注氧气
'guang'ju 光巨
'guang'zhi'ju'ren 光之巨人
'gui'keng 鬼坑
'gui'piao 归票
'gui'piao'wei 归票位
'gui'zai'chang 鬼在场
'guo'lu 锅炉
'guo'lu'fang 锅炉房
'guo'lv'qi 过滤器
'guo'wang 国王
'han'tiao 悍跳
'hang'tu 航图
'hang'xian 航线
'hao'lian'zi 好链子
'hao'piao 号票
'hao'sao 好扫
'hei'hei 嘿嘿
'hei'hei'hai'nan 嘿嘿海南
'hei'hei'tai'kong'sha 嘿嘿太空杀
'hei'ke 黑客
'hei'se 黑色
'hong'ming'jing'zhang 红名警长
'hong'se 红色
'hou'zhi'wei 后置位
'hou'zi 猴子
'hu'bao 互保
'hu'cai 互踩
'hu'dun 护盾
'hu'dun'cang 护盾舱
'hua'fen 花粉
'hua'kuang 画框
'hua'shui 划水
'hua'shui'fa'yan 划水发言
'hua'yuan 花园
'huan'gui 换鬼
'huan'piao 换票
'huan'piao'shi 换票师
'huan'ren 换人
'huan'shui'tong 换水桶
'huan'ying 幻影
'huang'se 黄色
'hui'su 回溯
'hui'yi 会议
'hui'yuan 灰原
'hui'yuan'ai 灰原哀
'hui'zhi 绘制
'hui'zhi'hang'xian 绘制航线
'hui'zhi'hang'xian'tu 绘制航线图
'hun'dao 混刀
'huo'xing 火星
'huo'xing'shi'yan'shi 火星实验室
'ji'lu'wen'du 记录温度
'ji'tui 鸡腿
'jia'ren'wu 假任务
'jia'shan 假山
'jia'shi 驾驶
'jia'shi'cang 驾驶舱
'jia'you 加油
'jian'ce'tian'qi 检测天气
'jian'die 间谍
'jian'guan'mu 剪灌木
'jian'kong 监控
'jian'kong'shi 监控室
'jian'piao 检票
'jian'qiu 捡球
'jian'yan 检验
'jian'yan'yang'pin 检验样品
'jiang'hu'chuan'ke'nan 江户川柯南
'jiao'dian'wei 焦点位
'jiao'fu 教父
'jiao'guan'zhi'wu 浇灌植物
'jiao'miao 交秒
'jiao'zhun 校准
'jiao'zhun'fen'pei'qi 校准分配器
'jiao'zhun'yin'qing 校准引擎
'jiao'zhun'yin'qing'fang'xiang 校准引擎方向
'jie'ji 街机
'jie'ji'ting 街机厅
'jie'kai'fei'chuan'suo 解开飞船锁
'jie'shi'qi'guan 解释歧管
'jie'suo'qi'guan 解锁歧管
'jin'ji 紧急
'jin'ji'ren'wu 紧急任务
'jin'se 金色
'jin'shui 金水
'jin'xing 进行
'jing'dian'bei'ke'hao 经典贝壳号
'jing'hua'shi 净化室
'jing'zhang 警长
'jiu'che'zhan 旧车站
'jiu'gui 酒柜
'jiu'jiao 酒窖
'jiu'ren 救人
'jiu'shi'dai'che'zhan 旧时代车站
'ju'ji 狙击
'ju'ji'shou 狙击手
'ju'ren 巨人
'ju'ren'wang'luo 巨人网络
'ka'dao 卡刀
'ka'deng 卡灯
'ka'dian 卡电
'ka'fan'ying 卡反应
'ka'fei'ting 咖啡厅
'ka'hua 卡花
'ka'jin'ji 卡紧急
'ka'qi 卡其
'ka'qi'se 卡其色
'ka'shang'mian 卡上面
'ka'tong'xun 卡通讯
'ka'xia'mian 卡下面
'ka'yang'qi 卡氧气
'ka'you'mian 卡右面
'ka'zuo'mian 卡左面
'kai'chang 开场
'kai'dao 开刀
'kai'deng 开灯
'kai'deng'pai 开灯牌
'kai'hu 开户
'kai'hui 开会
'kai'qi'fan'ying'dui 开启反应堆
'kai'qi'neng'liang'he'xin 开启能量核心
'kai'ren 开人
'kai'shui'zha 开水闸
'kan'jia 砍价
'kang'chu 扛出
'kang'du 扛赌
'kang'piao 扛票
'kang'tui 扛推
'kao'ji 烤鸡
'kao'ren 拷人
'kao'wen 拷问
'ke'le 磕了
'ke'nan 柯南
'ke'tou 磕头
'keng'wei 坑位
'kong'chang 控场
'kong'piao 控票
'kong'zhong'hua'yuan 空中花园
'la'hui 拉会
'la'ling 拉铃
'lan'se 蓝色
'lang'hu'bao 狼互保
'lang'keng 狼坑
'lao'bing 老兵
'lian'dian'xian 连电线
'lian'zi 链子
'liang'zi 良子
'liao'wang 瞭望
'liao'wang'tai 瞭望台
'lie'ren 猎人
'ling'ren'wu 领任务
'lu'xian 路线
'lv'se 绿色
'lv'ye'zi 绿叶子
'ma'feng 马蜂
'mai'dong'xi 买东西
'mai'yin'liao 买饮料
'man'zhan 漫展
'mao'li 毛利
'mao'li'lan 毛利兰
'mei'zhong 没中
'mi'fang 秘方
'mi'feng 蜜蜂
'mi'gong 迷宫
'mi'la'zong'bu 米拉总部
'mian'ban 面板
'mian'chi 面吃
'mian'dao 面刀
'mian'tun 面吞
'miao'xiu 秒修
'mo'fa 魔法
'mo'fa'cheng'bao 魔法城堡
'mo'fa'fu 魔法符
'mo'fa'shi'yan'shi 魔法实验室
'mo'fa'zhen 魔法阵
'mo'ni 模拟
'mo'ni'zhuo'lu 模拟着陆
'mo'shu 魔术
'mo'shu'shi 魔术师
'mo'yao 魔药
'mo'zhi'wei 末置位
'nai'long 奶龙
'ne'zha 哪吒
'nei'gui 内鬼
'nei'gui'zhen'ying 内鬼阵营
'nei'zhi'wei 内置位
'nei'zhi'wei'kai'dao 内置位开刀
'niu'dan 扭蛋
'niu'niu'dan 扭扭蛋
'nv'di 女帝
'nv'wu 女巫
'pai'deng 拍灯
'pai'hui 拍会
'pai'keng 排坑
'pai'ling 拍铃
'pai'shen'fen 拍身份
'pan'ji'tui 盘鸡腿
'pan'ren 盘人
'pan'ren'wu 盘任务
'pan'shen'fen 盘身份
'pan'xin'xi 盘信息
'pei'dian 配电
'pei'dian'fang 配电房
'pei'dian'shi 配电室
'pei'yang'zhi'wu 培养植物
'peng'ci 碰瓷
'peng'wo 碰我
'pin'dao 拼刀
'pin'tu 拼图
'ping'piao 平票
'qi'dong'fan'ying'dui 启动反应堆
'qi'gai 乞丐
'qi'xiang'yi 气象仪
'qi'zha 欺诈
'qi'zha'shi 欺诈师
'qian'zhi'wei 前置位
'qiang'bi 枪毙
'qiang'pai 强排
'qiang'tou 墙头
'qiang'tou'cao 墙头草
'qin'ru 侵入
'qing'bao 情报
'qing'bao'yuan 情报员
'qing'chun 青春
'qing'chun'lv 青春绿
'qing'jie 清洁
'qing'jie'gong 清洁工
'qing'li'guan'dao 清理管道
'qing'li'guo'lv'qi 清理过滤器
'qing'li'la'ji 清理垃圾
'qing'li'mo'fa'zhen 清理魔法阵
'qing'li'pai'feng'shan 清理排风扇
'qing'li'shu'ye 清理树叶
'qing'li'yun'shi 清理陨石
'qing'se 青色
'qiu'bi 丘比
'qiu'bi'te 丘比特
'qu'wu'shi 去污室
'quan'ren 拳人
'quan'shui 泉水
'quan'wo 拳我
'ran'you 燃油
'ren'wu 任务
'ren'zhe 忍者
'rong'cuo'keng 容错坑
'san'gui 三鬼
'san'gui'ju 三鬼局
'san'gui'zai'chang 三鬼在场
'sao'ji'tui 扫鸡腿
'sao'ka 扫卡
'sao'miao 扫描
'sao'mu'shen'fen'ka 扫墓身份卡
'sao'shu'ye 扫树叶
'shan'guang 闪光
'shan'guang'dan 闪光弹
'shan'xia 闪瞎
'shan'xia'zi'dan 闪瞎子弹
'shang'bu'shang 上不上
'shang'gao 上高
'shang'gao'su 上高速
'shang'jin 赏金
'shang'jin'lie'ren 赏金猎人
'shang'jing'hua'shi 上净化室
'shang'ren 上人
'shang'shen 上身
'shang'yin 上引
'shang'yin'qing 上引擎
'shao'piao 烧票
'shao'si 烧死
'she'hun 摄魂
'she'hun'guai 摄魂怪
'shen'fen'xin'xi 身份信息
'shen'fen'zuo'cha 身份作差
'shen'fen'zuo'hao 身份作好
'shen'kong'shi'ming 深空使命
'shen'shui 深水
'shi'ci 时刺
'shi'jian'ci'ke 时间刺客
'shi'jian'zhi'zhu 时间之主
'shi'kong'xiao'zhen 时空小镇
'shi'liu 石榴
'shi'liu'hong 石榴红
'shi'tang 食堂
'shi'ting 时停
'shi'wai 室外
'shi'yan 实验
'shi'yan'shi 实验室
'shi'zhang 市长
'shi'zhu 时主
'shou'hui'mo'fa'fu 手绘魔法符
'shou'ji 收集
'shou'ji'hua'fen 收集花粉
'shou'ji'quan'shui 收集泉水
'shou'kao'ji 收烤鸡
'shou'wang 守望
'shou'wang'zhe 守望者
'shou'wei 守卫
'shou'ye 守夜
'shou'ye'ren 守夜人
'shu'bao'ting 书报亭
'shu'fang 书房
'shu'ju 数据
'shu'ju'ku 数据库
'shu'ru'shen'fen 输入身份
'shu'ru'shen'fen'xin'xi 输入身份信息
'shu'ru'xin'xi 输入信息
'shuang'gui 双鬼
'shuang'gui'ju 双鬼局
'shuang'mian 双面
'shuang'mian'ren 双面人
'shui'zha 水闸
'shun'chu 顺出
'shun'dao 顺刀
'sun'wu'kong 孙悟空
'ta'shi'gui'wo'mai'dan 他是鬼我买单
'tai'guo'sha 泰国傻
'tai'kong'sha 太空杀
'tai'kong'xing'dong 太空行动
'tan'gang'qin 弹钢琴
'tan'pan 谈判
'tan'si 弹死
'tan'yuan 探员
'tao'tie 饕餮
'ti'huan'shui'tong 替换水桶
'ti'jian 体检
'ti'jiao'mi'fang 提交秘方
'tian'chai'huo 添柴火
'tian'jia'ran'liao 添加燃料
'tian'qi'jian'ce 天气检测
'tian'wen 天文
'tian'wen'shi 天文室
'tian'yan 天眼
'tiao'shen'fen 跳身份
'tiao'zheng'zhi'wu'pei'yang 调整植物培养
'tie'gui 铁鬼
'tie'hao 铁好
'tie'lian 贴脸
'tie'ren 贴人
'ting'hui 停会
'ting'ji'ping 停机坪
'ting'yuan 庭院
'tong'xun 通讯
'tong'xun'shi 通讯室
'tong'xun'zhong'xin 通讯中心
'tuo'ji'tui 拖鸡腿
'wa'bao'zang 挖宝藏
'wai'zhi'wei 外置位
'wai'zhi'wei'kai'dao 外置位开刀
'wei'ren 伪人
'wei'xiu'dian'lan 维修电缆
'wei'xiu'zuan'ji 维修钻机
'wei'yao 喂药
'wei'yi 唯一
'wei'yi'ren'wu 唯一任务
'wei'zhi 位置
'wen'shi 温室
'wo'dao'de 我刀的
'wo'di 卧底
'wo'ka'de 我卡的
'wo'ka'de'deng 我卡的灯
'wo'ka'de'dian 我卡的电
'wo'ka'de'fan'ying 我卡的反应
'wo'ka'de'hua 我卡的花
'wo'ka'de'jin'ji 我卡的紧急
'wo'ka'de'shang'mian 我卡的上面
'wo'ka'de'tong'xun 我卡的通讯
'wo'ka'de'xia'mian 我卡的下面
'wo'ka'de'yang'qi 我卡的氧气
'wo'ka'de'you'mian 我卡的右面
'wo'ka'de'zuo'mian 我卡的左面
'wo'men'de'pai'dui 我们的派对
'wo'xiu'de'shang'mian 我修的上面
'wo'xiu'de'xia'mian 我修的下面
'wo'xiu'de'you'mian 我修的右面
'wo'xiu'de'zuo'mian 我修的左面
'wo'zhuo'de 我捉的
'wo'zhuo'de'gui 我捉的鬼
'wu'kong 悟空
'wu'mian 无面
'wu'mian'ren 无面人
'wu'qi 武器
'wu'qi'cang 武器舱
'wu'qi'ku 武器库
'wu'ren'ji 无人机
'wu'shi 武士
'wu'shu 武术
'wu'shu'jia 武术家
'wu'xian'pai'dui 无限派对
'xi'ren 吸人
'xi'xue 吸血
'xi'xue'gui 吸血鬼
'xi'yu 洗浴
'xi'yu'shi 洗浴室
'xia'dan 下蛋
'xia'jing'hua'shi 下净化室
'xia'ren 下人
'xia'yin 下引
'xia'yin'qing 下引擎
'xia'zai'shu'ju 下载数据
'xian'dai'che'zhan 现代车站
'xiao'chi'jie 小吃街
'xiao'chou 小丑
'xiao'hei 小黑
'xiao'mai'bu 小卖部
'xiao'mi'feng 小蜜蜂
'xiao'nao 小脑
'xiao'xiang 小巷
'xiao'zhen 小镇
'xin'che'zhan 新车站
'xin'dian 心电
'xin'dian'tu 心电图
'xing'cun 幸存
'xing'cun'zhe 幸存者
'xiu'fu'hu'dun 修复护盾
'xiu'fu'zhu'dun 修复主盾
'xiu'fu'zhu'hu'dun 修复主护盾
'xiu'hu'dun 修护盾
'xiu'jian'guan'mu 修剪灌木
'xiu'jin'ji 修紧急
'xiu'li'dian'xian 修理电线
'xiu'li'qi'xiang'yi 修理气象仪
'xiu'shan'po'wu 修缮破屋
'xiu'shan'xiao'wu 修缮小屋
'xiu'zuan'ji 修钻机
'xuan'shang 悬赏
'xuan'shang'mu'biao 悬赏目标
'xun'zhao'bao'zang 寻找宝藏
'xun'zhao'shui'hu 寻找水壶
'yan'hui 宴会
'yan'hui'ting 宴会厅
'yan'huo 焰火
'yan'huo'shi 焰火师
'yan'ren 验人
'yang'pin 样品
'yang'qi 氧气
'yang'qi'cang 氧气舱
'yang'qi'guan 氧气罐
'yang'qi'shi 氧气室
'yang'tai 阳台
'yao'ji 药剂
'yao'ji'shi 药剂师
'ye'zi 叶子
'yi'ci 一次
'yi'ci'xing 一次性
'yi'huan'yi 一换一
'yi'liao 医疗
'yi'liao'jian 医疗间
'yi'liao'shi 医疗室
'yi'sheng 医生
'yi'yi 一一
'yin'qing 引擎
'yin'se 银色
'ying'hua 樱花
'ying'hua'fen 樱花粉
'yong'zhe 勇者
'you'che'xiang 右车厢
'you'dao 有刀
'you'er 诱饵
'you'liao'wang 右瞭望
'you'liao'wang'tai 右瞭望台
'you'xi'ji 游戏机
'yu'yan 预言
'yu'yan'jia 预言家
'yu'zhou'guan'ce 宇宙观测
'yu'zu 狱卒
'yun'shi 陨石
'yun'xing'zhen'duan'cheng'xu 运行诊断程序
'za'wu 杂物
'za'wu'jian 杂物间
'zang'lian'zi 脏链子
'zao'hong 枣红
'zao'hong'se 枣红色
'zha'guan'dao 炸管道
'zhai'cai 择菜
'zhai'chao 摘抄
'zhai'chao'mi'fang 摘抄秘方
'zhan'bu 占卜
'zhan'bu'shi 占卜室
'zhao'jia 招架
'zhao'qiu 找球
'zhao'shui'hu 找水壶
'zhen'duan'cheng'xu 诊断程序
'zhen'tan 侦探
'zhen'xin'huan'zhen'xin 真心换真心
'zheng'li'jiu'gui 整理酒柜
'zhi'ren 指人
'zhi'wu'pei'yang 植物培养
'zhi'zuo 制作
'zhi'zuo'kao'ji 制作烤鸡
'zhi'zuo'mo'yao 制作魔药
'zhong'da'jiang 中大奖
'zhong'jian'che'xiang 中间车厢
'zhong'jiang 中奖
'zhong'li 中立
'zhong'li'yi'shang 中立以上
'zhong'li'yi'xia 中立以下
'zhong'li'zhen'ying 中立阵营
'zhong'mei 中没
'zhong'mei'zhong 中没中
'zhong'ting 中庭
'zhong'zhi 种植
'zhong'zhi'yuan 种植园
'zhou'shu'shi 咒术师
'zhu'kong 主控
'zhu'kong'shi 主控室
'zhu'kong'tai 主控台
'zhu'kong'zhong'xin 主控中心
'zhuang'shen'qi 装神奇
'zhui'zong 追踪
'zhuo'gui 捉鬼
'zhuo'lu 着陆
'zhuo'lu'cang 着陆舱
'zi'cai 自猜
'zi'dao'zi'bao 自刀自爆
'zi'se 紫色
'zi'zheng 自证
'zong'huo 纵火
'zong'huo'fan 纵火犯
'zong'se 棕色
'zou'wei 走位
'zu'zhuang'shen'qi 组装神奇
'zuan'ji 钻机
'zuo'che'xiang 左车厢
'zuo'liao'wang 左瞭望
'zuo'liao'wang'tai 左瞭望台
'zuo'ren'wu 做任务
'zuo'shi 坐实
