'a'er'da'rui'si 阿尔达瑞斯
'bu'si'dui 不死队
'bu'xiu'zhe 不朽者
'bu'xiu'zhe'jing'ying 不朽者精英
'cai'ji'feng'qun 采集蜂群
'cai'ji'gong'feng 采集工蜂
'cai'ji'kuang'luo 采集矿骡
'can'bao'lie'sha 残暴猎杀
'can'bao'long'zhua 残暴龙爪
'ce'shi'sha'bao 测试沙包
'chai'jie'gong'cheng 拆解工程
'chao'chong'ling'zhu 巢虫领主
'chao'chong'ling'zhu'jing'ying 巢虫领主精英
'chao'fu'he 超负荷
'chao'ji'gai'rui 超级盖瑞
'chao'ju'shi'jie 超距视界
'chao'liang'cai'ji 超量采集
'chao'liang'zhi'liao 超量治疗
'chao'wei'kong'jian'ju'shi 超维空间巨石
'chong'chao'zhi'mu 虫巢之母
'chong'dao'wang'luo 虫道网络
'chong'dong'chuan'song 虫洞传送
'chong'hou 虫后
'chong'hui'zhan'chang 重回战场
'chong'ji'fen'dui 冲击分队
'chong'ji'ju'shou 冲击巨兽
'chong'ji'pao'zu 冲击炮组
'chong'luan 虫卵
'chong'neng'shui'jing 充能水晶
'chong'qi'jia'qiao 充气甲壳
'chong'qun'ling'zhu 虫群领主
'chong'qun'xian'feng 虫群先锋
'chong'sheng'xie'yi 重生协议
'chuan'bo'hei'an 传播黑暗
'chuan'ci'du'zhen 穿刺毒针
'chuan'ci'ji'qun 穿刺集群
'chuan'ci'zhe 穿刺者
'chuan'jia'huo'jian 穿甲火箭
'chuan'qi'jun'tuan 传奇军团
'chuan'song'ju'zhen 传送矩阵
'chuan'tou'ji'zhen 穿透脊针
'ci'she 刺蛇
'ci'she'jing'ying 刺蛇精英
'ci'she'nu'pu 刺蛇奴仆
'cui'qu'wa'si 萃取瓦斯
'da'di'sui'lie'pao 大地碎裂炮
'dai'xie'jia'su 代谢加速
'dan'zhi'pen'she'ti 胆汁喷射体
'dao'dan'ji'di 导弹基地
'dao'feng'nv'wang 刀锋女王
'dao'feng'yi'zhi 刀锋意志
'de'ha'ka 德哈卡
'de'la'ken'ji'guang'zuan'ji 德拉肯激光钻机
'di'di'fu'ji 地底伏击
'di'dun'wei'bing 帝盾卫兵
'di'guo'chong'feng'dui 帝国冲锋队
'di'guo'huo'jian'tong'chong'feng'dui 帝国火箭筒冲锋队
'di'guo'huo'yan'qi'chong'feng'dui 帝国火焰器冲锋队
'di'guo'jian'dui 帝国舰队
'di'guo'jian'zheng'zhe 帝国见证者
'di'guo'lao'gong 帝国劳工
'di'guo'tu'ji'shou'chong'feng'dui 帝国突击手冲锋队
'di'guo'zheng'zhao 帝国征召
'di'xia'jiao'yi 地下交易
'di'yu'lie'yan 地狱烈焰
'dian'ci'zha'dan 电磁炸弹
'dian'shi'cheng'jin 点石成金
'ding'dian'bu'shu 定点部署
'ding'dian'zhe'yue 定点折跃
'dou'jiang'you'tiao 豆浆油条
'du'lie'shou 毒裂兽
'du'qi'pao'ta 毒气炮塔
'du'qi'pao'tai 毒气炮台
'du'zhan'bu'dui 督战部队
'duan'bing'xiang'jie 短兵相接
'duan'ya 断牙
'duo'chong'hang'dao 多重航道
'duo'chong'huan'xiang 多重幻象
'duo'chong'ying'xiang 多重影像
'duo'qu 夺取
'e'fu 恶蝠
'e'fu'jing'ying 恶蝠精英
'e'hou'guai 扼喉怪
'e'huo 恶火
'e'huo'jing'ying 恶火精英
'e'huo'xiao'dui 恶火小队
'e'nian'jiang'lin 恶念降临
'fa'dian'zhan 发电站
'fa'ming'gong'chang 发明工厂
'fa'she'jing 发射井
'fan'jia 反甲
'fan'she'tu'zhuang 反射涂装
'fan'ying'dui 反应堆
'fei'long'qi'lian 飞龙骑脸
'fei'ni'ke'si 菲尼克斯
'fei'qi'shi'yan'pin 废弃实验品
'fei'she 飞蛇
'fei'she'jing'ying 飞蛇精英
'fen'lie'bao'chong 分裂爆虫
'fen'lie'chong'luan 分裂虫卵
'fen'lie'xi'bao 分裂细胞
'fen'sui'chong'ji 粉碎冲击
'feng'bao'dui'di'dao'dan'ta 风暴对地导弹塔
'feng'bao'ying'xiong 风暴英雄
'feng'bao'zhan'jian 风暴战舰
'feng'bao'zhan'jian'jing'ying 风暴战舰精英
'feng'huang 凤凰
'feng'huang'zhan'ji 凤凰战机
'feng'kuang'yan'jiu 疯狂研究
'fu'chou'zhuang'zhi 复仇装置
'fu'he'hu'jia 复合护甲
'fu'hua 孵化
'fu'hua'chong'qun 孵化虫群
'fu'hua'chong'qun 腐化虫群
'fu'hua'zhang'lang 孵化蟑螂
'fu'hua'zhe 腐化者
'fu'lan'zhi'yuan 腐烂之源
'fu'shi'bao'lie 腐蚀爆裂
'fu'shi'du'ye 腐蚀毒液
'fu'shi'guai 腐尸怪
'fu'shi'hong'zha 腐蚀轰炸
'fu'shu'zuan'tou 附属钻头
'fu'zhu'ka 辅助卡
'gai'zao'tu'bian 改造突变
'gan'ran'jun'tuan 感染军团
'gan'ran'shen'jing 感染神经
'gan'ran'zhe 感染者
'gan'ran'zhe'jing'ying 感染者精英
'gan'rao'he'xin 干扰核心
'gan'rao'zhe 干扰者
'gan'rao'zhe'jing'ying 干扰者精英
'gang'shao'ji'qiang 岗哨机枪
'gang'tie'hong'liu 钢铁洪流
'gao'ji'ke'ji'shi'yan'shi 高级科技实验室
'gao'jie'ling'zhu 高阶领主
'gao'jie'sheng'tang'wu'shi 高阶圣堂武士
'gao'neng'tu'bian 高能突变
'ge'li'ya 歌利亚
'ge'li'ya'jing'ying 歌利亚精英
'gong'cheng'tan'ke 攻城坦克
'gong'cheng'tan'ke'jing'ying 攻城坦克精英
'gong'feng 供奉
'gong'feng 工蜂
'gong'ji'zhan'dou'ji 攻击战斗机
'gong'ming'zhi'ren 共鸣之刃
'gu'jun'fen'zhan 孤军奋战
'gu'suo'zai'huo 固锁灾祸
'gua'fu'lei 寡妇雷
'gua'fu'lei'jing'ying 寡妇雷精英
'guang'bo'zheng'zhao 广播征召
'guang'xue'mi'cai 光学迷彩
'guang'ying'ji'jie 光影集结
'guang'zi'pao'tai 光子炮台
'gui'dao'kong'jiang 轨道空降
'guo'liang'bu'gei 过量补给
'guo'liang'cai'ji 过量采集
'guo'liang'chong'neng 过量充能
'guo'liang'jing'hua 过量精华
'guo'zai'sheng'ji 过载升级
'guo'zai'shui'jing'ta 过载水晶塔
'hai'dao'chuan 海盗船
'hai'dao'zhu'li'jian 海盗主力舰
'hang'mu 航母
'hang'mu'jing'ying 航母精英
'hao'jie 浩劫
'hao'xiong'di 好兄弟
'he'dan'fa'she'jing 核弹发射井
'he'ke 赫克
'he'xin'chao'zai 核心超载
'hei'an'chong'qun 黑暗虫群
'hei'an'fu'hua 黑暗腐化
'hei'an'jiao'zhang 黑暗教长
'hei'an'qin'xi 黑暗侵袭
'hei'an'sheng'tang'wu'shi 黑暗圣堂武士
'hei'an'sheng'tang'wu'shi'jing'ying 黑暗圣堂武士精英
'hei'an'yi'shi 黑暗仪式
'hei'an'zheng'zhao 黑暗征召
'hei'an'zhi'zheng'guan 黑暗执政官
'hei'se'zhan'chui 黑色战锤
'hong'guo'guo 红果果
'hong'se'an'niu 红色按钮
'hong'zha'gong'ji 轰炸攻击
'hou'chong 后虫
'hou'ran'tui'jin 后燃推进
'hu'dun'chong'neng 护盾充能
'hu'dun'chong'neng'qi 护盾充能器
'hu'dun'feng'cun 护盾封存
'hu'dun'ping'zhang 护盾屏障
'hu'hang'xing'dong 护航行动
'hu'jiao'kong'tou 呼叫空投
'hu'zi 虎子
'huan'wei'zhuang'tian 换位装填
'huan'xin'lian'gou 环心镰钩
'huang'jin'bu'xiu'zhe 黄金不朽者
'huang'jin'jian'dui 黄金舰队
'huang'jin'kuang'gong 黄金矿工
'huang'jin'shi'dai 黄金时代
'hui'fu'guang'huan 恢复光环
'hui'fu'ji'yin 恢复基因
'hui'mie'da'ji 毁灭打击
'hui'mie'zhe 毁灭者
'hui'shou'kuang'wu 回收矿物
'hui'shou'zhuan'jia 回收专家
'hui'xuan'zhi'ren 回旋之刃
'hun'dun'hong'liu 混沌洪流
'hun'dun'rong'he 混沌融合
'hun'dun'shui'jing 混沌水晶
'hun'he'ti'hui'mie'zhe 混合体毁灭者
'hun'he'ti'ju'shou 混合体巨兽
'hun'he'ti'lue'duo'zhe 混合体掠夺者
'hun'he'ti'shi'yan'ti 混合体实验体
'hun'he'ti'tian'fa'zhe 混合体天罚者
'hun'he'ti'zhi'pei'zhe 混合体支配者
'huo'fu 火蝠
'huo'fu'jing'ying 火蝠精英
'huo'li'bao'fa 火力爆发
'huo'li'quan'kai 火力全开
'ji'bian'ti 畸变体
'ji'ci'chao'xue 脊刺巢穴
'ji'dong'bu'dui 机动部队
'ji'guang'zuan'ji 激光钻机
'ji'jia'qiang'xi 机甲强袭
'ji'jie 集结
'ji'li'zhe 激励者
'ji'na'la 吉娜拉
'ji'na'la'de'shu'niu'wang'zuo 吉娜拉的枢纽王座
'ji'qun 集群
'ji'sheng'chong'qun 寄生虫群
'ji'sheng'qin'xi 寄生侵袭
'ji'sheng'xi'bao 寄生细胞
'ji'su'bo'dong 急速波动
'ji'su'hui'fu 急速恢复
'ji'ti'chong'gou 机体重构
'ji'ti'sheng'ji 机体升级
'ji'xie'ci'she 机械刺蛇
'ji'xie'fu'ji 机械伏击
'ji'xie'gan'ran 机械感染
'ji'xie'gong'chang 机械工厂
'ji'xie'ju'shou 机械巨兽
'ji'xie'kuang'chao 机械狂潮
'ji'xie'lei'shou 机械雷兽
'ji'xie'li'zhua 机械利爪
'ji'xie'qi'guan 机械气罐
'ji'xie'qian'fu'zhe 机械潜伏者
'ji'xie'shao'bing 机械哨兵
'ji'xie'tai 机械台
'ji'xie'tiao'chong 机械跳虫
'ji'yin'feng'suo 基因封锁
'ji'yin'tu'bian 基因突变
'ji'yin'tui'hua 基因退化
'ji'zhen'pa'chong 脊针爬虫
'jia'te'lin'ji'pao 加特林机炮
'jian'cha'wang'chong 监察王虫
'jian'dan'xiu'li 简单修理
'jian'dao'zhan'shu 尖刀战术
'jian'duan'ke'ji 尖端科技
'jian'dui'hang'biao 舰队航标
'jian'kong'ti 监控体
'jian'mie'zhe 歼灭者
'jian'ren'chong'ji 剑刃冲击
'jian'xiao'chong'ji 尖啸冲击
'jian'ya'di'bao 尖牙地堡
'jiang'lin'shen'ji 降临神迹
'jie'fang'xing'dong 解放行动
'jie'fang'zhe 解放者
'jie'fang'zhe'jing'ying 解放者精英
'jie'lue'xiao'dui 劫掠小队
'jie'lue'zhe 劫掠者
'jie'lue'zhe'jing'ying 劫掠者精英
'jie'neng'ce'lue 节能策略
'jin'guang'pu'zhao 金光普照
'jin'guang'shan'shan 金光闪闪
'jin'hua 进化
'jin'hua'chong'jian 进化虫茧
'jin'hua'chong'zu 进化重组
'jin'hua'cui'qu 进化萃取
'jin'hua'fen'zhi 进化分支
'jin'hua'jian'ta 进化尖塔
'jin'hua'kuang'chao 进化狂潮
'jin'hua'zhi'dian 进化之巅
'jin'ji'hui'shou 紧急回收
'jin'ji'jiu'yuan 紧急救援
'jin'ji'zheng'zhao 紧急征召
'jin'sheng'zhi'dian 晋升之巅
'jin'sheng'zhi'lu 晋升之路
'jin'wei'chong'qun 近卫虫群
'jing'dian'lei'shou 经典雷兽
'jing'hua'bo'dong 净化波动
'jing'hua'bu'shu 净化部署
'jing'hua'chong'neng 净化充能
'jing'hua'fang'an 净化方案
'jing'hua'guang'shu 净化光束
'jing'hua'hao 净化号
'jing'hua'he'xin 净化核心
'jing'hua'hua'shen 精华化身
'jing'hua'jin'guang 净化金光
'jing'hua'li'chang 净化立场
'jing'hua'shu'ju'wang 净化数据网
'jing'hua'xie'yi 净化协议
'jing'hua'xin'xing 净化新星
'jing'hua'zhe'feng'bao'zhan'jian 净化者风暴战舰
'jing'hua'zhe'jian'yu'guan 净化者监狱官
'jing'hua'zhi'yuan 净化支援
'jing'hua'zhuang'zai 净化装载
'jing'ji'wai'ke 荆棘外壳
'jing'jie'ji'qi'ren 警戒机器人
'jing'jie'zhe 警戒者
'jing'mo'da'ji 静默打击
'jing'que'da'ji 精确打击
'jing'que'zhi'dao 精确制导
'jing'rui'chong'qun 精锐虫群
'jing'rui'chu'ji 精锐出击
'jing'shen'cuo'luan 精神错乱
'jing'shen'kong'zhi 精神控制
'jing'ti'kuang'mai 晶体矿脉
'jing'xiang'tou'she 镜像投射
'jing'ying'ji'xun 精英集训
'jing'ying'xue'yuan 精英学院
'jing'zhi'li'chang 静滞力场
'jing'zhuang'gang'ban 精装钢板
'ju'bian'xin'ti 聚变芯体
'ju'chi'hu'jia 锯齿护甲
'ju'feng 飓风
'ju'feng'xing'dong 飓风行动
'ju'he'feng'bao 聚合风暴
'ju'ji'jing 狙击镜
'ju'shou'ji'zhan'lie'xun'hang'jian 巨兽级战列巡航舰
'ju'xiang 巨像
'ju'xiang'jing'ying 巨像精英
'ju'zhen'gan'rao 矩阵干扰
'ju'zhen'hui'shou 矩阵回收
'jue'di'zhi'zhao 掘地之爪
'jue'dui'she'cheng 绝对射程
'jue'xing 觉醒
'jun'heng 均衡
'jun'heng'zhi'li 均衡之力
'jun'wang'zhi'ren 君王之刃
'jun'xian 军衔
'ka'er'da'li'si 卡尔达利斯
'kai'cai'zuan'tou 开采钻头
'kai'da'lin'ju'shi 凯达琳巨石
'kai'la'ke'si 凯拉克斯
'kai'rui'gan 凯瑞甘
'kai'wen'wei'si'te 凯文韦斯特
'ke'ji'shi'yan'shi 科技实验室
'ke'kao'xiao'dui 科考小队
'ke'long'shi'yan 克隆实验
'ke'xue'chuan 科学船
'ke'xue'guan'cha 科学观察
'kong'jian'tiao'yue 空间跳跃
'kong'jiang'bu'dui 空降部队
'kong'tou'zeng'yuan 空投增援
'ku'tong'gou'zao'ti 苦痛构造体
'kuai'su'zhuang'tian 快速装填
'kuang'bao 狂暴
'kuang'bao'chong'luan 狂暴虫卵
'kuang'bao'gou'zao'ti 狂暴构造体
'kuang'bao'tu'bian 狂暴突变
'kuang'bao'tun'shi 狂暴吞噬
'kuang'luo 矿骡
'kuang're'chong'feng 狂热冲锋
'kuang're'xin'tu 狂热信徒
'kuang're'zhe 狂热者
'kuang're'zhe'jing'ying 狂热者精英
'kuo'san'li'chang 扩散力场
'kuo'san'wu'qi 扩散武器
'la'ke'xi'er 拉克希尔
'lai'na'ni'ka'la'zhong'wei 莱纳尼卡拉中尉
'lei'nuo 雷诺
'lei'shen 雷神
'lei'shen'jing'ying 雷神精英
'lei'shou 雷兽
'lei'shou'jing'ying 雷兽精英
'lei'shou'ku 雷兽窟
'lei'shou'nu'pu 雷兽奴仆
'leng'jing'jiao'zhun 棱镜校准
'leng'jing'zhi'guang 棱镜之光
'li'chang 力场
'li'da'zhuan'fei 力大砖飞
'li'wei'tan 利维坦
'li'xing 利星
'li'zi'guang'pao 粒子光炮
'li'zi'she'ji 离子射击
'lian'fa'fei'dan 连发飞弹
'lie'jie'xi'bao 裂解细胞
'lie'sha'ti 猎杀体
'lie'xing'bao'zha 烈性爆炸
'lin'shi'ren'ge 临时人格
'ling'hun'chao'du 灵魂超度
'ling'hun'rong'qi 灵魂容器
'ling'hun'xi'shi 灵魂吸食
'ling'hun'zhao'huan 灵魂召唤
'ling'hun'zhi'xia 灵魂之匣
'ling'neng'bao'zha 灵能爆炸
'ling'neng'chuan'song 灵能传送
'ling'neng'hui'xiang 灵能回响
'ling'neng'jue'dou 灵能决斗
'ling'neng'kuo'san 灵能扩散
'ling'neng'lian'jie 灵能链接
'ling'neng'te'xun 灵能特训
'ling'neng'yi'shang 灵能易伤
'liu'dan'chong'ji 榴弹冲击
'long'qi'shi 龙骑士
'lu'zhan'dui'yuan 陆战队员
'lu'zhan'dui'yuan'jing'ying 陆战队员精英
'lue'duo'ji'xie 掠夺机械
'lue'shi'ji'xie 掠食机械
'lue'shi'long 掠食龙
'lue'shi'zhe 掠食者
'lue'shi'zhe'zha'jia'la 掠食者扎加拉
'luo'bu'bo'si'wei'er 罗布博斯韦尔
'luo'dan'lun'xiao'hui'xiong 洛丹伦小灰熊
'ma'la'shen 马拉什
'mai'chong'chong'zu 脉冲重组
'mai'di'ci'she 埋地刺蛇
'mai'er'si'liu'yi'si 迈尔斯刘易斯
'mang'shou 莽兽
'mei'jun'gan'ran 霉菌感染
'mei'jun'zi'sheng 霉菌滋生
'meng'meng'xiong 萌萌熊
'mi'cai'zhuang'jia 迷彩装甲
'mi'mi'yan'jiu 秘密研究
'mi'yi'er'bian 秘异二变
'mie'jue'zhe 灭绝者
'mo'han'da'er 莫汉达尔
'mo'ni'kong'zhi 模拟控制
'mo'qiu'li 墨丘利
'mo'ri'jin'hua 末日进化
'mo'ri'ju'shou 末日巨兽
'mu'jian 母舰
'mu'jian'he'xin 母舰核心
'na'ke'si'sa'mu 纳克斯萨姆
'na'ke'tu'er 纳可图尔
'na'lu'de 纳鲁德
'na'mi'hu'jia 纳米护甲
'na'mi'yan'jiu 纳米研究
'neng'liang'chao'zai 能量超载
'neng'liang'ci'chang 能量磁场
'neng'liang'kuo'san 能量扩散
'neng'liang'ping'heng 能量平衡
'neng'liang'ping'zhang 能量屏障
'neng'liang'qie'qu 能量窃取
'neng'liang'shi'jie 能量视界
'neng'liang'ti'su 能量提速
'neng'liang'yu'zhao 能量预兆
'neng'liang'zhi'yuan 能量之源
'ni'tai'chu'chong 拟态雏虫
'ni'tai'ji'yin 拟态基因
'ni'ya'de'la 尼雅德拉
'niu'qu'chong'dong 扭曲虫洞
'niu'tou'ren'lu'zhan'dui'yuan 牛头人陆战队员
'nuo'wa 诺娃
'nv'yao 女妖
'nv'yao'jing'ying 女妖精英
'pao'huo'hong'ming 炮火轰鸣
'pao'jian'chu'ji 炮舰出击
'pen'qi'bei'bao 喷气背包
'pian'zhuan'li'chang 偏转立场
'po'huai'zhe 破坏者
'po'huai'zhe'jing'ying 破坏者精英
'po'jia'zhong'ji 破甲重击
'pu'luo'bi'si 普罗比斯
'qi'yi'shi'ke 起义时刻
'qian'chui'bai'lian 千锤百炼
'qian'fu'zhe 潜伏者
'qian'yin'ji'qun 潜隐集群
'qiang'bing'tan'ke 枪兵坦克
'qiang'gou'yi'kong 抢购一空
'qiang'hua'bian'yi 强化变异
'qiang'hua'ci'chang 强化磁场
'qiang'hua'gu'ban 强化骨板
'qiang'hua'ji'bian 强化畸变
'qiang'hua'ji'yin 强化基因
'qiang'hua'sheng'ji 强化升级
'qiang'hua'tu'bian 强化突变
'qiang'hua'yao'ji 强化药剂
'qiang'ji'ge'li'ya 强击歌利亚
'qiang'zhi'jin'hua 强制进化
'qiang'zhi'zhao'mu 强制招募
'qie'huan 切换
'qing'zhuang'shang'zhen 轻装上阵
'qiu'sheng'wu'lu 求生无路
'quan'xi'bu'shu 全息部署
'quan'xi'cai'ji 全息采集
'quan'xi'hu'dun 全息护盾
'quan'xi'ying'xiang 全息影像
'quan'xi'you'er 全息诱饵
'quan'xi'zai'e 全息灾厄
'quan'zi'dong'hua 全自动化
'qun'ti'kuang'bao 群体狂暴
're'la'bei'di 热辣贝蒂
'ren'ge'shang'chuan 人格上传
'ren'hai'zhan'shu 人海战术
'ren'wu 任务
'rong'qiang'gong'ji 熔枪攻击
'sa'er'na'jia'fu'ji'zhe 萨尔纳加伏击者
'sa'er'na'jia'gou'zao'ti 萨尔纳加构造体
'sa'er'na'jia'zhi'xing'zhe 萨尔纳加执行者
'sai'da'si 塞达斯
'sai'lan'di'si 赛兰迪丝
'sha'la'kai'rui'gan 莎拉凯瑞甘
'sha'lu'shi'zhe 杀戮使者
'sha'lu'zhe 杀戮者
'shan'dian'chong'feng 闪电冲锋
'shao'bing'dao'dan 哨兵导弹
'shao'jie'fang'yu 哨戒防御
'she'cheng'tiao'jie 射程调节
'sheng'bian 升变
'sheng'cun'ben'neng 生存本能
'sheng'hua'gai'zao 生化改造
'sheng'hua'shi'yan'shi 生化实验室
'sheng'hua'yao'ji 生化药剂
'sheng'tang'ji'jie 圣堂集结
'sheng'tang'zhi'lu 圣堂之路
'sheng'wu'gai'zao 生物改造
'sheng'wu'tu'bian 生物突变
'shi'bu'ke'dang 势不可挡
'shi'jian'ting'zhi 时间停止
'shi'tu 使徒
'shi'tu'jing'ying 使徒精英
'shi'tu'xing'zhe 使徒行者
'shi'xue 嗜血
'shi'xue'ji'yin 嗜血基因
'shi'xue'kuang'bao 嗜血狂暴
'shi'yan'shi'an'bao 实验室安保
'shi'ying'wai'ke 适应外壳
'shi'ying'xi'bao 适应细胞
'shi'ying'zhi'zhao 适应之爪
'shi'ying'zhuang'jia 适应装甲
'shi'zu'zhi'li 始祖之力
'shou'ge'kai'shi 收割开始
'shou'ge'xing'dong 收割行动
'shou'ge'zhe 收割者
'shou'hu'zhi'dun 守护之盾
'shou'wei 守卫
'shou'wei'chong'qun 守卫虫群
'shou'wei'jing'ying 守卫精英
'shuai'ruo'ji'yin 衰弱基因
'shuai'ruo'tuo'ye 衰弱唾液
'shui'jing'ta 水晶塔
'shui'jing'zhen'lie 水晶阵列
'si'lei'en'yuan'su'sheng'wu 斯雷恩元素生物
'si'shen'huo'che 死神火车
'si'tai'te'man 斯台特曼
'si'tu 死徒
'si'tuo'ke'fu 斯托科夫
'si'wang 斯旺
'si'wang'de'lao'shu'ren 斯旺的老熟人
'si'wang'jian'dui 死亡舰队
'si'wang'zhi'wo 死亡之握
'si'wang'zhi'wo'shui'jing 死亡之握水晶
'sou'xun'yang'ben 搜寻样本
'suo'xiao'guang'shu 缩小光束
'ta'da'lin'mu'jian 塔达林母舰
'ta'li'si 塔里斯
'tai'kai'si 泰凯斯
'tai'kai'si'fen'li 泰凯斯芬利
'tai'yang'neng'long'qi'shi 太阳能龙骑士
'tan'ji 探机
'te'dian'ka'pai 特典卡牌
'te'zhi'jun'pin 特制军品
'teng'yue'chong 腾跃虫
'teng'yue'chu'ji 腾跃出击
'ti'su'dan'tou 提速弹头
'ti'su'zhuang'zai 提速装载
'tian'ba 天霸
'tian'fa'xing'zhe 天罚行者
'tian'kong'shou'wei 天空守卫
'tian'kong'zhi'nu 天空之怒
'tian'ming'huang'quan 天命皇权
'tian'qi'zhi'li 天启之力
'tiao'chong 跳虫
'tiao'chong'jing'ying 跳虫精英
'tie'ya 铁鸦
'tie'ya'jing'ying 铁鸦精英
'tu'ji'mo'shi 突击模式
'tu'ji'pao'jian 突击炮舰
'tu'ji'xiao'zu 突击小组
'tu'jiu 秃鹫
'tui'jin'he'xin 推进核心
'tui'jin'shi'neng 推进势能
'tun'shi 吞噬
'tun'shi'zhe 吞噬者
'tuo'shen 托什
'wa'bao'qi'bing 挖宝奇兵
'wai'ji'jun'tuan 外籍军团
'wan'cha'ben'teng 万叉奔腾
'wan'jun'huang'quan 万钧皇权
'wan'quan'ni'tai 完全拟态
'wang'shou 王兽
'wei'jia 维嘉
'wei'jing'zhan'ji 维京战机
'wei'jing'zhan'ji'jing'ying 维京战机精英
'wei'suo'jun'heng 微缩均衡
'wei'yi 唯一
'wen'ding'ju'sha 稳定狙杀
'wen'yi'chong'qun 瘟疫虫群
'wo'fei'er'de 沃菲尔德
'wo'fei'er'de'jiang'jun 沃菲尔德将军
'wo'jiao'xiao'ming 我叫小明
'wo'la'zun 沃拉尊
'wu'jing'tian'ze 物竞天择
'wu'ju'kuang're'zhe 无拘狂热者
'wu'ran'shi'jie 污染视界
'wu'wei'chong'ji 无畏冲击
'wu'xian'rong'he 无限融合
'wu'xian'yu'zhao 无限预兆
'wu'xian'zhao'mu 无限招募
'wu'zhuang'ji'qi'ren 武装机器人
'wu'zhuang'ji'xie 武装机械
'wu'zhuang'kong'tou 武装空投
'xi'bao'fen'lie 细胞分裂
'xi'bao'hui'fu 细胞恢复
'xi'xue 吸血
'xian'feng 先锋
'xian'ji 献祭
'xian'ti'guo'zai 腺体过载
'xian'xue'kuang're 鲜血狂热
'xian'xue'li'ren 鲜血利刃
'xian'xue'lie'shou 鲜血猎手
'xian'xue'yi'shi 鲜血仪式
'xian'zhi 先知
'xian'zhi'jie'chu 限制解除
'xian'zhi'shi'ye 先知视野
'xiang'wei'chao'zai 相位超载
'xiang'wei'fan'ji 相位反击
'xiang'wei'fan'ying 相位反应
'xiang'wei'gai'zao 相位改造
'xiang'wei'hui'shou 相位回收
'xiang'wei'mo'shi 相位模式
'xiang'wei'shan'xian 相位闪现
'xiang'wei'she'zhan'che 响尾蛇战车
'xiang'wei'shi'tu 相位使徒
'xiang'wei'sui'lie 相位碎裂
'xiang'wei'ti'su 相位提速
'xiang'wei'zhui'lie'zhe 相位追猎者
'xiao'nan'sun 小南孙
'xiao'zhang'lang 小蟑螂
'xie'chong 蝎虫
'xin'he'chao'zai 芯核超载
'xin'xing'bo'dong 新星波动
'xing'kong'jia'su 星空加速
'xing'kong'jing'zhi 星空静滞
'xing'ling'ke'ji 星灵科技
'xing'men 星门
'xing'ti'hua'shen 形体化身
'xing'ti'jiang'lin 形体降临
'xing'xing'yao'sai 行星要塞
'xiong'can'ju'shou 凶残巨兽
'xiong'can'yi'shou 凶残异兽
'xiong'chi'shou 熊齿兽
'xiong'chi'shou'zu'chang 熊齿兽族长
'xiong'meng'ju'shou 凶猛巨兽
