'ai'duan'ti'luo 矮短梯螺
'huan'lei'bi'luo 环肋笔螺
'huan'leng'luo 环棱螺
'huan'zu'yao'wen 环足摇蚊
'huang'hai'ai'ci'shu'lin'chong 黄海埃刺梳鳞虫
'huang'hai'kui 黄海葵
'huang'ming'yao'wen 黄明摇蚊
'huang'se'bian'niao'ge 黄色扁鸟蛤
'huang'zhi'wen'luo 黄织纹螺
'hui'shuang'chi'ge 灰双齿蛤
'huo'fu'shui'si'yin 霍甫水丝蚓
'huo'shi'san'qiang'xie 霍氏三强蟹
'ji'ci'mao'can 棘刺锚参
'ji'di'zao'gou'xia 极地蚤钩虾
'ji'fu'he'xia 脊腹褐虾
'ji'gou'xia'ke 畸钩虾科
'ji'ju'shi'e 畸距石蛾
'ji'ju'shi'e'ke 畸距石蛾科
'ji'ju'xie 寄居蟹
'ji'sha'can 矶沙蚕
'ji'tu'yao'wen 脊突摇蚊
'ji'wei'bai'xia 脊尾白虾
'ji'xie 矶蟹
'ji'yan'luo 麂眼螺
'jia'cheng 荚蛏
'jia'chong 甲虫
'jia'chong'luo 甲虫螺
'jia'qiao'lei 甲壳类
'jia'zhou'bian'niao'ge 加州扁鸟蛤
'jia'zhou'chi'wen'sha'can 加州齿吻沙蚕
'jia'zhu'bang'luo 假主棒螺
'jian'chi'quan'xie 尖齿拳蟹
'jian'chong 箭虫
'jian'ci'bi'ge 尖刺襞蛤
'jian'ci'ying'chong 尖刺缨虫
'jian'ding'da'hu'gou'xia 尖顶大狐钩虾
'jian'e'lian'chong 尖额涟虫
'jian'e'mai'gan'chong 尖额麦秆虫
'jian'gao'xuan'luo 尖高旋螺
'jian'hai'long 尖海龙
'jian'juan'luo 尖卷螺
'jian'luo'bo'luo 尖萝卜螺
'jian'tou'gou'xia 尖头钩虾
'jian'ye'chang'shou'sha'can 尖叶长手沙蚕
'jian'zhe'ni'han 间褶拟蚶
'jian'zhi'chong 肩栉虫
'jian'zhui'chong 尖锥虫
'jian'zhui'chong'shu 尖锥虫属
'jian'zhui'ni'xie'shou'luo 尖锥拟蟹守螺
'jiang'hu'bu'mu'ge 江户布目蛤
'jiang'hu'du'yan'gou'xia 江湖独眼钩虾
'jiang'hu'ming'ying'ge 江户明樱蛤
'jiang'yao 江珧
'jiao'bei 角贝
'jiao'guan'chong 胶管虫
'jiao'hai'yong 角海蛹
'jiao'hai'yong'shu 角海蛹属
'jiao'he'lan'ge 焦河篮蛤
'jiao'sha'can 角沙蚕
'jiao'shi'e 角石蛾
'jiao'shi'e'ke 角石蛾科
'jiao'tu'mai'gan'chong 角突麦杆虫
'jiao'wen'sha'can 角吻沙蚕
'jiao'yan'sha'xie 角眼沙蟹
'jiao'zhou'wan'ao'ban'gou'xia 胶州湾凹板钩虾
'jiao'zhou'wan'ding'guan'jiao'bei 胶州湾顶管角贝
'jie'cheng'ke 截蛏科
'jie'dou'luo 檞豆螺
'jie'fang'mei'zu'xie 解放眉足蟹
'jie'hai'chong 结海虫
'jie'hai'chong'shu 结海虫属
'jie'jia'zao 节荚藻
'jie'shi'cai'pan'luo 杰氏裁判螺
'jie'xing'lei 介形类
'jin'fang'xie 近方蟹
'jin'fu'she'wei 近辐蛇尾
'jin'gang'luo'kong'ke 金刚螺空壳
'jin'gang'na'luo 金刚钠螺
'jin'guang'wei'qing 金光伪蜻
'jin'jiang'mu'li 近江牡蛎
'jin'mao'si'sai'chong 金毛丝鳃虫
'jin'shi'zhen'she'wei 金氏真蛇尾
'jin'song'chong 襟松虫
'jin'xing'die'jiao'ge 金星蝶铰蛤
'jin'zhi'yuan'ge 津知圆蛤
'jing'ge 镜蛤
'jing'shi'ke'kuo'yu 经氏壳蛞蝓
'jiu'zhou'fu'ge 九州斧蛤
'ju'chi'chan'gou'xia 锯齿铲钩虾
'ju'chi'chang'bi'xia 锯齿长臂虾
'ju'chi'li'er'gou'xia 锯齿利尔钩虾
'ju'jiao'wu'chi'bang 具角无齿蚌
'ju'mao'shui'si'yin 巨毛水丝蚓
'juan'xuan'wen'sha'can 卷旋吻沙蚕
'kang'xia 糠虾
'ke'bian'li'zhi'luo 可变荔枝螺
'ke'kuo'yu 壳蛞蝓
'ke'la'bo'shui'si'yin 克拉泊水丝蚓
'ke'lei'hai'dan 刻肋海胆
'ke'li'guan'gong'xie 颗粒关公蟹
'ke'shi'shuang'lin'she'wei 柯氏双鳞蛇尾
'ke'shi'yuan'ao'xia 克氏原螯虾
'ke'wen'xian 刻纹蚬
'kong'shi'chun 孔石莼
'kong'xia'hu'yu 孔鰕虎鱼
'kou'shi'xiao'jie'bei 寇氏小节贝
'kou'xia'gu 口虾蛄
'ku'shou'tu'yan'xie 枯瘦突眼蟹
'kuan'jia'gu'lian'chong 宽甲古涟虫
'kuan'ke'quan'hai'sun 宽壳全海笋
'kuan'shen'da'yan'xie 宽身大眼蟹
'kuan'tui'ba'dou'xie 宽腿巴豆蟹
'kui'han 魁蚶
'kun'shi'lan'zhi'chi'chong 昆士兰稚齿虫
'la'shi'lang'ya'xia'hu'yu 拉氏狼牙虾虎鱼
'lan'ge 篮蛤
'lan'shi'san'qiang'xie 蓝氏三强蟹
'lan'wu'ke'ce'sai 蓝无壳侧鳃
'lang'ya'xia'hu'yu 狼牙鰕虎鱼
'lei'gu'ruo'ta'luo 肋古若塔螺
'lei'yi'zhu'ming'tuan'shui'shi 雷伊著名团水虱
'li'bang 丽蚌
'li'er'gou'xia 利尔钩虾
'li'ge 理蛤
'li'ke 鲤科
'li'kou'luo 丽口螺
'li'se'dan'xu'chong 栗色淡须虫
'li'xiao'bi'luo 丽小笔螺
'li'xing'huan'leng'luo 梨形环棱螺
'lian'chong 涟虫
'lian'chong'ke 涟虫科
'lian'jia'xi 连荚螅
'lian'mo'mao'chong 连膜帽虫
'liang'gou'xia'shu 亮钩虾属
'liang'ying'ge 亮樱蛤
'liang'ying'ge'shu 亮樱蛤属
'lie'chong 裂虫
'lin'chong 燐虫
'lin'fu'gou'chong 鳞腹沟虫
'lin'pian'di'wen'ge 鳞片帝汶蛤
'lin'sha'can 鳞沙蚕
'lin'sha'can'lin'chong 磷沙蚕磷虫
'ling'fu'yao'wen 菱跗摇蚊
'ling'you'fei'luo 伶鼬榧螺
'liu'chi'ni'gou'xia 六齿拟钩虾
'liu'cu'fu'yao'wen 流粗腹摇蚊
'liu'ma'er'ta'gou'xia 瘤马尔他钩虾
'liu'shi'ni'gou'xia 刘氏拟钩虾
'liu'tu'de'gou'xia 瘤突地钩虾
'long'bei'huang'dao'xie 隆背黄道蟹
'long'jie'chong 龙介虫
'long'shi 龙虱
'long'shi'ke 龙虱科
'long'xian'bei'ji'xie 隆线背脊蟹
'long'xian'qiang'xie 隆线强蟹
'long'yan'liang'qi'luo 泷岩两栖螺
'lou'dou'jie'xu'chong 漏斗节须虫
'lou'gu'xia 蝼蛄虾
'lu'chi'luo 露齿螺
'luan'yuan'a'bu'ge 卵圆阿布蛤
'luan'yuan'lian'chong 卵圆涟虫
'luan'yuan'nian'luo 卵圆捻螺
'lun'shuang'yan'gou'xia 轮双眼钩虾
'luo'bo'luo 萝卜螺
'luo'lie'chong 裸裂虫
'luo'mang'xie 裸盲蟹
'luo'ti'fang'ge'xing'chong 裸体方格星虫
'luo'xiang'zhi'xia'hu'yu 裸项栉鰕虎鱼
'luo'xu'yao'wen 裸须摇蚊
'luo'you'ti 螺幼体
'lv'luo 履螺
'ma'ding'hai'zhi'chong 马丁海稚虫
'ma'er'ta'gou'xia 马尔他钩虾
'ma'er'ta'gou'xia'ke 马尔他钩虾科
'ma'fen'hai'dan 马粪海胆
'ma'li'ya'ci'guang'luo 玛丽亚瓷光螺
'mai'gan'chong'ke 麦杆虫科
'mai'gan'chong'shu 麦杆虫属
'mai'hong'luo 脉红螺
'mai'sui'yu 麦穗鱼
'mao'bang 矛蚌
'mao'can 锚参
'mao'chi'wen'sha'can 毛齿吻沙蚕
'mao'ci'xie 毛刺蟹
'mao'fu'chong 毛腹虫
'mao'han 毛蚶
'mao'jiao'e'xie 毛角颚蟹
'mao'mang'xie 毛盲蟹
'mao'mao'chong 矛毛虫
'mao'mao'chong'shu 矛毛虫属
'mao'pi'bei 毛皮贝
'mao'sai'chong 毛鳃虫
'mao'tou'li'ti'xing'chong 毛头梨体星虫
'mao'wei'xia'hu'yu 矛尾虾虎鱼
'mao'zhua'mu'li 猫爪牡蛎
'mei'li'chi'lun'luo 美丽齿轮螺
'mei'li'ci'xie 美丽瓷蟹
'mei'li'xiang'lian'luo 美丽项链螺
'mei'ren'xia 美人虾
'mei'ye'xue'ha 美叶雪蛤
'mei'yuan'shuang'yan'gou'xia 美原双眼钩虾
'meng'jia'la'hai'shan'chong 孟加拉海扇虫
'meng'ke 蠓科
'mi'lie'chong 米列虫
'mi'lin'mu'li 密鳞牡蛎
'mi'wen'xiao'nang'ge 密纹小囊蛤
'mi'xia 米虾
'ming'dian'zhen'lie'chong 明点真裂虫
'ming'e 螟娥
'ming'e'ke 螟娥科
'ming'yao'wen 明摇蚊
'mo'lie'chong 模裂虫
'mo'mao'chong'shu 膜帽虫属
'mo'nang'jian'zhui'chong 膜囊尖锥虫
'mo'zhi'wei'cai'nv'chong 膜质伪才女虫
'mu'li 牡蛎
'na'bu'le'si'mo'mao'chong 那不勒斯膜帽虫
'nan'jie'bu'deng'ge 难解不等蛤
'nang'xu'chong 囊须虫
'nang'ye'chi'wen'sha'can 囊叶齿吻沙蚕
'nei'hai'ni'gou'xia 内海拟钩虾
'nei'juan'chi'can'shu 内卷齿蚕属
'nei'juan'yuan'he'luo 内卷原盒螺
'nei'lei'ge 内肋蛤
'nei'zhe'ni'han 内褶拟蚶
'ni'bei'wei'shui'shi 拟背尾水虱
'ni'bei'wei'shui'shi'ke 拟背尾水虱科
'ni'gou'xia 拟钩虾
'ni'gou'xia 泥钩虾
'ni'hai'niu 拟海牛
'ni'han 泥蚶
'ni'jie'chong 拟节虫
'ni'jie'chong'shu 拟节虫属
'ni'luo 泥螺
'ni'meng'gou'xia 拟猛钩虾
'ni'nian'luo 拟捻螺
'ni'qiu 泥鳅
'ni'te'xu'chong 拟特须虫
'ni'tu'chi'sha'can 拟突齿沙蚕
'ni'xia 泥虾
'ni'xie'shou'luo 拟蟹守螺
'ni'za'se'da'cu'fu'yao'wen 拟杂色大粗腹摇蚊
'ni'zhao'luo 拟沼螺
'ni'zhao'luo'ke 拟沼螺科
'ni'zhi'jiao'yao'wen 拟枝角摇蚊
'ni'zi'kou'yu'luo 拟紫口玉螺
'ni'zu'long'bei'xie 泥足隆背蟹
'nian'luo 捻螺
'niu'bang 扭蚌
'niu'chong 纽虫
'ou'nu'fei'chong 欧努菲虫
'ou'nu'fei'chong'ke 欧努菲虫科
'ou'wen'chong 欧文虫
'pan'guan'chong 盘管虫
'pan'luo'ke 盘螺科
'pang'guang'luo 膀胱螺
'pang'guang'luo'ke 膀胱螺科
'pi'fa'yi'mao'ci'xie 披发异毛刺蟹
'pi'pa'ni'zhao'luo 琵琶拟沼螺
'pian'ding'ge 偏顶蛤
'ping'lai'zhang'shan'bei 平濑掌扇贝
'ping'wei'ni'bang'bian'shui'shi 平尾拟棒鞭水虱
'pou'dao'ya'zui'ge 剖刀鸭嘴蛤
