'a'ba 阿爸
'bo'bo 波波
'bo'bo'de'tang'guo 波波的糖果
'bo'dang'shui 波荡水
'bo'dao'dan 波导弹
'bo'dong'chong 波动冲
'bo'er'kai'ni'en 波尔凯尼恩
'bo'huang'zi 波皇子
'bo'jia'man 波加曼
'bo'ke'bi 波克比
'bo'ke'ji'gu 波克基古
'bo'ke'ji'si 波克基斯
'bo'lei'te 波雷特
'bo'ming 搏命
'bo'pu'hai'tun 波普海豚
'bo'pu'hai'tun'de'nian'ye 波普海豚的黏液
'bo'sha 拨沙
'bo'shi'de'mian'zhao 博士的面罩
'bo'shi'de'xin 博士的信
'bo'shi'ke'duo'la 波士可多拉
'bo'shi'ke'duo'la'jin'hua'shi 波士可多拉进化石
'bo'shi'yan'jing 博识眼镜
'bo'wu'chang'di 薄雾场地
'bo'wu'qiu 薄雾球
'bo'wu'zha'lie 薄雾炸裂
'bo'wu'zhi'zao'zhe 薄雾制造者
'bo'wu'zhong'zi 薄雾种子
'bo'xue 拨雪
'bu'bian'zhi'shi 不变之石
'bu'bo 布拨
'bu'bo'de'mao 布拨的毛
'bu'chun'zhi'zheng 不纯之证
'bu'dun 布顿
'bu'fu'shu 不服输
'bu'jiao 布娇
'bu'li 布莉
'bu'li'ka'long 布里卡隆
'bu'li'ka'long'jin'hua'shi 布里卡隆进化石
'bu'li'mu'wen 布莉姆温
'bu'liang'wa 不良蛙
'bu'liang'wa'de'du'su 不良蛙的毒素
'bu'lu 布鲁
'bu'lu'de'mao 布鲁的毛
'bu'lu'huang 布鲁皇
'bu'mian 不眠
'bu'na'shi'cao 怖纳噬草
'bu'nao'zhi'jian 不挠之剑
'bu'ni'ji'te 布妮吉特
'bu'qu'zhi'dun 不屈之盾
'bu'qu'zhi'xin 不屈之心
'bu'ren'bu'yi 不仁不义
'bu'rong'bing 不融冰
'bu'shao'shu 步哨鼠
'bu'shou'jia 捕兽夹
'bu'si'hu 怖思壶
'bu'tu'bo 布土拨
'bu'wang'qiu 捕网球
'bu'wei'hu'ju 部位护具
'bu'zhen'zhi'zheng 不振之证
'bu'zhuo'bao'ke'meng'de'jue'qiao 捕捉宝可梦的诀窍
'bu'zhuo'ji'qiao 捕捉技巧
'bu'zhuo'kou'dai 捕捉口袋
'bu'zhuo'nan'yi'du 捕捉难易度
'bu'zhuo'peng'peng 捕捉碰碰
'cai'fen'die 彩粉蝶
'cai'hong 彩虹
'cai'hong'shi'ban 彩虹石板
'cai'liao'dai 材料袋
'cai'mi 采蜜
'cai'se'luo'si 彩色螺丝
'cai'ta 踩踏
'cai'ying 踩影
'can'ting 餐厅
'cang'bai'si'ming 苍白嘶鸣
'cang'bao'li'shu 藏饱栗鼠
'cang'ku'yao'shi 仓库钥匙
'cang'ma'ran'te 藏玛然特
'cang'xiang 苍响
'cang'yan'ren'gui 苍炎刃鬼
'cao'can'guo 草蚕果
'cao'cong'yi'zi 草丛椅子
'cao'di 草笛
'cao'lv'se'bao'zhu 草绿色宝珠
'cao'mei'pian 草莓片
'cao'mei'tang'shi 草莓糖饰
'cao'miao'gui 草苗龟
'cao'mu'suo'yi 草木蓑衣
'cao'tai'jing'sui'kuai 草太晶碎块
'cao'xian'zhu 操陷蛛
'cao'zhi'bao'shi 草之宝石
'cao'zhi'mao'pi 草之毛皮
'cao'zhi'shi'yue 草之誓约
'ceng'ceng'lian'jia 蹭蹭脸颊
'cha'bu'duo'wa'wa 差不多娃娃
'cha'bu'duo'wa'wa'jin'hua'shi 差不多娃娃进化石
'cha'feng 查封
'cha'hui 茶会
'cha'jue 察觉
'cha'kan'neng'li 查看能力
'cha'zi'fu 叉字蝠
'chan'chu'wang 蟾蜍王
'chan'hong'he 缠红鹤
'chan'hong'he'de'yu'rong 缠红鹤的羽绒
'chan'rao 缠绕
'chan'xian'rong'yuan 颤弦蝾螈
'chang'bi'ye 长鼻叶
'chang'chi'ou 长翅鸥
'chang'chi'ou'de'yu'mao 长翅鸥的羽毛
'chang'de 长德
'chang'er'tu 长耳兔
'chang'er'tu'jin'hua'shi 长耳兔进化石
'chang'fan'diao 唱反调
'chang'ge 唱歌
'chang'gun'mian'bao 长棍面包
'chang'hao 长嚎
'chang'jian'shi 常见石
'chang'kuai'jiang'zhang 畅快奖章
'chang'mao'gou 长毛狗
'chang'mao'ju'mo 长毛巨魔
'chang'mao'zhu 长毛猪
'chang'wei'guai'shou 长尾怪手
'chang'wei'guai'shou'de'mao 长尾怪手的毛
'chang'wei'huo'hu 长尾火狐
'chang'xiu'he'fu'shao'nv 长袖和服少女
'chang'yi 长椅
'chao'bei'bi 朝北鼻
'chao'bei'bi'de'sui'pian 朝北鼻的碎片
'chao'chao'zhu 炒炒猪
'chao'huai'xing 超坏星
'chao'ji'a'bo'suo'lu 超级阿勃梭鲁
'chao'ji'ai'lu'lei'duo 超级艾路雷朵
'chao'ji'ban'ji'la'si 超级班基拉斯
'chao'ji'bao'fei'long 超级暴飞龙
'chao'ji'bao'li'long 超级暴鲤龙
'chao'ji'bao'shi'hai'xing 超级宝石海星
'chao'ji'bao'xue'wang 超级暴雪王
'chao'ji'bing'gui'hu 超级冰鬼护
'chao'ji'bo'shi'ke'duo'la 超级波士可多拉
'chao'ji'bu'li'ka'long 超级布里卡隆
'chao'ji'cha'bu'duo'wa'wa 超级差不多娃娃
'chao'ji'chang'er'tu 超级长耳兔
'chao'ji'chuan'mao 超级船锚
'chao'ji'da'bi'niao 超级大比鸟
'chao'ji'da'gang'she 超级大钢蛇
'chao'ji'da'li'e 超级大力鳄
'chao'ji'da'shi'hua 超级大食花
'chao'ji'da'zhen'feng 超级大针蜂
'chao'ji'da'zhu'kui 超级大竺葵
'chao'ji'da'zui'wa 超级大嘴娃
'chao'ji'dai'ke'shou 超级呆壳兽
'chao'ji'dai'shou 超级袋兽
'chao'ji'di'an'xi 超级蒂安希
'chao'ji'dian'long 超级电龙
'chao'ji'diao'zhui 超级吊坠
'chao'ji'du'zao'long 超级毒藻龙
'chao'ji'fa'she'qi 超级发射器
'chao'ji'fen 超极粉
'chao'ji'geng'gui 超级耿鬼
'chao'ji'gou'hun'yan 超级勾魂眼
'chao'ji'gui'zu'ju'kai 超级龟足巨铠
'chao'ji'he'la'ke'luo'si 超级赫拉克罗斯
'chao'ji'hei'lu'jia 超级黑鲁加
'chao'ji'hu'di 超级胡地
'chao'ji'hu'wan 超级护腕
'chao'ji'hua'shi'yi'long 超级化石翼龙
'chao'ji'hua'ye'di 超级花叶蒂
'chao'ji'huan 超级环
'chao'ji'huan'de'neng'liang 超级环的能量
'chao'ji'huo'yan'ji 超级火焰鸡
'chao'ji'huo'yan'shi 超级火炎狮
'chao'ji'ji'ge'er'de 超级基格尔德
'chao'ji'jia'he'ren'wa 超级甲贺忍蛙
'chao'ji'jiao'ji 超级角击
'chao'ji'jiao'zhuo 超级脚镯
'chao'ji'jie'jing 超级结晶
'chao'ji'jin'hua'de'zhao'shi'jia'qiang 超级进化的招式加强
'chao'ji'jin'hua'de'zhun'bei 超级进化的准备
'chao'ji'ju'di'yu'mie'yan 超极巨地狱灭焰
'chao'ji'ju'gang'tie'zhen'fa 超极巨钢铁阵法
'chao'ji'ju'hua 超极巨化
'chao'ji'ju'hui'fei'bian'mie 超极巨灰飞鞭灭
'chao'ji'ju'jin'guai 超级巨金怪
'chao'ji'ju'qian'tang'lang 超级巨钳螳螂
'chao'ji'ju'shui'pao'hong'mie 超极巨水炮轰灭
'chao'ji'ju'ya'sha 超级巨牙鲨
'chao'ji'ju'yan'shi'pen'fa 超极巨炎石喷发
'chao'ji'ju'zhao'guai 超级巨沼怪
'chao'ji'kai'luo'si 超级凯罗斯
'chao'ji'kuai'long 超级快龙
'chao'ji'kui'jia'niao 超级盔甲鸟
'chao'ji'la'di'ou'si 超级拉帝欧斯
'chao'ji'la'di'ya'si 超级拉帝亚斯
'chao'ji'lao'weng'long 超级老翁龙
'chao'ji'lei'dian'shou 超级雷电兽
'chao'ji'lie'kong'zuo 超级烈空坐
'chao'ji'lie'yao'lu'sha 超级烈咬陆鲨
'chao'ji'lie'zhen'bing 超级列阵兵
'chao'ji'ling'zhen 超级领针
'chao'ji'long'tou'di'shu 超级龙头地鼠
'chao'ji'lu'ka'li'ou 超级路卡利欧
'chao'ji'ma'ma'man'yu'wang 超级麻麻鳗鱼王
'chao'ji'miao'wa'hua 超级妙蛙花
'chao'ji'pen'huo'tuo 超级喷火驼
'chao'ji'pi'ke'xi 超级皮可西
'chao'ji'qi'xi'qing'niao 超级七夕青鸟
'chao'ji'qia'lei'mu 超级恰雷姆
'chao'ji'qiu 超级球
'chao'ji'sha'nai'duo 超级沙奈朵
'chao'ji'shou'tao 超级手套
'chao'ji'shou'zhuo 超级手镯
'chao'ji'shuai'jiao'ying'ren 超级摔角鹰人
'chao'ji'shui'jian'gui 超级水箭龟
'chao'ji'shui'jing'deng'huo'ling 超级水晶灯火灵
'chao'ji'sui'pian 超级碎片
'chao'ji'sui'pian'de'yong'tu 超级碎片的用途
'chao'ji'tou'guan 超级头冠
'chao'ji'tou'jin'hun'hun 超级头巾混混
'chao'ji'wu'gong'wang 超级蜈蚣王
'chao'ji'wu'zei'wang 超级乌贼王
'chao'ji'xi'qu 超级吸取
'chao'ji'xi'yi'wang 超级蜥蜴王
'chao'ji'xue'yao'nv 超级雪妖女
'chao'ji'yan'jing 超级眼镜
'chao'ji'yan'wu'wang 超级炎武王
'chao'ji'yao'huo'hong'hu 超级妖火红狐
'chao'ji'zhui'shi 超级坠饰
'chao'ji'zu'zhou'wa'wa 超级诅咒娃娃
'chao'jia'kuang'xi 超甲狂犀
'chao'meng 超梦
'chao'meng'de'tang'guo 超梦的糖果
'chao'nao 吵闹
'chao'neng'li 超能力
'chao'neng'li'bao'shi 超能力宝石
'chao'neng'li'tai'jing'sui'kuai 超能力太晶碎块
'chao'neng'miao'miao 超能妙喵
'chao'neng'yan'tuo 超能艳鸵
'chao'shi'yan'shi 潮湿岩石
'chao'xiao'fei 超效肥
'chao'xing'yun 超幸运
'chao'xuan 潮旋
'chao'xue'qiu 巢穴球
'chao'yin'bo 超音波
'chao'yin'bo'you'chong 超音波幼虫
'chao'yin'fu 超音蝠
'chao'yin'fu'de'tang'guo 超音蝠的糖果
'chao'zhong'qiu 超重球
'che'lun'qiu 车轮球
'chen'guang 晨光
'chen'jiu'de'xin 陈旧的信
'chen'zhong'qiu 沉重球
'cheng'cheng'guo 橙橙果
'cheng'dou'di'qu 城都地区
'cheng'dou'shi'ban 城都石板
'cheng'fa 惩罚
'cheng'feng 乘风
'cheng'feng'xing'tai 乘风形态
'cheng'hua 橙花
'cheng'jie'hu'pa 惩戒胡帕
'cheng'jie'zhi'hu 惩戒之壶
'cheng'se'he'xin 橙色核心
'cheng'se'hua'ban 橙色花瓣
'cheng'yue'lang'jie 澄月廊街
'cheng'zhen'di'tu 城镇地图
'chi'bang'gong'ji 翅膀攻击
'chi'dun 迟钝
'chi'hou'ba 吃吼霸
'chi'hou'ba'de'hu'xu 吃吼霸的胡须
'chi'jing'fei 吃惊肥
'chi'jiu'li 持久力
'chi'lun'er 齿轮儿
'chi'lun'fei'pan 齿轮飞盘
'chi'lun'guai 齿轮怪
'chi'lun'zu 齿轮组
'chi'mian'long 赤面龙
'chi're'yan'shi 炽热岩石
'chi'sheng'de'dong'xi 吃剩的东西
'chi'yan'pao'xiao'hu 炽焰咆哮虎
'chi'you'wu 持有物
'chong'bao'bao 虫宝包
'chong'bao'bao'de'ye'pian 虫宝包的叶片
'chong'chong'meng'gong 冲冲猛攻
'chong'ci 冲刺
'chong'dian 充电
'chong'dian'bao 虫电宝
'chong'dian'dian'chi 充电电池
'chong'dian'guang'shu 充电光束
'chong'fu'qiu 重复球
'chong'gun'ni 虫滚泥
'chong'gun'ni'de'ni'ba 虫滚泥的泥巴
'chong'jia'sheng 虫甲圣
'chong'lang 冲浪
'chong'lang'zhi'wei 冲浪之尾
'chong'ming 虫鸣
'chong'pu 虫扑
'chong'tai'jing'sui'kuai 虫太晶碎块
'chong'tian'quan 冲天拳
'chong'yan 冲岩
'chong'yao 虫咬
'chong'zhi'bao'shi 虫之宝石
'chong'zhi'di'kang 虫之抵抗
'chong'zhi'yu'gan 虫之预感
'chong'zi'cun'chu'die 虫子存储碟
'chong'zui'da'niao 铳嘴大鸟
'chou'chou'hua 臭臭花
'chou'chou'ni 臭臭泥
'chou'chou'yu 丑丑鱼
'chou'chou'yu'de'lin'pian 丑丑鱼的鳞片
'chou'ni 臭泥
'chou'ni'de'du'su 臭泥的毒素
'chou'ni'de'tang'guo 臭泥的糖果
'chou'you'pu 臭鼬噗
'chou'you'pu'de'mao 臭鼬噗的毛
'chu'an 楚安
'chu'chong'cao 除虫草
'chu'chong'pen'wu 除虫喷雾
'chu'ci'you'jian 初次邮件
'chu'qi'yi'ji 出奇一击
'chu'shi'mao'zi 初始帽子
'chu'shi'mian'ju 础石面具
'chu'shou'bai'he 触手百合
'chu'shou'dao'ju 出售道具
'chu'shui 储水
'chu'zhang 除障
'chuan'di'li'wu 传递礼物
'chuan'piao 船票
'chuan'shan'shu 穿山鼠
'chuan'shan'shu'de'tang'guo 穿山鼠的糖果
'chuan'shan'shu'de'zhua'zi 穿山鼠的爪子
'chuan'shan'wang 穿山王
'chuan'shuo'jiang'zhang 传说奖章
'chuan'shuo'shi'ban 传说石板
'chuan'tou 穿透
'chuan'zhe'xiong 穿着熊
'chui'fei 吹飞
'chui'peng 吹捧
'chun'pu 纯朴
'chun'ri'da'dao 春日大道
'chun'tian'de'yang'zi 春天的样子
'chun'zi 春紫
'chun'zi 纯子
'ci'chang'cao'kong 磁场操控
'ci'er'guo 刺耳果
'ci'er'sheng 刺耳声
'ci'fu'lie'che'zi'you'piao 磁浮列车自由票
'ci'jia'bei 刺甲贝
'ci'jiao'guo 刺角果
'ci'li 磁力
'ci'long'wang 刺龙王
'ci'qiu'xian'ren'zhang 刺球仙人掌
'ci'qiu'xian'ren'zhang'de'ci 刺球仙人掌的刺
'ci'shi 慈史
'ci'suo'yu 刺梭鱼
'ci'suo'yu'de'lin'pian 刺梭鱼的鳞片
'ci'tie 磁铁
'ci'tie'zha'dan 磁铁炸弹
'ci'wei'chong 刺尾虫
'ci'xing'de'yang'zi 雌性的样子
'cong'lin'zhi'liao 丛林治疗
'cong'ming'da'shi'jiang'zhang 聪明大师奖章
'cong'you'bing 葱游兵
'cu'cao'pi'fu 粗糙皮肤
'cu'gu'tou 粗骨头
'cu'jiao'rou'xiang'chang 粗绞肉香肠
'cu'zhi'da'cong 粗枝大葱
'cui'mian'fen 催眠粉
'cui'mian'mo 催眠貘
'cui'mian'mo'de'mao 催眠貘的毛
'cui'mian'mo'de'tang'guo 催眠貘的糖果
'cui'mian'shu 催眠术
'cui'si'tan 崔斯坦
'da'bai'bao'yu 大白宝玉
'da'bai'jin'bao'yu 大白金宝玉
'da'bao'zha 大爆炸
'da'bi'niao 大比鸟
'da'bi'niao'jin'hua'shi 大比鸟进化石
'da'cao'jie 打草结
'da'chao'bei'bi 大朝北鼻
'da'cong 大葱
'da'cong'ya 大葱鸭
'da'cong'ya'de'tang'guo 大葱鸭的糖果
'da'dan 大胆
'da'dan'bo'he 大胆薄荷
'da'dang'zhi'zheng 搭档之证
'da'dao 大道
'da'di 大地
'da'di'bo'dong 大地波动
'da'di'cun'chu'die 大地存储碟
'da'di'mo 大地膜
'da'di'shen'li 大地神力
'da'di'shi'ban 大地石板
'da'di'zhang'kong 大地掌控
'da'di'zhi'li 大地之力
'da'dian'hai'yan 大电海燕
'da'e'yi 大颚蚁
'da'e'yi'de'ke 大颚蚁的壳
'da'fen'kai 大愤慨
'da'gang'she 大钢蛇
'da'gang'she'jin'hua'shi 大钢蛇进化石
'da'ge 打嗝
'da'ge'ge 大哥哥
'da'ge'zi'zhi'zheng 大个子之证
'da'gen'jing 大根茎
'da'hai'hua'wen 大海花纹
'da'hai'shi'ban 大海石板
'da'han 打鼾
'da'he'hua'wen 大河花纹
'da'ji'gui 打击鬼
'da'jian'gui 大剑鬼
'da'jiang 大将
'da'jiao 大角
'da'jie'jie 大姐姐
'da'jin'gang'bao'yu 大金刚宝玉
'da'kai'yao'bao 打开腰包
'da'ke'lai'yi 达克莱伊
'da'ke'zhong 大颗种
'da'kong'bao'xian 打空保险
'da'kou'tun'de'yang'zi 大口吞的样子
'da'kuai'duo'yi 大快朵颐
'da'lang'quan 大狼犬
'da'lei 打雷
'da'li'e 大力鳄
'da'li'e'jin'hua'shi 大力鳄进化石
'da'li'shi 大力士
'da'lu'hua'wen 大陆花纹
'da'lu'shi'ban 大陆石板
'da'ma'la'sa'da 大马拉萨达
'da'mi'an 达米安
'da'mo'fei'fei 达摩狒狒
