'a'gan'hui 阿甘回
'ang'ru'yue'guan'ti 昂如岳贯体
'ao'feng 鳌封
'ao'gu 傲骨
'ao'miao'wu'qiong 奥妙无穷
'ao'ran'dao'shi 傲然刀势
'ao'ran'dao'shi 傲然刀式
'ao'shi'fei'hua 傲世飞花
'ao'shi'zhong'sheng 傲视众生
'ao'wu 嗷呜
'ao'xiao'hong'chen 傲啸红尘
'ao'xue'zhan'yi 傲血战意
'ao'ya'zhang 鳌牙掌
'ao'yi'dao'ya 奥义刀压
'ao'yi'ya'tu 奥义牙突
'ao'yu 遨宇
'ao'ze 泑泽
'ba'bu'fu'tu 八部浮屠
'ba'bu'jin'gang'gong 八部金刚功
'ba'bu'qing'ting'qie 八步蜻蜓切
'ba'cao 拔草
'ba'dao 拔刀
'ba'dao 霸刀
'ba'dao'shi 霸刀式
'ba'dao'shou'dao 拔刀收刀
'ba'dao'tian'ji 霸刀天极
'ba'dao'wu'ji 霸刀无极
'ba'dao'yin'chang 拔刀吟唱
'ba'dao'zhan 拔刀斩
'ba'ding'er 拔鼎贰
'ba'ding'san 拔鼎叁
'ba'ding'yi 拔鼎壹
'ba'fang'ding'ding 八方定鼎
'ba'fang'feng'xue 八方风雪
'ba'fang'feng'yu 八方风雨
'ba'fang'huang'ye 八方荒野
'ba'fang'kan 八方砍
'ba'fang'lai'cai 八方来财
'ba'fang'lai'feng 八方来凤
'ba'fang'po 八方破
'ba'fang'qiang'fa 八方枪法
'ba'fang'you 八方游
'ba'fang'zhan 八方斩
'ba'gong 霸攻
'ba'gua'dong'xuan 八卦洞玄
'ba'gua'ju'hun'zhen 八卦聚魂阵
'ba'gua'suo'shen 八卦锁神
'ba'gua'wei'ling 八卦卫灵
'ba'he'man'shi'yue 巴赫曼誓约
'ba'huang'dao'fa'dao'ying 霸皇刀法刀影
'ba'huang'dao'fa'er'shi 霸皇刀法贰式
'ba'huang'dao'fa'san'shi 霸皇刀法叁式
'ba'huang'dao'fa'si'shi 霸皇刀法肆式
'ba'huang'dao'fa'yi'shi 霸皇刀法壹式
'ba'huang'feng'xi 八荒风袭
'ba'huang'gui'yuan 八荒归元
'ba'huang'gui'yuan'jian'qi 八荒归元剑气
'ba'huang'gui'yuan'shen'bing 八荒归元神兵
'ba'huang'heng'jian 八荒衡鉴
'ba'huang'jue 霸皇诀
'ba'huang'jue'ying 八荒绝影
'ba'huang'lu'he 八荒六合
'ba'huang'qian'kun'yi'zhi 八荒乾坤一掷
'ba'huang'yi'ji 八荒一击
'ba'huang'zhen'bao 八荒阵爆
'ba'huang'zhen'ji 八荒震激
'ba'jian 拔剑
'ba'jiu 把酒
'ba'jiu'yan'huan 把酒言欢
'ba'jue'shan'he 霸绝山河
'ba'nan'zhai'kong'po'qian'jun 八难摘空破千军
'ba'qi 霸气
'ba'qiang 霸枪
'ba'qiang'zhu'li 霸枪助力
'ba'qin 八擒
'ba'qin'mie 八擒灭
'ba'qin'shang 八擒殇
'ba'shan'gang'ding 拔山扛鼎
'ba'shan'shi 霸山式
'ba'shou'duo'ren 八手夺刃
'ba'shuai 霸甩
'ba'si'fang 霸四方
'ba'song'rou 扒松肉
'ba'tai'zhan 霸态斩
'ba'wang'bian 霸王鞭
'ba'wang'bian'er'duan 霸王鞭二段
'ba'wang'bian'liu'duan 霸王鞭六段
'ba'wang'bian'san'duan 霸王鞭三段
'ba'wang'bian'si'duan 霸王鞭四段
'ba'wang'bian'wu'duan 霸王鞭五段
'ba'wang'bian'yi'duan 霸王鞭一段
'ba'wang'can 霸王餐
'ba'wang'ji 霸王戟
'ba'wang'ji'mie'si'fang 霸王戟灭四方
'ba'wang'ji'po'qian'zhen 霸王戟破千阵
'ba'wang'qian 霸王钳
'ba'wang'tu 霸王突
'ba'wang'tu'long'jian 霸王屠龙剑
'ba'wang'xi'shui 霸王戏水
'ba'wang'xie'jia 霸王卸甲
'ba'wang'yin 霸王引
'ba'wang'yin'di'yi'zhong 霸王引第一重
'ba'wang'zhan 霸王斩
'ba'xiang 八相
'ba'xiang'jing'she 八相劲射
'ba'xiang'yi'shun 八相一瞬
'ba'zhe'wu'di 霸者无敌
'ba'zhen'qiang'fa 八阵枪法
'ba'zi'rou 把子肉
'bai'bu'chan'si'shou 百步缠丝手
'bai'bu'chuan'yang 百步穿杨
'bai'bu'duan'zu 百步断足
'bai'bu'fei'jian 百步飞剑
'bai'bu'fei'jian'jue 百步飞剑绝
'bai'bu'fei'jian'zhan 百步飞剑斩
'bai'bu'jing'she 百步劲射
'bai'bu'she'zhen 百步蛇针
'bai'chuan'gui'hai'cai'lu 百川归海采露
'bai'chuan'gui'hai'ji'xue 百川归海汲血
'bai'di'jian 白帝剑
'bai'fa'bai'zhong 百发百中
'bai'feng'qie'lie'zhao 白风切裂爪
'bai'gu'chi 百蛊池
'bai'gui'zhen 百鬼阵
'bai'hai'jie'zhen 百骸皆震
'bai'he'chui 捭阖锤
'bai'he'lian'chui 捭阖连锤
'bai'he'lian'chui'bai 捭阖连锤捭
'bai'he'lian'chui'dong 捭阖连锤动
'bai'he'lian'chui'he 捭阖连锤阖
'bai'he'lian'chui'zhong 捭阖连锤终
'bai'he'shu'chi 白鹤舒翅
'bai'he'teng'kong 白鹤腾空
'bai'hong 白虹
'bai'hong'guan'ri 白虹贯日
'bai'hong'heng'guan 白虹横贯
'bai'hu 白虎
'bai'hua'cui'hun 百花催魂
'bai'hua'fei'xing 百花飞星
'bai'hua'fu'xue'shou 百花拂穴手
'bai'hui 百会
'bai'hun'shi'zi 白魂十字
'bai'huo'zhan 拜火斩
'bai'ji 捭技
'bai'jie 百节
'bai'kuang'zhan 捭狂斩
'bai'kui'kou'meng 百傀叩梦
'bai'li'zhui'hun 百里追魂
'bai'lian 百炼
'bai'lian'jin 白链尽
'bai'lian'jin'mie 白链尽灭
'bai'ling'tian'gen 百灵天根
'bai'long'chang'xiao 白龙长啸
'bai'long'jian'zou 白龙剑走
'bai'long'shan 白龙闪
'bai'lu'wei'xi 白露未晞
'bai'mei 白眉
'bai'niao'sui'xing 百鸟碎星
'bai'qiang'wang'chuan 白蔷忘川
'bai'qiang'zhan 白蔷斩
'bai'qing'ji 捭轻击
'bai'qing'ji'er'duan 捭轻击二段
'bai'qing'ji'san'duan 捭轻击三段
'bai'qing'ji'yi'duan 捭轻击一段
'bai'quan 摆拳
'bai'ren'san 百刃散
'bai'ren'zhan'mo 百刃斩魔
'bai'ren'zhan'mo'san 百刃斩魔散
'bai'rou'xue'chang 白肉血肠
'bai'sha 白煞
'bai'she'du 白蛇毒
'bai'she'nong'feng 白蛇弄风
'bai'she'tu'xin 白蛇吐信
'bai'she'zhan 白蛇斩
'bai'sheng 百生
'bai'shi 白矢
'bai'shuang'luo 白霜落
'bai'tang'gui'hua'gao 白糖桂花糕
'bai'tang'ou'jia 白糖藕夹
'bai'wan'huang'yan 百万凰炎
'bai'wan'huang'yan'chong 百万凰炎冲
'bai'xie'dian'kuang 百邪癫狂
'bai'xue 白雪
'bai'yao'xuan'shi 百药宣时
'bai'ye 百叶
'bai'ye 败叶
'bai'yu 白羽
'bai'yu'liu'xing 白羽流星
'bai'yu'tiao'zhu 白雨跳珠
'bai'yun'xiang'da'zhou'tian 白云乡大周天
'bai'ze 白泽
'bai'zhan 百战
'bai'zhan 百斩
'bai'zhan'bai'sheng 百战百胜
'bai'zhan'lian'zhan 百战连斩
'bai'zhan'nei'gong 百战内功
'bai'zhan'wai'gong 百战外功
'bai'zhan'yi'wen'lu'wan'jia 百战异闻录玩家
'bai'zhan'yi'wen'lu'zhao'shi'er 百战异闻录招式二
'bai'zhan'yi'wen'lu'zhao'shi'san 百战异闻录招式三
'bai'zhan'yi'wen'lu'zhao'shi'yi 百战异闻录招式一
'bai'zhan'zhan 百战斩
'bai'zhi'han'fang 白芷含芳
'bai'zhi'lu'jin 白汁芦筋
'bai'zhong'ji 捭重击
'bai'zhou'ying'huo 白昼荧火
'bai'zhuan'qian'hui 百转千回
'bai'zhuan'qian'hui'zhui 百转千回坠
'bai'zu 百足
'bai'zu'duo'ming 百足夺命
'bai'zu'ku'can 百足枯残
'bai'zu'mi'xin 百足迷心
'bai'zu'zi'chui 百足自吹
'ban'kai 扳开
'ban'ma'suo 绊马索
'ban'shan'shuai 搬山摔
'ban'shan'shuai'zhen'di 搬山摔震地
'ban'shou'gong'ji 扳手攻击
'ban'shu'de'xi'feng'jiao 半熟的戏凤饺
'ban'shuai 绊摔
'ban'xian 绊线
'ban'xian'shen'bing 绊线神兵
'ban'ye'ti'dao 半夜剃刀
'ban'yuan 半圆
'bang'da'gou'tou 棒打狗头
'bang'hua'sui'liu 傍花随柳
'bao'bao 抱抱
'bao'bao'bao 刨刨刨
'bao'bei 宝贝
'bao'can 抱残
'bao'can'shi 抱残式
'bao'dan 豹胆
'bao'dian'yao'xiang'xi 宝钿摇香嬉
'bao'dong 暴动
'bao'du 爆毒
'bao'du'yi'ji 饱肚一击
'bao'fa 爆发
'bao'fan'zhen'shi 宝幡镇世
'bao'feng'chen'liu 暴风尘流
'bao'feng'quan 暴风拳
'bao'feng'xue 暴风雪
'bao'gu 刨骨
'bao'guai 豹乖
'bao'hua'gun 暴花棍
'bao'ji 暴击
'bao'jiao'ba'rou 爆椒扒肉
'bao'ke'ai 豹可爱
'bao'lei'kuang'feng 暴雷狂风
'bao'lie 爆裂
'bao'lie'er 爆裂二
'bao'lie'jian 爆裂箭
'bao'lie'nu'jian 爆裂弩箭
'bao'lie'san 爆裂三
'bao'lie'she'ji 爆裂射击
'bao'lie'shen'du 爆裂深毒
'bao'lie'yi 爆裂一
'bao'lie'zhong'quan 爆裂重拳
'bao'luan'zhi'xi 暴乱之息
'bao'mie'mie 抱咩咩
'bao'nu 暴怒
'bao'nu'lie'ji 暴怒裂击
'bao'nu'zhong'ji 暴怒重击
'bao'nue'zhi'ji 暴虐之击
'bao'po 爆破
'bao'po'ji 爆破击
'bao'po'jian 爆破箭
'bao'po'lie 爆破烈
'bao'pu 豹扑
'bao'pu'shou'tian 抱朴狩天
'bao'qi'dou'nong 抱起逗弄
'bao'qi'fang'xia 抱起放下
'bao'qi'xi'xi 抱起嬉戏
'bao'ran 爆燃
'bao'shen 保身
'bao'shi 暴食
'bao'shi 爆石
'bao'shi'gong'ji 宝石攻击
'bao'shu 报数
'bao'sui 爆碎
'bao'ta'xiang'yao 宝塔香腰
'bao'ti 爆体
'bao'tu'huai 抱兔怀
'bao'wu 豹舞
'bao'wu'gan'zhi 宝物感知
'bao'xiang'gui'shi 宝箱瑰石
'bao'xiang'hun 宝箱魂
'bao'xiang'qi'zhen 宝箱奇珍
'bao'xiang'wu'xing 宝箱五行
'bao'xiao 豹啸
'bao'yan 爆炎
'bao'yan'jian 爆炎箭
'bao'yan'zhan 爆焰斩
'bao'yang 抱阳
'bao'yi 抱一
'bao'yi'bao 刨一刨
'bao'yu'li'hua 暴雨梨花
'bao'yu'li'hua'qiang 暴雨梨花枪
'bao'yu'li'hua'zhen 暴雨梨花针
'bao'yu'qian'ji 暴雨千机
'bao'yuan 抱元
'bao'yuan'shou'que 抱元守缺
'bao'za 包扎
'bao'zang'zai'zhe'li 宝藏在这里
'bao'zha 爆炸
'bao'zha'biao 爆炸镖
'bao'zha'chong'ji 爆炸冲击
'bao'zha'chong'ji'nu 爆炸冲击怒
'bao'zha'dan 爆炸弹
'bao'zha'jian 爆炸箭
'bao'zha'ran'you 爆炸燃油
'bao'zha'shang'hai 爆炸伤害
'bao'zhu 抱住
'bao'zhu'du'zang 暴烛毒葬
'bao'zhu'luo 宝珠落
'bao'zhu'luo'hong 宝珠落红
'bao'zhu'luo'lan 宝珠落蓝
'bao'zhu'luo'lv 宝珠落绿
'bao'zhu'zou'huo 爆竹走火
'bao'zi'bao'lie 孢子爆裂
'bao'zi'bao'zha 孢子爆炸
'bao'zi'du'wu 孢子毒雾
'bao'zi'pen'tu 孢子喷吐
'bao'zou 暴走
'bei'ao'jue 北傲诀
'bei'ba'lie'kong'qiang 北霸裂空枪
'bei'chen 北辰
'bei'ci 背刺
'bei'dong'xing 被动型
'bei'dou 北斗
'bei'dou'qi'xing'zhen 北斗七星阵
'bei'fa 北伐
'bei'feng 北风
'bei'feng'dong'hu 北风冬湖
'bei'gua'jin'long'zhe'shan'bei'dong'biao'xian 背挂金龙折扇被动表现
'bei'gua'lu'di'jin'ru 背挂芦笛进入
'bei'gua'shuang'shan'shuang'zhong'bai 背挂双扇霜重白
'bei'ji'xiong 北极熊
'bei'ming'jian'qi 北冥剑气
'bei'ming'zhi'dun 北冥之盾
'bei'mo 北漠
'bei'pai'dan'tui 北派弹腿
'bei'po'jie'tou'mai'yi 被迫街头卖艺
'bei'qiu 悲秋
'bei'que 北阙
'bei'shuai 背摔
'bei'shui 背水
'bei'shui'chen'zhou 背水沉舟
'bei'shui'jue'di 背水绝地
'bei'shui'liu'ying 杯水留影
'bei'shui'yi'zhan 背水一战
'bei'su'qing'feng 悲酥清风
'bei'tian 悲天
'ben'chi 奔驰
'ben'lang 奔浪
'ben'lang'ta'yue'shi 奔狼踏月式
'ben'lang'ta'yue'shi'chuan'tou 奔狼踏月式穿透
'ben'lang'ta'yue'shi'tuo'jiang 奔狼踏月式脱缰
'ben'lei 奔雷
'ben'lei'dao'fa 奔雷刀法
'ben'lei'qiang'shu 奔雷枪术
'ben'lei'tu 奔雷突
'ben'lei'tui 奔雷腿
'ben'liu 奔流
'ben'liu'zhao'hui'huan 奔流爪回环
'ben'liu'zhao'san'bai'ji 奔流爪三百击
'ben'pao 奔跑
'ben'teng'bu'xiu'pen'pen'chuan 奔腾不休盆盆船
'ben'xing 奔星
'ben'yong'nu'chao 奔涌怒潮
'ben'yue 奔月
'ben'yue'ji'hua'zhong'zhi 奔月计划终止
'beng'beng'tiao'tiao 蹦蹦跳跳
'beng'di 蹦迪
'beng'jie 崩解
'beng'jue 崩决
'beng'lei'dao 崩雷刀
'beng'sha'lie'gu 崩砂裂谷
'beng'shan 崩山
'beng'shan'gun 崩山棍
'beng'shan'jin 崩山劲
'beng'tiao 蹦跳
'beng'xue 崩血
'beng'xue'chao 崩雪潮
'beng'yu'fei'yin 迸玉飞银
'bi'an 彼岸
'bi'an'zhi'wu 彼岸之舞
'bi'bo'dang 碧波荡
'bi'bo'dang'yang 碧波荡漾
'bi'bo'jue 碧波诀
'bi'die'xian'ji 碧蝶献祭
'bi'die'yin 碧蝶引
'bi'fang'liao'yuan 毕方燎原
'bi'fang'liao'yuan'zhuo'shang 毕方燎原灼伤
'bi'fu 比扶
'bi'ge'he'te'wu 彼阁鹤特舞
'bi'gui 碧归
'bi'hai'du'yin 碧海独吟
'bi'hai'liu'lan 碧海流澜
'bi'hai'piao'miao'zhang 碧海缥缈掌
'bi'huan 碧环
'bi'huang 避荒
'bi'hui'ying'chen'cheng 璧辉影沉承
'bi'hui'ying'chen'he 璧辉影沉合
'bi'hui'ying'chen'zhuan 璧辉影沉转
'bi'kong 碧空
'bi'kong'zhi'ming 碧空之鸣
'bi'lan'qu 碧蓝曲
'bi'lang'tao'tian 碧浪滔天
'bi'lian 碧链
'bi'ling'dan 碧灵丹
'bi'lu'dan 碧露丹
'bi'luo 碧落
'bi'luo'long'yin 碧落龙吟
'bi'luo'long'yin'chuan'tou 碧落龙吟穿透
'bi'luo'shao 碧落烧
'bi'luo'zhan 碧落斩
'bi'luo'zhan'yang 碧落斩阳
'bi'luo'zhan'yin 碧落斩阴
'bi'qi'feng'mang 避其锋芒
'bi'rang 避让
'bi'ri 蔽日
'bi'ri'du'zhang 蔽日毒瘴
'bi'ri'tie'dan 蔽日铁蛋
'bi'rui'bai'lian 碧蕊白莲
'bi'rui'ji'duo 避锐击惰
'bi'shi'ji'xu 避实击虚
'bi'shui'jin'zhen 避水金针
'bi'shui'tao'tian 碧水滔天
'bi'shui'tao'tian'guan'ti 碧水滔天贯体
'bi'shui'yin'zhen 避水银针
'bi'shui'you'tian 壁水幽天
'bi'si'ze'sheng 必死则生
'bi'tian'chang 碧天长
'bi'tian'ji 壁天极
'bi'tu'du'hua'zang 碧土毒花葬
'bi'wei 碧葳
'bi'xi 避奚
'bi'xie 辟邪
'bi'xue'fei'zhen 碧血飞针
'bi'xue'sheng'yan 碧血盛宴
'bi'xue'yan'du'bao 碧血宴毒爆
'bi'you 庇佑
'bi'zhen 彼针
'bi'zhen 闭阵
'bi'zhen'shi'ji'zhi'liao'zi'ji'neng'wu'e'wai'hui'xin 彼针实际治疗子技能无额外会心
'bian'bo 辩驳
'bian'chi 鞭笞
'bian'chi'da'di 鞭笞大地
'bian'chong'wu 变宠物
'bian'da 鞭打
'bian'fu'gong 蝙蝠功
'bian'gong 变宫
'bian'gong'shen'bing 变宫神兵
'bian'gua 变卦
'bian'ji 鞭击
'bian'lian 变脸
'bian'luo'bo 变萝卜
'bian'que'tui'shou 扁鹊推手
'bian'que'tui'shou'zhuan'mai 扁鹊推手转脉
'bian'que'tui'zhang 扁鹊推掌
'bian'shen 变身
'bian'xing 变形
'bian'xing'shu 变形术
'bian'xiu 遍休
'bian'yi'bao'zi'bao'zha 变异孢子爆炸
'bian'yu'zhang 辩玉掌
'bian'zhen 变阵
'bian'zhi 变徵
'bian'zhong 编钟
'biao'bai 表白
'biao'feng 飙风
'biao'hu 标鹄
'biao'ji'ling'di 标记领地
'biao'ma 彪马
'biao'shi'ming'guang 镖师明光
'biao'yan 表演
'biao'yan'kai'shi'le 表演开始了
'bie'fei'qiong 别飞琼
'bie'he 别鹤
'bin'chu 摈除
'bin'fen'luo'ying'jin'huang 缤纷落英金黄
'bin'fen'luo'ying'yan'fen 缤纷落英嫣粉
'bin'fen'luo'ying'zhan'lan 缤纷落英湛蓝
'bin'wei 濒危
'bing'bao 冰爆
'bing'bao 冰雹
'bing'can'jue 冰蚕诀
'bing'can'qian'si 冰蚕牵丝
'bing'chi 冰池
'bing'ci 冰刺
'bing'ci'zhong 冰刺终
'bing'dao 冰刀
'bing'di'duo'zhu 并蒂夺株
'bing'dong 冰冻
'bing'dong'san'chi 冰冻三尺
'bing'du'wu'gong 丙毒蜈蚣
'bing'du'zhi'zhu 丙毒蜘蛛
'bing'dun'lao 冰遁牢
'bing'feng 冰封
'bing'feng 冰风
'bing'feng'qian'li 冰封千里
'bing'feng'san'chi 冰封三尺
'bing'feng'xie'ying 冰封邪影
'bing'ge 兵戈
'bing'guan 冰棺
'bing'hu'yan'shuang'yue 冰壶咽霜月
'bing'hu'yan'tang'man 冰壶咽棠满
'bing'hua 冰华
'bing'huan 冰环
'bing'huo'dan 冰火蛋
'bing'huo'dao 冰火刀
'bing'huo'dao'bing 冰火刀冰
'bing'huo'dao'huo 冰火刀火
'bing'huo'luan'ji 冰火乱击
'bing'huo'zhi'wu'bing'xuan 冰火之舞冰炫
'bing'huo'zhi'wu'huo'lie 冰火之舞火烈
'bing'ji 冰肌
'bing'jian'han'yu 冰剑寒域
'bing'jiang 冰降
'bing'jie'di'mian 冰结地面
'bing'jing'bao'po 冰晶爆破
'bing'jing'po'sui 冰晶破碎
'bing'jing'sui 冰晶碎
'bing'ku 病苦
'bing'kuai 冰块
'bing'lei 冰雷
'bing'leng'jin'shu 冰冷金属
'bing'liang'wan 兵粮丸
'bing'lin'tian'xia 冰临天下
'bing'po 冰魄
'bing'po'ning'xin 冰魄凝心
'bing'po'yin 冰魄引
'bing'po'zhen 冰魄针
'bing'po'zhen'bing'bao 冰魄针冰爆
'bing'qi'ning'shen 屏气凝神
'bing'qi'sui'pian 兵器碎片
'bing'qian 冰堑
'bing'quan'wan 兵犬丸
'bing'quan'wan'xie'xing 兵犬丸携行
'bing'ren'ci'shang 兵刃刺伤
'bing'shan 冰山
'bing'she'zhi 冰蛇指
'bing'shi 兵势
'bing'shuang'chong'ji 冰霜冲击
'bing'shuang'yi'zhi 冰霜一指
'bing'si 冰丝
'bing'si'chan'jian 冰丝缠剑
'bing'sui'chuan'lin'zhen 冰髓穿林针
'bing'sui'du'ping 冰髓毒瓶
'bing'sui'du'ping'bao'zha 冰髓毒瓶爆炸
'bing'sui'zhen'ci 冰髓针刺
'bing'ti 冰体
'bing'tian 冰天
'bing'tian'xue'di 冰天雪地
'bing'xi 屏息
'bing'xin 冰心
'bing'xin 秉心
'bing'xin'jue 冰心诀
'bing'xin'zhi'yu 冰心止欲
'bing'xuan 冰炫
'bing'xue'shuang'huang 冰雪霜皇
'bing'xue'xiao'rong 冰雪消融
'bing'xue'zhu'meng'cheng 冰雪逐梦承
'bing'xue'zhu'meng'he 冰雪逐梦合
'bing'xue'zhu'meng'zhuan 冰雪逐梦转
'bing'ya'yuan'wu 冰牙圆舞
'bing'yu 冰域
'bing'yu 冰雨
'bing'yu'pao'xiao 冰域咆哮
'bing'yu'wu 冰雨舞
'bing'yuan'zhen'ji 冰原震击
'bing'yuan'zhen'ji 冰猿震击
'bing'zang'sha'zhen 冰葬杀阵
'bing'zhu'ni 兵主逆
'bing'zhui 冰锥
'bing'zi'jiao'lin'long'xing'hu'bian 丙子椒林龙行虎变
'bo'deng 拨镫
'bo'dong 波动
'bo'fa 薄伐
'bo'gou'chao'tian 拨狗朝天
'bo'gui'yun'jue 波诡云谲
'bo'hen 波痕
'bo'hen'fan'ying 波痕泛影
'bo'liang'fen'xing 擘两分星
'bo'luan'shui'guang 波乱水光
'bo'luo'mi'shou 波罗蜜手
'bo'luo'mi'shou'mie 波罗蜜手灭
'bo're 般若
'bo're'chan'zhang 般若禅掌
'bo're'ji'mie'zhao'fa 般若寂灭爪法
'bo're'jue 般若决
'bo're'jue 般若诀
'bo're'jue'jing'qian'shou'zhang 般若绝境千手掌
'bo're'qian'shou'zhang 般若千手掌
'bo'tao'qing'tian 波涛倾天
'bo'wen'kong'pao 波纹空炮
'bo'xian 拨弦
'bo'yi 博弈
'bo'yun'jian'ri 拨云见日
'bo'zhang 薄瘴
'bo'zhong 播种
'bu'bu'bu 不不不
'bu'bu'deng'yun 步步登云
'bu'bu'jing'xin 步步惊心
'bu'cang 补沧
'bu'chi 步迟
'bu'chong'neng'liang 补充能量
'bu'chong'shui'fen 补充水分
'bu'chou 不愁
'bu'cu 不促
'bu'dong 不动
'bu'dong'lian'hua'zhen 不动莲华阵
'bu'dong'ming'wang 不动明王
'bu'dong'ming'wang'zhen 不动明王阵
'bu'dong'ru'shan 不动如山
'bu'du'dao'qi 不渡刀气
'bu'e 不遏
'bu'er'zhu'wo 不二助我
'bu'feng'shi 捕风式
'bu'fu'shuang'xue 不负霜雪
'bu'gan'jing'de'dan'dan'mian 不干净的担担面
'bu'gang'ta'dou 步罡踏斗
'bu'gei'ni'chi 不给你吃
'bu'gong 不工
'bu'gou 不垢
'bu'gou'jin'dao'de'jiang'mian'tiao 不够劲道的浆面条
'bu'gou'jin'dao'de'qi'shan'mian 不够劲道的岐山面
'bu'huai 不坏
'bu'ji'huang'liu 不羁荒流
'bu'jian'zu'zhuang 部件组装
'bu'jiang 不僵
'bu'jie 不竭
'bu'jie'yuan'xi 不解缘嬉
'bu'jie'yuan'xi 不解缘戏
'bu'jie'zhen 不竭镇
'bu'ju 怖惧
'bu'ju'lang'hou 布惧狼吼
'bu'jue 不绝
'bu'ke'po'mie 不可破灭
'bu'ke'yi'shi 不可一世
'bu'kui'jun 不愧君
'bu'lie 捕猎
'bu'lie'da'xiong 捕猎达熊
'bu'lin 步临
'bu'liu'xing 不留行
'bu'lv'pan'shan 步履蹒跚
'bu'ming 不鸣
